# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.149
metadata : {}


# id : NWRW1800000045.149.1.1
[글로벌 북카페]2015년 佛 문단 흔든 화두는 ‘이슬람’

[글로벌	[/SS+글로벌/NNG
북카페]2015년	북카페/NNG+]/SS+2015/SN+년/NNB
佛	佛/SH
문단	문단/NNG
흔든	흔들/VV+ㄴ/ETM
화두는	화두/NNG+는/JX
‘이슬람’	‘/SS+이슬람/NNG+’/SS


# id : NWRW1800000045.149.2.1
공쿠르상 수상작 ‘부솔’과 후보작들

공쿠르상	공쿠르상/NNG
수상작	수상작/NNG
‘부솔’과	‘/SS+부솔/NNG+’/SS+과/JC
후보작들	후보작/NNG+들/XSN


# id : NWRW1800000045.149.3.1
최악의 테러가 벌어진 프랑스 파리는 깊은 충격에 빠져 있다.

최악의	최악/NNG+의/JKG
테러가	테러/NNG+가/JKS
벌어진	벌어지/VV+ㄴ/ETM
프랑스	프랑스/NNP
파리는	파리/NNP+는/JX
깊은	깊/VA+은/ETM
충격에	충격/NNG+에/JKB
빠져	빠지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.149.4.1
올해 프랑스 문단의 화두는 ‘유럽과 이슬람’이었다.

올해	올해/NNG
프랑스	프랑스/NNP
문단의	문단/NNG+의/JKG
화두는	화두/NNG+는/JX
‘유럽과	‘/SS+유럽/NNP+과/JC
이슬람’이었다.	이슬람/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.149.4.2
수니파 과격 무장단체 ‘이슬람국가(IS)’의 테러 배후설이 나오는 가운데 주간지 샤를리 에브도 테러사건 등 잇달아 터진 IS의 위협 때문이다.

수니파	수니파/NNG
과격	과격/NNG
무장단체	무장/NNG+단체/NNG
‘이슬람국가(IS)’의	‘/SS+이슬람국가/NNP+(/SS+IS/SL+)/SS+’/SS+의/JKG
테러	테러/NNG
배후설이	배후설/NNG+이/JKS
나오는	나오/VV+는/ETM
가운데	가운데/NNG
주간지	주간지/NNG
샤를리	샤를리/NNP
에브도	에브도/NNP
테러사건	테러/NNG+사건/NNG
등	등/NNB
잇달아	잇달/VV+아/EC
터진	터지/VV+ㄴ/ETM
IS의	IS/SL+의/JKG
위협	위협/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.149.4.3
또 유럽으로 밀려오는 중동 출신 난민들의 물결은 문학에도 커다란 영향을 끼치고 있다.

또	또/MAG
유럽으로	유럽/NNP+으로/JKB
밀려오는	밀려오/VV+는/ETM
중동	중동/NNP
출신	출신/NNG
난민들의	난민/NNG+들/XSN+의/JKG
물결은	물결/NNG+은/JX
문학에도	문학/NNG+에/JKB+도/JX
커다란	커다랗/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
끼치고	끼치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.149.4.4
2022년 프랑스가 이슬람 정부를 선출한다는 논쟁적 예언을 담은 미셸 우엘베크의 ‘복종’이 베스트셀러에 오른 것이 대표적이다.

2022년	2022/SN+년/NNB
프랑스가	프랑스/NNP+가/JKS
이슬람	이슬람/NNG
정부를	정부/NNG+를/JKO
선출한다는	선출/NNG+하/XSV+ㄴ다는/ETM
논쟁적	논쟁/NNG+적/XSN
예언을	예언/NNG+을/JKO
담은	담/VV+은/ETM
미셸	미셸/NNP
우엘베크의	우엘베크/NNP+의/JKG
‘복종’이	‘/SS+복종/NNP+’/SS+이/JKS
베스트셀러에	베스트셀러/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
것이	것/NNB+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


