# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.40
metadata : {}


# id : NWRW1800000029.40.1.1
대형아파트 ‘왕따’… 버블세븐 지역 시세보다 1억 이상 하락

대형아파트	대형/NNG+아파트/NNG
‘왕따’…	‘/SS+왕따/NNG+’/SS+…/SE
버블세븐	버블/NNG+세븐/NNG
지역	지역/NNG
시세보다	시세/NNG+보다/JKB
1억	1/SN+억/NR
이상	이상/NNG
하락	하락/NNG


# id : NWRW1800000029.40.2.1
수도권의 대형 아파트가 ‘찬밥’ 신세를 면치 못하고 있다.

수도권의	수도/NNG+권/XSN+의/JKG
대형	대형/NNG
아파트가	아파트/NNG+가/JKS
‘찬밥’	‘/SS+찬밥/NNG+’/SS
신세를	신세/NNG+를/JKO
면치	면하/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.40.2.2
23일 부동산업계에 따르면 서울 강남구와 양천구, 경기 분당신도시 등 2000년대 중반 투자수요가 집중적으로 유입된 인기 지역의 대형 아파트 매물은 시세보다 1억 원 이상 낮게 내놔야 실제 거래로 이어지고 있다.

23일	23/SN+일/NNB
부동산업계에	부동산업/NNG+계/XSN+에/JKB
따르면	따르/VV+면/EC
서울	서울/NNP
강남구와	강남구/NNP+와/JC
양천구,	양천구/NNP+,/SP
경기	경기/NNP
분당신도시	분당신도시/NNP
등	등/NNB
2000년대	2000/SN+년대/NNB
중반	중반/NNG
투자수요가	투자/NNG+수요/NNG+가/JKS
집중적으로	집중/NNG+적/XSN+으로/JKB
유입된	유입/NNG+되/XSV+ㄴ/ETM
인기	인기/NNG
지역의	지역/NNG+의/JKG
대형	대형/NNG
아파트	아파트/NNG
매물은	매물/NNG+은/JX
시세보다	시세/NNG+보다/JKB
1억	1/SN+억/NR
원	원/NNB
이상	이상/NNG
낮게	낮/VA+게/EC
내놔야	내놓/VV+아야/EC
실제	실제/NNG
거래로	거래/NNG+로/JKB
이어지고	이어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.40.2.3
이런 현상은 서울과 수도권 전반에 걸쳐 나타나고 있다.

이런	이런/MMD
현상은	현상/NNG+은/JX
서울과	서울/NNP+과/JC
수도권	수도/NNG+권/XSN
전반에	전반/NNG+에/JKB
걸쳐	걸치/VV+어/EC
나타나고	나타나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.40.3.1
부동산정보업체 부동산114가 지난해 12월 31일과 올해 6월 17일을 기준으로 수도권의 전용면적 85m² 이상의 중대형 아파트 시세를 비교한 결과 서울은 ―0.20%, 수도권은 ―0.25%, 신도시는 ―0.17%로 모두 마이너스 변동률을 보였다.

부동산정보업체	부동산/NNG+정보업체/NNG
부동산114가	부동산114/NNP+가/JKS
지난해	지난해/NNG
12월	12/SN+월/NNB
31일과	31/SN+일/NNB+과/JC
올해	올해/NNG
6월	6/SN+월/NNB
17일을	17/SN+일/NNB+을/JKO
기준으로	기준/NNG+으로/JKB
수도권의	수도/NNG+권/XSN+의/JKG
전용면적	전용/NNG+면적/NNG
85m²	85/SN+m²/SW
이상의	이상/NNG+의/JKG
중대형	중대형/NNG
아파트	아파트/NNG
시세를	시세/NNG+를/JKO
비교한	비교/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
서울은	서울/NNP+은/JX
―0.20%,	―/SS+0/SN+./SP+20/SN+%/SW+,/SP
수도권은	수도/NNG+권/XSN+은/JX
―0.25%,	―/SS+0/SN+./SP+25/SN+%/SW+,/SP
신도시는	신/XPN+도시/NNG+는/JX
―0.17%로	―/SS+0/SN+./SP+17/SN+%/SW+로/JKB
모두	모두/MAG
마이너스	마이너스/NNG
변동률을	변동/NNG+률/XSN+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.40.3.2
반면 전용 60m² 이하 아파트의 경우 서울은 1.48%, 신도시는 1.67%의 상승폭을 나타냈다.

반면	반면/NNG
전용	전용/NNG
60m²	60/SN+m²/SW
이하	이하/NNG
아파트의	아파트/NNG+의/JKG
경우	경우/NNG
서울은	서울/NNP+은/JX
1.48%,	1/SN+./SP+48/SN+%/SW+,/SP
신도시는	신/XPN+도시/NNG+는/JX
1.67%의	1/SN+./SP+67/SN+%/SW+의/JKG
상승폭을	상승/NNG+폭/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.40.4.1
서울 강남구 대치동의 H공인중개사 관계자는 “전용 125.4m² 플래티늄아파트 시세가 13억 원인데 급매물로 11억 원에 내놔도 손님들이 거들떠보지도 않는다”고 전했다.

서울	서울/NNP
강남구	강남구/NNP
대치동의	대치동/NNP+의/JKG
H공인중개사	H/SL+공인/NNG+중개사/NNG
관계자는	관계자/NNG+는/JX
“전용	“/SS+전용/NNG
125.4m²	125/SN+./SP+4/SN+m²/SW
플래티늄아파트	플래티늄아파트/NNP
시세가	시세/NNG+가/JKS
13억	13/SN+억/NR
원인데	원/NNB+이/VCP+ㄴ데/EC
급매물로	급매물/NNG+로/JKB
11억	11/SN+억/NR
원에	원/NNB+에/JKB
내놔도	내놓/VV+아도/EC
손님들이	손/NNG+님/XSN+들/XSN+이/JKS
거들떠보지도	거들떠보/VV+지/EC+도/JX
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.40.4.2
서울 양천구 목동의 V공인중개사 대표는 “현대하이페리온 전용 155.58m² 시가가 15억5000만 원이지만 실제 거래는 1억 원을 깎은 14억5000만 원 수준에서야 이뤄지고 있다”고 말했다.

서울	서울/NNP
양천구	양천구/NNP
목동의	목동/NNP+의/JKG
V공인중개사	V/SL+공인/NNG+중개사/NNG
대표는	대표/NNG+는/JX
“현대하이페리온	“/SS+현대하이페리온/NNP
전용	전용/NNG
155.58m²	155/SN+./SP+58/SN+m²/SW
시가가	시가/NNG+가/JKS
15억5000만	15/SN+억/NR+5000/SN+만/NR
원이지만	원/NNB+이/VCP+지만/EC
실제	실제/NNG
거래는	거래/NNG+는/JX
1억	1/SN+억/NR
원을	원/NNB+을/JKO
깎은	깎/VV+은/ETM
14억5000만	14/SN+억/NR+5000/SN+만/NR
원	원/NNB
수준에서야	수준/NNG+에서/JKB+야/JX
이뤄지고	이뤄지/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.40.5.1
대형 아파트 분양에 나선 건설사들도 중도금 무이자 대출, 발코니 무상 확장, 이사비 지원 등의 파격 조건을 내걸고 미분양을 막기 위해 안간힘을 쓰고 있다.

대형	대형/NNG
아파트	아파트/NNG
분양에	분양/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
건설사들도	건설사/NNG+들/XSN+도/JX
중도금	중도금/NNG
무이자	무/XPN+이자/NNG
대출,	대출/NNG+,/SP
발코니	발코니/NNG
무상	무상/NNG
확장,	확장/NNG+,/SP
이사비	이사비/NNG
지원	지원/NNG
등의	등/NNB+의/JKG
파격	파격/NNG
조건을	조건/NNG+을/JKO
내걸고	내걸/VV+고/EC
미분양을	미/XPN+분양/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
안간힘을	안간힘/NNG+을/JKO
쓰고	쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.40.5.2
서정렬 영산대 부동산금융학과 교수는 “주택 경기가 좋았던 시절, 소비자들은 대형 아파트를 사면 무조건 오른다는 생각에 과감히 구매를 했지만 가격 상승에 대한 기대가 꺾인 요즘은 점점 대형 아파트를 꺼리고 있다”고 말했다.

서정렬	서정렬/NNP
영산대	영산대/NNP
부동산금융학과	부동산/NNG+금융/NNG+학과/NNG
교수는	교수/NNG+는/JX
“주택	“/SS+주택/NNG
경기가	경기/NNG+가/JKS
좋았던	좋/VA+았/EP+던/ETM
시절,	시절/NNG+,/SP
소비자들은	소비자/NNG+들/XSN+은/JX
대형	대형/NNG
아파트를	아파트/NNG+를/JKO
사면	사/VV+면/EC
무조건	무조건/MAG
오른다는	오르/VV+ㄴ다는/ETM
생각에	생각/NNG+에/JKB
과감히	과감히/MAG
구매를	구매/NNG+를/JKO
했지만	하/VV+았/EP+지만/EC
가격	가격/NNG
상승에	상승/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기대가	기대/NNG+가/JKS
꺾인	꺾이/VV+ㄴ/ETM
요즘은	요즘/NNG+은/JX
점점	점점/MAG
꺼리고	꺼리/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


