# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.438
metadata : {}


# id : NWRW1800000022.438.1.1
[인천·부천] [알뜰정보] 장애인 행정 도우미 모집 외

[인천·부천]	[/SS+인천/NNP+·/SP+부천/NNP+]/SS
[알뜰정보]	[/SS+알뜰/NNG+정보/NNG+]/SS
장애인	장애인/NNG
행정	행정/NNG
도우미	도우미/NNG
모집	모집/NNG
외	외/NNB


# id : NWRW1800000022.438.2.1
장애인 행정 도우미 모집

장애인	장애인/NNG
행정	행정/NNG
도우미	도우미/NNG
모집	모집/NNG


# id : NWRW1800000022.438.3.1
중구청은 보조인 없이 일을 할 수 있는 18~65세의 등록 장애인을 대상으로 행정 도우미 12명을 18일까지 모집한다.

중구청은	중구청/NNP+은/JX
보조인	보조인/NNG
없이	없이/MAG
일을	일/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
18~65세의	18/SN+~/SO+65/SN+세/NNB+의/JKG
등록	등록/NNG
장애인을	장애인/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
행정	행정/NNG
도우미	도우미/NNG
12명을	12/SN+명/NNB+을/JKO
18일까지	18/SN+일/NNB+까지/JX
모집한다.	모집/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.438.3.2
주민자치센터에서 장애인 관련 상담이나 복지분야 업무 등을 보조한다.

주민자치센터에서	주민/NNG+자치/NNG+센터/NNG+에서/JKB
장애인	장애인/NNG
관련	관련/NNG
상담이나	상담/NNG+이나/JC
복지분야	복지/NNG+분야/NNG
업무	업무/NNG
등을	등/NNB+을/JKO
보조한다.	보조/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.438.3.3
내년 한 해 동안 월~금요일 하루 7시간씩 근무하고, 1인당 월 72만원의 활동비를 받는다.

내년	내년/NNG
한	한/MMN
해	해/NNB
동안	동안/NNG
월~금요일	월/NNG+~/SO+금요일/NNG
하루	하루/NNG
