# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.70
metadata : {}


# id : NWRW1800000052.70.1.1
“인공지능·로봇 개발법인 내년초 설립” 네이버, 구글·애플과 기술경쟁 선언

“인공지능·로봇	“/SS+인공/NNG+지능/NNG+·/SP+로봇/NNG
개발법인	개발/NNG+법인/NNG
내년초	내년/NNG+초/NNB
설립”	설립/NNG+”/SS
네이버,	네이버/NNP+,/SP
구글·애플과	구글/NNP+·/SP+애플/NNP+과/JKB
기술경쟁	기술/NNG+경쟁/NNG
선언	선언/NNG


# id : NWRW1800000052.70.2.1
네이버랩스 연구팀, 자회사 독립

네이버랩스	네이버랩스/NNP
연구팀,	연구/NNG+팀/NNG+,/SP
자회사	자회사/NNG
독립	독립/NNG


# id : NWRW1800000052.70.3.1
“생활환경지능 구현 중심기지로”

“생활환경지능	“/SS+생활/NNG+환경/NNG+지능/NNG
구현	구현/NNG
중심기지로”	중심/NNG+기지/NNG+로/JKB+”/SS


# id : NWRW1800000052.70.4.1
국내 최대 포털업체인 네이버가 인공지능(AI)과 자율주행 같은 미래 기술 개발을 가속화한다.

국내	국내/NNG
최대	최대/NNG
포털업체인	포털/NNG+업체/NNG+이/VCP+ㄴ/ETM
네이버가	네이버/NNP+가/JKS
인공지능(AI)과	인공/NNG+지능/NNG+(/SS+AI/SL+)/SS+과/JC
자율주행	자율/NNG+주행/NNG
같은	같/VA+은/ETM
미래	미래/NNG
기술	기술/NNG
개발을	개발/NNG+을/JKO
가속화한다.	가속/NNG+화/XSN+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.70.4.2
구글·애플 등과 기술 경쟁을 벌여나가겠다고 선언했다.

구글·애플	구글/NNP+·/SP+애플/NNP
등과	등/NNB+과/JKB
기술	기술/NNG
경쟁을	경쟁/NNG+을/JKO
벌여나가겠다고	벌이/VV+어/EC+나가/VX+겠/EP+다고/EC
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.70.5.1
네이버는 연구개발(R&D;) 조직(네이버랩스) 가운데 인공지능·자율주행·로보틱스(로봇공학) 같은 미래 기술 개발을 맡고 있는 팀을 자회사로 분리하기로 했다고 24일 밝혔다.

네이버는	네이버/NNP+는/JX
연구개발(R&D;)	연구/NNG+개발/NNG+(/SS+R/SL+&/SW+D/SL+;/SW+)/SS
조직(네이버랩스)	조직/NNG+(/SS+네이버랩스/NNP+)/SS
가운데	가운데/NNG
인공지능·자율주행·로보틱스(로봇공학)	인공/NNG+지능/NNG+·/SP+자율/NNG+주행/NNG+·/SP+로보틱스/NNG+(/SS+로봇/NNG+공학/NNG+)/SS
같은	같/VA+은/ETM
미래	미래/NNG
기술	기술/NNG
개발을	개발/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
팀을	팀/NNG+을/JKO
자회사로	자회사/NNG+로/JKB
분리하기로	분리/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
24일	24/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.70.5.2
미래 기술 개발 법인은 이사회 승인 절차를 거쳐 내년 초 설립되며, 송창현(49) 네이버 최고기술책임자(CTO)가 대표를 겸직할 예정이다.

미래	미래/NNG
기술	기술/NNG
개발	개발/NNG
법인은	법인/NNG+은/JX
이사회	이사회/NNG
승인	승인/NNG
절차를	절차/NNG+를/JKO
거쳐	거치/VV+어/EC
내년	내년/NNG
초	초/NNB
설립되며,	설립/NNG+되/XSV+며/EC+,/SP
송창현(49)	송창현/NNP+(/SS+49/SN+)/SS
네이버	네이버/NNP
최고기술책임자(CTO)가	최고/NNG+기술/NNG+책임자/NNG+(/SS+CTO/SL+)/SS+가/JKS
대표를	대표/NNG+를/JKO
겸직할	겸직/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.70.5.3
네이버는 “조직이 커지면서 의사 결정 절차가 복잡해진 네이버 내부에 둬서는 갈수록 치열해지는 미래 기술 개발 및 상용화 경쟁에서 앞서갈 수 없다는 판단에 따른 것”이라고 설명했다.

네이버는	네이버/NNP+는/JX
“조직이	“/SS+조직/NNG+이/JKS
커지면서	커지/VV+면서/EC
의사	의사/NNG
결정	결정/NNG
절차가	절차/NNG+가/JKS
복잡해진	복잡하/VA+아/EC+지/VX+ㄴ/ETM
네이버	네이버/NNP
내부에	내부/NNG+에/JKB
둬서는	두/VV+어서/EC+는/JX
갈수록	갈수록/MAG
치열해지는	치열/NNG+하/XSA+아/EC+지/VX+는/ETM
미래	미래/NNG
기술	기술/NNG
개발	개발/NNG
및	및/MAG
상용화	상용/NNG+화/XSN
경쟁에서	경쟁/NNG+에서/JKB
앞서갈	앞서가/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
판단에	판단/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.70.6.1
네이버는 이틀 일정으로 이날 서울 삼성동 코엑스에서 개막한 ‘2016 네이버 개발자 콘퍼런스’에서 내부적으로 ‘생활환경지능’이란 새로운 연구개발 목표를 정하고, 연구개발 추진 체계를 공격적으로 바꾸고 있다고 밝혔다.

네이버는	네이버/NNP+는/JX
이틀	이틀/NNG
일정으로	일정/NNG+으로/JKB
이날	이날/NNG
서울	서울/NNP
삼성동	삼성동/NNP
코엑스에서	코엑스/NNP+에서/JKB
개막한	개막/NNG+하/XSV+ㄴ/ETM
‘2016	‘/SS+2016/SN
네이버	네이버/NNP
개발자	개발자/NNG
콘퍼런스’에서	콘퍼런스/NNG+’/SS+에서/JKB
내부적으로	내부/NNG+적/XSN+으로/JKB
‘생활환경지능’이란	‘/SS+생활/NNG+환경/NNG+지능/NNG+’/SS+이/VCP+란/ETM
새로운	새롭/VA+ㄴ/ETM
연구개발	연구/NNG+개발/NNG
목표를	목표/NNG+를/JKO
정하고,	정하/VV+고/EC+,/SP
추진	추진/NNG
체계를	체계/NNG+를/JKO
공격적으로	공격/NNG+적/XSN+으로/JKB
바꾸고	바꾸/VV+고/EC
있다고	있/VX+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.70.6.2
네이버는 국내외 개발자들이 참여해 현장 경험과 아이디어를 공유할 수 있게 하자는 취지로 해마다 이 행사를 열고 있다.

네이버는	네이버/NNP+는/JX
국내외	국내외/NNG
개발자들이	개발자/NNG+들/XSN+이/JKS
참여해	참여/NNG+하/XSV+아/EC
현장	현장/NNG
경험과	경험/NNG+과/JC
아이디어를	아이디어/NNG+를/JKO
공유할	공유/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
하자는	하/VX+자는/ETM
취지로	취지/NNG+로/JKB
해마다	해마다/MAG
이	이/MMD
행사를	행사/NNG+를/JKO
열고	열/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.70.6.3
네이버는 “생활환경지능이란 자율주행차, 대화형 인공지능, 고급 통번역 등을 통해 인공지능 서비스를 일상생활 속으로 확산시키는 것”이라며 “독립하는 미래 기술 개발 법인이 생활환경지능 구현의 중심지 구실을 하게 된다”고 말했다.

네이버는	네이버/NNP+는/JX
“생활환경지능이란	“/SS+생활/NNG+환경/NNG+지능/NNG+이란/JX
자율주행차,	자율/NNG+주행차/NNG+,/SP
대화형	대화/NNG+형/XSN
인공지능,	인공/NNG+지능/NNG+,/SP
고급	고급/NNG
통번역	통번역/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
인공지능	인공/NNG+지능/NNG
서비스를	서비스/NNG+를/JKO
일상생활	일상생활/NNG
속으로	속/NNG+으로/JKB
확산시키는	확산/NNG+시키/XSV+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“독립하는	“/SS+독립/NNG+하/XSV+는/ETM
미래	미래/NNG
기술	기술/NNG
개발	개발/NNG
법인이	법인/NNG+이/JKS
생활환경지능	생활/NNG+환경/NNG+지능/NNG
구현의	구현/NNG+의/JKG
중심지	중심지/NNG
구실을	구실/NNG+을/JKO
하게	하/VV+게/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.70.7.1
네이버는 이날 생활환경지능 구현 목표에 따라 그동안 내부적으로 개발해온 대화형 인공지능 엔진 ‘아미카(AMICA)’와 통번역 앱 ‘파파고’를 공개했다.

네이버는	네이버/NNP+는/JX
이날	이날/NNG
생활환경지능	생활/NNG+환경/NNG+지능/NNG
구현	구현/NNG
목표에	목표/NNG+에/JKB
따라	따르/VV+아/EC
그동안	그동안/NNG
내부적으로	내부/NNG+적/XSN+으로/JKB
개발해온	개발/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
대화형	대화/NNG+형/XSN
인공지능	인공/NNG+지능/NNG
엔진	엔진/NNG
‘아미카(AMICA)’와	‘/SS+아미카/NNP+(/SS+AMICA/SL+)/SS+’/SS+와/JC
통번역	통번역/NNG
앱	앱/NNG
‘파파고’를	‘/SS+파파고/NNP+’/SS+를/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.70.7.2
아미카는 사람의 말을 알아듣고 자연스럽게 답까지 하는 인공지능 기술이다.

아미카는	아미카/NNP+는/JX
사람의	사람/NNG+의/JKG
말을	말/NNG+을/JKO
알아듣고	알아듣/VV+고/EC
자연스럽게	자연/NNG+스럽/XSA+게/EC
답까지	답/NNG+까지/JX
하는	하/VV+는/ETM
인공지능	인공/NNG+지능/NNG
기술이다.	기술/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.70.7.3
협력업체들이 이를 앱이나 스마트카 등에 얹으면 인공지능 서비스가 가능해진다.

협력업체들이	협력/NNG+업체/NNG+들/XSN+이/JKS
이를	이/NP+를/JKO
앱이나	앱/NNG+이나/JC
스마트카	스마트카/NNG
등에	등/NNB+에/JKB
얹으면	얹/VV+으면/EC
인공지능	인공/NNG+지능/NNG
서비스가	서비스/NNG+가/JKS
가능해진다.	가능/NNG+하/XSA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000052.70.7.4
송창현 최고기술책임자는 “삼성전자의 사물인터넷 칩셋인 ‘아틱’에 아미카가 탑재됐고, 유통·식음료 업체인 에스피시(SPC), 유명 배달 앱 ‘배달의 민족’, 인기 숙박 앱 ‘야놀자’ 등도 아미카 기반의 새 서비스를 개발하고 있다”며 “스타트업들의 활발한 참여를 유도하기 위해 ‘오픈 아미카 얼라이언스’도 발족했다”고 말했다.

송창현	송창현/NNP
최고기술책임자는	최고/NNG+기술/NNG+책임자/NNG+는/JX
“삼성전자의	“/SS+삼성전자/NNP+의/JKG
사물인터넷	사물/NNG+인터넷/NNG
칩셋인	칩셋/NNG+이/VCP+ㄴ/ETM
‘아틱’에	‘/SS+아틱/NNP+’/SS+에/JKB
아미카가	아미카/NNP+가/JKS
탑재됐고,	탑재/NNG+되/XSV+었/EP+고/EC+,/SP
유통·식음료	유통/NNG+·/SP+식음료/NNG
업체인	업체/NNG+이/VCP+ㄴ/ETM
에스피시(SPC),	에스피시/NNP+(/SS+SPC/SL+)/SS+,/SP
유명	유명/NNG
배달	배달/NNG
앱	앱/NNG
‘배달의	‘/SS+배달/NNG+의/JKG
민족’,	민족/NNG+’/SS+,/SP
인기	인기/NNG
숙박	숙박/NNG
‘야놀자’	‘/SS+야놀자/NNP+’/SS
등도	등/NNB+도/JX
아미카	아미카/NNP
기반의	기반/NNG+의/JKG
새	새/MMA
서비스를	서비스/NNG+를/JKO
개발하고	개발/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“스타트업들의	“/SS+스타트업/NNG+들/XSN+의/JKG
활발한	활발하/VA+ㄴ/ETM
참여를	참여/NNG+를/JKO
유도하기	유도/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
‘오픈	‘/SS+오픈/NNP
얼라이언스’도	얼라이언스/NNP+’/SS+도/JX
