# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.225
metadata : {}


# id : NWRW1800000044.225.1.1
“인권위원회, 이대로 가면 ICC서 등급 강등 가능성”

“인권위원회,	“/SS+인권/NNG+위원회/NNG+,/SP
이대로	이대로/MAG
가면	가/VV+면/EC
ICC서	ICC/SL+서/JKB
등급	등급/NNG
강등	강등/NNG
가능성”	가능/NNG+성/XSN+”/SS


# id : NWRW1800000044.225.2.1
[한겨레] 유남영 전 ICC 등급심사 위원

[한겨레]	[/SS+한겨레/NNP+]/SS
유남영	유남영/NNP
전	전/MMD
ICC	ICC/SL
등급심사	등급/NNG+심사/NNG
위원	위원/NNG


# id : NWRW1800000044.225.3.1
“법개정 권고 6년간 아무 노력 안해

“법개정	“/SS+법/NNG+개정/NNG
권고	권고/NNG
6년간	6/SN+년/NNB+간/XSN
아무	아무/MMD
노력	노력/NNG
안해	안/MAG+하/VV+아/EF


# id : NWRW1800000044.225.4.1
강등땐 유엔인권이사회 발언권 없어

강등땐	강등/NNG+때/NNG+ㄴ/JX
유엔인권이사회	유엔/NNP+인권/NNG+이사회/NNG
발언권	발언/NNG+권/XSN
없어	없/VA+어/EF


# id : NWRW1800000044.225.5.1
재심사 전 ‘권고 수용’ 정부 압박해야”

재심사	재/XPN+심사/NNG
전	전/NNG
‘권고	‘/SS+권고/NNG
수용’	수용/NNG+’/SS
정부	정부/NNG
압박해야”	압박/NNG+하/XSV+아야/EC+”/SS


# id : NWRW1800000044.225.6.1
등급 재심사를 앞둔 국가인권위원회가 국가인권기구 국제조정위원회(ICC·국제조정위)에 부실한 답변서를 제출해 논란(<한겨레> 7일치 10면)이 이는 가운데, 국제조정위 등급 심사위원으로 활동했던 유남영 변호사(사진)가 지금처럼 대응해서는 “등급 강등 가능성이 있다”는 전망을 내놨다.

등급	등급/NNG
재심사를	재/XPN+심사/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
국가인권위원회가	국가인권위원회/NNP+가/JKS
국가인권기구	국가/NNG+인권/NNG+기구/NNG
국제조정위원회(ICC·국제조정위)에	국제조정위원회/NNP+(/SS+ICC/SL+·/SP+국제조정위/NNP+)/SS+에/JKB
부실한	부실/NNG+하/XSA+ㄴ/ETM
답변서를	답변서/NNG+를/JKO
제출해	제출/NNG+하/XSV+아/EC
논란(<한겨레>	논란/NNG+(/SS+</SS+한겨레/NNP+>/SS
7일치	7/SN+일/NNB+치/NNB
10면)이	10/SN+면/NNG+)/SS+이/JKS
이는	일/VV+는/ETM
가운데,	가운데/NNG+,/SP
국제조정위	국제조정위/NNP
심사위원으로	심사/NNG+위원/NNG+으로/JKB
활동했던	활동/NNG+하/XSV+았/EP+던/ETM
유남영	유남영/NNP
변호사(사진)가	변호사/NNG+(/SS+사진/NNG+)/SS+가/JKS
지금처럼	지금/NNG+처럼/JKB
대응해서는	대응/NNG+하/XSV+아서/EC+는/JX
“등급	“/SS+등급/NNG
강등	강등/NNG
가능성이	가능/NNG+성/XSN+이/JKS
있다”는	있/VA+다/EF+”/SS+는/ETM
전망을	전망/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.225.7.1
유 변호사는 인권위 상임위원이던 2008년 2월부터 2010년 8월까지 120여 나라 국가인권기구에 등급을 부여하는 국제조정위 승인소위원회에 아시아 대표로 참여했다.

유	유/NNP
변호사는	변호사/NNG+는/JX
인권위	인권위/NNP
상임위원이던	상임/NNG+위원/NNG+이/VCP+던/ETM
2008년	2008/SN+년/NNB
2월부터	2/SN+월/NNB+부터/JX
2010년	2010/SN+년/NNB
8월까지	8/SN+월/NNB+까지/JX
120여	120/SN+여/XSN
나라	나라/NNG
국가인권기구에	국가/NNG+인권/NNG+기구/NNG+에/JKB
등급을	등급/NNG+을/JKO
부여하는	부여/NNG+하/XSV+는/ETM
국제조정위	국제조정위/NNP
승인소위원회에	승인/NNG+소/XPN+위원회/NNG+에/JKB
아시아	아시아/NNP
대표로	대표/NNG+로/JKB
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.225.7.2
승인소위는 각 대륙을 대표하는 나라의 인권위원 4명으로 구성된다.

승인소위는	승인/NNG+소위/NNG+는/JX
각	각/MMD
대륙을	대륙/NNG+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
나라의	나라/NNG+의/JKG
인권위원	인권위원/NNG
4명으로	4/SN+명/NNB+으로/JKB
구성된다.	구성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.225.7.3
당시 한국은 국제조정위 부의장국이기도 했다.

당시	당시/NNG
한국은	한국/NNP+은/JX
국제조정위	국제조정위/NNP
부의장국이기도	부의장국/NNG+이/VCP+기/ETN+도/JX
