# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.287
metadata : {}


# id : NWRW1800000056.287.1.1
“목표는 종합 4위” 하나된 투지, 평창을 뜨겁게

“목표는	“/SS+목표/NNG+는/JX
종합	종합/NNG
4위”	4/SN+위/NNB+”/SS
하나된	하나/NR+되/VV+ㄴ/ETM
투지,	투지/NNG+,/SP
평창을	평창/NNP+을/JKO
뜨겁게	뜨겁/VA+게/EC


# id : NWRW1800000056.287.2.1
2018 평창겨울올림픽 G-100 미디어데이

2018	2018/SN
평창겨울올림픽	평창/NNP+겨울/NNG+올림픽/NNG
G-100	G/SL+-/SO+100/SN
미디어데이	미디어데이/NNG


# id : NWRW1800000056.287.3.1
메달 기대주들 “최고의 결과 자신”

메달	메달/NNG
기대주들	기대주/NNG+들/XSN
“최고의	“/SS+최고/NNG+의/JKG
결과	결과/NNG
자신”	자신/NNG+”/SS


# id : NWRW1800000056.287.4.1
이상화 “4년 전 소치보다 부감 덜해”

이상화	이상화/NNP
“4년	“/SS+4/SN+년/NNB
전	전/NNG
소치보다	소치/NNP+보다/JKB
부감	부감/NNG
덜해”	덜/MAG+하/XSA+아/EF+”/SS


# id : NWRW1800000056.287.5.1
지구촌 최대 겨울축제인 2018 평창겨울올림픽 개막이 100일 앞으로 다가왔다.

지구촌	지구촌/NNG
최대	최대/NNG
겨울축제인	겨울/NNG+축제/NNG+이/VCP+ㄴ/ETM
2018	2018/SN
평창겨울올림픽	평창/NNP+겨울/NNG+올림픽/NNG
개막이	개막/NNG+이/JKS
100일	100/SN+일/NNB
앞으로	앞/NNG+으로/JKB
다가왔다.	다가오/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.287.6.1
대한민국 국가대표 선수들은 31일 서울 태릉선수촌에서 열린 평창겨울올림픽 G-100 미디어데이 행사에 참석해 국내에서 처음 열리는 겨울올림픽에서 선전을 다짐했다.

대한민국	대한민국/NNP
국가대표	국가/NNG+대표/NNG
선수들은	선수/NNG+들/XSN+은/JX
31일	31/SN+일/NNB
서울	서울/NNP
태릉선수촌에서	태릉선수촌/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
평창겨울올림픽	평창/NNP+겨울/NNG+올림픽/NNG
G-100	G/SL+-/SO+100/SN
미디어데이	미디어데이/NNG
행사에	행사/NNG+에/JKB
참석해	참석/NNG+하/XSV+아/EC
국내에서	국내/NNG+에서/JKB
처음	처음/NNG
열리는	열리/VV+는/ETM
겨울올림픽에서	겨울/NNG+올림픽/NNG+에서/JKB
선전을	선전/NNG+을/JKO
다짐했다.	다짐/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.287.6.2
이날 미디어데이 행사에는 이기흥 대한체육회 회장을 비롯해 최민정·서이라(쇼트트랙), 이승훈·이상화·김보름(스피드스케이팅), 이상호(스노보드), 최재우·서정화(이상 프리스타일스키 모굴) 등 메달 기대주들이 참석했다.

이날	이날/NNG
미디어데이	미디어데이/NNG
행사에는	행사/NNG+에/JKB+는/JX
이기흥	이기흥/NNP
대한체육회	대한체육회/NNP
회장을	회장/NNG+을/JKO
비롯해	비롯하/VV+아/EC
최민정·서이라(쇼트트랙),	최민정/NNP+·/SP+서이라/NNP+(/SS+쇼트트랙/NNG+)/SS+,/SP
이승훈·이상화·김보름(스피드스케이팅),	이승훈/NNP+·/SP+이상화/NNP+·/SP+김보름/NNP+(/SS+스피드/NNG+스케이팅/NNG+)/SS+,/SP
이상호(스노보드),	이상호/NNP+(/SS+스노보드/NNG+)/SS+,/SP
최재우·서정화(이상	최재우/NNP+·/SP+서정화/NNP+(/SS+이상/NNG
프리스타일스키	프리스타일/NNG+스키/NNG
모굴)	모굴/NNG+)/SS
등	등/NNB
메달	메달/NNG
기대주들이	기대주/NNG+들/XSN+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.287.6.3
또 미국 입양아로 지난해 한국 국적을 회복한 박윤정과 귀화선수 임진경 등 아이스하키 선수들과 김동현·성은령 등 루지 선수들도 나서 남다른 각오를 밝혔다.

또	또/MAG
미국	미국/NNP
입양아로	입양아/NNG+로/JKB
지난해	지난해/NNG
한국	한국/NNP
국적을	국적/NNG+을/JKO
회복한	회복/NNG+하/XSV+ㄴ/ETM
박윤정과	박윤정/NNP+과/JC
귀화선수	귀화/NNG+선수/NNG
임진경	임진경/NNP
등	등/NNB
아이스하키	아이스하키/NNG
선수들과	선수/NNG+들/XSN+과/JKB
김동현·성은령	김동현/NNP+·/SP+성은령/NNP
루지	루지/NNG
선수들도	선수/NNG+들/XSN+도/JX
나서	나서/VV+어/EC
남다른	남다르/VA+ㄴ/ETM
각오를	각오/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.287.6.4
이기흥 회장은 이 자리에서 “남은 기간 선수들이 최상의 조건에서 훈련할 수 있도록 최선을 다하겠다”며 “북한은 참가하더라도 많은 선수가 오는 게 아니어서, 이제 우리 국민이 중심이 돼 대회 열기를 살려야 한다”고 당부했다.

이기흥	이기흥/NNP
회장은	회장/NNG+은/JX
이	이/MMD
자리에서	자리/NNG+에서/JKB
“남은	“/SS+남/VV+은/ETM
기간	기간/NNG
선수들이	선수/NNG+들/XSN+이/JKS
최상의	최상/NNG+의/JKG
조건에서	조건/NNG+에서/JKB
훈련할	훈련/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
최선을	최선/NNG+을/JKO
다하겠다”며	다/MAG+하/XSV+겠/EP+다/EF+”/SS+며/EC
“북한은	“/SS+북한/NNP+은/JX
참가하더라도	참가/NNG+하/XSV+더라도/EC
많은	많/VA+은/ETM
선수가	선수/NNG+가/JKS
오는	오/VV+는/ETM
게	거/NNB+이/JKC
아니어서,	아니/VCN+어서/EC+,/SP
이제	이제/MAG
우리	우리/NP
국민이	국민/NNG+이/JKS
중심이	중심/NNG+이/JKC
돼	되/VV+어/EC
대회	대회/NNG
열기를	열기/NNG+를/JKO
살려야	살리/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.287.7.1
이상화는 “4년 전 소치 올림픽보다 부담은 덜하다”며 “올림픽 전까지 많은 경기를 치르며 점차 기록을 줄여나가겠다”고 말했다.

이상화는	이상화/NNP+는/JX
“4년	“/SS+4/SN+년/NNB
전	전/NNG
소치	소치/NNP
올림픽보다	올림픽/NNG+보다/JKB
부담은	부담/NNG+은/JX
덜하다”며	덜/MAG+하/XSA+다/EF+”/SS+며/EC
“올림픽	“/SS+올림픽/NNG
전까지	전/NNG+까지/JX
많은	많/VA+은/ETM
경기를	경기/NNG+를/JKO
치르며	치르/VV+며/EC
점차	점차/MAG
기록을	기록/NNG+을/JKO
줄여나가겠다”고	줄이/VV+어/EC+나가/VX+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.287.7.2
이승훈과 김보름은 평창올림픽에서 첫선을 보이는 매스스타트 초대 챔피언에 욕심을 냈다.

이승훈과	이승훈/NNP+과/JC
김보름은	김보름/NNP+은/JX
평창올림픽에서	평창/NNP+올림픽/NNG+에서/JKB
첫선을	첫선/NNG+을/JKO
보이는	보이/VV+는/ETM
매스스타트	매스/NNG+스타트/NNG
