# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.15
metadata : {}


# id : NWRW1800000036.15.1.1
“하이닉스 반도체산업 불안정성 SK가 보완”

“하이닉스	“/SS+하이닉스/NNP
반도체산업	반도체/NNG+산업/NNG
불안정성	불/XPN+안정/NNG+성/XSN
SK가	SK/SL+가/JKS
보완”	보완/NNG+”/SS


# id : NWRW1800000036.15.2.1
[한겨레] 권오철 사장 밝혀…“중·후반 시장여건 개선 기대”

[한겨레]	[/SS+한겨레/NNP+]/SS
권오철	권오철/NNP
사장	사장/NNG
밝혀…“중·후반	밝히/VV+어/EC+…/SE+“/SS+중·후반/NNG
시장여건	시장/NNG+여건/NNG
개선	개선/NNG
기대”	기대/NNG+”/SS


# id : NWRW1800000036.15.3.1
사명 ‘SK하이닉스’로 바꾸고 올 4조원대 설비투자

사명	사명/NNG
‘SK하이닉스’로	‘/SS+SK하이닉스/NNP+’/SS+로/JKB
바꾸고	바꾸/VV+고/EC
올	올/NNG
4조원대	4/SN+조/NR+원/NNB+대/XSN
설비투자	설비/NNG+투자/NNG


# id : NWRW1800000036.15.4.1
권오철 하이닉스반도체 대표이사 사장 양옆으로 박상훈 제조 총괄부사장과 김준호 코퍼레이트센터 총괄부사장이 앉았다.

권오철	권오철/NNP
하이닉스반도체	하이닉스반도체/NNP
대표이사	대표/NNG+이사/NNG
사장	사장/NNG
양옆으로	양옆/NNG+으로/JKB
박상훈	박상훈/NNP
제조	제조/NNG
총괄부사장과	총괄/NNG+부사장/NNG+과/JKB
김준호	김준호/NNP
코퍼레이트센터	코퍼레이트/NNG+센터/NNG
총괄부사장이	총괄/NNG+부사장/NNG+이/JKS
앉았다.	앉/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.15.4.2
13일 오전 서울 삼성동 그랜드인터컨티넨탈 호텔에서 열린 하이닉스 기자간담회 광경은 하이닉스의 현재와 미래를 보여줬다.

13일	13/SN+일/NNB
오전	오전/NNG
서울	서울/NNP
삼성동	삼성동/NNP
그랜드인터컨티넨탈	그랜드인터컨티넨탈/NNP
호텔에서	호텔/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
하이닉스	하이닉스/NNP
기자간담회	기자/NNG+간담회/NNG
광경은	광경/NNG+은/JX
하이닉스의	하이닉스/NNP+의/JKG
현재와	현재/NNG+와/JC
미래를	미래/NNG+를/JKO
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.15.5.1
김준호·박상훈 부사장은 모두 하이닉스를 인수한 에스케이(SK)그룹에서 건너왔다.

김준호·박상훈	김준호/NNP+·/SP+박상훈/NNP
부사장은	부사장/NNG+은/JX
모두	모두/MAG
하이닉스를	하이닉스/NNP+를/JKO
인수한	인수/NNG+하/XSV+ㄴ/ETM
에스케이(SK)그룹에서	에스케이/NNP+(/SS+SK/SL+)/SS+그룹/NNG+에서/JKB
건너왔다.	건너오/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.15.5.2
권 사장 왼쪽에 앉은 김준호 부사장은 검사 출신으로 에스케이그룹 윤리경영실장을 거쳐 에스케이텔레콤 코퍼레이트센터장(사장)을 지냈다.

권	권/NNP
사장	사장/NNG
왼쪽에	왼쪽/NNG+에/JKB
앉은	앉/VV+은/ETM
김준호	김준호/NNP
부사장은	부사장/NNG+은/JX
검사	검사/NNG
출신으로	출신/NNG+으로/JKB
에스케이그룹	에스케이그룹/NNP
윤리경영실장을	윤리/NNG+경영실장/NNG+을/JKO
거쳐	거치/VV+어/EC
에스케이텔레콤	에스케이텔레콤/NNP
코퍼레이트센터장(사장)을	코퍼레이트/NNG+센터장/NNG+(/SS+사장/NNG+)/SS+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.15.5.3
그는 하이닉스 인수 과정에서 정밀 실사를 주도했다.

그는	그/NP+는/JX
하이닉스	하이닉스/NNP
인수	인수/NNG
과정에서	과정/NNG+에서/JKB
정밀	정밀/NNG
실사를	실사/NNG+를/JKO
주도했다.	주도/NNG+하/XSV+았/EP+다/EF+./SF


