# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.366
metadata : {}


# id : NWRW1800000029.366.1.1
‘MB-손학규’ 회담 시점 기싸움… 민주, 외통-국방위원 초청 거부

‘MB-손학규’	‘/SS+MB/SL+-/SO+손학규/NNP+’/SS
회담	회담/NNG
시점	시점/NNG
기싸움…	기/NNG+싸움/NNG+…/SE
민주,	민주/NNP+,/SP
외통-국방위원	외통/NNG+-/SO+국방/NNG+위원/NNG
초청	초청/NNG
거부	거부/NNG


# id : NWRW1800000029.366.2.1
靑 “결과 많게 29일에”… 민주 “효과 크게 22일에”

靑	靑/SH
“결과	“/SS+결과/NNG
많게	많/VA+게/EC
29일에”…	29/SN+일/NNB+에/JKB+”/SS+…/SE
민주	민주/NNP
“효과	“/SS+효과/NNG
크게	크/VA+게/EC
22일에”	22/SN+일/NNB+에/JKB+”/SS


# id : NWRW1800000029.366.3.1
청와대와 민주당이 이명박 대통령과 손학규 대표 간 청와대 회담 시점을 두고 기싸움을 벌이고 있다.

청와대와	청와대/NNP+와/JC
민주당이	민주당/NNP+이/JKS
이명박	이명박/NNP
대통령과	대통령/NNG+과/JC
손학규	손학규/NNP
대표	대표/NNG
간	간/NNB
청와대	청와대/NNP
회담	회담/NNG
시점을	시점/NNG+을/JKO
두고	두/VV+고/EC
기싸움을	기/NNG+싸움/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.366.4.1
김효재 대통령정무수석비서관은 19일 민주당 김동철 대표비서실장에게 전화를 걸어 29일 회담을 제안했다.

김효재	김효재/NNP
대통령정무수석비서관은	대통령/NNG+정무/NNG+수석/NNG+비서관/NNG+은/JX
19일	19/SN+일/NNB
민주당	민주당/NNP
김동철	김동철/NNP
대표비서실장에게	대표/NNG+비서실장/NNG+에게/JKB
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
29일	29/SN+일/NNB
회담을	회담/NNG+을/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.366.4.2
민주당의 요구처럼 ‘이번 주 안으로’ 만나기는 어렵다는 게 청와대 생각이다.

민주당의	민주당/NNP+의/JKG
요구처럼	요구/NNG+처럼/JKB
‘이번	‘/SS+이번/NNG
주	주/NNG
안으로’	안/NNG+으로/JKB+’/SS
만나기는	만나/VV+기/ETN+는/JX
어렵다는	어렵/VA+다는/ETM
게	거/NNB+이/JKS
청와대	청와대/NNP
생각이다.	생각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.366.4.3
민생과 관련된 ‘손에 잡히는 결과물’을 도출하려면 정교한 사전협의가 필요하다는 이유에서다.

민생과	민생/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
‘손에	‘/SS+손/NNG+에/JKB
잡히는	잡히/VV+는/ETM
결과물’을	결과물/NNG+’/SS+을/JKO
도출하려면	도출/NNG+하/XSV+려면/EC
정교한	정교하/VA+ㄴ/ETM
사전협의가	사전/NNG+협의/NNG+가/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
이유에서다.	이유/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000029.366.5.1
그러나 민주당은 이날 저녁 최고위원회의를 연 뒤 회동 시점을 앞당길 것을 청와대에 다시 제안했다.

그러나	그러나/MAJ
민주당은	민주당/NNP+은/JX
이날	이날/NNG
저녁	저녁/NNG
최고위원회의를	최고/NNG+위원/NNG+회의/NNG+를/JKO
연	열/VV+ㄴ/ETM
뒤	뒤/NNG
회동	회동/NNG
시점을	시점/NNG+을/JKO
앞당길	앞당기/VV+ㄹ/ETM
것을	것/NNB+을/JKO
청와대에	청와대/NNP+에/JKB
다시	다시/MAG
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.366.5.2
민주당 핵심 관계자는 “민생회담 제의는 6월 국회에서 민생법안의 처리를 논의하자는 뜻이었다”며 “6월 국회 종료 하루 전인 29일에 만난다면 두 지도자의 합의사항을 6월 국회 때 반영하는 게 불가능하다”며 조기 회동의 필요성을 강조했다.

민주당	민주당/NNP
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
“민생회담	“/SS+민생/NNG+회담/NNG
제의는	제의/NNG+는/JX
6월	6/SN+월/NNB
국회에서	국회/NNG+에서/JKB
민생법안의	민생/NNG+법안/NNG+의/JKG
처리를	처리/NNG+를/JKO
논의하자는	논의/NNG+하/XSV+자는/ETM
뜻이었다”며	뜻/NNG+이/VCP+었/EP+다/EF+”/SS+며/EC
“6월	“/SS+6/SN+월/NNB
국회	국회/NNG
종료	종료/NNG
하루	하루/NNG
전인	전/NNG+이/VCP+ㄴ/ETM
29일에	29/SN+일/NNB+에/JKB
만난다면	만나/VV+ㄴ다면/EC
두	두/MMN
지도자의	지도자/NNG+의/JKG
합의사항을	합의/NNG+사항/NNG+을/JKO
때	때/NNG
반영하는	반영/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
불가능하다”며	불/XPN+가능/NNG+하/XSA+다/EF+”/SS+며/EC
조기	조기/NNG
회동의	회동/NNG+의/JKG
필요성을	필요/NNG+성/XSN+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.366.6.1
청와대는 즉각 개최 날짜를 내놓지는 않았다.

청와대는	청와대/NNP+는/JX
즉각	즉각/MAG
개최	개최/NNG
날짜를	날짜/NNG+를/JKO
