# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.325
metadata : {}


# id : NWRW1800000038.325.1.1
[기자수첩] 20만원 어때?

[기자수첩]	[/SS+기자/NNG+수첩/NNG+]/SS
20만원	20/SN+만/NR+원/NNB
어때?	어떻/VA+어/EF+?/SF


# id : NWRW1800000038.325.1.2
여기 올리지! 복지委의 3~5세 양육수당 '즉흥 심의'

여기	여기/NP
올리지!	올리/VV+지/EF+!/SF
복지委의	복지/NNG+委/SH+의/JKG
3~5세	3/SN+~/SO+5/SN+세/NNB
양육수당	양육/NNG+수당/NNG
'즉흥	'/SS+즉흥/NNG
심의'	심의/NNG+'/SS


# id : NWRW1800000038.325.2.1
지난 11월 19일 국회 보건복지위 소회의실.

지난	지나/VV+ㄴ/ETM
11월	11/SN+월/NNB
19일	19/SN+일/NNB
국회	국회/NNG
보건복지위	보건/NNG+복지위/NNG
소회의실.	소/XPN+회의실/NNG+./SF


# id : NWRW1800000038.325.2.2
복지위 예산심사소위가 새해 복지 예산을 최종 심사하는 자리였다.

복지위	복지위/NNG
예산심사소위가	예산/NNG+심사/NNG+소위/NNG+가/JKS
새해	새해/NNG
복지	복지/NNG
예산을	예산/NNG+을/JKO
최종	최종/NNG
심사하는	심사/NNG+하/XSV+는/ETM
자리였다.	자리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.325.3.1
의원들은 0~5세 모두에 보육료를 지급하고 양육수당 10만~20만원을 차등 지급하기로 이미 결정해놓은 상태였다.

의원들은	의원/NNG+들/XSN+은/JX
0~5세	0/SN+~/SO+5/SN+세/NNB
모두에	모두/NNG+에/JKB
보육료를	보육료/NNG+를/JKO
지급하고	지급/NNG+하/XSV+고/EC
양육수당	양육/NNG+수당/NNG
10만~20만원을	10/SN+만/NR+~/SO+20/SN+만/NR+원/NNB+을/JKO
차등	차등/NNG
지급하기로	지급/NNG+하/XSV+기/ETN+로/JKB
이미	이미/MAG
결정해놓은	결정/NNG+하/XSV+아/EC+놓/VX+은/ETM
상태였다.	상태/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.325.3.2
원래 복지부 안(案)은 소득 하위 70%까지만 보육료와 양육수당을 지급하는 것이었다.

원래	원래/MAG
복지부	복지부/NNG
안(案)은	안/NNG+(/SS+案/SH+)/SS+은/JX
소득	소득/NNG
하위	하위/NNG
70%까지만	70/SN+%/SW+까지/JX+만/JX
보육료와	보육료/NNG+와/JC
양육수당을	양육/NNG+수당/NNG+을/JKO
지급하는	지급/NNG+하/XSV+는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.325.4.1
막판에 민주당 이언주 의원은 "이번에 양육수당을 (일률적으로) 20만원으로 하면 어떠냐. 그러면 총액이 얼마 늘어나느냐"고 물었다.

막판에	막판/NNG+에/JKB
민주당	민주당/NNP
이언주	이언주/NNP
의원은	의원/NNG+은/JX
"이번에	"/SS+이번/NNG+에/JKB
양육수당을	양육/NNG+수당/NNG+을/JKO
(일률적으로)	(/SS+일률/NNG+적/XSN+으로/JKB+)/SS
20만원으로	20/SN+만/NR+원/NNB+으로/JKB
하면	하/VV+면/EC
어떠냐.	어떻/VA+냐/EF+./SF
그러면	그러면/MAJ
총액이	총액/NNG+이/JKS
얼마	얼마/NNG
늘어나느냐"고	늘어나/VV+느냐/EF+"/SS+고/JKQ
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.325.4.2
그러자 민주당 이학영 의원이 "액수가 너무 적어"라고 했고, 새누리당 김정록 의원은 "어떻게 보면 여기(양육수당)를 올려줘야 돼"라고 맞장구쳤다.

그러자	그러/VV+자/EC
민주당	민주당/NNP
이학영	이학영/NNP
의원이	의원/NNG+이/JKS
"액수가	"/SS+액수/NNG+가/JKS
너무	너무/MAG
적어"라고	적/VA+어/EF+"/SS+라고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
새누리당	새누리당/NNP
김정록	김정록/NNP
의원은	의원/NNG+은/JX
"어떻게	"/SS+어떻/VA+게/EC
보면	보/VV+면/EC
여기(양육수당)를	여기/NP+(/SS+양육/NNG+수당/NNG+)/SS+를/JKO
