# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.2
metadata : {}


# id : NWRW1800000026.2.1.1
[조선데스크]'이병철 DNA' 100년

[조선데스크]'이병철	[/SS+조선/NNP+데스크/NNG+]/SS+'/SS+이병철/NNP
DNA'	DNA/SL+'/SS
100년	100/SN+년/NNB


# id : NWRW1800000026.2.2.1
연말 연초가 되면 경남 의령군 정곡면 중교리에 있는 고(故) 호암(湖巖) 이병철 삼성 창업주의 생가는 하루 평균 1000여 명의 인파가 몰리는 명소가 된다.

연말	연말/NNG
연초가	연초/NNG+가/JKC
되면	되/VV+면/EC
경남	경남/NNP
의령군	의령군/NNP
정곡면	정곡면/NNP
중교리에	중교리/NNP+에/JKB
있는	있/VA+는/ETM
고(故)	고/MMA+(/SS+故/SH+)/SS
호암(湖巖)	호암/NNP+(/SS+湖巖/SH+)/SS
이병철	이병철/NNP
삼성	삼성/NNP
창업주의	창업주/NNG+의/JKG
생가는	생가/NNG+는/JX
하루	하루/NNG
평균	평균/NNG
1000여	1000/SN+여/XSN
명의	명/NNB+의/JKG
인파가	인파/NNG+가/JKS
몰리는	몰리/VV+는/ETM
명소가	명소/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.2.2.2
2007년 11월 호암 타계 20주기에 맞춰 일반인들에게 생가를 개방한 후, '큰돈을 벌거나 성공하게 해달라'는 소원을 품고 오는 이들이 대부분이다.

2007년	2007/SN+년/NNB
11월	11/SN+월/NNB
호암	호암/NNP
타계	타계/NNG
20주기에	20/SN+주기/NNB+에/JKB
맞춰	맞추/VV+어/EC
일반인들에게	일반인/NNG+들/XSN+에게/JKB
생가를	생가/NNG+를/JKO
개방한	개방/NNG+하/XSV+ㄴ/ETM
후,	후/NNG+,/SP
'큰돈을	'/SS+큰돈/NNG+을/JKO
벌거나	벌/VV+거나/EC
성공하게	성공/NNG+하/XSV+게/EC
해달라'는	하/VX+아/EC+달/VX+라/EF+'/SS+는/ETM
소원을	소원/NNG+을/JKO
품고	품/VV+고/EC
오는	오/VV+는/ETM
이들이	이/NNB+들/XSN+이/JKS
대부분이다.	대/XPN+부분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.2.2.3
작년 말까지 생가를 다녀간 방문객만 16만명이 넘는다.

작년	작년/NNG
말까지	말/NNB+까지/JX
생가를	생가/NNG+를/JKO
다녀간	다녀가/VV+ㄴ/ETM
방문객만	방문객/NNG+만/JX
16만명이	16/SN+만/NR+명/NNB+이/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000026.2.3.1
많은 사람들은 2010년이 '한일(韓日)합방에 의한 망국(亡國) 100년'이란 정치적 의미에 주목한다.

많은	많/VA+은/ETM
사람들은	사람/NNG+들/XSN+은/JX
2010년이	2010/SN+년/NNB+이/JKS
'한일(韓日)합방에	'/SS+한일/NNP+(/SS+韓日/SH+)/SS+합방/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
망국(亡國)	망국/NNG+(/SS+亡國/SH+)/SS
100년'이란	100/SN+년/NNB+'/SS+이/VCP+란/ETM
정치적	정치/NNG+적/XSN
의미에	의미/NNG+에/JKB
주목한다.	주목/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.2.3.2
망국 후 100년 동안 나라를 되찾고 선진국 문턱에까지 이른 아픔과 극복의 역사를 토대로 이제 새로운 100년을 만들어 나가자는 각오를 다진다.

망국	망국/NNG
후	후/NNG
100년	100/SN+년/NNB
동안	동안/NNG
나라를	나라/NNG+를/JKO
되찾고	되찾/VV+고/EC
선진국	선진국/NNG
문턱에까지	문턱/NNG+에/JKB+까지/JX
이른	이르/VV+ㄴ/ETM
아픔과	아픔/NNG+과/JC
극복의	극복/NNG+의/JKG
역사를	역사/NNG+를/JKO
토대로	토대/NNG+로/JKB
이제	이제/MAG
새로운	새롭/VA+ㄴ/ETM
100년을	100/SN+년/NNB+을/JKO
만들어	만들/VV+어/EC
나가자는	나가/VX+자는/ETM
각오를	각오/NNG+를/JKO
다진다.	다지/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.2.3.3
하지만 지난 100년을 가능하게 했던 중요한 일이 또 하나 있다.

하지만	하지만/MAJ
지난	지나/VV+ㄴ/ETM
100년을	100/SN+년/NNB+을/JKO
가능하게	가능/NNG+하/XSA+게/EC
했던	하/VX+았/EP+던/ETM
중요한	중요/NNG+하/XSA+ㄴ/ETM
일이	일/NNG+이/JKS
또	또/MAG
하나	하나/NR
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.2.3.4
호암 이병철이 다음달로 태어난 지 100년이 된다는 사실이다.

호암	호암/NNP
이병철이	이병철/NNP+이/JKS
다음달로	다음/NNG+달/NNG+로/JKB
태어난	태어나/VV+ㄴ/ETM
지	지/NNB
100년이	100/SN+년/NNB+이/JKC
된다는	되/VV+ㄴ다는/ETM
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.2.4.1
대한민국 현대사와 운명을 같이한 그는 1938년, 단돈 3만원으로 대구 서문시장 근처에서 '삼성상회'를 세우면서 본격적으로 기업인의 길에 들어섰다.

대한민국	대한민국/NNP
현대사와	현대사/NNG+와/JKB
운명을	운명/NNG+을/JKO
같이한	같이/MAG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
1938년,	1938/SN+년/NNB+,/SP
단돈	단돈/NNG
3만원으로	3/SN+만/NR+원/NNB+으로/JKB
대구	대구/NNP
서문시장	서문시장/NNP
근처에서	근처/NNG+에서/JKB
'삼성상회'를	'/SS+삼성상회/NNP+'/SS+를/JKO
세우면서	세우/VV+면서/EC
본격적으로	본격/NNG+적/XSN+으로/JKB
기업인의	기업인/NNG+의/JKG
길에	길/NNG+에/JKB
들어섰다.	들어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.2.4.2
그의 '대한민국 제1호' 기록은 여럿이다.

그의	그/NP+의/JKG
'대한민국	'/SS+대한민국/NNP
제1호'	제/XPN+1/SN+호/NNB+'/SS
기록은	기록/NNG+은/JX
여럿이다.	여럿/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.2.5.1
공채 방식 사원 최초 모집, 가장 먼저 비서실 설치, 민간 차관 1호 기업 출범, 종합상사 최초 설립, 최초이자 최대 규모의 기업 연수원 운영….

공채	공채/NNG
방식	방식/NNG
사원	사원/NNG
최초	최초/NNG
모집,	모집/NNG+,/SP
가장	가장/MAG
먼저	먼저/MAG
비서실	비서실/NNG
