# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.26
metadata : {}


# id : NWRW1800000032.26.1.1
프라임저축 뱅크런 1100억 넘어 /금융위원장 “유동성 충분 지원”

프라임저축	프라임저축/NNP
뱅크런	뱅크/NNG+런/NNG
1100억	1100/SN+억/NR
넘어	넘/VV+어/EC
/금융위원장	//SP+금융/NNG+위원장/NNG
“유동성	“/SS+유동/NNG+성/XSN
충분	충분/XR
지원”	지원/NNG+”/SS


# id : NWRW1800000032.26.2.1
금융위원장 “유동성 충분 지원”

금융위원장	금융/NNG+위원장/NNG
“유동성	“/SS+유동/NNG+성/XSN
충분	충분/XR
지원”	지원/NNG+”/SS


# id : NWRW1800000032.26.3.1
프라임저축은행에 대한 검찰 수사로 시작된 ‘뱅크런’(대량 예금인출)이 사흘 만에 1100억원을 넘어섰다.

프라임저축은행에	프라임저축은행/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
검찰	검찰/NNG
수사로	수사/NNG+로/JKB
시작된	시작/NNG+되/XSV+ㄴ/ETM
‘뱅크런’(대량	‘/SS+뱅크/NNG+런/NNG+’/SS+(/SS+대량/NNG
예금인출)이	예금/NNG+인출/NNG+)/SS+이/JKS
사흘	사흘/NNG
만에	만/NNB+에/JKB
1100억원을	1100/SN+억/NR+원/NNB+을/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.26.3.2
금융당국과 저축은행 쪽은 예금 인출 규모가 날마다 줄어들고 있어 주말을 넘기면서 뱅크런이 잦아들 것으로 기대하고 있다.

금융당국과	금융/NNG+당국/NNG+과/JC
저축은행	저축/NNG+은행/NNG
쪽은	쪽/NNB+은/JX
예금	예금/NNG
인출	인출/NNG
규모가	규모/NNG+가/JKS
날마다	날/NNG+마다/JX
줄어들고	줄어들/VV+고/EC
있어	있/VX+어/EC
주말을	주말/NNG+을/JKO
넘기면서	넘기/VV+면서/EC
뱅크런이	뱅크/NNG+런/NNG+이/JKS
잦아들	잦아들/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.26.4.1
프라임저축은행은 10일 “오후 5시 영업 마감 결과 서울 5개 점포와 인터넷뱅킹을 통해 빠져나간 예금이 290억원”이라고 밝혔다.

프라임저축은행은	프라임저축은행/NNP+은/JX
10일	10/SN+일/NNB
“오후	“/SS+오후/NNG
5시	5/SN+시/NNB
영업	영업/NNG
마감	마감/NNG
결과	결과/NNG
서울	서울/NNP
5개	5/SN+개/NNB
점포와	점포/NNG+와/JC
인터넷뱅킹을	인터넷/NNG+뱅킹/NNG+을/JKO
통해	통하/VV+아/EC
빠져나간	빠져나가/VV+ㄴ/ETM
예금이	예금/NNG+이/JKS
290억원”이라고	290/SN+억/NR+원/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.26.4.2
프라임은 뱅크런 첫날 480억원, 둘쨋날 380억원의 예금이 인출됐다.

프라임은	프라임/NNP+은/JX
뱅크런	뱅크/NNG+런/NNG
첫날	첫날/NNG
480억원,	480/SN+억/NR+원/NNB+,/SP
둘쨋날	둘쨋/NR+날/NNG
380억원의	380/SN+억/NR+원/NNB+의/JKG
예금이	예금/NNG+이/JKS
인출됐다.	인출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.26.4.3
하지만 여태껏 인출된 액수만 1150억원으로 총수신의 8~9%에 이르는 등 적지 않은 타격이 있었다.

하지만	하지만/MAJ
여태껏	여태껏/MAG
인출된	인출/NNG+되/XSV+ㄴ/ETM
액수만	액수/NNG+만/JX
1150억원으로	1150/SN+억/NR+원/NNB+으로/JKB
총수신의	총수신/NNG+의/JKG
8~9%에	8/SN+~/SO+9/SN+%/SW+에/JKB
이르는	이르/VV+는/ETM
등	등/NNB
적지	적/VA+지/EC
않은	않/VX+은/ETM
타격이	타격/NNG+이/JKS
있었다.	있/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.26.5.1
대기 번호표로 창구 인출을 할 수 있는 고객 수는 물리적으로 점포당 하루 200~250명으로 한정돼 있다.

대기	대기/NNG
번호표로	번호표/NNG+로/JKB
창구	창구/NNG
인출을	인출/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VV+는/ETM
고객	고객/NNG
수는	수/NNG+는/JX
물리적으로	물리/NNG+적/XSN+으로/JKB
점포당	점포/NNG+당/XSN
하루	하루/NNG
200~250명으로	200/SN+~/SO+250/SN+명/NNB+으로/JKB
한정돼	한정/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.26.5.2
이에 따라 온라인거래 접속자가 폭주한 탓에 인터넷뱅킹은 이틀째 마비 양상을 보였다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
온라인거래	온라인/NNG+거래/NNG
접속자가	접속자/NNG+가/JKS
폭주한	폭주/NNG+하/XSV+ㄴ/ETM
탓에	탓/NNG+에/JKB
인터넷뱅킹은	인터넷/NNG+뱅킹/NNG+은/JX
이틀째	이틀/NNG+째/XSN
마비	마비/NNG
양상을	양상/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.26.6.1
프라임 쪽은 “번호표 순서대로 고객들이 오고 있어서 영업 점포는 첫날이나 둘쨋날보다 덜 붐빈 편”이라며 “주말을 고비로 대기표를 받아간 고객들의 불안이 진정되면서 인출 의사를 바꾸기를 기대한다”고 말했다.

프라임	프라임/NNP
쪽은	쪽/NNB+은/JX
“번호표	“/SS+번호표/NNG
순서대로	순서/NNG+대로/JX
고객들이	고객/NNG+들/XSN+이/JKS
오고	오/VV+고/EC
있어서	있/VX+어서/EC
영업	영업/NNG
점포는	점포/NNG+는/JX
첫날이나	첫날/NNG+이나/JC
둘쨋날보다	둘쨋/NR+날/NNG+보다/JKB
덜	덜/MAG
붐빈	붐비/VV+ㄴ/ETM
편”이라며	편/NNB+”/SS+이/VCP+라며/EC
“주말을	“/SS+주말/NNG+을/JKO
고비로	고비/NNG+로/JKB
대기표를	대기표/NNG+를/JKO
받아간	받/VV+아/EC+가/VX+ㄴ/ETM
고객들의	고객/NNG+들/XSN+의/JKG
불안이	불안/NNG+이/JKS
진정되면서	진정/NNG+되/XSV+면서/EC
인출	인출/NNG
의사를	의사/NNG+를/JKO
바꾸기를	바꾸/VV+기/ETN+를/JKO
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.26.6.2
저축은행중앙회 쪽은 “프라임이 자체 유동성으로 예금 인출에 대처할 수 있는 상황인 것으로 안다”고 말했다.

저축은행중앙회	저축/NNG+은행/NNG+중앙회/NNG
쪽은	쪽/NNB+은/JX
“프라임이	“/SS+프라임/NNP+이/JKS
자체	자체/NNG
유동성으로	유동/NNG+성/XSN+으로/JKB
예금	예금/NNG
인출에	인출/NNG+에/JKB
대처할	대처/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VV+는/ETM
