# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.353
metadata : {}


# id : NWRW1800000046.353.1.1
야당도 정부도 과장된 주장

야당도	야당/NNG+도/JX
정부도	정부/NNG+도/JX
과장된	과장/NNG+되/XSV+ㄴ/ETM
주장	주장/NNG


# id : NWRW1800000046.353.2.1
국민연금 보험료율 인상 1%포인트?

국민연금	국민연금/NNG
보험료율	보험료/NNG+율/XSN
인상	인상/NNG
1%포인트?	1/SN+%포인트/NNG+?/SF


# id : NWRW1800000046.353.2.2
2배?… 누구 말이 맞나

2배?…	2/SN+배/NNG+?/SF+…/SE
누구	누구/NP
말이	말/NNG+이/JKS
맞나	맞/VV+나/EF


# id : NWRW1800000046.353.3.1
국민연금 소득대체율(소득 대비 연금액)을 현행 40%대에서 50%로 올릴 경우 가입자들이 내는 보험료율이 얼마인지를 두고 정치권과 정부가 진실 게임 양상을 보이고 있다.

국민연금	국민연금/NNG
소득대체율(소득	소득/NNG+대체/NNG+율/XSN+(/SS+소득/NNG
대비	대비/NNG
연금액)을	연금액/NNG+)/SS+을/JKO
현행	현행/NNG
40%대에서	40/SN+%/SW+대/XSN+에서/JKB
50%로	50/SN+%/SW+로/JKB
올릴	올리/VV+ㄹ/ETM
경우	경우/NNG
가입자들이	가입자/NNG+들/XSN+이/JKS
내는	내/VV+는/ETM
보험료율이	보험료/NNG+율/XSN+이/JKS
얼마인지를	얼마/NNG+이/VCP+ㄴ지/EF+를/JKO
두고	두/VV+고/EC
정치권과	정치/NNG+권/XSN+과/JC
정부가	정부/NNG+가/JKS
진실	진실/NNG
게임	게임/NNG
양상을	양상/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.353.4.1
새정치민주연합은 공무원연금 개혁 실무 기구 소속 김연명 중앙대 교수가 보건복지부로부터 제출받은 자료를 토대로 현재 9%인 보험료율을 10.01%로 1.01%포인트만 올리면 50%가 된다고 주장했다.

새정치민주연합은	새정치민주연합/NNP+은/JX
공무원연금	공무원/NNG+연금/NNG
개혁	개혁/NNG
실무	실무/NNG
기구	기구/NNG
소속	소속/NNG
김연명	김연명/NNP
중앙대	중앙대/NNP
교수가	교수/NNG+가/JKS
보건복지부로부터	보건/NNG+복지부/NNG+로부터/JKB
제출받은	제출/NNG+받/XSV+은/ETM
자료를	자료/NNG+를/JKO
토대로	토대/NNG+로/JKB
현재	현재/MAG
9%인	9/SN+%/SW+이/VCP+ㄴ/ETM
보험료율을	보험료/NNG+율/XSN+을/JKO
10.01%로	10/SN+./SP+01/SN+%/SW+로/JKB
1.01%포인트만	1/SN+./SP+01/SN+%포인트/NNG+만/JX
올리면	올리/VV+면/EC
50%가	50/SN+%/SW+가/JKS
된다고	되/VV+ㄴ다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.353.4.2
반면 문형표 복지부 장관은 "국민연금 소득대체율을 50%로 높이려면 보험료율을 두 배(현재 9%인 보험료율을 18.85%로) 올려야 한다"고 했다.

반면	반면/NNG
문형표	문형표/NNP
복지부	복지부/NNG
장관은	장관/NNG+은/JX
"국민연금	"/SS+국민연금/NNG
소득대체율을	소득/NNG+대체/NNG+율/XSN+을/JKO
50%로	50/SN+%/SW+로/JKB
높이려면	높이/VV+려면/EC
보험료율을	보험료/NNG+율/XSN+을/JKO
두	두/MMN
배(현재	배/NNG+(/SS+현재/MAG
9%인	9/SN+%/SW+이/VCP+ㄴ/ETM
18.85%로)	18/SN+./SP+85/SN+%/SW+로/JKB+)/SS
올려야	올리/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.353.5.1
결론적으로 두 주장 모두 과장이다.

결론적으로	결론/NNG+적/XSN+으로/JKB
두	두/MMN
주장	주장/NNG
모두	모두/MAG
과장이다.	과장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.353.5.2
