# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.83
metadata : {}


# id : NWRW1800000022.83.1.1
화천, '인구 3만'에 총력

화천,	화천/NNP+,/SP
'인구	'/SS+인구/NNG
3만'에	3/SN+만/NR+'/SS+에/JKB
총력	총력/NNG


# id : NWRW1800000022.83.2.1
화천군이 '인구 3만' 시대 진입을 위해 시동을 걸었다.

화천군이	화천군/NNP+이/JKS
'인구	'/SS+인구/NNG
3만'	3/SN+만/NR+'/SS
시대	시대/NNG
진입을	진입/NNG+을/JKO
위해	위하/VV+아/EC
시동을	시동/NNG+을/JKO
걸었다.	걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.83.2.2
화천군은 인구 감소문제를 권역 공동체적 위기로 판단하고 적정 인구수 유지를 위해 다양한 대책과 지원책을 마련했다.

화천군은	화천군/NNP+은/JX
인구	인구/NNG
감소문제를	감소/NNG+문제/NNG+를/JKO
권역	권역/NNG
공동체적	공동체/NNG+적/XSN
위기로	위기/NNG+로/JKB
판단하고	판단/NNG+하/XSV+고/EC
적정	적정/NNG
인구수	인구수/NNG
유지를	유지/NNG+를/JKO
위해	위하/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
대책과	대책/NNG+과/JC
지원책을	지원책/NNG+을/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.83.3.1
우선 올해 말까지 인구 2만5000명선을 유지해 인구 증가 원년으로 삼는다는 방침이다.

우선	우선/MAG
올해	올해/NNG
말까지	말/NNB+까지/JX
인구	인구/NNG
2만5000명선을	2/SN+만/NR+5000/SN+명/NNB+선/NNG+을/JKO
유지해	유지/NNG+하/XSV+아/EC
증가	증가/NNG
원년으로	원년/NNG+으로/JKB
삼는다는	삼/VV+는다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.83.3.2
이와 관련, 지난해 12월 화천군 의회에서 인구증가시책 지원 조례안이 의결됐다.

이와	이/NP+와/JKB
관련,	관련/NNG+,/SP
지난해	지난해/NNG
12월	12/SN+월/NNB
화천군	화천군/NNP
의회에서	의회/NNG+에서/JKB
인구증가시책	인구/NNG+증가/NNG+시책/NNG
지원	지원/NNG
조례안이	조례안/NNG+이/JKS
의결됐다.	의결/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.83.4.1
조례에 따르면 지원 대상은 전입일을 기준으로 화천군에 실제 1년 이상 거주한 전입세대를 비롯해 지역 주둔 군부대 전역 후 정착 희망자, 지역에 6개월 이상 거주한 주민이 출생한 신생아 등이다.

조례에	조례/NNG+에/JKB
따르면	따르/VV+면/EC
지원	지원/NNG
대상은	대상/NNG+은/JX
전입일을	전입일/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
화천군에	화천군/NNP+에/JKB
실제	실제/NNG
1년	1/SN+년/NNB
이상	이상/NNG
거주한	거주/NNG+하/XSV+ㄴ/ETM
전입세대를	전입/NNG+세대/NNG+를/JKO
비롯해	비롯하/VV+아/EC
지역	지역/NNG
주둔	주둔/NNG
군부대	군부대/NNG
전역	전역/NNG
후	후/NNG
정착	정착/NNG
희망자,	희망자/NNG+,/SP
지역에	지역/NNG+에/JKB
6개월	6/SN+개월/NNB
주민이	주민/NNG+이/JKS
출생한	출생/NNG+하/XSV+ㄴ/ETM
신생아	신생아/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.83.5.1
지원내용은 전입세대 정착 지원을 위해 거주 1년 후 1인당 20만원 지원, 세대당 150만원의 주택수리비, 영농지원, 자동차 반호판 교체비용, 쓰레기봉투 무상 지원 등이다.

지원내용은	지원/NNG+내용/NNG+은/JX
전입세대	전입/NNG+세대/NNG
정착	정착/NNG
지원을	지원/NNG+을/JKO
위해	위하/VV+아/EC
거주	거주/NNG
1년	1/SN+년/NNB
후	후/NNG
1인당	1/SN+인/NNG+당/XSN
20만원	20/SN+만/NR+원/NNB
지원,	지원/NNG+,/SP
세대당	세대/NNG+당/XSN
150만원의	150/SN+만/NR+원/NNB+의/JKG
주택수리비,	주택/NNG+수리비/NNG+,/SP
영농지원,	영농/NNG+지원/NNG+,/SP
자동차	자동차/NNG
반호판	반호판/NNG
교체비용,	교체/NNG+비용/NNG+,/SP
쓰레기봉투	쓰레기봉투/NNG
무상	무상/NNG
지원	지원/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.83.5.2
제대군인 정착 희망자에게는 가구당 500만원 융자지원, 영농지원, 휴경지 임대 등이 제공되며 셋째 아이를 출산하는 가정은 3년 동안 매월 50만원이 지급된다.

제대군인	제대/NNG+군인/NNG
정착	정착/NNG
희망자에게는	희망자/NNG+에게/JKB+는/JX
가구당	가구/NNG+당/XSN
500만원	500/SN+만/NR+원/NNB
융자지원,	융자/NNG+지원/NNG+,/SP
영농지원,	영농/NNG+지원/NNG+,/SP
휴경지	휴경지/NNG
임대	임대/NNG
등이	등/NNB+이/JKS
제공되며	제공/NNG+되/XSV+며/EC
셋째	셋째/NR
아이를	아이/NNG+를/JKO
출산하는	출산/NNG+하/XSV+는/ETM
가정은	가정/NNG+은/JX
3년	3/SN+년/NNB
동안	동안/NNG
매월	매월/MAG
50만원이	50/SN+만/NR+원/NNB+이/JKS
지급된다.	지급/NNG+되/XSV+ㄴ다/EF+./SF


