# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.266
metadata : {}


# id : NWRW1800000038.266.1.1
'창 vs 창' 포항제철·대륜高 고교축구선수권 16강 격돌

'창	'/SS+창/NNG
vs	vs/SL
창'	창/NNG+'/SS
포항제철·대륜高	포항제철/NNP+·/SP+대륜/NNP+高/SH
고교축구선수권	고교/NNG+축구/NNG+선수/NNG+권/XSN
16강	16/SN+강/NNB
격돌	격돌/NNG


# id : NWRW1800000038.266.2.1
오늘 16강, 내일 8강전… '작년 챔피언' 부경고는 유성생명과학고와 맞대결

오늘	오늘/MAG
16강,	16/SN+강/NNB+,/SP
내일	내일/MAG
8강전…	8/SN+강전/NNB+…/SE
'작년	'/SS+작년/NNG
챔피언'	챔피언/NNG+'/SS
부경고는	부경고/NNP+는/JX
유성생명과학고와	유성생명과학고/NNP+와/JKB
맞대결	맞대결/NNG


# id : NWRW1800000038.266.3.1
고교축구 최강을 향한 16팀의 도전이 시작된다.

고교축구	고교/NNG+축구/NNG
최강을	최강/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
16팀의	16/SN+팀/NNG+의/JKG
도전이	도전/NNG+이/JKS
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.266.4.1
제68회 전국고교축구선수권대회 겸 전국고등축구리그 왕중왕전(조선일보·대한축구협회·교육부·문화체육관광부 공동 주최) 16강전이 9일 경남 거제시 일원에서 펼쳐진다.

제68회	제/XPN+68/SN+회/NNB
전국고교축구선수권대회	전국/NNG+고교/NNG+축구/NNG+선수/NNG+권/XSN+대회/NNG
겸	겸/NNB
전국고등축구리그	전국/NNG+고등/NNG+축구/NNG+리그/NNG
왕중왕전(조선일보·대한축구협회·교육부·문화체육관광부	왕중왕전/NNG+(/SS+조선일보/NNP+·/SP+대한축구협회/NNP+·/SP+교육부/NNG+·/SP+문화/NNG+체육/NNG+관광부/NNG
공동	공동/NNG
주최)	주최/NNG+)/SS
16강전이	16/SN+강전/NNB+이/JKS
9일	9/SN+일/NNB
경남	경남/NNP
거제시	거제시/NNP
일원에서	일원/NNG+에서/JKB
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.266.4.2
8강전(10일)과 준결승전(12일)은 거제시에서 열리고, 결승전은 16일 12시 서울월드컵경기장에서 열린다.

8강전(10일)과	8/SN+강전/NNB+(/SS+10/SN+일/NNB+)/SS+과/JC
준결승전(12일)은	준/XPN+결승전/NNG+(/SS+12/SN+일/NNB+)/SS+은/JX
거제시에서	거제시/NNP+에서/JKB
열리고,	열리/VV+고/EC+,/SP
결승전은	결승전/NNG+은/JX
16일	16/SN+일/NNB
12시	12/SN+시/NNB
서울월드컵경기장에서	서울월드컵경기장/NNP+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.266.5.1
이번 16강전엔 포항제철고와 대륜고(대구)의 경기 등 눈여겨볼 매치업이 많다.

이번	이번/NNG
16강전엔	16/SN+강전/NNB+에/JKB+ㄴ/JX
포항제철고와	포항제철고/NNP+와/JC
대륜고(대구)의	대륜고/NNP+(/SS+대구/NNP+)/SS+의/JKG
경기	경기/NNG
등	등/NNB
눈여겨볼	눈여겨보/VV+ㄹ/ETM
매치업이	매치업/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000038.266.6.1
올해 챌린지리그(K리그 18세 이하 팀 리그) 우승컵을 들어 올리고 왕중왕전에 올라온 포항제철고는 64강전에서 광명공고를 5대0으로 눌렀고, 32강전에서 거제고를 3대2로 제압했다.

올해	올해/NNG
챌린지리그(K리그	챌린지리그/NNG+(/SS+K/SL+리그/NNG
18세	18/SN+세/NNB
이하	이하/NNG
팀	팀/NNG
리그)	리그/NNG+)/SS
우승컵을	우승컵/NNG+을/JKO
들어	들/VV+어/EC
올리고	올리/VV+고/EC
왕중왕전에	왕중왕전/NNG+에/JKB
올라온	올라오/VV+ㄴ/ETM
포항제철고는	포항제철고/NNP+는/JX
64강전에서	64/SN+강전/NNB+에서/JKB
광명공고를	광명공고/NNP+를/JKO
5대0으로	5/SN+대/NNB+0/SN+으로/JKB
눌렀고,	누르/VV+었/EP+고/EC+,/SP
32강전에서	32/SN+강전/NNB+에서/JKB
거제고를	거제고/NNP+를/JKO
3대2로	3/SN+대/NNB+2/SN+로/JKB
제압했다.	제압/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.266.6.2
포항제철고는 이번 대회를 앞두고 대한축구협회가 참가팀 지도자들을 대상으로 실시한 우승 후보를 꼽는 설문 조사(60명 참여, 복수 응답 가능)에서 44표를 얻어 2위에 올랐다.

