# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.85
metadata : {}


# id : NWRW1800000022.85.1.1
[청년취업 10000명] 제2외국어로 취업 성공기_수출 중소기업 입사한 김형인씨;"러시아어 전공, 이렇게 잘 써먹을 줄 몰랐어요"

[청년취업	[/SS+청년/NNG+취업/NNG
10000명]	10000/SN+명/NNB+]/SS
제2외국어로	제/XPN+2/SN+외국어/NNG+로/JKB
취업	취업/NNG
성공기_수출	성공기/NNG+_/SS+수출/NNG
중소기업	중소기업/NNG
입사한	입사/NNG+하/XSV+ㄴ/ETM
김형인씨;"러시아어	김형인/NNP+씨/NNB+;/SP+"/SS+러시아어/NNP
전공,	전공/NNG+,/SP
이렇게	이렇/VA+게/EC
잘	잘/MAG
써먹을	써먹/VV+을/ETM
줄	줄/NNB
몰랐어요"	모르/VV+았/EP+어요/EF+"/SS


# id : NWRW1800000022.85.2.1
러시아어 시장을 안방처럼 누비겠습니다.

러시아어	러시아어/NNP
시장을	시장/NNG+을/JKO
안방처럼	안방/NNG+처럼/JKB
누비겠습니다.	누비/VV+겠/EP+습니다/EF+./SF


# id : NWRW1800000022.85.3.1
입사한 지 10여일밖에 안 된 인천광역시의 기계 전문 수출업체인 유가엔터프라이즈㈜의 김형인(여·28)씨.

입사한	입사/NNG+하/XSV+ㄴ/ETM
지	지/NNB
10여일밖에	10/SN+여/XSN+일/NNB+밖에/JX
안	안/MAG
된	되/VV+ㄴ/ETM
인천광역시의	인천광역시/NNP+의/JKG
기계	기계/NNG
전문	전문/NNG
수출업체인	수출업체/NNG+이/VCP+ㄴ/ETM
유가엔터프라이즈㈜의	유가엔터프라이즈/NNP+㈜/SW+의/JKG
김형인(여·28)씨.	김형인/NNP+(/SS+여/NNG+·/SP+28/SN+)/SS+씨/NNB+./SF


# id : NWRW1800000022.85.3.2
요즘 그는 출근길이 누구보다 신난다.

요즘	요즘/NNG
그는	그/NP+는/JX
출근길이	출근길/NNG+이/JKS
누구보다	누구/NP+보다/JKB
신난다.	신나/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.85.3.3
자신의 전공이었던 러시아어를 제대로 써먹으면서 일하게 됐기 때문이다.

자신의	자신/NNG+의/JKG
전공이었던	전공/NNG+이/VCP+었/EP+던/ETM
러시아어를	러시아어/NNP+를/JKO
제대로	제대로/MAG
써먹으면서	써먹/VV+으면서/EC
일하게	일/NNG+하/XSV+게/EC
됐기	되/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.85.3.4
국산 방전가공기(放電加工機·전기 방전을 이용해 금속에 구멍을 뚫는 공구)를 수출하는 유가엔터프라이즈는 러시아를 올해의 중점 공략 시장으로 정했다.

국산	국산/NNG
방전가공기(放電加工機·전기	방전/NNG+가공기/NNG+(/SS+放電加工機/SH+·/SP+전기/NNG
방전을	방전/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
금속에	금속/NNG+에/JKB
구멍을	구멍/NNG+을/JKO
뚫는	뚫/VV+는/ETM
공구)를	공구/NNG+)/SS+를/JKO
수출하는	수출/NNG+하/XSV+는/ETM
유가엔터프라이즈는	유가엔터프라이즈/NNP+는/JX
러시아를	러시아/NNP+를/JKO
올해의	올해/NNG+의/JKG
중점	중점/NNG
공략	공략/NNG
시장으로	시장/NNG+으로/JKB
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.85.3.5
러시아시장에만 지난해 회사 전체 수출 실적(220만달러)의 34%에 해당하는 75만달러를 수출하는 것이 1차 목표다.

러시아시장에만	러시아/NNP+시장/NNG+에/JKB+만/JX
지난해	지난해/NNG
회사	회사/NNG
전체	전체/NNG
수출	수출/NNG
실적(220만달러)의	실적/NNG+(/SS+220/SN+만/NR+달러/NNB+)/SS+의/JKG
34%에	34/SN+%/SW+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
75만달러를	75/SN+만/NR+달러/NNB+를/JKO
수출하는	수출/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
1차	1/SN+차/NNB
목표다.	목표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.85.3.6
김씨는 회사가 러시아시장 공략을 위해 전략적으로 채용한 신병기인 셈이다.

김씨는	김/NNP+씨/NNB+는/JX
회사가	회사/NNG+가/JKS
러시아시장	러시아/NNP+시장/NNG
공략을	공략/NNG+을/JKO
위해	위하/VV+아/EC
전략적으로	전략/NNG+적/XSN+으로/JKB
채용한	채용/NNG+하/XSV+ㄴ/ETM
신병기인	신/XPN+병기/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.85.4.1
그는 서울의 한 대학에서 러시아어를 전공했으나 최근까지 중학교의 기간제 영어교사로 일했다.

그는	그/NP+는/JX
서울의	서울/NNP+의/JKG
한	한/MMN
대학에서	대학/NNG+에서/JKB
러시아어를	러시아어/NNP+를/JKO
전공했으나	전공/NNG+하/XSV+았/EP+으나/EC
최근까지	최근/NNG+까지/JX
중학교의	중학교/NNG+의/JKG
기간제	기간/NNG+제/XSN
영어교사로	영어/NNP+교사/NNG+로/JKB
일했다.	일/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.85.5.1
하지만 지난달 말 조선일보와 기업은행이 함께 운영하는 중소기업 전문 무료 취업 사이트인 '잡월드'(www.ibkcsjob.co.kr)에 구직 등록을 했다가 해외 마케팅을 맡길 인재를 찾던 이 회사 김만석 사장의 눈에 띄었다.

하지만	하지만/MAJ
지난달	지난달/NNG
말	말/NNB
조선일보와	조선일보/NNP+와/JC
기업은행이	기업은행/NNP+이/JKS
함께	함께/MAG
운영하는	운영/NNG+하/XSV+는/ETM
중소기업	중소기업/NNG
전문	전문/NNG
무료	무료/NNG
취업	취업/NNG
사이트인	사이트/NNG+이/VCP+ㄴ/ETM
'잡월드'(www.ibkcsjob.co.kr)에	'/SS+잡월드/NNP+'/SS+(/SS+www/SL+./SP+ibkcsjob/SL+./SP+co/SL+./SP+kr/SL+)/SS+에/JKB
구직	구직/NNG
등록을	등록/NNG+을/JKO
했다가	하/VV+았/EP+다가/EC
해외	해외/NNG
마케팅을	마케팅/NNG+을/JKO
맡길	맡기/VV+ㄹ/ETM
인재를	인재/NNG+를/JKO
찾던	찾/VV+던/ETM
이	이/MMD
회사	회사/NNG
김만석	김만석/NNP
사장의	사장/NNG+의/JKG
눈에	눈/NNG+에/JKB
띄었다.	띄/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.85.6.1
그는 요즘 학창 시절 느꼈던 '제2외국어로 먹고살기는 힘들다'는 생각은 '편견'이었다고 느끼고 있다.

그는	그/NP+는/JX
요즘	요즘/NNG
학창	학창/NNG
시절	시절/NNG
느꼈던	느끼/VV+었/EP+던/ETM
'제2외국어로	'/SS+제/XPN+2/SN+외국어/NNG+로/JKB
먹고살기는	먹고살/VV+기/ETN+는/JX
힘들다'는	힘들/VA+다/EF+'/SS+는/ETM
생각은	생각/NNG+은/JX
'편견'이었다고	'/SS+편견/NNG+'/SS+이/VCP+었/EP+다고/EC
느끼고	느끼/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.85.6.2
그는 "시야를 중소기업으로 조금 더 넓히니 내 역량을 필요로 하는 기업들이 많다는 사실을 새삼 깨닫게 됐다"고 말했다.

그는	그/NP+는/JX
"시야를	"/SS+시야/NNG+를/JKO
중소기업으로	중소기업/NNG+으로/JKB
조금	조금/MAG
더	더/MAG
넓히니	넓히/VV+니/EC
내	나/NP+의/JKG
역량을	역량/NNG+을/JKO
필요로	필요/NNG+로/JKB
하는	하/VV+는/ETM
기업들이	기업/NNG+들/XSN+이/JKS
많다는	많/VA+다는/ETM
사실을	사실/NNG+을/JKO
새삼	새삼/MAG
깨닫게	깨닫/VV+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.85.7.1
김씨는 "4년이나 러시아어를 배웠는데, 졸업 후에는 한번도 제대로 써먹지를 못했다"며 "요즘 러시아어로 전화도 하고, 이메일도 주고받다 보면 처음 (러시아어를) 배울 때처럼 새삼 마음이 설렌다"고 말했다.

김씨는	김/NNP+씨/NNB+는/JX
"4년이나	"/SS+4/SN+년/NNB+이나/JC
러시아어를	러시아어/NNP+를/JKO
배웠는데,	배우/VV+었/EP+는데/EC+,/SP
졸업	졸업/NNG
후에는	후/NNG+에/JKB+는/JX
한번도	한번/NNG+도/JX
제대로	제대로/MAG
써먹지를	써먹/VV+지/EC+를/JX
못했다"며	못하/VX+았/EP+다/EF+"/SS+며/EC
"요즘	"/SS+요즘/NNG
러시아어로	러시아어/NNP+로/JKB
전화도	전화/NNG+도/JX
하고,	하/VV+고/EC+,/SP
이메일도	이메일/NNG+도/JX
주고받다	주고받/VV+다/EC
보면	보/VX+면/EC
처음	처음/NNG
(러시아어를)	(/SS+러시아어/NNP+를/JKO+)/SS
배울	배우/VV+ㄹ/ETM
때처럼	때/NNG+처럼/JKB
새삼	새삼/MAG
마음이	마음/NNG+이/JKS
설렌다"고	설레/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.85.7.2
요즘은 국내외 거래처와의 인맥 쌓기에 주력하는 한편 러시아 기업 2곳을 대상으로 마케팅 활동을 하고 있다.

요즘은	요즘/NNG+은/JX
국내외	국내외/NNG
거래처와의	거래처/NNG+와/JKB+의/JKG
인맥	인맥/NNG
쌓기에	쌓/VV+기/ETN+에/JKB
주력하는	주력/NNG+하/XSV+는/ETM
한편	한편/NNG
러시아	러시아/NNP
기업	기업/NNG
2곳을	2/SN+곳/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
마케팅	마케팅/NNG
활동을	활동/NNG+을/JKO
