# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.319
metadata : {}


# id : NWRW1800000033.319.1.1
[4·11총선 D-11] ‘FTA 대결’ 강남을 트윗 최다… 박빙 서대문갑 SNS도 팽팽

[4·11총선	[/SS+4/SN+·/SP+11/SN+총선/NNG
D-11]	D/SL+-/SO+11/SN+]/SS
‘FTA	‘/SS+FTA/SL
대결’	대결/NNG+’/SS
강남을	강남을/NNP
트윗	트윗/NNG
최다…	최다/NNG+…/SE
박빙	박빙/NNG
서대문갑	서대문갑/NNP
SNS도	SNS/SL+도/JX
팽팽	팽팽/XR


# id : NWRW1800000033.319.2.1
■서울지역 격전지 트위터 관심도 분석

■서울지역	■/SW+서울지역/NNP
격전지	격전지/NNG
트위터	트위터/NNP
관심도	관심도/NNG
분석	분석/NNG


# id : NWRW1800000033.319.3.1
4·11총선에서 전국적 관심을 모으고 있는 서울 지역구 가운데 종로 중구 등에선 새누리당 후보가 소셜네트워크서비스(SNS) 여론의 관심을 더 끌고 있는 것으로 나타났다.

4·11총선에서	4/SN+·/SP+11/SN+총선/NNG+에서/JKB
전국적	전국/NNG+적/XSN
관심을	관심/NNG+을/JKO
모으고	모으/VV+고/EC
있는	있/VX+는/ETM
서울	서울/NNP
지역구	지역구/NNG
가운데	가운데/NNG
종로	종로/NNP
중구	중구/NNP
등에선	등/NNB+에서/JKB+ㄴ/JX
새누리당	새누리당/NNP
후보가	후보/NNG+가/JKS
소셜네트워크서비스(SNS)	소셜/NNG+네트워크/NNG+서비스/NNG+(/SS+SNS/SL+)/SS
여론의	여론/NNG+의/JKG
더	더/MAG
끌고	끌/VV+고/EC
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.319.3.2
도봉갑 강남을 등에선 야권연대(민주통합당, 통합진보당) 후보들이 SNS에서 더 주목을 받고 있다.

도봉갑	도봉갑/NNP
강남을	강남을/NNP
등에선	등/NNB+에서/JKB+ㄴ/JX
야권연대(민주통합당,	야권/NNG+연대/NNG+(/SS+민주통합당/NNP+,/SP
통합진보당)	통합진보당/NNP+)/SS
후보들이	후보/NNG+들/XSN+이/JKS
SNS에서	SNS/SL+에서/JKB
더	더/MAG
주목을	주목/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.319.3.3
각종 여론조사에서 접전이 벌어지고 있는 서대문갑 영등포을 등은 SNS 관심도도 서로 엇비슷해 그야말로 혈전을 예고하고 있다.

각종	각종/NNG
여론조사에서	여론/NNG+조사/NNG+에서/JKB
접전이	접전/NNG+이/JKS
벌어지고	벌어지/VV+고/EC
있는	있/VX+는/ETM
서대문갑	서대문갑/NNP
영등포을	영등포을/NNP
등은	등/NNB+은/JX
SNS	SNS/SL
관심도도	관심도/NNG+도/JX
서로	서로/MAG
엇비슷해	엇비슷하/VA+아/EC
그야말로	그야말로/MAG
혈전을	혈전/NNG+을/JKO
예고하고	예고/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.319.4.1
동아일보는 한국언론진흥재단의 후원을 받아 홍보업체인 미디컴과 함께 전국적 관심이 쏠려 있는 종로 중구 동대문을 도봉갑 은평을 서대문갑 영등포을 동작을 관악을 강남을 등 서울 10곳의 여야 후보와 관련된 트위터 발생 추이를 26일부터 29일까지 분석했다.

동아일보는	동아일보/NNP+는/JX
한국언론진흥재단의	한국언론진흥재단/NNP+의/JKG
후원을	후원/NNG+을/JKO
받아	받/VV+아/EC
홍보업체인	홍보업체/NNG+이/VCP+ㄴ/ETM
미디컴과	미디컴/NNP+과/JKB
함께	함께/MAG
전국적	전국/NNG+적/XSN
관심이	관심/NNG+이/JKS
쏠려	쏠리/VV+어/EC
있는	있/VX+는/ETM
종로	종로/NNP
중구	중구/NNP
동대문을	동대문을/NNP
도봉갑	도봉갑/NNP
은평을	은평을/NNP
서대문갑	서대문갑/NNP
영등포을	영등포을/NNP
동작을	동작을/NNP
관악을	관악을/NNP
강남을	강남을/NNP
등	등/NNB
서울	서울/NNP
10곳의	10/SN+곳/NNG+의/JKG
여야	여야/NNG
후보와	후보/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
트위터	트위터/NNP
발생	발생/NNG
추이를	추이/NNG+를/JKO
26일부터	26/SN+일/NNB+부터/JX
29일까지	29/SN+일/NNB+까지/JX
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.319.4.2
이들 트윗은 전국에서 채집된 것이지만 이들 지역구가 워낙 전국 선거화되는 양상을 보이는 만큼 여론의 방향을 짐작하는 데 유효하다는 게 미디컴 측의 설명이다.

이들	이/NP+들/XSN
트윗은	트윗/NNG+은/JX
전국에서	전국/NNG+에서/JKB
채집된	채집/NNG+되/XSV+ㄴ/ETM
것이지만	것/NNB+이/VCP+지만/EC
지역구가	지역구/NNG+가/JKS
워낙	워낙/MAG
전국	전국/NNG
선거화되는	선거/NNG+화/XSN+되/XSV+는/ETM
양상을	양상/NNG+을/JKO
보이는	보이/VV+는/ETM
만큼	만큼/NNB
여론의	여론/NNG+의/JKG
방향을	방향/NNG+을/JKO
짐작하는	짐작/NNG+하/XSV+는/ETM
데	데/NNB
유효하다는	유효/NNG+하/XSA+다는/ETM
게	거/NNB+이/JKS
미디컴	미디컴/NNP
측의	측/NNB+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.319.5.1
10곳 중 새누리당 후보가 SNS에서 관심을 더 끌고 있는 곳은 종로 중구 동작을과 동대문을 등 4곳이었다.

10곳	10/SN+곳/NNG
중	중/NNB
