# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.89
metadata : {}


# id : NWRW1800000052.89.1.1
멜라니아, 미셸 연설문 표절 논란

멜라니아,	멜라니아/NNP+,/SP
미셸	미셸/NNP
연설문	연설문/NNG
표절	표절/NNG
논란	논란/NNG


# id : NWRW1800000052.89.2.1
2008년 민주당 전당대회에서

2008년	2008/SN+년/NNB
민주당	민주당/NNP
전당대회에서	전당/NNG+대회/NNG+에서/JKB


# id : NWRW1800000052.89.3.1
미셸 오바마 연설과 매우 흡사

미셸	미셸/NNP
오바마	오바마/NNP
연설과	연설/NNG+과/JKB
매우	매우/MAG
흡사	흡사/MAG


# id : NWRW1800000052.89.4.1
성공적으로 끝난 듯하던 미국 공화당 전당대회 첫날이 예상치 못한 연설문 표절 문제로 얼룩졌다.

성공적으로	성공/NNG+적/XSN+으로/JKB
끝난	끝나/VV+ㄴ/ETM
듯하던	듯/NNB+하/XSA+던/ETM
미국	미국/NNP
공화당	공화당/NNP
전당대회	전당/NNG+대회/NNG
첫날이	첫날/NNG+이/JKS
예상치	예상/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
연설문	연설문/NNG
표절	표절/NNG
문제로	문제/NNG+로/JKB
얼룩졌다.	얼룩지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.89.5.1
18일 전당대회 마지막 연설자로 나선 도널드 트럼프의 부인 멜라니아의 연설이 버락 오바마 대통령의 부인인 미셸이 2008년 민주당 전당대회에서 한 연설 내용과 매우 흡사하다고 미국 언론들이 일제히 보도했다.

18일	18/SN+일/NNB
전당대회	전당/NNG+대회/NNG
마지막	마지막/NNG
연설자로	연설자/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
도널드	도널드/NNP
트럼프의	트럼프/NNP+의/JKG
부인	부인/NNG
멜라니아의	멜라니아/NNP+의/JKG
연설이	연설/NNG+이/JKS
버락	버락/NNP
오바마	오바마/NNP
대통령의	대통령/NNG+의/JKG
부인인	부인/NNG+이/VCP+ㄴ/ETM
미셸이	미셸/NNP+이/JKS
2008년	2008/SN+년/NNB
민주당	민주당/NNP
전당대회에서	전당/NNG+대회/NNG+에서/JKB
한	하/VV+ㄴ/ETM
연설	연설/NNG
내용과	내용/NNG+과/JKB
매우	매우/MAG
흡사하다고	흡사/MAG+하/XSA+다고/EC
미국	미국/NNP
언론들이	언론/NNG+들/XSN+이/JKS
일제히	일제히/MAG
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.89.5.2
두 사람의 연설문을 비교해보면, 문단을 구성하는 내용이나 사용한 단어까지 거의 똑같다.

두	두/MMN
사람의	사람/NNG+의/JKG
연설문을	연설문/NNG+을/JKO
비교해보면,	비교/NNG+하/XSV+아/EC+보/VX+면/EC+,/SP
문단을	문단/NNG+을/JKO
구성하는	구성/NNG+하/XSV+는/ETM
내용이나	내용/NNG+이나/JC
사용한	사용/NNG+하/XSV+ㄴ/ETM
단어까지	단어/NNG+까지/JX
거의	거의/MAG
똑같다.	똑같/VA+다/EF+./SF


# id : NWRW1800000052.89.6.1
문제가 된 부분은 멜라니아 트럼프가 어렸을 적 부모님이 자신에게 했던 말을 언급한 부분이다.

문제가	문제/NNG+가/JKC
된	되/VV+ㄴ/ETM
부분은	부분/NNG+은/JX
멜라니아	멜라니아/NNP
트럼프가	트럼프/NNP+가/JKS
어렸을	어리/VA+었/EP+을/ETM
적	적/NNB
부모님이	부모/NNG+님/XSN+이/JKS
자신에게	자신/NNG+에게/JKB
했던	하/VV+았/EP+던/ETM
말을	말/NNG+을/JKO
언급한	언급/NNG+하/XSV+ㄴ/ETM
부분이다.	부분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.89.6.2
멜라니아는 부모님이 자신에게 “‘너의 삶에서 원하는 걸 얻기 위해 노력해라, 말과 행동을 일치시켜라, 사람들에게 존경심을 갖고 대해라’라는 가치를 강조했다”고 했는데, 이는 미셸 오바마가 2008년 콜로라도주 덴버에서 열린 민주당 전당대회에서 한 연설 내용과 정확하게 일치한다.

멜라니아는	멜라니아/NNP+는/JX
부모님이	부모/NNG+님/XSN+이/JKS
자신에게	자신/NNG+에게/JKB
“‘너의	“/SS+‘/SS+너/NP+의/JKG
삶에서	삶/NNG+에서/JKB
원하는	원/NNG+하/XSV+는/ETM
걸	거/NNB+ㄹ/JKO
얻기	얻/VV+기/ETN
위해	위하/VV+아/EC
노력해라,	노력/NNG+하/XSV+아라/EF+,/SP
말과	말/NNG+과/JC
행동을	행동/NNG+을/JKO
일치시켜라,	일치/NNG+시키/XSV+어라/EF+,/SP
사람들에게	사람/NNG+들/XSN+에게/JKB
존경심을	존경심/NNG+을/JKO
갖고	갖/VV+고/EC
대해라’라는	대하/VV+아라/EF+’/SS+이/VCP+라는/ETM
가치를	가치/NNG+를/JKO
강조했다”고	강조/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
했는데,	하/VV+았/EP+는데/EC+,/SP
이는	이/NP+는/JX
미셸	미셸/NNP
오바마가	오바마/NNP+가/JKS
2008년	2008/SN+년/NNB
콜로라도주	콜로라도주/NNP
덴버에서	덴버/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
민주당	민주당/NNP
전당대회에서	전당/NNG+대회/NNG+에서/JKB
한	하/VV+ㄴ/ETM
연설	연설/NNG
내용과	내용/NNG+과/JKB
정확하게	정확/NNG+하/XSA+게/EC
일치한다.	일치/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.89.6.3
다만 미셸은 이를 ‘부모님의 말씀’이 아닌, ‘오바마와 내가 배우고 자란 가치’라는 부분만 다르다.

다만	다만/MAG
미셸은	미셸/NNP+은/JX
이를	이/NP+를/JKO
‘부모님의	‘/SS+부모/NNG+님/XSN+의/JKG
말씀’이	말씀/NNG+’/SS+이/JKC
아닌,	아니/VCN+ㄴ/ETM+,/SP
‘오바마와	‘/SS+오바마/NNP+와/JC
내가	내/NP+가/JKS
배우고	배우/VV+고/EC
자란	자라/VV+ㄴ/ETM
가치’라는	가치/NNG+’/SS+이/VCP+라는/ETM
부분만	부분/NNG+만/JX
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000052.89.7.1
멜라니아는 이어 “자신의 성취를 이루는 데 유일한 한계는 꿈을 위한 노력과 그것을 얻기 위한 의지라는 것을 아이들은 알아야 한다”고 말했다.

멜라니아는	멜라니아/NNP+는/JX
이어	이어/MAG
“자신의	“/SS+자신/NNG+의/JKG
성취를	성취/NNG+를/JKO
이루는	이루/VV+는/ETM
데	데/NNB
유일한	유일/NNG+하/XSA+ㄴ/ETM
한계는	한계/NNG+는/JX
꿈을	꿈/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
노력과	노력/NNG+과/JC
그것을	그것/NP+을/JKO
얻기	얻/VV+기/ETN
의지라는	의지/NNG+이/VCP+라는/ETM
것을	것/NNB+을/JKO
아이들은	아이/NNG+들/XSN+은/JX
알아야	알/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.89.7.2
이 문장에서도 멜라니아는 미셸의 연설문과 같은 단어를 사용했다.

이	이/MMD
문장에서도	문장/NNG+에서/JKB+도/JX
멜라니아는	멜라니아/NNP+는/JX
미셸의	미셸/NNP+의/JKG
연설문과	연설문/NNG+과/JKB
같은	같/VA+은/ETM
단어를	단어/NNG+를/JKO
사용했다.	사용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.89.7.3
멜라니아는 또 슬로베니아 출신으로서의 이민자 경험을 언급하며 “부모님의 성실함과 열정, 지성은 여전히 오늘날의 나와, 가족과 조국을 위한 나의 사랑에도 영향을 미친다”고 말했는데, 이는 미셸이 자신의 어린 시절을 말하면서 “어머니의 성실함과 열정, 지성은 나의 딸에게까지 영향을 미친다”고 말한 문장과 흡사하다.

멜라니아는	멜라니아/NNP+는/JX
또	또/MAG
슬로베니아	슬로베니아/NNP
출신으로서의	출신/NNG+으로서/JKB+의/JKG
이민자	이민자/NNG
경험을	경험/NNG+을/JKO
언급하며	언급/NNG+하/XSV+며/EC
“부모님의	“/SS+부모/NNG+님/XSN+의/JKG
성실함과	성실/NNG+하/XSA+ㅁ/ETN+과/JC
열정,	열정/NNG+,/SP
지성은	지성/NNG+은/JX
여전히	여전히/MAG
오늘날의	오늘날/NNG+의/JKG
나와,	나/NP+와/JC+,/SP
가족과	가족/NNG+과/JC
조국을	조국/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
나의	나/NP+의/JKG
사랑에도	사랑/NNG+에/JKB+도/JX
영향을	영향/NNG+을/JKO
미친다”고	미치/VV+ㄴ다/EF+”/SS+고/JKQ
말했는데,	말/NNG+하/XSV+았/EP+는데/EC+,/SP
이는	이/NP+는/JX
미셸이	미셸/NNP+이/JKS
자신의	자신/NNG+의/JKG
어린	어리/VA+ㄴ/ETM
시절을	시절/NNG+을/JKO
말하면서	말/NNG+하/XSV+면서/EC
“어머니의	“/SS+어머니/NNG+의/JKG
딸에게까지	딸/NNG+에게/JKB+까지/JX
말한	말/NNG+하/XSV+ㄴ/ETM
문장과	문장/NNG+과/JKB
흡사하다.	흡사/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000052.89.8.1
멜라니아의 연설이 끝난 뒤 <뉴욕 타임스>, <워싱턴 포스트>, <시엔엔>(CNN) 등은 2008년 미셸 오바마의 연설을 직접 비교하며 비중있게 표절 논란을 전했다.

멜라니아의	멜라니아/NNP+의/JKG
연설이	연설/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
<뉴욕	</SS+뉴욕/NNP
타임스>,	타임스/NNP+>/SS+,/SP
<워싱턴	</SS+워싱턴/NNP
포스트>,	포스트/NNP+>/SS+,/SP
<시엔엔>(CNN)	</SS+시엔엔/NNP+>/SS+(/SS+CNN/SL+)/SS
등은	등/NNB+은/JX
2008년	2008/SN+년/NNB
미셸	미셸/NNP
오바마의	오바마/NNP+의/JKG
연설을	연설/NNG+을/JKO
직접	직접/MAG
비교하며	비교/NNG+하/XSV+며/EC
비중있게	비중/NNG+있/VA+게/EC
표절	표절/NNG
논란을	논란/NNG+을/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.89.8.2
“멜라니아의 이민 경험과 미국에 대한 사랑이 연설 내내 빛났으며, 연설은 매우 성공적이었다”는 성명 외에 표절 논란에 대해서는 아무런 입장도 내놓지 않던 트럼프 진영은 이튿날인 19일 아침 폴 매너포트 선거대책위원장이 <시엔엔> 방송에 등장해 “멜라니아는 미셸 오바마의 연설을 베끼지 않았다. 멜라니아가 사용한 단어는 매우 흔한 단어다”라며 표절 의혹을 전면 부인했다.

“멜라니아의	“/SS+멜라니아/NNP+의/JKG
이민	이민/NNG
경험과	경험/NNG+과/JC
미국에	미국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
사랑이	사랑/NNG+이/JKS
연설	연설/NNG
내내	내내/MAG
빛났으며,	빛나/VV+았/EP+으며/EC+,/SP
연설은	연설/NNG+은/JX
매우	매우/MAG
성공적이었다”는	성공/NNG+적/XSN+이/VCP+었/EP+다/EF+”/SS+는/ETM
성명	성명/NNG
외에	외/NNB+에/JKB
표절	표절/NNG
논란에	논란/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
아무런	아무런/MMD
입장도	입장/NNG+도/JX
내놓지	내놓/VV+지/EC
않던	않/VX+던/ETM
트럼프	트럼프/NNP
진영은	진영/NNG+은/JX
이튿날인	이튿날/NNG+이/VCP+ㄴ/ETM
19일	19/SN+일/NNB
아침	아침/NNG
폴	폴/NNP
매너포트	매너포트/NNP
선거대책위원장이	선거/NNG+대책/NNG+위원장/NNG+이/JKS
<시엔엔>	</SS+시엔엔/NNP+>/SS
방송에	방송/NNG+에/JKB
등장해	등장/NNG+하/XSV+아/EC
“멜라니아는	“/SS+멜라니아/NNP+는/JX
미셸	미셸/NNP
오바마의	오바마/NNP+의/JKG
연설을	연설/NNG+을/JKO
베끼지	베끼/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF
멜라니아가	멜라니아/NNP+가/JKS
사용한	사용/NNG+하/XSV+ㄴ/ETM
단어는	단어/NNG+는/JX
흔한	흔하/VA+ㄴ/ETM
단어다”라며	단어/NNG+이/VCP+다/EF+”/SS+이/VCP+라며/EC
의혹을	의혹/NNG+을/JKO
전면	전면/NNG
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.89.8.3
아직 누가 멜라니아의 연설문을 작성했는지도 드러나지 않았다.

아직	아직/MAG
누가	누구/NP+가/JKS
멜라니아의	멜라니아/NNP+의/JKG
연설문을	연설문/NNG+을/JKO
작성했는지도	작성/NNG+하/XSV+았/EP+는지/EF+도/JX
드러나지	드러나/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.89.8.4
멜라니아는 연설 전 <엔비시>(NBC) 방송 인터뷰에서 “연설문은 직접 작성했으며, 최소한의 도움만 받았다”고 말한 바 있다.

멜라니아는	멜라니아/NNP+는/JX
연설	연설/NNG
전	전/NNG
<엔비시>(NBC)	</SS+엔비시/NNP+>/SS+(/SS+NBC/SL+)/SS
방송	방송/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
“연설문은	“/SS+연설문/NNG+은/JX
직접	직접/MAG
작성했으며,	작성/NNG+하/XSV+았/EP+으며/EC+,/SP
최소한의	최소한/NNG+의/JKG
도움만	도움/NNG+만/JX
받았다”고	받/VV+았/EP+다/EF+”/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.89.9.1
그러나 멜라니아의 연설문은 미셸의 연설문과 민망할 정도로 비슷하다는 게 중론이다.

그러나	그러나/MAJ
멜라니아의	멜라니아/NNP+의/JKG
연설문은	연설문/NNG+은/JX
미셸의	미셸/NNP+의/JKG
연설문과	연설문/NNG+과/JKB
민망할	민망하/VA+ㄹ/ETM
정도로	정도/NNG+로/JKB
비슷하다는	비슷하/VA+다는/ETM
게	거/NNB+이/JKS
중론이다.	중론/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.89.9.2
정치평론가 제프리 로드는 <시엔엔>에서 “표절은 ‘매우 심각한 문제’”라며 “연설문 작성에 관여한 캠페인 담당자는 이번 논란에 책임을 지고 떠나야 한다”고 말했다.

정치평론가	정치/NNG+평론가/NNG
제프리	제프리/NNP
로드는	로드/NNP+는/JX
