# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.318
metadata : {}


# id : NWRW1800000045.318.1.1
극단처방 악순환… 여야 증세논쟁 다시 번질 조짐

극단처방	극단/NNG+처방/NNG
악순환…	악순환/NNG+…/SE
여야	여야/NNG
증세논쟁	증세/NNG+논쟁/NNG
다시	다시/MAG
번질	번지/VV+ㄹ/ETM
조짐	조짐/NNG


# id : NWRW1800000045.318.2.1
[연말정산 후폭풍] 野 “법인세 올려 환급금 재원 마련” 與 “경제살리기 찬물… 절대 안돼”

[연말정산	[/SS+연말/NNG+정산/NNG
후폭풍]	후폭풍/NNG+]/SS
野	野/SH
“법인세	“/SS+법인세/NNG
올려	올리/VV+어/EC
환급금	환급금/NNG
재원	재원/NNG
마련”	마련/NNG+”/SS
與	與/SH
“경제살리기	“/SS+경제/NNG+살리/VV+기/ETN
찬물…	찬물/NNG+…/SE
절대	절대/MAG
안돼”	안/MAG+되/XSV+어/EF+”/SS


# id : NWRW1800000045.318.3.1
연말정산 논란을 수습하기 위한 후속 조치 논의가 정치권의 ‘증세 논쟁’으로 번질 조짐이 보이자 청와대와 새누리당이 한목소리로 적극 진화에 나섰다.

연말정산	연말/NNG+정산/NNG
논란을	논란/NNG+을/JKO
수습하기	수습/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
후속	후속/NNG
조치	조치/NNG
논의가	논의/NNG+가/JKS
정치권의	정치/NNG+권/XSN+의/JKG
‘증세	‘/SS+증세/NNG
논쟁’으로	논쟁/NNG+’/SS+으로/JKB
번질	번지/VV+ㄹ/ETM
조짐이	조짐/NNG+이/JKS
보이자	보이/VV+자/EC
청와대와	청와대/NNP+와/JC
새누리당이	새누리당/NNP+이/JKS
한목소리로	한목소리/NNG+로/JKB
적극	적극/NNG
진화에	진화/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.318.4.1
안종범 대통령경제수석비서관은 22일 오후 청와대 춘추관에서 기자회견을 열고 증세 논란에 대해 “연말정산 개편은 근로자들의 소득공제로 인한 형평의 문제를 바로잡고자 한 것으로 구조조정이지 증세와는 전혀 상관이 없다”고 말했다.

안종범	안종범/NNP
대통령경제수석비서관은	대통령/NNG+경제/NNG+수석/NNG+비서관/NNG+은/JX
22일	22/SN+일/NNB
오후	오후/NNG
청와대	청와대/NNP
춘추관에서	춘추관/NNP+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열고	열/VV+고/EC
증세	증세/NNG
논란에	논란/NNG+에/JKB
대해	대하/VV+아/EC
“연말정산	“/SS+연말/NNG+정산/NNG
개편은	개편/NNG+은/JX
근로자들의	근로자/NNG+들/XSN+의/JKG
소득공제로	소득/NNG+공제/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
형평의	형평/NNG+의/JKG
문제를	문제/NNG+를/JKO
바로잡고자	바로잡/VV+고자/EC
한	하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
구조조정이지	구조/NNG+조정/NNG+이/VCP+지/EC
증세와는	증세/NNG+와/JKB+는/JX
전혀	전혀/MAG
상관이	상관/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.318.5.1
야당에서 주장하고 있는 법인세 인상에 대해 안 수석은 “현 정부로서는 전혀 고려하지 않고 있다”고 선을 그으며 “법인세율 인상은 투자를 위축시키고 경제를 악화시킬 가능성이 크다”고 잘라 말했다.

야당에서	야당/NNG+에서/JKB
주장하고	주장/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
법인세	법인세/NNG
인상에	인상/NNG+에/JKB
대해	대하/VV+아/EC
안	안/NNP
수석은	수석/NNG+은/JX
“현	“/SS+현/MMD
정부로서는	정부/NNG+로서/JKB+는/JX
전혀	전혀/MAG
고려하지	고려/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
선을	선/NNG+을/JKO
그으며	긋/VV+으며/EC
“법인세율	“/SS+법인세/NNG+율/XSN
인상은	인상/NNG+은/JX
투자를	투자/NNG+를/JKO
위축시키고	위축/NNG+시키/XSV+고/EC
경제를	경제/NNG+를/JKO
악화시킬	악화/NNG+시키/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다”고	크/VA+다/EF+”/SS+고/JKQ
잘라	자르/VV+아/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.318.5.2
이어 “비과세·감면 축소를 통해 목적을 달성하면 되지 세율 인상을 할 필요가 없다”고 밝히며 ‘증세 없는 복지’ 기조를 유지한다는 뜻을 분명히 했다.

이어	이어/MAG
“비과세·감면	“/SS+비/XPN+과세/NNG+·/SP+감면/NNG
축소를	축소/NNG+를/JKO
통해	통하/VV+아/EC
목적을	목적/NNG+을/JKO
달성하면	달성/NNG+하/XSV+면/EC
되지	되/VV+지/EC
세율	세율/NNG
인상을	인상/NNG+을/JKO
할	하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝히며	밝히/VV+며/EC
‘증세	‘/SS+증세/NNG
없는	없/VA+는/ETM
복지’	복지/NNG+’/SS
기조를	기조/NNG+를/JKO
유지한다는	유지/NNG+하/XSV+ㄴ다는/ETM
뜻을	뜻/NNG+을/JKO
분명히	분명히/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.318.6.1
새누리당도 적극 엄호에 나섰다.

새누리당도	새누리당/NNP+도/JX
적극	적극/NNG
엄호에	엄호/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.318.6.2
이완구 원내대표는 이날 기자와 만나 야당의 법인세 인상 요구에 대해 “전혀 생각해 본 적이 없다”고 밝혔다.

이완구	이완구/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
기자와	기자/NNG+와/JKB
만나	만나/VV+아/EC
야당의	야당/NNG+의/JKG
법인세	법인세/NNG
인상	인상/NNG
요구에	요구/NNG+에/JKB
대해	대하/VV+아/EC
“전혀	“/SS+전혀/MAG
생각해	생각/NNG+하/XSV+아/EC
본	보/VX+ㄴ/ETM
적이	적/NNB+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.318.6.3
이어 “세계적인 추세는 법인세를 내려 외국 자본이 빠져나가지 못하게 하고 신규 투자를 유치하는 것인데 우리나라만 거꾸로 간다면 어떻게 되겠느냐”고 덧붙였다.

이어	이어/MAG
“세계적인	“/SS+세계/NNG+적/XSN+이/VCP+ㄴ/ETM
추세는	추세/NNG+는/JX
법인세를	법인세/NNG+를/JKO
내려	내리/VV+어/EC
외국	외국/NNG
자본이	자본/NNG+이/JKS
빠져나가지	빠져나가/VV+지/EC
못하게	못하/VX+게/EC
하고	하/VX+고/EC
신규	신규/NNG
투자를	투자/NNG+를/JKO
유치하는	유치/NNG+하/XSV+는/ETM
것인데	것/NNB+이/VCP+ㄴ데/EC
우리나라만	우리나라/NNG+만/JX
거꾸로	거꾸로/MAG
간다면	가/VV+ㄴ다면/EC
어떻게	어떻/VA+게/EC
되겠느냐”고	되/VV+겠/EP+느냐/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.318.7.1
전북 지역을 방문 중인 김무성 대표도 이날 “법인세는 우리나라 기업들이 국제 경쟁력을 어떻게 갖추느냐 하는 차원에서 봐야 할 문제”라며 부정적인 뜻을 밝혔다.

전북	전북/NNP
지역을	지역/NNG+을/JKO
방문	방문/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
김무성	김무성/NNP
대표도	대표/NNG+도/JX
이날	이날/NNG
“법인세는	“/SS+법인세/NNG+는/JX
우리나라	우리나라/NNG
기업들이	기업/NNG+들/XSN+이/JKS
국제	국제/NNG
경쟁력을	경쟁력/NNG+을/JKO
어떻게	어떻/VA+게/EC
갖추느냐	갖추/VV+느냐/EF
하는	하/VV+는/ETM
차원에서	차원/NNG+에서/JKB
봐야	보/VV+아야/EC
할	하/VX+ㄹ/ETM
문제”라며	문제/NNG+”/SS+이/VCP+라며/EC
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
뜻을	뜻/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.318.8.1
나성린 당 정책위 부의장은 이날 한 라디오 방송에서 “사실상 저희는 증세를 하고 있다.

나성린	나성린/NNP
당	당/NNG
정책위	정책위/NNG
부의장은	부의장/NNG+은/JX
이날	이날/NNG
한	한/MMN
라디오	라디오/NNG
방송에서	방송/NNG+에서/JKB
“사실상	“/SS+사실/NNG+상/XSN
저희는	저희/NP+는/JX
증세를	증세/NNG+를/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.318.8.2
비과세·감면을 축소하고 탈세 척결, 금융자본소득 과세를 강화하고 있다”면서도 “그러나 법인세나 소득세율 인상을 통한 본격적인 증세를 의미하는 것은 아니다”라고 설명했다.

비과세·감면을	비/XPN+과세/NNG+·/SP+감면/NNG+을/JKO
축소하고	축소/NNG+하/XSV+고/EC
탈세	탈세/NNG
척결,	척결/NNG+,/SP
금융자본소득	금융/NNG+자본/NNG+소득/NNG
과세를	과세/NNG+를/JKO
강화하고	강화/NNG+하/XSV+고/EC
있다”면서도	있/VX+다/EF+”/SS+면서/EC+도/JX
“그러나	“/SS+그러나/MAJ
법인세나	법인세/NNG+나/JC
소득세율	소득세/NNG+율/XSN
인상을	인상/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
증세를	증세/NNG+를/JKO
의미하는	의미/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.318.9.1
새정치민주연합은 소급 적용 환급금의 재원 마련을 위해선 법인세 인상이 필요하다고 총공세를 퍼부었다.

새정치민주연합은	새정치민주연합/NNP+은/JX
소급	소급/NNG
적용	적용/NNG
환급금의	환급금/NNG+의/JKG
재원	재원/NNG
마련을	마련/NNG+을/JKO
위해선	위하/VV+아서/EC+ㄴ/JX
법인세	법인세/NNG
인상이	인상/NNG+이/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
총공세를	총공세/NNG+를/JKO
퍼부었다.	퍼붓/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.318.10.1
문희상 비상대책위원장은 이날 정책조정회의에서 “소급 입법으로 세금을 돌려주려면 다른 곳에서 세금 부족분을 채워야 한다”며 “당정은 부자 감세 철회와 법인세 정상화를 진지하게 논의해야 한다”고 주장했다.

문희상	문희상/NNP
비상대책위원장은	비상/NNG+대책/NNG+위원장/NNG+은/JX
이날	이날/NNG
정책조정회의에서	정책/NNG+조정/NNG+회의/NNG+에서/JKB
“소급	“/SS+소급/NNG
입법으로	입법/NNG+으로/JKB
세금을	세금/NNG+을/JKO
돌려주려면	돌려주/VV+려면/EC
다른	다른/MMD
곳에서	곳/NNG+에서/JKB
세금	세금/NNG
부족분을	부족/NNG+분/XSN+을/JKO
채워야	채우/VV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“당정은	“/SS+당정/NNG+은/JX
부자	부자/NNG
감세	감세/NNG
철회와	철회/NNG+와/JC
법인세	법인세/NNG
정상화를	정상/NNG+화/XSN+를/JKO
진지하게	진지하/VA+게/EC
논의해야	논의/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.318.10.2
대기업을 향한 법인세 인상의 필요성을 제기한 것이다.

