# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.397
metadata : {}


# id : NWRW1800000026.397.1.1
[강원] 처벌 줄잇자 술렁이는 군수님들;이진호 양양군수 당선무효형 유지 최승준·이석래 군수 불구속 기소지역에서는 벌써 '재선거' 바람

[강원]	[/SS+강원/NNP+]/SS
처벌	처벌/NNG
줄잇자	줄/NNG+잇/VV+자/EC
술렁이는	술렁이/VV+는/ETM
군수님들;이진호	군수/NNG+님/XSN+들/XSN+;/SP+이진호/NNP
양양군수	양양군수/NNG
당선무효형	당선/NNG+무효형/NNG
유지	유지/NNG
최승준·이석래	최승준/NNP+·/SP+이석래/NNP
군수	군수/NNG
불구속	불/XPN+구속/NNG
기소지역에서는	기소/NNG+지역/NNG+에서/JKB+는/JX
벌써	벌써/MAG
'재선거'	'/SS+재/XPN+선거/NNG+'/SS
바람	바람/NNG


# id : NWRW1800000026.397.2.1
강원도 기초자치단체장들이 잇달아 처벌을 받거나 검찰의 소환을 앞두고 있어 지역사회가 술렁이고 있다.

강원도	강원도/NNP
기초자치단체장들이	기초/NNG+자치/NNG+단체장/NNG+들/XSN+이/JKS
잇달아	잇달/VV+아/EC
처벌을	처벌/NNG+을/JKO
받거나	받/VV+거나/EC
검찰의	검찰/NNG+의/JKG
소환을	소환/NNG+을/JKO
앞두고	앞두/VV+고/EC
있어	있/VX+어/EC
지역사회가	지역/NNG+사회/NNG+가/JKS
술렁이고	술렁이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.397.2.2
이진호 양양군수의 항소는 기각됐고, 최승준 정선군수와 이석래 평창군수는 불구속 기소된 상태다.

이진호	이진호/NNP
양양군수의	양양군수/NNG+의/JKG
항소는	항소/NNG+는/JX
기각됐고,	기각/NNG+되/XSV+었/EP+고/EC+,/SP
최승준	최승준/NNP
정선군수와	정선군수/NNG+와/JC
이석래	이석래/NNP
평창군수는	평창군수/NNG+는/JX
불구속	불/XPN+구속/NNG
기소된	기소/NNG+되/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.397.2.3
일부 단체장은 검찰 소환이 끝나 기소 여부가 초 읽기에 들어갔다.

일부	일부/NNG
단체장은	단체장/NNG+은/JX
검찰	검찰/NNG
소환이	소환/NNG+이/JKS
끝나	끝나/VV+아/EC
기소	기소/NNG
여부가	여부/NNG+가/JKS
초	초/NNB
읽기에	읽/VV+기/ETN+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.397.2.4
이처럼 단체장들이 휘청거리자 지역에서는 벌써 재선거 바람이 불고 있다.

이처럼	이/NP+처럼/JKB
단체장들이	단체장/NNG+들/XSN+이/JKS
휘청거리자	휘청거리/VV+자/EC
지역에서는	지역/NNG+에서/JKB+는/JX
벌써	벌써/MAG
재선거	재/XPN+선거/NNG
바람이	바람/NNG+이/JKS
불고	불/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.397.3.1
◆이진호 군수 "상고하겠다"

◆이진호	◆/SW+이진호/NNP
군수	군수/NNG
"상고하겠다"	"/SS+상고/NNG+하/XSV+겠/EP+다/EF+"/SS


# id : NWRW1800000026.397.4.1
이진호(64) 양양군수에 대한 선거법 위반 항소심에서도 당선무효에 해당하는 벌금 300만원이 유지됐다.

이진호(64)	이진호/NNP+(/SS+64/SN+)/SS
양양군수에	양양군수/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
선거법	선거법/NNG
위반	위반/NNG
항소심에서도	항소심/NNG+에서/JKB+도/JX
당선무효에	당선/NNG+무효/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
벌금	벌금/NNG
300만원이	300/SN+만/NR+원/NNB+이/JKS
유지됐다.	유지/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.397.5.1
서울고법 춘천재판부(재판장 윤재윤 법원장)는 지난 6·2 지방선거 당시 선거 구민을 호별방문하고 기부행위를 한 혐의로 1심에서 벌금 300만원이 선고된 이 군수에 대한 항소를 기각했다.

서울고법	서울고법/NNP
춘천재판부(재판장	춘천/NNP+재판부/NNG+(/SS+재판장/NNG
윤재윤	윤재윤/NNP
법원장)는	법원장/NNG+)/SS+는/JX
지난	지나/VV+ㄴ/ETM
6·2	6/SN+·/SP+2/SN
지방선거	지방/NNG+선거/NNG
당시	당시/NNG
선거	선거/NNG
구민을	구민/NNG+을/JKO
호별방문하고	호별/NNG+방문/NNG+하/XSV+고/EC
기부행위를	기부/NNG+행위/NNG+를/JKO
한	하/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
1심에서	1심/NNG+에서/JKB
벌금	벌금/NNG
300만원이	300/SN+만/NR+원/NNB+이/JKS
선고된	선고/NNG+되/XSV+ㄴ/ETM
이	이/NNP
군수에	군수/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
항소를	항소/NNG+를/JKO
기각했다.	기각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.397.6.1
재판부는 "기부행위는 선거의 공정성을 해치고 금권선거의 폐해를 야기하는 것이므로 액수와 상관없이 엄히 처벌할 필요가 있고 호별방문 역시 처벌의 필요성이 있다"며 "기부행위와 호별방문이 선거에 영향을 미쳤을 가능성이 비교적 크다"고 판시했다.

재판부는	재판부/NNG+는/JX
"기부행위는	"/SS+기부/NNG+행위/NNG+는/JX
선거의	선거/NNG+의/JKG
공정성을	공정/NNG+성/XSN+을/JKO
해치고	해치/VV+고/EC
금권선거의	금권/NNG+선거/NNG+의/JKG
