# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.316
metadata : {}


# id : NWRW1800000033.316.1.1
한중 고위당국자, 불법조업 中어선 관련 ‘용어’ 언쟁

한중	한중/NNP
고위당국자,	고위/NNG+당국자/NNG+,/SP
불법조업	불법/NNG+조업/NNG
中어선	中/SH+어선/NNG
관련	관련/NNG
‘용어’	‘/SS+용어/NNG+’/SS
언쟁	언쟁/NNG


# id : NWRW1800000033.316.2.1
中 “비문명적 단속 하지말라”… 韓 “한국민 모욕 느낄 표현”…

中	中/SH
“비문명적	“/SS+비/XPN+문명/NNG+적/XSN
단속	단속/NNG
하지말라”…	하/VV+지/EC+말/VX+라/EF+”/SS+…/SE
韓	韓/SH
“한국민	“/SS+한국민/NNG
모욕	모욕/NNG
느낄	느끼/VV+ㄹ/ETM
표현”…	표현/NNG+”/SS+…/SE


# id : NWRW1800000033.316.3.1
中 “폭력적보다 순화한 용어”… 中 “표현 다시 논의하겠다”

中	中/SH
“폭력적보다	“/SS+폭력/NNG+적/XSN+보다/JKB
순화한	순화/NNG+하/XSV+ㄴ/ETM
용어”…	용어/NNG+”/SS+…/SE
“표현	“/SS+표현/NNG
다시	다시/MAG
논의하겠다”	논의/NNG+하/XSV+겠/EP+다/EF+”/SS


# id : NWRW1800000033.316.4.1
중국 당국이 한국의 정당한 법 집행인 중국 어선 불법 조업 단속에 ‘비문명적(uncivilized)’이라는 표현을 사용하며 “단속과 대응을 자제해 달라”고 요구한 것으로 7일 드러났다.

중국	중국/NNP
당국이	당국/NNG+이/JKS
한국의	한국/NNP+의/JKG
정당한	정당하/VA+ㄴ/ETM
법	법/NNG
집행인	집행/NNG+이/VCP+ㄴ/ETM
어선	어선/NNG
불법	불법/NNG
조업	조업/NNG
단속에	단속/NNG+에/JKB
‘비문명적(uncivilized)’이라는	‘/SS+비/XPN+문명/NNG+적/XSN+(/SS+uncivilized/SL+)/SS+’/SS+이/VCP+라는/ETM
표현을	표현/NNG+을/JKO
사용하며	사용/NNG+하/XSV+며/EC
“단속과	“/SS+단속/NNG+과/JC
대응을	대응/NNG+을/JKO
자제해	자제/NNG+하/XSV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
요구한	요구/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
7일	7/SN+일/NNB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.316.5.1
최근 중국 외교부 고위 인사를 만나 불법 조업 문제를 협의한 정부 고위 당국자는 이날 이런 사실을 전하면서 “비문명적이라는 표현에 유감을 표시하고 사용하지 말아 줄 것을 요구했다”고 말했다.

최근	최근/MAG
중국	중국/NNP
