# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.13
metadata : {}


# id : NWRW1800000045.13.1.1
[화제의 분양현장]끝없이 치솟는 서울 전세금에 수도권 분양 아파트 ‘반사효과’

[화제의	[/SS+화제/NNG+의/JKG
분양현장]끝없이	분양/NNG+현장/NNG+]/SS+끝없이/MAG
치솟는	치솟/VV+는/ETM
서울	서울/NNP
전세금에	전세금/NNG+에/JKB
수도권	수도/NNG+권/XSN
분양	분양/NNG
아파트	아파트/NNG
‘반사효과’	‘/SS+반사/NNG+효과/NNG+’/SS


# id : NWRW1800000045.13.2.1
눈에 띄는 수도권 분양 아파트

눈에	눈/NNG+에/JKB
띄는	띄/VV+는/ETM
수도권	수도/NNG+권/XSN
분양	분양/NNG
아파트	아파트/NNG


# id : NWRW1800000045.13.3.1
서울의 전세금이 연일 상승하면서 주택시장 수요자들의 시선이 경기도 및 인천 등 수도권 지역으로 향하고 있다.

서울의	서울/NNP+의/JKG
전세금이	전세금/NNG+이/JKS
연일	연일/MAG
상승하면서	상승/NNG+하/XSV+면서/EC
주택시장	주택/NNG+시장/NNG
수요자들의	수요자/NNG+들/XSN+의/JKG
시선이	시선/NNG+이/JKS
경기도	경기도/NNP
및	및/MAG
인천	인천/NNP
등	등/NNB
수도권	수도/NNG+권/XSN
지역으로	지역/NNG+으로/JKB
향하고	향하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.13.3.2
업계에 따르면 서울의 전세금은 43주째 연속으로 상승했다.

업계에	업계/NNG+에/JKB
따르면	따르/VV+면/EC
서울의	서울/NNP+의/JKG
전세금은	전세금/NNG+은/JX
43주째	43/SN+주/NNB+째/XSN
연속으로	연속/NNG+으로/JKB
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.13.3.3
이처럼 끝을 모르고 오르는 전세금에 지친 서울 전세난민들이 수도권으로 유입되면서 이 지역 아파트 분양시장이 반사효과를 누리고 있는 것.

이처럼	이/NP+처럼/JKB
끝을	끝/NNG+을/JKO
모르고	모르/VV+고/EC
오르는	오르/VV+는/ETM
전세금에	전세금/NNG+에/JKB
지친	지치/VV+ㄴ/ETM
서울	서울/NNP
전세난민들이	전세/NNG+난민/NNG+들/XSN+이/JKS
수도권으로	수도/NNG+권/XSN+으로/JKB
유입되면서	유입/NNG+되/XSV+면서/EC
이	이/MMD
지역	지역/NNG
아파트	아파트/NNG
분양시장이	분양/NNG+시장/NNG+이/JKS
반사효과를	반사/NNG+효과/NNG+를/JKO
누리고	누리/VV+고/EC
있는	있/VX+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000045.13.3.4
여기에 지난해 말부터 찾아온 부동산 호황세에 수도권 일대 아파트 분양 시장은 더워지는 날씨만큼이나 뜨거운 열기를 보이고 있다.

여기에	여기/NP+에/JKB
지난해	지난해/NNG
말부터	말/NNB+부터/JX
찾아온	찾아오/VV+ㄴ/ETM
부동산	부동산/NNG
호황세에	호황/NNG+세/NNG+에/JKB
수도권	수도/NNG+권/XSN
일대	일대/NNG
아파트	아파트/NNG
분양	분양/NNG
시장은	시장/NNG+은/JX
더워지는	덥/VA+어/EC+지/VX+는/ETM
날씨만큼이나	날씨/NNG+만큼/JKB+이나/JX
뜨거운	뜨겁/VA+ㄴ/ETM
열기를	열기/NNG+를/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.13.4.1
대우건설은 이달 구리시 구리갈매지구(C1블록)에 ‘구리 갈매 푸르지오’를 분양한다.

대우건설은	대우건설/NNP+은/JX
이달	이달/NNG
구리시	구리시/NNP
구리갈매지구(C1블록)에	구리/NNP+갈매지구/NNP+(/SS+C/SL+1/SN+블록/NNG+)/SS+에/JKB
‘구리	‘/SS+구리/NNP
갈매	갈매/NNP
푸르지오’를	푸르지오/NNP+’/SS+를/JKO
분양한다.	분양/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.13.4.2
지하 2층∼지상 25층, 10개 동 규모에 84∼142m²(이하 전용 면적)의 총 921채로 중대형이 절반 이상을 차지해 희소성이 높을 것으로 전망된다.

지하	지하/NNG
2층∼지상	2/SN+층/NNG+∼/SO+지상/NNG
25층,	25/SN+층/NNG+,/SP
10개	10/SN+개/NNB
동	동/NNB
규모에	규모/NNG+에/JKB
84∼142m²(이하	84/SN+∼/SO+142/SN+m²/SW+(/SS+이하/NNG
전용	전용/NNG
면적)의	면적/NNG+)/SS+의/JKG
총	총/MMA
921채로	921/SN+채/NNB+로/JKB
중대형이	중대형/NNG+이/JKS
절반	절반/NNG
이상을	이상/NNG+을/JKO
차지해	차지/NNG+하/XSV+아/EC
희소성이	희소/NNG+성/XSN+이/JKS
높을	높/VA+을/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.13.4.3
경춘선 갈매역을 이용하면 서울 신내역이 한 정거장 거리이고, 신내 나들목과 퇴계원 나들목도 가까워 북부간선도로와 서울외곽순환도로를 쉽게 이용할 수 있다.

경춘선	경춘선/NNP
갈매역을	갈매역/NNP+을/JKO
이용하면	이용/NNG+하/XSV+면/EC
서울	서울/NNP
신내역이	신내역/NNP+이/JKS
한	한/MMN
정거장	정거장/NNG
