# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.431
metadata : {}


# id : NWRW1800000038.431.1.1
기업들도 미세먼지 몸살… 출고 대기車 더러워져 다시 세차도

기업들도	기업/NNG+들/XSN+도/JX
미세먼지	미세/NNG+먼지/NNG
몸살…	몸살/NNG+…/SE
출고	출고/NNG
대기車	대기/NNG+車/SH
더러워져	더러워지/VV+어/EC
다시	다시/MAG
세차도	세차/NNG+도/JX


# id : NWRW1800000038.431.2.1
IT부품업체들 먼지 차단 비상… 2011년 황사 땐 불량률 2배로

IT부품업체들	IT/SL+부품업체/NNG+들/XSN
먼지	먼지/NNG
차단	차단/NNG
비상…	비상/NNG+…/SE
2011년	2011/SN+년/NNB
황사	황사/NNG
땐	때/NNG+ㄴ/JX
불량률	불량/NNG+률/XSN
2배로	2/SN+배/NNG+로/JKB


# id : NWRW1800000038.431.3.1
지난 5일 경기도 평택 쌍용자동차 공장 출고 대기장에는 세차(洗車)를 위해 줄을 서 있는 차량 숫자가 평소보다 약 2배 늘어났다.

지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
경기도	경기도/NNP
평택	평택/NNP
쌍용자동차	쌍용자동차/NNP
공장	공장/NNG
출고	출고/NNG
대기장에는	대기장/NNG+에/JKB+는/JX
세차(洗車)를	세차/NNG+(/SS+洗車/SH+)/SS+를/JKO
위해	위하/VV+아/EC
줄을	줄/NNG+을/JKO
서	서/VV+어/EC
있는	있/VX+는/ETM
차량	차량/NNG
숫자가	숫자/NNG+가/JKS
평소보다	평소/NNG+보다/JKB
약	약/MMA
2배	2/SN+배/NNG
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.431.3.2
자동차 업체들은 고객에게 깨끗하게 닦은 새 차를 내주기 위해 출고 전에 반드시 세차를 한다.

자동차	자동차/NNG
업체들은	업체/NNG+들/XSN+은/JX
고객에게	고객/NNG+에게/JKB
깨끗하게	깨끗하/VA+게/EC
닦은	닦/VV+은/ETM
새	새/MMA
차를	차/NNG+를/JKO
내주기	내주/VV+기/ETN
위해	위하/VV+아/EC
출고	출고/NNG
전에	전/NNG+에/JKB
반드시	반드시/MAG
세차를	세차/NNG+를/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.431.3.3
하지만 요즘은 잦고, 또 이전보다 더 심해진 미세(微細) 먼지 때문에 세차해 놓은 차량이라도 출고가 한두 시간만 밀리면 다시 세차를 해야 한다.

하지만	하지만/MAJ
요즘은	요즘/NNG+은/JX
잦고,	잦/VA+고/EC+,/SP
또	또/MAG
이전보다	이전/NNG+보다/JKB
더	더/MAG
심해진	심하/VA+아/EC+지/VX+ㄴ/ETM
미세(微細)	미세/NNG+(/SS+微細/SH+)/SS
먼지	먼지/NNG
때문에	때문/NNB+에/JKB
세차해	세차/NNG+하/XSV+아/EC
놓은	놓/VX+은/ETM
차량이라도	차량/NNG+이/VCP+라도/EC
출고가	출고/NNG+가/JKS
한두	한두/MMN
시간만	시간/NNB+만/JX
밀리면	밀리/VV+면/EC
다시	다시/MAG
세차를	세차/NNG+를/JKO
해야	하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.431.4.1
중국에서 날아온 미세 먼지가 한반도를 뒤덮으면서 한국 산업계도 몸살을 앓기 시작했다.

중국에서	중국/NNP+에서/JKB
날아온	날아오/VV+ㄴ/ETM
미세	미세/NNG
먼지가	먼지/NNG+가/JKS
한반도를	한반도/NNP+를/JKO
뒤덮으면서	뒤덮/VV+으면서/EC
한국	한국/NNP
산업계도	산업/NNG+계/XSN+도/JX
몸살을	몸살/NNG+을/JKO
앓기	앓/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.431.4.2
한국을 대표하는 반도체·디스플레이 같은 IT 부품 업체들은 요즘 미세 먼지 농도 변화에 신경을 곤두세운다.

한국을	한국/NNP+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
반도체·디스플레이	반도체/NNG+·/SP+디스플레이/NNG
같은	같/VA+은/ETM
IT	IT/SL
부품	부품/NNG
업체들은	업체/NNG+들/XSN+은/JX
요즘	요즘/NNG
미세	미세/NNG
먼지	먼지/NNG
농도	농도/NNG
변화에	변화/NNG+에/JKB
신경을	신경/NNG+을/JKO
곤두세운다.	곤두세우/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.431.4.3
미세 먼지는 전자부품 업체들의 공적(公敵).

미세	미세/NNG
먼지는	먼지/NNG+는/JX
전자부품	전자/NNG+부품/NNG
업체들의	업체/NNG+들/XSN+의/JKG
공적(公敵).	공적/NNG+(/SS+公敵/SH+)/SS+./SF


# id : NWRW1800000038.431.4.4
예를 들어 반도체의 원재료인 웨이퍼를 가공할 때 먼지가 붙으면 불량이 난다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
