# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.331
metadata : {}


# id : NWRW1800000030.331.1.1
"李대통령, 정치만 잘 못해 회사 경영하듯 국가 경영… 혼자 잘나 되는 시대 아냐"

"李대통령,	"/SS+李/SH+대통령/NNG+,/SP
정치만	정치/NNG+만/JX
잘	잘/MAG
못해	못/MAG+하/XSV+아/EC
회사	회사/NNG
경영하듯	경영/NNG+하/XSV+듯/EC
국가	국가/NNG
경영…	경영/NNG+…/SE
혼자	혼자/MAG
잘나	잘나/VV+아/EC
되는	되/VV+는/ETM
시대	시대/NNG
아냐"	아니/VCN+야/EF+"/SS


# id : NWRW1800000030.331.2.1
•홍준표 대표, 강연서 밝혀 "人事 자꾸 낙마해 실망줘"

•홍준표	•/SW+홍준표/NNP
대표,	대표/NNG+,/SP
강연서	강연/NNG+서/JKB
밝혀	밝히/VV+어/EC
"人事	"/SS+人事/SH
자꾸	자꾸/MAG
낙마해	낙마/NNG+하/XSV+아/EC
실망줘"	실망/NNG+주/VV+어/EF+"/SS


# id : NWRW1800000030.331.3.1
홍준표 한나라당 대표는 19일 "(이명박) 대통령께서 다른 것은 다 잘하시는데, 정치를 잘 못한다"며 "정치인 출신이 아니라 CEO 출신이다 보니 회사 경영하듯이 국가 경영을 하니까 (그렇다)"라고 말했다.

홍준표	홍준표/NNP
한나라당	한나라당/NNP
대표는	대표/NNG+는/JX
19일	19/SN+일/NNB
"(이명박)	"/SS+(/SS+이명박/NNP+)/SS
대통령께서	대통령/NNG+께서/JKS
다른	다른/MMD
것은	것/NNB+은/JX
다	다/MAG
잘하시는데,	잘/MAG+하/XSV+시/EP+는데/EC+,/SP
정치를	정치/NNG+를/JKO
잘	잘/MAG
못한다"며	못/MAG+하/XSV+ㄴ다/EF+"/SS+며/EC
"정치인	"/SS+정치인/NNG
출신이	출신/NNG+이/JKC
아니라	아니/VCN+라/EC
CEO	CEO/SL
출신이다	출신/NNG+이/VCP+다/EF
보니	보/VX+니/EC
회사	회사/NNG
경영하듯이	경영/NNG+하/XSV+듯이/EC
국가	국가/NNG
경영을	경영/NNG+을/JKO
하니까	하/VV+니까/EC
(그렇다)"라고	(/SS+그렇/VA+다/EF+)/SS+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.331.3.2
홍 대표는 이날 오전 당 중앙위원들을 대상으로 개최한 '한나라 포럼' 강연에서 "지난 3년 반 동안 12시에 주무시고 새벽 4시에 일어나면서 고생한 대통령은 해방 이후에 (이 대통령을 빼고는) 거의 없다"면서도 "지금은 자기 혼자만 잘나고 똑똑하고 영도한다고 해서 되는 시대가 아니다.

홍	홍/NNP
대표는	대표/NNG+는/JX
이날	이날/NNG
오전	오전/NNG
당	당/NNG
중앙위원들을	중앙/NNG+위원/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
개최한	개최/NNG+하/XSV+ㄴ/ETM
'한나라	'/SS+한나라/NNP
포럼'	포럼/NNG+'/SS
강연에서	강연/NNG+에서/JKB
"지난	"/SS+지나/VV+ㄴ/ETM
3년	3/SN+년/NNB
반	반/NNG
동안	동안/NNG
12시에	12/SN+시/NNB+에/JKB
주무시고	주무시/VV+고/EC
새벽	새벽/NNG
4시에	4/SN+시/NNB+에/JKB
일어나면서	일어나/VV+면서/EC
고생한	고생/NNG+하/XSV+ㄴ/ETM
대통령은	대통령/NNG+은/JX
해방	해방/NNG
이후에	이후/NNG+에/JKB
(이	(/SS+이/NNP
대통령을	대통령/NNG+을/JKO
빼고는)	빼/VV+고/EC+는/JX+)/SS
거의	거의/MAG
없다"면서도	없/VA+다/EF+"/SS+면서/EC+도/JX
"지금은	"/SS+지금/NNG+은/JX
자기	자기/NNG
혼자만	혼자/NNG+만/JX
잘나고	잘나/VV+고/EC
똑똑하고	똑똑하/VA+고/EC
영도한다고	영도/NNG+하/XSV+ㄴ다고/EC
해서	하/VX+아서/EC
되는	되/VV+는/ETM
시대가	시대/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000030.331.3.3
'나 혼자 갈 테니까 따라오라'는 식의 리더십 갖고는 국가를 이끌기가 어렵다"고 했다.

'나	'/SS+나/NP
혼자	혼자/MAG
갈	가/VV+ㄹ/ETM
테니까	터/NNB+이/VCP+니까/EC
따라오라'는	따라오/VV+라/EF+'/SS+는/ETM
식의	식/NNB+의/JKG
리더십	리더십/NNG
갖고는	갖/VV+고/EC+는/JX
국가를	국가/NNG+를/JKO
이끌기가	이끌/VV+기/ETN+가/JKS
어렵다"고	어렵/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.331.4.1
홍 대표는 인사 문제에 대해서도 "인사는 믿을 만한 사람, '노블레스 오블리주' 하는 사람, (주변에서) 따라갈 만한 사람으로 해야 국민이 따라온다"면서 "이 정부 초기부터 인사청문회를 할 때마다 장관될 사람들이 낙마를 하니 국민이 자꾸 실망하고 마음이 떠나간다"고 했다.

홍	홍/NNP
대표는	대표/NNG+는/JX
인사	인사/NNG
문제에	문제/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
"인사는	"/SS+인사/NNG+는/JX
믿을	믿/VV+을/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
사람,	사람/NNG+,/SP
'노블레스	'/SS+노블레스/NNG
오블리주'	오블리주/NNG+'/SS
하는	하/VV+는/ETM
(주변에서)	(/SS+주변/NNG+에서/JKB+)/SS
따라갈	따라가/VV+ㄹ/ETM
사람으로	사람/NNG+으로/JKB
해야	하/VV+아야/EC
국민이	국민/NNG+이/JKS
따라온다"면서	따라오/VV+ㄴ다/EF+"/SS+면서/EC
"이	"/SS+이/NNP
정부	정부/NNG
초기부터	초기/NNG+부터/JX
인사청문회를	인사/NNG+청문회/NNG+를/JKO
할	하/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
장관될	장관/NNG+되/VV+ㄹ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
낙마를	낙마/NNG+를/JKO
하니	하/VV+니/EC
자꾸	자꾸/MAG
실망하고	실망/NNG+하/XSV+고/EC
마음이	마음/NNG+이/JKS
떠나간다"고	떠나가/VV+ㄴ다/EF+"/SS+고/JKQ
