# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.3
metadata : {}


# id : NWRW1800000052.3.1.1
“한국 잠재성장률 2020년대 1%대로”

“한국	“/SS+한국/NNP
잠재성장률	잠재/NNG+성장/NNG+률/XSN
2020년대	2020/SN+년대/NNB
1%대로”	1/SN+%/SW+대/XSN+로/JKB+”/SS


# id : NWRW1800000052.3.2.1
엘지경제연 “생산가능인구 감소로”

엘지경제연	엘지경제연/NNP
“생산가능인구	“/SS+생산/NNG+가능/NNG+인구/NNG
감소로”	감소/NNG+로/JKB+”/SS


# id : NWRW1800000052.3.3.1
2016~2020년엔 2.5%대 머물 듯

2016~2020년엔	2016/SN+~/SO+2020/SN+년/NNB+에/JKB+ㄴ/JX
2.5%대	2/SN+./SP+5/SN+%/SW+대/XSN
머물	머물/VV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000052.3.4.1
불안정한 대내외 경제 여건상 한국 경제는 당분간 2%대의 저성장 기조를 이어갈 것이라는 전망이 나왔다.

불안정한	불/XPN+안정/NNG+하/XSA+ㄴ/ETM
대내외	대내외/NNG
경제	경제/NNG
여건상	여건/NNG+상/XSN
한국	한국/NNP
경제는	경제/NNG+는/JX
당분간	당분간/MAG
2%대의	2/SN+%/SW+대/XSN+의/JKG
저성장	저/XPN+성장/NNG
기조를	기조/NNG+를/JKO
이어갈	잇/VV+어/EC+가/VX+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.3.4.2
특히 경제 체질 개선과 새로운 성장 먹거리 확보가 이뤄지지 않는다면 2020년대 잠재성장률은 1%대로 떨어질 것으로 예측됐다.

특히	특히/MAG
경제	경제/NNG
체질	체질/NNG
개선과	개선/NNG+과/JC
새로운	새롭/VA+ㄴ/ETM
성장	성장/NNG
먹거리	먹거리/NNG
확보가	확보/NNG+가/JKS
이뤄지지	이뤄지/VV+지/EC
않는다면	않/VX+는다면/EC
2020년대	2020/SN+년대/NNB
잠재성장률은	잠재/NNG+성장/NNG+률/XSN+은/JX
1%대로	1/SN+%/SW+대/XSN+로/JKB
떨어질	떨어지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예측됐다.	예측/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.3.5.1
엘지(LG)경제연구원은 19일 ‘2016년 국내 경제 진단-저성장 기조에 위험 요인 산재’ 보고서를 내어 “지난해 한국 경제는 2%대 중후반 성장에 머문 것으로 추정된다.

엘지(LG)경제연구원은	엘지/NNP+(/SS+LG/SL+)/SS+경제/NNG+연구원/NNG+은/JX
19일	19/SN+일/NNB
‘2016년	‘/SS+2016/SN+년/NNB
국내	국내/NNG
경제	경제/NNG
진단-저성장	진단/NNG+-/SO+저/XPN+성장/NNG
기조에	기조/NNG+에/JKB
위험	위험/NNG
요인	요인/NNG
산재’	산재/NNG+’/SS
보고서를	보고서/NNG+를/JKO
내어	내/VV+어/EC
“지난해	“/SS+지난해/NNG
한국	한국/NNP
경제는	경제/NNG+는/JX
2%대	2/SN+%/SW+대/XSN
중후반	중후반/NNG
성장에	성장/NNG+에/JKB
머문	머물/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.3.5.2
올해 3%대 성장에 대한 기대가 높은 상황이지만, 달성하지 못할 가능성이 큰 것으로 판단된다”고 밝혔다.

올해	올해/NNG
3%대	3/SN+%/SW+대/XSN
성장에	성장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기대가	기대/NNG+가/JKS
높은	높/VA+은/ETM
상황이지만,	상황/NNG+이/VCP+지만/EC+,/SP
달성하지	달성/NNG+하/XSV+지/EC
못할	못하/VX+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
판단된다”고	판단/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.3.6.1
보고서는 저성장 기조 전망의 근거로 대외 경제 여건이 당분간 나아지기 어렵다는 점을 꼽았다.

보고서는	보고서/NNG+는/JX
저성장	저/XPN+성장/NNG
기조	기조/NNG
전망의	전망/NNG+의/JKG
근거로	근거/NNG+로/JKB
대외	대외/NNG
경제	경제/NNG
여건이	여건/NNG+이/JKS
당분간	당분간/MAG
나아지기	나아지/VV+기/ETN
어렵다는	어렵/VA+다는/ETM
점을	점/NNG+을/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.3.6.2
