# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.44
metadata : {}


# id : NWRW1800000048.44.1.1
엘리엇이 바꿔놓은 삼성 신수종 사업 전망

엘리엇이	엘리엇/NNP+이/JKS
바꿔놓은	바꾸/VV+어/EC+놓/VX+은/ETM
삼성	삼성/NNP
신수종	신/XPN+수종/NNG
사업	사업/NNG
전망	전망/NNG


# id : NWRW1800000048.44.2.1
현장에서

현장에서	현장/NNG+에서/JKB


# id : NWRW1800000048.44.3.1
지난해 11월 상장을 앞둔 제일모직의 기업설명회(IR)에서는 삼성의 바이오산업 전망에 큰 관심이 쏠렸다.

지난해	지난해/NNG
11월	11/SN+월/NNB
상장을	상장/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
제일모직의	제일모직/NNP+의/JKG
기업설명회(IR)에서는	기업/NNG+설명회/NNG+(/SS+IR/SL+)/SS+에서/JKB+는/JX
삼성의	삼성/NNP+의/JKG
바이오산업	바이오산업/NNG
전망에	전망/NNG+에/JKB
큰	크/VA+ㄴ/ETM
관심이	관심/NNG+이/JKS
쏠렸다.	쏠리/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.44.3.2
제일모직이 삼성바이오로직스의 대주주(47.5%)인데다 삼성의 대표적 신수종사업이기 때문이다.

제일모직이	제일모직/NNP+이/JKS
삼성바이오로직스의	삼성바이오로직스/NNP+의/JKG
대주주(47.5%)인데다	대/XPN+주주/NNG+(/SS+47/SN+./SP+5/SN+%/SW+)/SS+이/VCP+ㄴ/ETM+데/NNB+다/JX
삼성의	삼성/NNP+의/JKG
대표적	대표/NNG+적/XSN
신수종사업이기	신/XPN+수종/NNG+사업/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.44.3.3
기업설명회에 참석한 복수의 증권사 분석가들은 “바이오산업에 대한 질문이 많이 나왔지만, 회사 쪽에서는 성공 가능성이나 비전에 대해 구체적인 설명은 없었다.

기업설명회에	기업/NNG+설명회/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
복수의	복수/NNG+의/JKG
증권사	증권사/NNG
분석가들은	분석가/NNG+들/XSN+은/JX
“바이오산업에	“/SS+바이오산업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
질문이	질문/NNG+이/JKS
많이	많이/MAG
나왔지만,	나오/VV+았/EP+지만/EC+,/SP
회사	회사/NNG
쪽에서는	쪽/NNB+에서/JKB+는/JX
성공	성공/NNG
가능성이나	가능/NNG+성/XSN+이나/JC
비전에	비전/NNG+에/JKB
대해	대하/VV+아/EC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
설명은	설명/NNG+은/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000048.44.3.4
오히려 과잉공급에 따른 수급 불균형이나 가격 하락 등 위험을 강조하는 분위기였다”고 당시 상황을 되짚었다.

오히려	오히려/MAG
과잉공급에	과잉/NNG+공급/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
수급	수급/NNG
불균형이나	불/XPN+균형/NNG+이나/JC
가격	가격/NNG
하락	하락/NNG
등	등/NNB
위험을	위험/NNG+을/JKO
강조하는	강조/NNG+하/XSV+는/ETM
분위기였다”고	분위기/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
당시	당시/NNG
상황을	상황/NNG+을/JKO
되짚었다.	되짚/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.44.4.1
제일모직이 상장 당시 공시한 ‘예비투자설명서’를 보면, 자회사의 사업 전망과 관련해 “바이오의약품 생산 사업(CMO)은 대규모 투자가 선행되는 사업으로 투자비 회수를 위해 안정적 수주물량 확보 여부(바이오의약품 위탁생산 수주)가 가장 큰 리스크다.

제일모직이	제일모직/NNP+이/JKS
상장	상장/NNG
당시	당시/NNG
공시한	공시/NNG+하/XSV+ㄴ/ETM
‘예비투자설명서’를	‘/SS+예비/NNG+투자/NNG+설명서/NNG+’/SS+를/JKO
보면,	보/VV+면/EC+,/SP
자회사의	자회사/NNG+의/JKG
사업	사업/NNG
전망과	전망/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“바이오의약품	“/SS+바이오/NNG+의약품/NNG
생산	생산/NNG
사업(CMO)은	사업/NNG+(/SS+CMO/SL+)/SS+은/JX
대규모	대/XPN+규모/NNG
투자가	투자/NNG+가/JKS
선행되는	선행/NNG+되/XSV+는/ETM
사업으로	사업/NNG+으로/JKB
투자비	투자비/NNG
회수를	회수/NNG+를/JKO
위해	위하/VV+아/EC
안정적	안정/NNG+적/XSN
수주물량	수주/NNG+물량/NNG
확보	확보/NNG
여부(바이오의약품	여부/NNG+(/SS+바이오/NNG+의약품/NNG
위탁생산	위탁/NNG+생산/NNG
수주)가	수주/NNG+)/SS+가/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
리스크다.	리스크/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.44.4.2
삼성바이오로직스는 (중략) 일정 물량 확보 후 계약 해지 시에는 일정 부분을 보상받는 계약 조건으로 수주를 진행하고 있다”고 투자 위험 요소를 설명한다.

삼성바이오로직스는	삼성바이오로직스/NNP+는/JX
(중략)	(/SS+중략/NNG+)/SS
일정	일정/NNG
물량	물량/NNG
확보	확보/NNG
후	후/NNG
계약	계약/NNG
해지	해지/NNG
시에는	시/NNB+에/JKB+는/JX
부분을	부분/NNG+을/JKO
보상받는	보상/NNG+받/XSV+는/ETM
조건으로	조건/NNG+으로/JKB
수주를	수주/NNG+를/JKO
진행하고	진행/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
투자	투자/NNG
위험	위험/NNG
요소를	요소/NNG+를/JKO
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.44.4.3
