# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.131
metadata : {}


# id : NWRW1800000049.131.1.1
[유윤종의 쫄깃 클래식感]음악사 속 슬픈 여주인공, 단테 ‘신곡’의 프란체스카

[유윤종의	[/SS+유윤종/NNP+의/JKG
쫄깃	쫄깃/XR
클래식感]음악사	클래식/NNG+感/SH+]/SS+음악사/NNG
속	속/NNG
슬픈	슬프/VA+ㄴ/ETM
여주인공,	여주인공/NNG+,/SP
단테	단테/NNP
‘신곡’의	‘/SS+신곡/NNP+’/SS+의/JKG
프란체스카	프란체스카/NNP


# id : NWRW1800000049.131.2.1
리미니의 프란체스카(Francesca da Rimini)는 단테(사진)가 쓴 ‘신곡’의 지옥편에 등장하는 여성입니다.

리미니의	리미니/NNP+의/JKG
프란체스카(Francesca	프란체스카/NNP+(/SS+Francesca/SL
da	da/SL
Rimini)는	Rimini/SL+)/SS+는/JX
단테(사진)가	단테/NNP+(/SS+사진/NNG+)/SS+가/JKS
쓴	쓰/VV+ㄴ/ETM
‘신곡’의	‘/SS+신곡/NNP+’/SS+의/JKG
지옥편에	지옥/NNG+편/NNB+에/JKB
등장하는	등장/NNG+하/XSV+는/ETM
여성입니다.	여성/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000049.131.2.2
못생긴 남자에게 시집가지만 잘생긴 시동생에게 반해 사랑에 빠지죠.

못생긴	못생기/VV+ㄴ/ETM
남자에게	남자/NNG+에게/JKB
시집가지만	시집가/VV+지만/EC
잘생긴	잘생기/VV+ㄴ/ETM
시동생에게	시동생/NNG+에게/JKB
반해	반하/VV+아/EC
사랑에	사랑/NNG+에/JKB
빠지죠.	빠지/VV+죠/EF+./SF


# id : NWRW1800000049.131.2.3
이 사실을 남편이 알게 되고, 사랑하는 남녀는 죽임을 당합니다.

이	이/MMD
사실을	사실/NNG+을/JKO
남편이	남편/NNG+이/JKS
알게	알/VV+게/EC
되고,	되/VV+고/EC+,/SP
사랑하는	사랑/NNG+하/XSV+는/ETM
남녀는	남녀/NNG+는/JX
죽임을	죽이/VV+ㅁ/ETN+을/JKO
당합니다.	당하/VV+ㅂ니다/EF+./SF


# id : NWRW1800000049.131.2.4
이 이야기에 영감을 받은 차이콥스키가 교향시 ‘리미니의 프란체스카’를 썼고, 차이콥스키를 경모한 후배 작곡가 라흐마니노프는 같은 제목의 오페라를 작곡했습니다.

이	이/MMD
이야기에	이야기/NNG+에/JKB
영감을	영감/NNG+을/JKO
받은	받/VV+은/ETM
차이콥스키가	차이콥스키/NNP+가/JKS
교향시	교향시/NNG
‘리미니의	‘/SS+리미니/NNP+의/JKG
프란체스카’를	프란체스카/NNP+’/SS+를/JKO
썼고,	쓰/VV+었/EP+고/EC+,/SP
차이콥스키를	차이콥스키/NNP+를/JKO
경모한	경모/NNG+하/XSV+ㄴ/ETM
후배	후배/NNG
작곡가	작곡가/NNG
라흐마니노프는	라흐마니노프/NNP+는/JX
같은	같/VA+은/ETM
제목의	제목/NNG+의/JKG
오페라를	오페라/NNG+를/JKO
작곡했습니다.	작곡/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000049.131.3.1
그런데 저는 이 프란체스카를 생각할 때마다 차이콥스키나 라흐마니노프에 앞서 오페라 작곡가 자코모 푸치니를 떠올리게 됩니다.

그런데	그런데/MAJ
저는	저/NP+는/JX
이	이/MMD
프란체스카를	프란체스카/NNP+를/JKO
생각할	생각/NNG+하/XSV+ㄹ/ETM
때마다	때/NNG+마다/JX
차이콥스키나	차이콥스키/NNP+나/JC
라흐마니노프에	라흐마니노프/NNP+에/JKB
앞서	앞서/VV+어/EC
오페라	오페라/NNG
작곡가	작곡가/NNG
자코모	자코모/NNP
푸치니를	푸치니/NNP+를/JKO
떠올리게	떠올리/VV+게/EC
됩니다.	되/VV+ㅂ니다/EF+./SF


# id : NWRW1800000049.131.3.2
푸치니가 이 소재로 작품을 쓰지는 않았습니다.

푸치니가	푸치니/NNP+가/JKS
이	이/MMD
소재로	소재/NNG+로/JKB
작품을	작품/NNG+을/JKO
쓰지는	쓰/VV+지/EC+는/JX
않았습니다.	않/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000049.131.3.3
그런데도 그를 생각하는 데는 이유가 있습니다.

그런데도	그렇/VA+ㄴ데/EC+도/JX
그를	그/NP+를/JKO
생각하는	생각/NNG+하/XSV+는/ETM
데는	데/NNB+는/JX
이유가	이유/NNG+가/JKS
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000049.131.3.4
지옥에 간 프란체스카는 눈물을 흘리면서 “불행한 지금, 행복했던 과거를 회상하는 것보다 슬픈 일은 없습니다”라고 뇌까립니다.

지옥에	지옥/NNG+에/JKB
간	가/VV+ㄴ/ETM
프란체스카는	프란체스카/NNP+는/JX
눈물을	눈물/NNG+을/JKO
흘리면서	흘리/VV+면서/EC
“불행한	“/SS+불행/NNG+하/XSA+ㄴ/ETM
지금,	지금/NNG+,/SP
행복했던	행복/NNG+하/XSA+았/EP+던/ETM
과거를	과거/NNG+를/JKO
회상하는	회상/NNG+하/XSV+는/ETM
것보다	것/NNB+보다/JKB
슬픈	슬프/VA+ㄴ/ETM
일은	일/NNG+은/JX
없습니다”라고	없/VA+습니다/EF+”/SS+라고/JKQ
뇌까립니다.	뇌까리/VV+ㅂ니다/EF+./SF


# id : NWRW1800000049.131.4.1
푸치니는 이 명제를 가장 충실하게 실천한 단테의 후배 예술가로 일컬어집니다.

푸치니는	푸치니/NNP+는/JX
이	이/MMD
명제를	명제/NNG+를/JKO
가장	가장/MAG
충실하게	충실/NNG+하/XSA+게/EC
실천한	실천/NNG+하/XSV+ㄴ/ETM
단테의	단테/NNP+의/JKG
후배	후배/NNG
예술가로	예술가/NNG+로/JKB
일컬어집니다.	일컫/VV+어/EC+지/VX+ㅂ니다/EF+./SF


# id : NWRW1800000049.131.4.2
단테보다 600년 뒤에 같은 고장(토스카나 주)에서 태어난 그는 수많은 오페라에서 ‘프란체스카 원칙’을 실천했습니다.

단테보다	단테/NNP+보다/JKB
600년	600/SN+년/NNB
뒤에	뒤/NNG+에/JKB
같은	같/VA+은/ETM
고장(토스카나	고장/NNG+(/SS+토스카나/NNP
주)에서	주/NNG+)/SS+에서/JKB
태어난	태어나/VV+ㄴ/ETM
그는	그/NP+는/JX
수많은	수많/VA+은/ETM
오페라에서	오페라/NNG+에서/JKB
‘프란체스카	‘/SS+프란체스카/NNP
원칙’을	원칙/NNG+’/SS+을/JKO
실천했습니다.	실천/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000049.131.4.3
첫 오페라인 ‘빌리’, 출세작 ‘마농 레스코’, 대성공작인 ‘라보엠’ ‘나비부인’ 등이 다 비슷합니다.

첫	첫/MMN
오페라인	오페라/NNG+이/VCP+ㄴ/ETM
‘빌리’,	‘/SS+빌리/NNP+’/SS+,/SP
출세작	출세작/NNG
‘마농	‘/SS+마농/NNP
레스코’,	레스코/NNP+’/SS+,/SP
대성공작인	대/XPN+성공작/NNG+이/VCP+ㄴ/ETM
‘라보엠’	‘/SS+라보엠/NNP+’/SS
‘나비부인’	‘/SS+나비부인/NNP+’/SS
등이	등/NNB+이/JKS
다	다/MAG
비슷합니다.	비슷하/VA+ㅂ니다/EF+./SF


# id : NWRW1800000049.131.5.1
첫 장면에서는 연인들이 행복한 시간을 갖지만, 마지막 장면에서 재회한 두 사람은 비극적인 운명을 앞두고 있습니다.

첫	첫/MMN
장면에서는	장면/NNG+에서/JKB+는/JX
연인들이	연인/NNG+들/XSN+이/JKS
행복한	행복/NNG+하/XSA+ㄴ/ETM
시간을	시간/NNG+을/JKO
갖지만,	갖/VV+지만/EC+,/SP
마지막	마지막/NNG
장면에서	장면/NNG+에서/JKB
재회한	재회/NNG+하/XSV+ㄴ/ETM
두	두/MMN
사람은	사람/NNG+은/JX
비극적인	비극/NNG+적/XSN+이/VCP+ㄴ/ETM
운명을	운명/NNG+을/JKO
앞두고	앞두/VV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000049.131.5.2
죽어가거나, 벌을 받거나, 이별할 수밖에 없는 슬픈 상황 속에서 주인공들은 행복했던 과거를 떠올립니다.

죽어가거나,	죽/VV+어/EC+가/VX+거나/EC+,/SP
벌을	벌/NNG+을/JKO
받거나,	받/VV+거나/EC+,/SP
이별할	이별/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
슬픈	슬프/VA+ㄴ/ETM
상황	상황/NNG
속에서	속/NNG+에서/JKB
주인공들은	주인공/NNG+들/XSN+은/JX
행복했던	행복/NNG+하/XSA+았/EP+던/ETM
과거를	과거/NNG+를/JKO
떠올립니다.	떠올리/VV+ㅂ니다/EF+./SF


# id : NWRW1800000049.131.5.3
동시에 푸치니는 첫 장면에서 선보였던 아름다운 멜로디를 수없이 흘려보내 관객의 눈물샘을 자극합니다.

동시에	동시/NNG+에/JKB
푸치니는	푸치니/NNP+는/JX
첫	첫/MMN
장면에서	장면/NNG+에서/JKB
선보였던	선보이/VV+었/EP+던/ETM
아름다운	아름답/VA+ㄴ/ETM
멜로디를	멜로디/NNG+를/JKO
수없이	수없이/MAG
흘려보내	흘려보내/VV
관객의	관객/NNG+의/JKG
눈물샘을	눈물샘/NNG+을/JKO
자극합니다.	자극/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000049.131.5.4
이 때문에 푸치니의 오페라들이 ‘단테적이다’라는 얘기를 듣는 것입니다.

이	이/NP
때문에	때문/NNB+에/JKB
푸치니의	푸치니/NNP+의/JKG
오페라들이	오페라/NNG+들/XSN+이/JKS
‘단테적이다’라는	‘/SS+단테/NNP+적/XSN+이/VCP+다/EF+’/SS+이/VCP+라는/ETM
얘기를	얘기/NNG+를/JKO
듣는	듣/VV+는/ETM
것입니다.	것/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000049.131.6.1
한편 줄거리 면에서 리미니의 프란체스카는 바그너 오페라 ‘트리스탄과 이졸데’, 마테를링크의 희곡 ‘펠레아스와 멜리장드’ 등과도 공통된 구조를 갖습니다.

한편	한편/MAG
줄거리	줄거리/NNG
면에서	면/NNG+에서/JKB
리미니의	리미니/NNP+의/JKG
프란체스카는	프란체스카/NNP+는/JX
바그너	바그너/NNP
오페라	오페라/NNG
‘트리스탄과	‘/SS+트리스탄/NNP+과/JC
이졸데’,	이졸데/NNP+’/SS+,/SP
마테를링크의	마테를링크/NNP+의/JKG
희곡	희곡/NNG
‘펠레아스와	‘/SS+펠레아스/NNP+와/JC
멜리장드’	멜리장드/NNP+’/SS
등과도	등/NNB+과/JKB+도/JX
공통된	공통/NNG+되/XSV+ㄴ/ETM
구조를	구조/NNG+를/JKO
갖습니다.	갖/VV+습니다/EF+./SF


# id : NWRW1800000049.131.6.2
정략 결혼한 신부가 더 낮은 권력을 가진 미남을 사랑했다가 죽는 스토리죠.

정략	정략/NNG
결혼한	결혼/NNG+하/XSV+ㄴ/ETM
신부가	신부/NNG+가/JKS
더	더/MAG
낮은	낮/VA+은/ETM
권력을	권력/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
미남을	미남/NNG+을/JKO
사랑했다가	사랑/NNG+하/XSV+았/EP+다가/EC
죽는	죽/VV+는/ETM
스토리죠.	스토리/NNG+이/VCP+죠/EF+./SF


# id : NWRW1800000049.131.6.3
‘펠레아스와 멜리장드’는 포레, 드뷔시, 시벨리우스, 쇤베르크가 각각 음악으로 만들었다는 얘기도 이 코너에서 소개한 바 있습니다.

‘펠레아스와	‘/SS+펠레아스/NNP+와/JC
멜리장드’는	멜리장드/NNP+’/SS+는/JX
포레,	포레/NNP+,/SP
드뷔시,	드뷔시/NNP+,/SP
시벨리우스,	시벨리우스/NNP+,/SP
쇤베르크가	쇤베르크/NNP+가/JKS
각각	각각/MAG
음악으로	음악/NNG+으로/JKB
만들었다는	만들/VV+었/EP+다는/ETM
얘기도	얘기/NNG+도/JX
이	이/MMD
코너에서	코너/NNG+에서/JKB
소개한	소개/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000049.131.7.1
요엘 레비가 지휘하는 KBS교향악단은 30일 정기연주회에서 차이콥스키의 ‘프란체스카 다 리미니’를 첫 곡으로 연주합니다.

요엘	요엘/NNP
레비가	레비/NNP+가/JKS
지휘하는	지휘/NNG+하/XSV+는/ETM
KBS교향악단은	KBS교향악단/NNP+은/JX
30일	30/SN+일/NNB
정기연주회에서	정기/NNG+연주회/NNG+에서/JKB
차이콥스키의	차이콥스키/NNP+의/JKG
‘프란체스카	‘/SS+프란체스카/NNP
다	다/NNG
리미니’를	리미니/NNP+’/SS+를/JKO
첫	첫/MMN
곡으로	곡/NNG+으로/JKB
연주합니다.	연주/NNG+하/XSV+ㅂ니다/EF+./SF


