# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.130
metadata : {}


# id : NWRW1800000044.130.1.1
“한국 팬 ‘겨울왕국’ 사랑이 디즈니 회생에 큰힘”

“한국	“/SS+한국/NNP
팬	팬/NNG
‘겨울왕국’	‘/SS+겨울왕국/NNP+’/SS
사랑이	사랑/NNG+이/JKS
디즈니	디즈니/NNP
회생에	회생/NNG+에/JKB
큰힘”	크/VA+ㄴ/ETM+힘/NNG+”/SS


# id : NWRW1800000044.130.2.1
[한겨레] 디즈니·픽사 총괄책임자 존 래시티

[한겨레]	[/SS+한겨레/NNP+]/SS
디즈니·픽사	디즈니/NNP+·/SP+픽사/NNP
총괄책임자	총괄/NNG+책임자/NNG
존	존/NNP
래시티	래시티/NNP


# id : NWRW1800000044.130.3.1
신작 ‘빅 히어로’ 다니엘 헤니 캐스팅

신작	신작/NNG
‘빅	‘/SS+빅/NNP
히어로’	히어로/NNP+’/SS
다니엘	다니엘/NNP
헤니	헤니/NNP
캐스팅	캐스팅/NNG


# id : NWRW1800000044.130.4.1
“한국은 디즈니와 픽사 스튜디오한테 큰 의미가 있는 나라입니다.

“한국은	“/SS+한국/NNP+은/JX
디즈니와	디즈니/NNP+와/JC
픽사	픽사/NNP
스튜디오한테	스튜디오/NNP+한테/JKB
큰	크/VA+ㄴ/ETM
의미가	의미/NNG+가/JKS
있는	있/VA+는/ETM
나라입니다.	나라/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000044.130.4.2
<겨울왕국>이 디즈니를 되살리고 더 강한 스튜디오로 만들었는데, 한국에서 보내준 큰 사랑도 힘이 됐습니다.”

<겨울왕국>이	</SS+겨울왕국/NNP+>/SS+이/JKS
디즈니를	디즈니/NNP+를/JKO
되살리고	되살리/VV+고/EC
더	더/MAG
강한	강하/VA+ㄴ/ETM
스튜디오로	스튜디오/NNG+로/JKB
만들었는데,	만들/VV+었/EP+는데/EC+,/SP
한국에서	한국/NNP+에서/JKB
보내준	보내/VV+어/EC+주/VX+ㄴ/ETM
큰	크/VA+ㄴ/ETM
사랑도	사랑/NNG+도/JX
힘이	힘/NNG+이/JKC
됐습니다.”	되/VV+었/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000044.130.5.1
월트 디즈니와 픽사 애니메이션 스튜디오에서 크리에이티브 총괄 책임자(CCO)를 맡고 있는 존 래시터(사진)는 21일 서울 왕십리 씨지브이(CGV)에서 연 기자간담회에서 이렇게 말했다.

월트	월트/NNP
디즈니와	디즈니/NNP+와/JC
픽사	픽사/NNP
애니메이션	애니메이션/NNG
스튜디오에서	스튜디오/NNG+에서/JKB
크리에이티브	크리에이티브/NNG
총괄	총괄/NNG
책임자(CCO)를	책임자/NNG+(/SS+CCO/SL+)/SS+를/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
존	존/NNP
래시터(사진)는	래시터/NNP+(/SS+사진/NNG+)/SS+는/JX
21일	21/SN+일/NNB
서울	서울/NNP
왕십리	왕십리/NNP
씨지브이(CGV)에서	씨지브이/NNP+(/SS+CGV/SL+)/SS+에서/JKB
연	열/VV+ㄴ/ETM
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.130.5.2
디즈니를 애니메이션 명가로 재건하는 데 큰 공을 세운 ‘겨울왕국’은 국내에서도 1천만 관객을 돌파하며 미국 다음으로 흥행을 거두었다.

디즈니를	디즈니/NNP+를/JKO
애니메이션	애니메이션/NNG
명가로	명가/NNG+로/JKB
재건하는	재건/NNG+하/XSV+는/ETM
데	데/NNB
큰	크/VA+ㄴ/ETM
공을	공/NNG+을/JKO
세운	세우/VV+ㄴ/ETM
‘겨울왕국’은	‘/SS+겨울왕국/NNP+’/SS+은/JX
국내에서도	국내/NNG+에서/JKB+도/JX
1천만	1/SN+천만/NR
관객을	관객/NNG+을/JKO
돌파하며	돌파/NNG+하/XSV+며/EC
미국	미국/NNP
다음으로	다음/NNG+으로/JKB
흥행을	흥행/NNG+을/JKO
거두었다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.130.6.1
존 래시터는 디즈니와 픽사의 핵심 인물로 꼽힌다.

존	존/NNP
래시터는	래시터/NNP+는/JX
디즈니와	디즈니/NNP+와/JC
픽사의	픽사/NNP+의/JKG
핵심	핵심/NNG
인물로	인물/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.130.6.2
1979년부터 디즈니에서 애니메이터로 일해온 그는 86년 스티브 잡스와 픽사 스튜디오를 설립했다.

1979년부터	1979/SN+년/NNB+부터/JX
디즈니에서	디즈니/NNP+에서/JKB
애니메이터로	애니메이터/NNG+로/JKB
일해온	일/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
그는	그/NP+는/JX
86년	86/SN+년/NNB
스티브	스티브/NNP
잡스와	잡스/NNP+와/JC
픽사	픽사/NNP
스튜디오를	스튜디오/NNP+를/JKO
설립했다.	설립/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.130.6.3
최초의 3차원(3D) 애니메이션 <토이 스토리>를 시작으로 많은 흥행작을 냈다.

최초의	최초/NNG+의/JKG
3차원(3D)	3/SN+차원/NNG+(/SS+3/SN+D/SL+)/SS
애니메이션	애니메이션/NNG
<토이	</SS+토이/NNP
스토리>를	스토리/NNP+>/SS+를/JKO
시작으로	시작/NNG+으로/JKB
많은	많/VA+은/ETM
흥행작을	흥행작/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.130.6.4
2006년 디즈니가 픽사를 인수하면서 20년 만에 다시 디즈니로 돌아온 그는 두 ·스튜디오의 제작을 총지휘하고 있다.

2006년	2006/SN+년/NNB
디즈니가	디즈니/NNP+가/JKS
픽사를	픽사/NNP+를/JKO
인수하면서	인수/NNG+하/XSV+면서/EC
20년	20/SN+년/NNB
만에	만/NNB+에/JKB
다시	다시/MAG
디즈니로	디즈니/NNP+로/JKB
돌아온	돌아오/VV+ㄴ/ETM
그는	그/NP+는/JX
두	두/MMN
·스튜디오의	·/SP+스튜디오/NNG+의/JKG
제작을	제작/NNG+을/JKO
총지휘하고	총지휘/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.130.6.5
그가 한국을 찾은 건 ‘토이 스토리’ 개봉 때인 95년 이후 19년 만이다.

그가	그/NP+가/JKS
한국을	한국/NNP+을/JKO
찾은	찾/VV+은/ETM
건	거/NNB+ㄴ/JX
‘토이	‘/SS+토이/NNP
스토리’	스토리/NNP+’/SS
개봉	개봉/NNG
때인	때/NNG+이/VCP+ㄴ/ETM
95년	95/SN+년/NNB
이후	이후/NNG
19년	19/SN+년/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.130.7.1
