# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.95
metadata : {}


# id : NWRW1800000048.95.1.1
‘노인 고독사’ 방지 알리미 서비스…24시간 TV 안켜지면 문자

‘노인	‘/SS+노인/NNG
고독사’	고독사/NNG+’/SS
방지	방지/NNG
알리미	알리미/NNG
서비스…24시간	서비스/NNG+…/SE+24/SN+시간/NNB
TV	TV/SL
안켜지면	안/MAG+켜/VV+어/EC+지/VX+면/EC
문자	문자/NNG


# id : NWRW1800000048.95.2.1
KT 올레TV, 안부알리미·일정알리미 서비스 2종 내놔

KT	KT/SL
올레TV,	올레TV/NNP+,/SP
안부알리미·일정알리미	안부/NNG+알리미/NNG+·/SP+일정/NNG+알리미/NNG
서비스	서비스/NNG
2종	2/SN+종/NNG
내놔	내놓/VV+아/EF


# id : NWRW1800000048.95.3.1
티브이를 통해 부모의 안부를 간접 확인하는 통신 서비스가 출시된다.

티브이를	티브이/NNG+를/JKO
통해	통하/VV+아/EC
부모의	부모/NNG+의/JKG
안부를	안부/NNG+를/JKO
간접	간접/NNG
확인하는	확인/NNG+하/XSV+는/ETM
통신	통신/NNG
서비스가	서비스/NNG+가/JKS
출시된다.	출시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.95.3.2
케이티(KT)는 ‘안부알리미’, ‘일정알리미’ 등 올레티브이(tv) 알리미 서비스 2종을 내놓는다고 7일 밝혔다.

케이티(KT)는	케이티/NNP+(/SS+KT/SL+)/SS+는/JX
‘안부알리미’,	‘/SS+안부/NNG+알리미/NNG+’/SS+,/SP
‘일정알리미’	‘/SS+일정/NNG+알리미/NNG+’/SS
등	등/NNB
올레티브이(tv)	올레티브이/NNP+(/SS+tv/SL+)/SS
알리미	알리미/NNG
서비스	서비스/NNG
2종을	2/SN+종/NNG+을/JKO
내놓는다고	내놓/VV+는다고/EC
7일	7/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.95.3.3
안부알리미는 해당 서비스에 가입한 올레티브이가 24시간 이상 작동하지 않았을 때와 그 뒤에 켜졌을 경우, 지정된 보호자에게 문자메시지를 발송하는 서비스다.

안부알리미는	안부/NNG+알리미/NNG+는/JX
해당	해당/NNG
서비스에	서비스/NNG+에/JKB
가입한	가입/NNG+하/XSV+ㄴ/ETM
올레티브이가	올레티브이/NNP+가/JKS
24시간	24/SN+시간/NNB
이상	이상/NNG
작동하지	작동/NNG+하/XSV+지/EC
않았을	않/VX+았/EP+을/ETM
때와	때/NNG+와/JC
그	그/MMD
뒤에	뒤/NNG+에/JKB
켜졌을	켜/VV+어/EC+지/VX+었/EP+을/ETM
경우,	경우/NNG+,/SP
지정된	지정/NNG+되/XSV+ㄴ/ETM
보호자에게	보호자/NNG+에게/JKB
문자메시지를	문자/NNG+메시지/NNG+를/JKO
발송하는	발송/NNG+하/XSV+는/ETM
서비스다.	서비스/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.95.3.4
예를 들어 시골의 부모님 댁 인터넷티브이 회선에 해당 서비스를 가입하고 자신의 휴대전화에 연동시켜 두면 티브이가 켜지거나 24시간 넘게 켜지지 않는 경우 문자서비스를 받게 되는 식이다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
시골의	시골/NNG+의/JKG
부모님	부모/NNG+님/XSN
댁	댁/NNG
인터넷티브이	인터넷/NNG+티브이/NNG
회선에	회선/NNG+에/JKB
해당	해당/NNG
