# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.7
metadata : {}


# id : NWRW1800000049.7.1.1
[미래로 뛰는 한국기업]‘홈 IoT’ 서비스 6개월만에 가입자 20만명 ‘훌쩍’

[미래로	[/SS+미래/NNG+로/JKB
뛰는	뛰/VV+는/ETM
한국기업]‘홈	한국/NNP+기업/NNG+]/SS+‘/SS+홈/NNG
IoT’	IoT/SL+’/SS
서비스	서비스/NNG
6개월만에	6/SN+개월/NNB+만/NNB+에/JKB
가입자	가입자/NNG
20만명	20/SN+만/NR+명/NNB
‘훌쩍’	‘/SS+훌쩍/MAG+’/SS


# id : NWRW1800000049.7.2.1
LG유플러스가 차세대 성장동력으로 삼는 사물인터넷(IoT) 사업에 청신호가 켜졌다.

LG유플러스가	LG유플러스/NNP+가/JKS
차세대	차세대/NNG
성장동력으로	성장/NNG+동력/NNG+으로/JKB
삼는	삼/VV+는/ETM
사물인터넷(IoT)	사물/NNG+인터넷/NNG+(/SS+IoT/SL+)/SS
사업에	사업/NNG+에/JKB
청신호가	청신호/NNG+가/JKS
켜졌다.	켜/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.7.2.2
이 회사의 ‘홈 IoT’ 서비스가 출시 6개월 만에 20만 가입자를 넘어서며 인기를 끌고 있다.

이	이/MMD
회사의	회사/NNG+의/JKG
‘홈	‘/SS+홈/NNG
IoT’	IoT/SL+’/SS
서비스가	서비스/NNG+가/JKS
출시	출시/NNG
6개월	6/SN+개월/NNB
만에	만/NNB+에/JKB
20만	20/SN+만/NR
가입자를	가입자/NNG+를/JKO
넘어서며	넘어서/VV+며/EC
인기를	인기/NNG+를/JKO
끌고	끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.7.3.1
현재 홈 IoT 서비스는 IoT 도어록, 가스록, 열림감지센서, 스위치, 플러그, 에너지미터 등 총 14가지에 이른다.

현재	현재/MAG
홈	홈/NNG
IoT	IoT/SL
서비스는	서비스/NNG+는/JX
도어록,	도어록/NNG+,/SP
가스록,	가스/NNG+록/NNG+,/SP
열림감지센서,	열리/VV+ㅁ/ETN+감지/NNG+센서/NNG+,/SP
스위치,	스위치/NNG+,/SP
플러그,	플러그/NNG+,/SP
에너지미터	에너지미터/NNG
등	등/NNB
총	총/MMA
14가지에	14/SN+가지/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.7.3.2
국내 통신 3사 중 유일하게 IoT 전국 설치 서비스는 물론이고 애프터서비스(AS)까지 한꺼번에 지원하는 통합 서비스도 제공한다.

국내	국내/NNG
통신	통신/NNG
3사	3/SN+사/NNG
중	중/NNB
유일하게	유일/NNG+하/XSA+게/EC
IoT	IoT/SL
전국	전국/NNG
설치	설치/NNG
서비스는	서비스/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
애프터서비스(AS)까지	애프터서비스/NNG+(/SS+AS/SL+)/SS+까지/JX
한꺼번에	한꺼번에/MAG
지원하는	지원/NNG+하/XSV+는/ETM
통합	통합/NNG
서비스도	서비스/NNG+도/JX
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.7.4.1
LG유플러스에 따르면 홈 IoT 서비스는 최근에는 하루 1000명 이상이 신청하며 가입자 증가세에 속도가 붙고 있다.

LG유플러스에	LG유플러스/NNP+에/JKB
따르면	따르/VV+면/EC
홈	홈/NNG
IoT	IoT/SL
서비스는	서비스/NNG+는/JX
최근에는	최근/NNG+에/JKB+는/JX
하루	하루/NNG
1000명	1000/SN+명/NNB
이상이	이상/NNG+이/JKS
신청하며	신청/NNG+하/XSV+며/EC
가입자	가입자/NNG
증가세에	증가세/NNG+에/JKB
속도가	속도/NNG+가/JKS
붙고	붙/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.7.4.2
서비스 초기 1만 명 돌파까지 30일이 걸린 데 비해 2만 명 돌파에는 21일, 3만 명은 19일, 최근에는 13일에 1만 명씩 가입자가 늘고 있다.

서비스	서비스/NNG
초기	초기/NNG
1만	1/SN+만/NR
명	명/NNB
돌파까지	돌파/NNG+까지/JX
30일이	30/SN+일/NNB+이/JKS
걸린	걸리/VV+ㄴ/ETM
데	데/NNB
비해	비/NNG+하/XSV+아/EC
2만	2/SN+만/NR
돌파에는	돌파/NNG+에/JKB+는/JX
21일,	21/SN+일/NNB+,/SP
3만	3/SN+만/NR
명은	명/NNB+은/JX
19일,	19/SN+일/NNB+,/SP
최근에는	최근/NNG+에/JKB+는/JX
13일에	13/SN+일/NNB+에/JKB
명씩	명/NNB+씩/XSN
가입자가	가입자/NNG+가/JKS
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.7.5.1
이 회사 관계자는 “통신사에 관계없이 누구나 서비스를 이용할 수 있고, 스마트폰에서 ‘불 꺼’, ‘가스 잠가’, ‘문 열어’ 등의 다양한 음성 명령을 실행할 수 있어 인기를 끌고 있다”고 말했다.

이	이/MMD
회사	회사/NNG
관계자는	관계자/NNG+는/JX
“통신사에	“/SS+통신사/NNG+에/JKB
관계없이	관계없이/MAG
누구나	누구/NP+나/JX
서비스를	서비스/NNG+를/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
스마트폰에서	스마트폰/NNG+에서/JKB
‘불	‘/SS+불/NNG
꺼’,	끄/VV+어/EF+’/SS+,/SP
‘가스	‘/SS+가스/NNG
잠가’,	잠그/VV+아/EF+’/SS+,/SP
‘문	‘/SS+문/NNG
열어’	열/VV+어/EF+’/SS
등의	등/NNB+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
음성	음성/NNG
명령을	명령/NNG+을/JKO
실행할	실행/NNG+하/XSV+ㄹ/ETM
있어	있/VA+어/EC
인기를	인기/NNG+를/JKO
끌고	끌/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.7.6.1
LG유플러스는 올 상반기(1∼6월) 중 16가지 이상의 홈 IoT 서비스를 새로 선보여 총 30종 이상을 서비스할 계획이다.

LG유플러스는	LG유플러스/NNP+는/JX
올	올/NNG
상반기(1∼6월)	상반기/NNG+(/SS+1/SN+∼/SO+6/SN+월/NNB+)/SS
중	중/NNB
16가지	16/SN+가지/NNB
이상의	이상/NNG+의/JKG
홈	홈/NNG
IoT	IoT/SL
서비스를	서비스/NNG+를/JKO
새로	새로/MAG
선보여	선보이/VV+어/EC
총	총/MMA
30종	30/SN+종/NNG
이상을	이상/NNG+을/JKO
서비스할	서비스/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.7.6.2
먼저 삼성전자의 냉장고, 에어컨, 공기청정기, 세탁기, 광파오븐 등의 스마트 가전과 연동된 홈 IoT 서비스를 상용화한다.

먼저	먼저/MAG
삼성전자의	삼성전자/NNP+의/JKG
냉장고,	냉장고/NNG+,/SP
에어컨,	에어컨/NNG+,/SP
공기청정기,	공기/NNG+청정기/NNG+,/SP
세탁기,	세탁기/NNG+,/SP
광파오븐	광파/NNG+오븐/NNG
등의	등/NNB+의/JKG
스마트	스마트/NNG
가전과	가전/NNG+과/JKB
연동된	연동/NNG+되/XSV+ㄴ/ETM
홈	홈/NNG
IoT	IoT/SL
서비스를	서비스/NNG+를/JKO
상용화한다.	상용/NNG+화/XSN+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.7.6.3
이에 기존 LG전자 제품은 물론이고 삼성전자의 스마트 가전에도 IoT 서비스를 연동할 수 있게 된다.

이에	이/NP+에/JKB
기존	기존/NNG
LG전자	LG전자/NNP
제품은	제품/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
삼성전자의	삼성전자/NNP+의/JKG
스마트	스마트/NNG
가전에도	가전/NNG+에/JKB+도/JX
IoT	IoT/SL
서비스를	서비스/NNG+를/JKO
연동할	연동/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.7.7.1
이미 지난해 7월부터 IoT 보일러, 오피스텔, 스마트홈(비디오폰 등) 시스템, 전자업체(LG전자와 삼성전자), 가구업체, 펫 액세서리 제조 기업, 전동커튼 등 전 산업 분야로 IoT 서비스를 확대하고 있다.

이미	이미/MAG
지난해	지난해/NNG
7월부터	7/SN+월/NNB+부터/JX
IoT	IoT/SL
보일러,	보일러/NNG+,/SP
오피스텔,	오피스텔/NNG+,/SP
스마트홈(비디오폰	스마트홈/NNG+(/SS+비디오/NNG+폰/NNG
등)	등/NNB+)/SS
시스템,	시스템/NNG+,/SP
전자업체(LG전자와	전자업체/NNG+(/SS+LG전자/NNP+와/JC
삼성전자),	삼성전자/NNP+)/SS+,/SP
가구업체,	가구업체/NNG+,/SP
펫	펫/NNG
액세서리	액세서리/NNG
제조	제조/NNG
기업,	기업/NNG+,/SP
전동커튼	전동/NNG+커튼/NNG
등	등/NNB
전	전/MMN
산업	산업/NNG
분야로	분야/NNG+로/JKB
서비스를	서비스/NNG+를/JKO
확대하고	확대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.7.8.1
서비스가 확대되면서 지난해 10월에는 국내 최초로 총 496m²(약 150평) 규모의 대전 IoT 인증센터를 오픈했다.

서비스가	서비스/NNG+가/JKS
확대되면서	확대/NNG+되/XSV+면서/EC
지난해	지난해/NNG
10월에는	10/SN+월/NNB+에/JKB+는/JX
국내	국내/NNG
최초로	최초/NNG+로/JKB
총	총/MMA
496m²(약	496/SN+m²/SW+(/SS+약/MMA
150평)	150/SN+평/NNB+)/SS
규모의	규모/NNG+의/JKG
대전	대전/NNP
IoT	IoT/SL
인증센터를	인증/NNG+센터/NNG+를/JKO
오픈했다.	오픈/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.7.9.1
인증센터에는 무간섭(차폐) 시험실, 음성인식 시험실, 근거리 무선 프로토콜 시험실, 고객환경 시험실, 기술 교육실 등 IoT 제품 개발에 필요한 국내 최고 수준의 시험 환경을 갖췄다.

인증센터에는	인증/NNG+센터/NNG+에/JKB+는/JX
무간섭(차폐)	무/XPN+간섭/NNG+(/SS+차폐/NNG+)/SS
시험실,	시험실/NNG+,/SP
음성인식	음성/NNG+인식/NNG
근거리	근거리/NNG
무선	무선/NNG
프로토콜	프로토콜/NNG
고객환경	고객/NNG+환경/NNG
기술	기술/NNG
교육실	교육실/NNG
등	등/NNB
IoT	IoT/SL
제품	제품/NNG
개발에	개발/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
국내	국내/NNG
최고	최고/NNG
수준의	수준/NNG+의/JKG
시험	시험/NNG
환경을	환경/NNG+을/JKO
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.7.9.2
센터를 통해 상용화 시험이 완료된 IoT 기술에 대해서는 LG유플러스가 인증마크를 부여해 중소기업의 품질 신뢰도를 향상시킬 계획이다.

센터를	센터/NNG+를/JKO
통해	통하/VV+아/EC
상용화	상용/NNG+화/XSN
시험이	시험/NNG+이/JKS
완료된	완료/NNG+되/XSV+ㄴ/ETM
IoT	IoT/SL
기술에	기술/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
LG유플러스가	LG유플러스/NNP+가/JKS
인증마크를	인증/NNG+마크/NNG+를/JKO
부여해	부여/NNG+하/XSV+아/EC
중소기업의	중소기업/NNG+의/JKG
품질	품질/NNG
신뢰도를	신뢰도/NNG+를/JKO
향상시킬	향상/NNG+시키/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.7.9.3
LG유플러스는 이 같은 인증 시스템을 통해 재무 여건이 열악한 중소기업이 신제품 아이디어를 상용화하는 기간을 획기적으로 단축하도록 지원하고 있다.

LG유플러스는	LG유플러스/NNP+는/JX
이	이/NP
같은	같/VA+은/ETM
인증	인증/NNG
시스템을	시스템/NNG+을/JKO
통해	통하/VV+아/EC
재무	재무/NNG
여건이	여건/NNG+이/JKS
열악한	열악하/VA+ㄴ/ETM
중소기업이	중소기업/NNG+이/JKS
신제품	신/XPN+제품/NNG
아이디어를	아이디어/NNG+를/JKO
상용화하는	상용/NNG+화/XSN+하/XSV+는/ETM
기간을	기간/NNG+을/JKO
획기적으로	획기적/NNG+으로/JKB
단축하도록	단축/NNG+하/XSV+도록/EC
지원하고	지원/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.7.10.1
올 하반기에는 지능형 IoT 서비스를 본격 도입한다.

올	올/NNG
하반기에는	하반기/NNG+에/JKB+는/JX
지능형	지능/NNG+형/XSN
IoT	IoT/SL
서비스를	서비스/NNG+를/JKO
본격	본격/NNG
도입한다.	도입/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.7.10.2
