# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.372
metadata : {}


# id : NWRW1800000040.372.1.1
최문기, 자녀에 9억원 불법증여 의혹

최문기,	최문기/NNP+,/SP
자녀에	자녀/NNG+에/JKB
9억원	9/SN+억/NR+원/NNB
불법증여	불법/NNG+증여/NNG
의혹	의혹/NNG


# id : NWRW1800000040.372.2.1
*최문기: <미래창조과학부 장관 후보자>

*최문기:	*/SW+최문기/NNP+:/SP
<미래창조과학부	</SS+미래/NNG+창조/NNG+과학부/NNG
장관	장관/NNG
후보자>	후보자/NNG+>/SS


# id : NWRW1800000040.372.3.1
2008년이후 재산 14억 증가 추정…신고는 ‘5억 증가’

2008년이후	2008/SN+년/NNB+이후/NNG
재산	재산/NNG
14억	14/SN+억/NR
증가	증가/NNG
추정…신고는	추정/NNG+…/SE+신고/NNG+는/JX
‘5억	‘/SS+5/SN+억/NR
증가’	증가/NNG+’/SS


# id : NWRW1800000040.372.4.1
두아들 재산 안밝혀…배재정 의원 “자녀집 구입에 쓴듯”

두아들	두/MMN+아들/NNG
재산	재산/NNG
안밝혀…배재정	안/MAG+밝히/VV+어/EC+…/SE+배재정/NNP
의원	의원/NNG
“자녀집	“/SS+자녀/NNG+집/NNG
구입에	구입/NNG+에/JKB
쓴듯”	쓰/VV+ㄴ/ETM+듯/NNB+”/SS


# id : NWRW1800000040.372.5.1
최문기(52·사진) 미래창조과학부 장관 후보자가 9억원에 이르는 재산을 자녀들에게 불법 증여했다는 의혹이 제기됐다.

최문기(52·사진)	최문기/NNP+(/SS+52/SN+·/SP+사진/NNG+)/SS
미래창조과학부	미래/NNG+창조/NNG+과학부/NNG
장관	장관/NNG
후보자가	후보자/NNG+가/JKS
9억원에	9/SN+억/NR+원/NNB+에/JKB
이르는	이르/VV+는/ETM
재산을	재산/NNG+을/JKO
자녀들에게	자녀/NNG+들/XSN+에게/JKB
불법	불법/NNG
증여했다는	증여/NNG+하/XSV+았/EP+다는/ETM
의혹이	의혹/NNG+이/JKS
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.372.6.1
배재정 민주통합당 의원은 28일 “2008년 이후 5년여간 최 후보자의 늘어난 소득과 최근 제출한 재산내역을 비교하면 9억여원의 차액이 발생한다. 최 후보자 장·차남의 아파트 구입 비용 등에 쓰였을 것으로 본다”고 밝혔다.

배재정	배재정/NNP
민주통합당	민주통합당/NNP
의원은	의원/NNG+은/JX
28일	28/SN+일/NNB
“2008년	“/SS+2008/SN+년/NNB
이후	이후/NNG
5년여간	5/SN+년/NNB+여/XSN+간/XSN
최	최/NNP
후보자의	후보자/NNG+의/JKG
늘어난	늘어나/VV+ㄴ/ETM
소득과	소득/NNG+과/JC
최근	최근/MAG
제출한	제출/NNG+하/XSV+ㄴ/ETM
재산내역을	재산/NNG+내역/NNG+을/JKO
비교하면	비교/NNG+하/XSV+면/EC
9억여원의	9/SN+억/NR+여/XSN+원/NNB+의/JKG
차액이	차액/NNG+이/JKS
발생한다.	발생/NNG+하/XSV+ㄴ다/EF+./SF
후보자	후보자/NNG
장·차남의	장·차남/NNG+의/JKG
아파트	아파트/NNG
구입	구입/NNG
비용	비용/NNG
등에	등/NNB+에/JKB
쓰였을	쓰이/VV+었/EP+을/ETM
것으로	것/NNB+으로/JKB
본다”고	보/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.372.7.1
최 후보자가 한국전자통신연구원(ETRI) 원장으로 재직한 2009년 재산신고를 보면, 연간 재산증가액이 5억1000만원이다.

최	최/NNP
후보자가	후보자/NNG+가/JKS
