# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.304
metadata : {}


# id : NWRW1800000044.304.1.1
[아침 햇발] 더 커진 김기춘의 힘 / 임석규

[아침	[/SS+아침/NNG
햇발]	햇발/NNG+]/SS
더	더/MAG
커진	커지/VV+ㄴ/ETM
김기춘의	김기춘/NNP+의/JKG
힘	힘/NNG
/	//SP
임석규	임석규/NNP


# id : NWRW1800000044.304.2.1
[한겨레] 박근혜 대통령이 ‘비장의 카드’를 꺼내들었다.

[한겨레]	[/SS+한겨레/NNP+]/SS
박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
‘비장의	‘/SS+비장/NNG+의/JKG
카드’를	카드/NNG+’/SS+를/JKO
꺼내들었다.	꺼내/VV+어/EC+들/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.304.2.2
22일 안대희 전 대법관을 국무총리 후보자로 지명함으로써 지방선거를 앞둔 정국을 엄중하게 바라보고 있음을 드러냈다.

22일	22/SN+일/NNB
안대희	안대희/NNP
전	전/MMD
대법관을	대/XPN+법관/NNG+을/JKO
국무총리	국무총리/NNG
후보자로	후보자/NNG+로/JKB
지명함으로써	지명/NNG+하/XSV+ㅁ/ETN+으로써/JKB
지방선거를	지방/NNG+선거/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
정국을	정국/NNG+을/JKO
엄중하게	엄중/NNG+하/XSA+게/EC
바라보고	바라보/VV+고/EC
있음을	있/VX+음/ETN+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.304.2.3
안대희는 청렴하고 강직하며 깐깐한 사람이란 대중적 이미지를 지녔다.

안대희는	안대희/NNP+는/JX
청렴하고	청렴/NNG+하/XSA+고/EC
강직하며	강직하/VA+며/EC
깐깐한	깐깐하/VA+ㄴ/ETM
사람이란	사람/NNG+이/VCP+란/ETM
대중적	대중/NNG+적/XSN
이미지를	이미지/NNG+를/JKO
지녔다.	지니/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.304.2.4
박 대통령은 ‘안대희 발탁 카드’를 통해 세월호 침몰 사고로 요동치는 선거 민심을 돌파할 수 있다고 판단한 것 같다.

박	박/NNP
대통령은	대통령/NNG+은/JX
‘안대희	‘/SS+안대희/NNP
발탁	발탁/NNG
카드’를	카드/NNG+’/SS+를/JKO
통해	통하/VV+아/EC
세월호	세월호/NNP
침몰	침몰/NNG
사고로	사고/NNG+로/JKB
요동치는	요동치/VV+는/ETM
선거	선거/NNG
민심을	민심/NNG+을/JKO
돌파할	돌파/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
판단한	판단/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000044.304.3.1
눈에 띄는 부분은 김기춘 청와대 비서실장의 권력 기반이 더욱 굳건해진 대목이다.

눈에	눈/NNG+에/JKB
띄는	띄/VV+는/ETM
부분은	부분/NNG+은/JX
김기춘	김기춘/NNP
청와대	청와대/NNP
비서실장의	비서실장/NNG+의/JKG
권력	권력/NNG
기반이	기반/NNG+이/JKS
더욱	더욱/MAG
굳건해진	굳건하/VA+아/EC+지/VX+ㄴ/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.304.3.2
안대희 후보자는 “김 실장에 비하면 나는 발바닥이다.

안대희	안대희/NNP
후보자는	후보자/NNG+는/JX
“김	“/SS+김/NNP
실장에	실장/NNG+에/JKB
비하면	비/NNG+하/XSV+면/EC
나는	나/NP+는/JX
발바닥이다.	발바닥/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.304.3.3
우리 아이큐가 130~140 수준이라면 그분은 170대”라고 김 실장을 칭송한 적이 있다.

우리	우리/NP
아이큐가	아이큐/NNG+가/JKS
130~140	130/SN+~/SO+140/SN
수준이라면	수준/NNG+이/VCP+라면/EC
그분은	그분/NP+은/JX
170대”라고	170/SN+대/XSN+”/SS+라고/JKQ
김	김/NNP
실장을	실장/NNG+을/JKO
칭송한	칭송/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.304.3.4
그는 김기춘 실장의 아득한 검찰 후배이며 서울대 법대 동문에다 같은 경남 출신이다.

그는	그/NP+는/JX
김기춘	김기춘/NNP
실장의	실장/NNG+의/JKG
아득한	아득하/VA+ㄴ/ETM
검찰	검찰/NNG
후배이며	후배/NNG+이/VCP+며/EC
서울대	서울대/NNP
법대	법대/NNG
동문에다	동문/NNG+에다/JKB
같은	같/VA+은/ETM
경남	경남/NNP
출신이다.	출신/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.304.3.5
여러 이력에 비춰 그가 총리로 임명된 뒤에 김기춘 실장을 대하며 총리에 걸맞은 자세를 취할 수 있을지 의문이다.

여러	여러/MMN
이력에	이력/NNG+에/JKB
비춰	비추/VV+어/EC
그가	그/NP+가/JKS
총리로	총리/NNG+로/JKB
임명된	임명/NNG+되/XSV+ㄴ/ETM
뒤에	뒤/NNG+에/JKB
김기춘	김기춘/NNP
실장을	실장/NNG+을/JKO
대하며	대하/VV+며/EC
총리에	총리/NNG+에/JKB
걸맞은	걸맞/VA+은/ETM
자세를	자세/NNG+를/JKO
취할	취하/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EC
의문이다.	의문/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.304.4.1
더구나 남재준 국정원장과 김장수 국가안보실장 등 육사 출신들이 밀려남에 따라 권력의 무게중심은 ‘김기춘 라인’으로 급속히 쏠리게 됐다.

더구나	더구나/MAG
남재준	남재준/NNP
국정원장과	국정원장/NNG+과/JC
김장수	김장수/NNP
국가안보실장	국가/NNG+안보실장/NNG
등	등/NNB
육사	육사/NNP
출신들이	출신/NNG+들/XSN+이/JKS
밀려남에	밀려나/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
권력의	권력/NNG+의/JKG
무게중심은	무게/NNG+중심/NNG+은/JX
‘김기춘	‘/SS+김기춘/NNP
라인’으로	라인/NNG+’/SS+으로/JKB
급속히	급속히/MAG
쏠리게	쏠리/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.304.4.2
