# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.312
metadata : {}


# id : NWRW1800000038.312.1.1
[신수진의 사진 읽기] (16) 좌절한 발명가의 초상

[신수진의	[/SS+신수진/NNP+의/JKG
사진	사진/NNG
읽기]	읽/VV+기/ETN+]/SS
(16)	(/SS+16/SN+)/SS
좌절한	좌절/NNG+하/XSV+ㄴ/ETM
발명가의	발명가/NNG+의/JKG
초상	초상/NNG


# id : NWRW1800000038.312.2.1
사진 기술은 한 사람이 발명한 것이 아니다.

사진	사진/NNG
기술은	기술/NNG+은/JX
한	한/MMN
사람이	사람/NNG+이/JKS
발명한	발명/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000038.312.2.2
완벽한 그림에 대한 열망은 세계를 완벽하게 재현해 내겠다는 순수 의지로 이어졌으며, 그 성과물인 사진이야말로 시각적 경험의 진실을 가장 충실하게 보여줄 수 있는 도구라고 믿게 만들었다.

완벽한	완벽/NNG+하/XSA+ㄴ/ETM
그림에	그림/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
열망은	열망/NNG+은/JX
세계를	세계/NNG+를/JKO
완벽하게	완벽/NNG+하/XSA+게/EC
재현해	재현/NNG+하/XSV+아/EC
내겠다는	내/VX+겠/EP+다는/ETM
순수	순수/NNG
의지로	의지/NNG+로/JKB
이어졌으며,	이어지/VV+었/EP+으며/EC+,/SP
그	그/MMD
성과물인	성과물/NNG+이/VCP+ㄴ/ETM
사진이야말로	사진/NNG+이야말로/JX
시각적	시각/NNG+적/XSN
경험의	경험/NNG+의/JKG
진실을	진실/NNG+을/JKO
가장	가장/MAG
충실하게	충실/NNG+하/XSA+게/EC
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
도구라고	도구/NNG+이/VCP+라고/EC
믿게	믿/VV+게/EC
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.312.2.3
1839년 8월 19일 프랑스 정부가 루이 자크 망데 다게르라는 상업 화가에게서 사진 발명의 특허권을 사들인 사실을 공포하자 유사한 기술을 시험하고 있던 사람들은 어쩔 수 없이 기운이 빠져버렸을 것이다.

1839년	1839/SN+년/NNB
8월	8/SN+월/NNB
19일	19/SN+일/NNB
프랑스	프랑스/NNP
정부가	정부/NNG+가/JKS
루이	루이/NNP
자크	자크/NNP
망데	망데/NNP
다게르라는	다게르/NNP+이/VCP+라는/ETM
상업	상업/NNG
화가에게서	화가/NNG+에게서/JKB
사진	사진/NNG
발명의	발명/NNG+의/JKG
특허권을	특허/NNG+권/XSN+을/JKO
사들인	사들이/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
공포하자	공포/NNG+하/XSV+자/EC
유사한	유사/NNG+하/XSA+ㄴ/ETM
기술을	기술/NNG+을/JKO
시험하고	시험/NNG+하/XSV+고/EC
있던	있/VX+던/ETM
사람들은	사람/NNG+들/XSN+은/JX
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
기운이	기운/NNG+이/JKS
빠져버렸을	빠지/VV+어/EC+버리/VX+었/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.312.2.4
무엇을 추구했든 선두를 놓쳐버린 것이 분명했기 때문이다.

무엇을	무엇/NP+을/JKO
추구했든	추구/NNG+하/XSV+았/EP+든/EC
선두를	선두/NNG+를/JKO
놓쳐버린	놓치/VV+어/EC+버리/VX+ㄴ/ETM
것이	것/NNB+이/JKS
분명했기	분명/MAG+하/XSA+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.312.3.1
이폴리트 바야르(Hippolyte Bayard·1801~1887)도 그중 한 사람이었다.

이폴리트	이폴리트/NNP
바야르(Hippolyte	바야르/NNP+(/SS+Hippolyte/SL
Bayard·1801~1887)도	Bayard/SL+·/SP+1801/SN+~/SO+1887/SN+)/SS+도/JX
그중	그중/NNG
한	한/MMN
사람이었다.	사람/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.312.3.2
프랑스의 재무부 서기였던 그는 자신이 발명한 기술의 완성도와 독창성을 증명하기 위해서 파리에서 30여 점의 사진을 선보이는 전시를 열었음에도 불구하고 특허청은 그의 기술이 다게르의 것과 유사하다는 판단을 내렸다.

프랑스의	프랑스/NNP+의/JKG
재무부	재무부/NNG
서기였던	서기/NNG+이/VCP+었/EP+던/ETM
그는	그/NP+는/JX
자신이	자신/NNG+이/JKS
발명한	발명/NNG+하/XSV+ㄴ/ETM
기술의	기술/NNG+의/JKG
완성도와	완성도/NNG+와/JC
독창성을	독창/NNG+성/XSN+을/JKO
증명하기	증명/NNG+하/XSV+기/ETN
위해서	위하/VV+아서/EC
파리에서	파리/NNP+에서/JKB
30여	30/SN+여/XSN
점의	점/NNB+의/JKG
사진을	사진/NNG+을/JKO
선보이는	선보이/VV+는/ETM
전시를	전시/NNG+를/JKO
열었음에도	열/VV+었/EP+음/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
특허청은	특허청/NNG+은/JX
그의	그/NP+의/JKG
기술이	기술/NNG+이/JKS
다게르의	다게르/NNP+의/JKG
것과	것/NNB+과/JKB
유사하다는	유사/NNG+하/XSA+다는/ETM
판단을	판단/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.312.3.3
다게르의 이름을 딴 '다게레오타입'이 화려한 구경거리로 인기를 끄는 것을 지켜봐야 했던 그는 자신의 비통한 마음을 한 장의 사진에 담았다.

다게르의	다게르/NNP+의/JKG
이름을	이름/NNG+을/JKO
딴	따/VV+ㄴ/ETM
'다게레오타입'이	'/SS+다게레오/NNP+타입/NNG+'/SS+이/JKS
화려한	화려하/VA+ㄴ/ETM
구경거리로	구경거리/NNG+로/JKB
인기를	인기/NNG+를/JKO
끄는	끌/VV+는/ETM
것을	것/NNB+을/JKO
지켜봐야	지켜보/VV+아야/EC
했던	하/VX+았/EP+던/ETM
그는	그/NP+는/JX
자신의	자신/NNG+의/JKG
비통한	비통/NNG+하/XSA+ㄴ/ETM
마음을	마음/NNG+을/JKO
한	한/MMN
장의	장/NNB+의/JKG
사진에	사진/NNG+에/JKB
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.312.3.4
자신이 물에 뛰어들어 익사한 시신처럼 보이도록 꾸며서 좌절과 비탄으로 만신창이가 된 인간의 모습을 표현한 것이다.

자신이	자신/NNG+이/JKS
물에	물/NNG+에/JKB
뛰어들어	뛰어들/VV+어/EC
익사한	익사/NNG+하/XSV+ㄴ/ETM
시신처럼	시신/NNG+처럼/JKB
보이도록	보이/VV+도록/EC
꾸며서	꾸미/VV+어서/EC
좌절과	좌절/NNG+과/JC
비탄으로	비탄/NNG+으로/JKB
만신창이가	만신창이/NNG+가/JKC
된	되/VV+ㄴ/ETM
인간의	인간/NNG+의/JKG
모습을	모습/NNG+을/JKO
표현한	표현/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.312.3.5
비록 1등 발명가로 금전적인 보상을 받진 못했지만, 바야르는 이 획기적인 자화상으로 역사에 남는 작가가 되었으며 인류 최초로 사진을 소통의 도구로 활용한 인물이 되었다.

비록	비록/MAG
1등	1/SN+등/NNB
