# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.25
metadata : {}


# id : NWRW1800000056.25.1.1
KDI “경기개선 추세 약화”…소비 심리는 낙관적

KDI	KDI/SL
“경기개선	“/SS+경기/NNG+개선/NNG
추세	추세/NNG
약화”…소비	약화/NNG+”/SS+…/SE+소비/NNG
심리는	심리/NNG+는/JX
낙관적	낙관/NNG+적/XSN


# id : NWRW1800000056.25.2.1
[한겨레] 6월 전산업생산 등 성장세 둔화

[한겨레]	[/SS+한겨레/NNP+]/SS
6월	6/SN+월/NNB
전산업생산	전산업/NNG+생산/NNG
등	등/NNB
성장세	성장세/NNG
둔화	둔화/NNG


# id : NWRW1800000056.25.3.1
전문가 “올해 2.9% 성장”

전문가	전문가/NNG
“올해	“/SS+올해/NNG
2.9%	2/SN+./SP+9/SN+%/SW
성장”	성장/NNG+”/SS


# id : NWRW1800000056.25.4.1
최근 들어 국내 경기 회복 속도가 다소 완만해지고 있으며, 수출과 투자 중심으로 이뤄지는 경기 회복세가 소비 부문으로 확산하지 않고 있다는 진단이 나왔다.

최근	최근/NNG
들어	들/VV+어/EC
국내	국내/NNG
경기	경기/NNG
회복	회복/NNG
속도가	속도/NNG+가/JKS
다소	다소/MAG
완만해지고	완만하/VA+아/EC+지/VX+고/EC
있으며,	있/VX+으며/EC+,/SP
수출과	수출/NNG+과/JC
투자	투자/NNG
중심으로	중심/NNG+으로/JKB
이뤄지는	이뤄지/VV+는/ETM
회복세가	회복세/NNG+가/JKS
소비	소비/NNG
부문으로	부문/NNG+으로/JKB
확산하지	확산/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있다는	있/VX+다는/ETM
진단이	진단/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.25.4.2
다만 소비 심리가 개선되는 등 경제 주체들은 향후 경기에 대해 좀더 낙관적으로 바라보고 있는 것으로 조사됐다.

다만	다만/MAG
소비	소비/NNG
심리가	심리/NNG+가/JKS
개선되는	개선/NNG+되/XSV+는/ETM
등	등/NNB
경제	경제/NNG
주체들은	주체/NNG+들/XSN+은/JX
향후	향후/NNG
경기에	경기/NNG+에/JKB
대해	대하/VV+아/EC
좀더	좀/MAG+더/MAG
낙관적으로	낙관/NNG+적/XSN+으로/JKB
바라보고	바라보/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.25.5.1
6일 한국개발연구원(KDI)은 ‘KDI 경제동향’을 발표하며 “산업생산 개선 추세가 둔화되는 등 우리 경제는 지난해 4분기 이후의 경기개선 추세가 다소 약화되는 모습을 보이고 있다”고 최근 국내 경제상황을 평가했다.

6일	6/SN+일/NNB
한국개발연구원(KDI)은	한국개발연구원/NNP+(/SS+KDI/SL+)/SS+은/JX
‘KDI	‘/SS+KDI/SL
경제동향’을	경제/NNG+동향/NNG+’/SS+을/JKO
발표하며	발표/NNG+하/XSV+며/EC
“산업생산	“/SS+산업/NNG+생산/NNG
개선	개선/NNG
추세가	추세/NNG+가/JKS
둔화되는	둔화/NNG+되/XSV+는/ETM
등	등/NNB
우리	우리/NP
경제는	경제/NNG+는/JX
지난해	지난해/NNG
4분기	4/SN+분기/NNG
이후의	이후/NNG+의/JKG
경기개선	경기/NNG+개선/NNG
다소	다소/MAG
약화되는	약화/NNG+되/XSV+는/ETM
모습을	모습/NNG+을/JKO
보이고	보이/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
최근	최근/NNG
