# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.324
metadata : {}


# id : NWRW1800000053.324.1.1
中언론 “북핵시설만 타격땐 軍개입 불필요”

中언론	中/SH+언론/NNG
“북핵시설만	“/SS+북핵/NNG+시설/NNG+만/JX
타격땐	타격/NNG+때/NNG+ㄴ/JX
軍개입	軍/SH+개입/NNG
불필요”	불/XPN+필요/NNG+”/SS


# id : NWRW1800000053.324.2.1
환추시보 美선제타격 용인 시사… 트럼프, 아베-시진핑과 잇단 통화 북핵실험 징후속 대북압박 논의

환추시보	환추시보/NNP
美선제타격	美/SH+선제/NNG+타격/NNG
용인	용인/NNG
시사…	시사/NNG+…/SE
트럼프,	트럼프/NNP+,/SP
아베-시진핑과	아베/NNP+-/SO+시진핑/NNP+과/JKB
잇단	잇달/VV+ㄴ/ETM
통화	통화/NNG
북핵실험	북핵/NNG+실험/NNG
징후속	징후/NNG+속/NNG
대북압박	대북/NNG+압박/NNG
논의	논의/NNG


# id : NWRW1800000053.324.3.1
중국 관영 매체가 ‘북한이 핵·미사일 개발을 지속할 경우 관련 시설에 대한 미국의 선제타격이 있더라도 중국이 북한을 군사적으로 지원하지 않을 수도 있다’고 밝혔다.

중국	중국/NNP
관영	관영/NNG
매체가	매체/NNG+가/JKS
‘북한이	‘/SS+북한/NNP+이/JKS
핵·미사일	핵/NNG+·/SP+미사일/NNG
개발을	개발/NNG+을/JKO
지속할	지속/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
관련	관련/NNG
시설에	시설/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
미국의	미국/NNP+의/JKG
선제타격이	선제/NNG+타격/NNG+이/JKS
있더라도	있/VV+더라도/EC
중국이	중국/NNP+이/JKS
북한을	북한/NNP+을/JKO
군사적으로	군사/NNG+적/XSN+으로/JKB
지원하지	지원/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
수도	수/NNB+도/JX
있다’고	있/VA+다/EF+’/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.324.3.2
중국과 북한은 상대방이 무력 공격을 받으면 군사적 지원을 하기로 조약을 통해 약속한 동맹국이어서 이번 보도는 북한에 대한 강력한 경고로 풀이된다.

중국과	중국/NNP+과/JC
북한은	북한/NNP+은/JX
상대방이	상대방/NNG+이/JKS
무력	무력/NNG
공격을	공격/NNG+을/JKO
받으면	받/VV+으면/EC
군사적	군사/NNG+적/XSN
지원을	지원/NNG+을/JKO
하기로	하/VV+기/ETN+로/JKB
조약을	조약/NNG+을/JKO
통해	통하/VV+아/EC
약속한	약속/NNG+하/XSV+ㄴ/ETM
동맹국이어서	동맹국/NNG+이/VCP+어서/EC
이번	이번/NNG
보도는	보도/NNG+는/JX
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
강력한	강력/NNG+하/XSA+ㄴ/ETM
경고로	경고/NNG+로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.324.4.1
중국 관영 환추(環球)시보는 22일 “미국이 북한의 핵시설에 대해 외과수술식 타격을 가한다면 외교적으로 억제에 나서겠지만 군사적으로 개입할 필요는 없다”고 밝혔다.

중국	중국/NNP
관영	관영/NNG
환추(環球)시보는	환추/NNP+(/SS+環球/SH+)/SS+시보/NNG+는/JX
22일	22/SN+일/NNB
“미국이	“/SS+미국/NNP+이/JKS
북한의	북한/NNP+의/JKG
핵시설에	핵/NNG+시설/NNG+에/JKB
대해	대하/VV+아/EC
외과수술식	외과/NNG+수술식/NNG
타격을	타격/NNG+을/JKO
가한다면	가하/VV+ㄴ다면/EC
외교적으로	외교/NNG+적/XSN+으로/JKB
억제에	억제/NNG+에/JKB
나서겠지만	나서/VV+겠/EP+지만/EC
군사적으로	군사/NNG+적/XSN+으로/JKB
개입할	개입/NNG+하/XSV+ㄹ/ETM
필요는	필요/NNG+는/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.324.4.2
이 신문은 다만 “미국과 한국군이 38선을 넘어 북한에 대한 침략을 전개해 북한 정권 전복에 나서면 중국은 즉각 군사적 개입에 나서야 한다”며 그동안의 주장을 되풀이했다.

이	이/MMD
