# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.332
metadata : {}


# id : NWRW1800000033.332.1.1
노정연 “어머니에게 13억원 받아 경씨에 아파트대금 줬다”

노정연	노정연/NNP
“어머니에게	“/SS+어머니/NNG+에게/JKB
13억원	13/SN+억/NR+원/NNB
받아	받/VV+아/EC
경씨에	경/NNP+씨/NNB+에/JKB
아파트대금	아파트/NNG+대금/NNG
줬다”	주/VV+었/EP+다/EF+”/SS


# id : NWRW1800000033.332.2.1
노정연씨, 검찰에 서면답변

노정연씨,	노정연/NNP+씨/NNB+,/SP
검찰에	검찰/NNG+에/JKB
서면답변	서면/NNG+답변/NNG


# id : NWRW1800000033.332.3.1
“환치기 불법송금은 개입 안해, 선글라스男 어머니가 아실것”

“환치기	“/SS+환치기/NNG
불법송금은	불법/NNG+송금/NNG+은/JX
개입	개입/NNG
안해,	안/MAG+하/VV+아/EC+,/SP
선글라스男	선글라스/NNG+男/SH
어머니가	어머니/NNG+가/JKS
아실것”	알/VV+시/EP+ㄹ/ETM+것/NNB+”/SS


# id : NWRW1800000033.332.4.1
고 노무현 전 대통령의 딸 정연 씨가 25일 “2009년 미국 아파트 원주인인 경연희 씨에게 전달한 13억 원(약 100만 달러)은 미국 ‘허드슨클럽’ 아파트 400호 구매대금이 맞다”고 시인한 것으로 알려졌다.

고	고/MMA
노무현	노무현/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
딸	딸/NNG
정연	정연/NNP
씨가	씨/NNB+가/JKS
25일	25/SN+일/NNB
“2009년	“/SS+2009/SN+년/NNB
미국	미국/NNP
아파트	아파트/NNG
원주인인	원주인/NNG+이/VCP+ㄴ/ETM
경연희	경연희/NNP
씨에게	씨/NNB+에게/JKB
전달한	전달/NNG+하/XSV+ㄴ/ETM
13억	13/SN+억/NR
원(약	원/NNB+(/SS+약/MMA
100만	100/SN+만/NR
달러)은	달러/NNB+)/SS+은/JX
‘허드슨클럽’	‘/SS+허드슨클럽/NNP+’/SS
400호	400/SN+호/NNB
구매대금이	구매/NNG+대금/NNG+이/JKS
맞다”고	맞/VV+다/EF+”/SS+고/JKQ
시인한	시인/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.332.4.2
정연 씨는 또 돈의 출처에 대해 “어머니(권양숙 여사)에게 받은 돈”이라는 취지로 답변한 것으로 전해졌다.

정연	정연/NNP
씨는	씨/NNB+는/JX
또	또/MAG
돈의	돈/NNG+의/JKG
출처에	출처/NNG+에/JKB
대해	대하/VV+아/EC
“어머니(권양숙	“/SS+어머니/NNG+(/SS+권양숙/NNP
여사)에게	여사/NNG+)/SS+에게/JKB
받은	받/VV+은/ETM
돈”이라는	돈/NNG+”/SS+이/VCP+라는/ETM
취지로	취지/NNG+로/JKB
답변한	답변/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.332.5.1
대검찰청 중앙수사부(부장 최재경 검사장)는 이날 오후 5시 반 “정연 씨 측에서 (이달 12일 보낸 질의서에 대해) 답변서를 제출했다”고 밝혔다.

대검찰청	대/XPN+검찰청/NNG
중앙수사부(부장	중앙/NNG+수사부/NNG+(/SS+부장/NNG
최재경	최재경/NNP
검사장)는	검사장/NNG+)/SS+는/JX
이날	이날/NNG
오후	오후/NNG
5시	5/SN+시/NNB
반	반/NNG
“정연	“/SS+정연/NNP
씨	씨/NNB
측에서	측/NNB+에서/JKB
(이달	(/SS+이달/NNG
12일	12/SN+일/NNB
보낸	보내/VV+ㄴ/ETM
질의서에	질의서/NNG+에/JKB
대해)	대하/VV+아/EC+)/SS
답변서를	답변서/NNG+를/JKO
제출했다”고	제출/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.332.5.2
정연 씨는 답변서를 우편으로 제출했으며 이 우편은 이날 오후 4시경 대검에 도착한 것으로 알려졌다.

정연	정연/NNP
씨는	씨/NNB+는/JX
답변서를	답변서/NNG+를/JKO
우편으로	우편/NNG+으로/JKB
제출했으며	제출/NNG+하/XSV+았/EP+으며/EC
이	이/MMD
우편은	우편/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
4시경	4/SN+시/NNB+경/XSN
대검에	대검/NNG+에/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.332.5.3
대검 관계자는 “정치적 오해를 사지 않기 위해 답변서의 내용과 분량 등 세부 사항에 대해선 전혀 밝힐 수 없다”고 못 박았다.

대검	대검/NNG
관계자는	관계자/NNG+는/JX
“정치적	“/SS+정치/NNG+적/XSN
오해를	오해/NNG+를/JKO
사지	사/VV+지/EC
않기	않/VX+기/ETN
위해	위하/VV+아/EC
답변서의	답변서/NNG+의/JKG
내용과	내용/NNG+과/JC
분량	분량/NNG
등	등/NNB
세부	세부/NNG
사항에	사항/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
전혀	전혀/MAG
밝힐	밝히/VV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
못	못/NNG
박았다.	박/VV+았/EP+다/EF+./SF


