# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.1
metadata : {}


# id : NWRW1800000048.1.1.1
가계부·저금통·금고 지난해보다 매출 급증

가계부·저금통·금고	가계부/NNG+·/SP+저금통/NNG+·/SP+금고/NNG
지난해보다	지난해/NNG+보다/JKB
매출	매출/NNG
급증	급증/NNG


# id : NWRW1800000048.1.2.1
불황속 절약·안전 심리 때문인듯

불황속	불황/NNG+속/NNG
절약·안전	절약/NNG+·/SP+안전/NNG
심리	심리/NNG
때문인듯	때문/NNB+이/VCP+ㄴ/ETM+듯/NNB


# id : NWRW1800000048.1.3.1
새해 초 가계부를 구입하는 소비자가 예전보다 많아진 것으로 나타났다.

새해	새해/NNG
초	초/NNB
가계부를	가계부/NNG+를/JKO
구입하는	구입/NNG+하/XSV+는/ETM
소비자가	소비자/NNG+가/JKS
예전보다	예전/NNG+보다/JKB
많아진	많아지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.1.3.2
경기 불황 속에 한 푼이라도 아끼려는 수요가 반영된 것으로 보인다.

경기	경기/NNG
불황	불황/NNG
속에	속/NNG+에/JKB
한	한/MMN
푼이라도	푼/NNB+이/VCP+라도/EC
아끼려는	아끼/VV+려는/ETM
수요가	수요/NNG+가/JKS
반영된	반영/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.1.3.3
저금리가 지속되면서 돈을 굳이 은행에 맡기지 않고 보관하기 위해 개인 금고를 사는 이들도 증가했다.

저금리가	저/XPN+금리/NNG+가/JKS
지속되면서	지속/NNG+되/XSV+면서/EC
돈을	돈/NNG+을/JKO
굳이	굳이/MAG
은행에	은행/NNG+에/JKB
맡기지	맡기/VV+지/EC
않고	않/VX+고/EC
보관하기	보관/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
개인	개인/NNG
금고를	금고/NNG+를/JKO
사는	사/VV+는/ETM
이들도	이/NP+들/XSN+도/JX
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.1.4.1
11번가는 올들어 1일~7일 매출이 증가한 품목을 조사해보니 가계부 매출이 지난해 같은 기간보다 65% 늘었다고 8일 밝혔다.

11번가는	11번가/NNP+는/JX
올들어	올/NNG+들/VV+어/EC
1일~7일	1/SN+일/NNB+~/SO+7/SN+일/NNB
매출이	매출/NNG+이/JKS
증가한	증가/NNG+하/XSV+ㄴ/ETM
품목을	품목/NNG+을/JKO
조사해보니	조사/NNG+하/XSV+아/EC+보/VX+니/EC
가계부	가계부/NNG
지난해	지난해/NNG
같은	같/VA+은/ETM
기간보다	기간/NNG+보다/JKB
65%	65/SN+%/SW
늘었다고	늘/VV+었/EP+다고/EC
8일	8/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.1.4.2
스마트폰이 활성화하면서 가계부 매출은 한동안 주춤했는데 최근 들어 다시 상승 곡선을 그리고 있다는 게 11번가의 설명이다.

스마트폰이	스마트폰/NNG+이/JKS
활성화하면서	활성/NNG+화/XSN+하/XSV+면서/EC
가계부	가계부/NNG
매출은	매출/NNG+은/JX
한동안	한/XPN+동안/NNG
주춤했는데	주춤/MAG+하/XSV+았/EP+는데/EC
최근	최근/NNG
들어	들/VV+어/EC
다시	다시/MAG
상승	상승/NNG
곡선을	곡선/NNG+을/JKO
그리고	그리/VV+고/EC
있다는	있/VX+다는/ETM
게	거/NNB+이/JKS
11번가의	11번가/NNP+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.1.4.3
경기 침체 추세가 반영된 결과로 보인다.

경기	경기/NNG
침체	침체/NNG
추세가	추세/NNG+가/JKS
반영된	반영/NNG+되/XSV+ㄴ/ETM
결과로	결과/NNG+로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.1.4.4
최근 가계부 수요는 20~30대를 중심으로 늘고 있다.

최근	최근/NNG
가계부	가계부/NNG
수요는	수요/NNG+는/JX
20~30대를	20/SN+~/SO+30/SN+대/NNB+를/JKO
중심으로	중심/NNG+으로/JKB
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.1.4.5
2014년 가계부 구매 고객 가운데 20대의 비중은 37%로 2013년(15%)보다 크게 늘었다.

2014년	2014/SN+년/NNB
가계부	가계부/NNG
구매	구매/NNG
고객	고객/NNG
가운데	가운데/NNG
20대의	20/SN+대/NNB+의/JKG
비중은	비중/NNG+은/JX
37%로	37/SN+%/SW+로/JKB
2013년(15%)보다	2013/SN+년/NNB+(/SS+15/SN+%/SW+)/SS+보다/JKB
크게	크/VA+게/EC
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.1.4.6
30대도 33%로 ‘2030세대’가 70%를 차지했다.

30대도	30/SN+대/NNB+도/JX
33%로	33/SN+%/SW+로/JKB
‘2030세대’가	‘/SS+2030/SN+세대/NNG+’/SS+가/JKS
70%를	70/SN+%/SW+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.1.5.1
새해 첫 주 저금통 매출도 64% 증가했다.

새해	새해/NNG
첫	첫/MMN
주	주/NNG
저금통	저금통/NNG
매출도	매출/NNG+도/JX
64%	64/SN+%/SW
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.1.5.2
동전을 올려 놓으면 강아지가 동전을 먹듯이 움직이는 저금통 등 이색 저금통이 반응이 특히 좋다고 11번가는 설명했다.

동전을	동전/NNG+을/JKO
올려	올리/VV+어/EC
놓으면	놓/VX+으면/EC
강아지가	강아지/NNG+가/JKS
먹듯이	먹/VV+듯이/EC
움직이는	움직이/VV+는/ETM
저금통	저금통/NNG
등	등/NNB
이색	이색/NNG
저금통이	저금통/NNG+이/JKS
반응이	반응/NNG+이/JKS
특히	특히/MAG
좋다고	좋/VA+다고/EC
11번가는	11번가/NNP+는/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.1.6.1
이밖에 저금리 기조가 지속되면서 현금을 보유하는 소비자가 늘어 금고 매출도 127% 늘었다.

이밖에	이/NP+밖/NNG+에/JKB
저금리	저/XPN+금리/NNG
기조가	기조/NNG+가/JKS
지속되면서	지속/NNG+되/XSV+면서/EC
현금을	현금/NNG+을/JKO
보유하는	보유/NNG+하/XSV+는/ETM
소비자가	소비자/NNG+가/JKS
늘어	늘/VV+어/EC
금고	금고/NNG
매출도	매출/NNG+도/JX
127%	127/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.1.6.2
11번가 관계자는 “금고의 성능과 기능은 거의 비슷하기 때문에 동시에 인테리어 효과도 낼 수 있게 디자인을 따져 구매하는 이들이 늘고 있다”고 말했다.

11번가	11번가/NNP
관계자는	관계자/NNG+는/JX
“금고의	“/SS+금고/NNG+의/JKG
성능과	성능/NNG+과/JC
기능은	기능/NNG+은/JX
거의	거의/MAG
비슷하기	비슷하/VA+기/ETN
때문에	때문/NNB+에/JKB
동시에	동시/NNG+에/JKB
인테리어	인테리어/NNG
효과도	효과/NNG+도/JX
낼	내/VV+ㄹ/ETM
수	수/NNB
