# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.107
metadata : {}


# id : NWRW1800000052.107.1.1
트럼프, 노동장관에 ‘반 노동자적’ 패스트푸드 경영자 지명

트럼프,	트럼프/NNP+,/SP
노동장관에	노동/NNG+장관/NNG+에/JKB
‘반	‘/SS+반/XPN
노동자적’	노동자/NNG+적/XSN+’/SS
패스트푸드	패스트푸드/NNG
경영자	경영자/NNG
지명	지명/NNG


# id : NWRW1800000052.107.2.1
앤드류 푸즈더, 최저임금 인상 반대

앤드류	앤드류/NNP
푸즈더,	푸즈더/NNP+,/SP
최저임금	최저/NNG+임금/NNG
인상	인상/NNG
반대	반대/NNG


# id : NWRW1800000052.107.3.1
“자동화 조장으로 일자리 잃을 것” 협박

“자동화	“/SS+자동/NNG+화/XSN
조장으로	조장/NNG+으로/JKB
일자리	일자리/NNG
잃을	잃/VV+을/ETM
것”	것/NNB+”/SS
협박	협박/NNG


# id : NWRW1800000052.107.4.1
<시엔엔> 방송 “최저임금 15달러의 적”

<시엔엔>	</SS+시엔엔/NNP+>/SS
방송	방송/NNG
“최저임금	“/SS+최저/NNG+임금/NNG
15달러의	15/SN+달러/NNB+의/JKG
적”	적/NNG+”/SS


# id : NWRW1800000052.107.5.1
초과근무 수당 인상·유급병가 등 무력화될 수도

초과근무	초과/NNG+근무/NNG
수당	수당/NNG
인상·유급병가	인상/NNG+·/SP+유급/NNG+병가/NNG
등	등/NNB
무력화될	무력/NNG+화/XSN+되/XSV+ㄹ/ETM
수도	수/NNB+도/JX


# id : NWRW1800000052.107.6.1
도널드 트럼프 미국 대통령 당선자가 최저임금 인상과 오바마 케어에 강력히 반대해온 패스트푸드 기업 ‘CKE(시케이) 레스토랑’의 최고경영자인 앤드류 푸즈더(66)를 노동부 장관으로 지명했다.

도널드	도널드/NNP
트럼프	트럼프/NNP
미국	미국/NNP
대통령	대통령/NNG
당선자가	당선자/NNG+가/JKS
최저임금	최저/NNG+임금/NNG
인상과	인상/NNG+과/JC
오바마	오바마/NNP
케어에	케어/NNG+에/JKB
강력히	강력히/MAG
반대해온	반대/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
패스트푸드	패스트푸드/NNG
기업	기업/NNG
‘CKE(시케이)	‘/SS+CKE/SL+(/SS+시케이/NNP+)/SS
레스토랑’의	레스토랑/NNG+’/SS+의/JKG
최고경영자인	최고/NNG+경영자/NNG+이/VCP+ㄴ/ETM
앤드류	앤드류/NNP
푸즈더(66)를	푸즈더/NNP+(/SS+66/SN+)/SS+를/JKO
노동부	노동부/NNG
장관으로	장관/NNG+으로/JKB
지명했다.	지명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.107.7.1
트럼프 당선자는 8일(현지시각) 성명을 통해 “푸즈더는 미국인 수천명의 일자리를 창출하고 진작시켜왔다.

트럼프	트럼프/NNP
당선자는	당선자/NNG+는/JX
8일(현지시각)	8/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
성명을	성명/NNG+을/JKO
통해	통하/VV+아/EC
“푸즈더는	“/SS+푸즈더/NNP+는/JX
미국인	미국인/NNG
수천명의	수천/NR+명/NNB+의/JKG
일자리를	일자리/NNG+를/JKO
창출하고	창출/NNG+하/XSV+고/EC
진작시켜왔다.	진작/NNG+시키/XSV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.107.7.2
노동자들을 위해 싸워온 그의 폭넓은 기록들을 볼 때, 그가 노동부를 이끌 이상적인 후보”라고 지명 배경을 밝혔다.

노동자들을	노동자/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
싸워온	싸우/VV+어/EC+오/VX+ㄴ/ETM
그의	그/NP+의/JKG
폭넓은	폭넓/VA+은/ETM
기록들을	기록/NNG+들/XSN+을/JKO
볼	보/VV+ㄹ/ETM
때,	때/NNG+,/SP
그가	그/NP+가/JKS
노동부를	노동부/NNG+를/JKO
이끌	이끌/VV+ㄹ/ETM
이상적인	이상/NNG+적/XSN+이/VCP+ㄴ/ETM
후보”라고	후보/NNG+”/SS+라고/JKQ
지명	지명/NNG
배경을	배경/NNG+을/JKO
