# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.15
metadata : {}


# id : NWRW1800000022.15.1.1
판교의 굴욕;아파트 분양권 포기 급증… 총 48건 '10% 위약금 물고 계약해지'도 25건

판교의	판교/NNP+의/JKG
굴욕;아파트	굴욕/NNG+;/SW+아파트/NNG
분양권	분양/NNG+권/XSN
포기	포기/NNG
급증…	급증/NNG+…/SE
총	총/MMA
48건	48/SN+건/NNB
'10%	'/SS+10/SN+%/SW
위약금	위약금/NNG
물고	물/VV+고/EC
계약해지'도	계약/NNG+해지/NNG+'/SS+도/JX
25건	25/SN+건/NNB


# id : NWRW1800000022.15.2.1
한때 로또로 불릴 정도로 인기가 높던 판교 신도시 아파트에 대해 계약을 해지하는 사례가 늘어나고 있다.

한때	한때/MAG
로또로	로또/NNG+로/JKB
불릴	불리/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
인기가	인기/NNG+가/JKS
높던	높/VA+던/ETM
판교	판교/NNP
신도시	신/XPN+도시/NNG
아파트에	아파트/NNG+에/JKB
대해	대하/VV+아/EC
계약을	계약/NNG+을/JKO
해지하는	해지/NNG+하/XSV+는/ETM
사례가	사례/NNG+가/JKS
늘어나고	늘어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.15.3.1
대한주택공사는 2006년 분양된 판교 신도시 당첨자 가운데 총 48명이 아파트 환매 또는 계약 해지를 요청해 받아들였다고 13일 밝혔다.

대한주택공사는	대한주택공사/NNP+는/JX
2006년	2006/SN+년/NNB
분양된	분양/NNG+되/XSV+ㄴ/ETM
판교	판교/NNP
신도시	신/XPN+도시/NNG
당첨자	당첨자/NNG
가운데	가운데/NNG
총	총/MMA
48명이	48/SN+명/NNB+이/JKS
아파트	아파트/NNG
환매	환매/NNG
또는	또는/MAG
계약	계약/NNG
해지를	해지/NNG+를/JKO
요청해	요청/NNG+하/XSV+아/EC
받아들였다고	받아들이/VV+었/EP+다고/EC
13일	13/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.15.4.1
