# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.346
metadata : {}


# id : NWRW1800000049.346.1.1
문재인, 총선후 黨공식행사 첫 참석

문재인,	문재인/NNP+,/SP
총선후	총선/NNG+후/NNG
黨공식행사	黨/SH+공식/NNG+행사/NNG
첫	첫/MMN
참석	참석/NNG


# id : NWRW1800000049.346.2.1
부산 합동연설회 찾아 “정권교체” 12일 백령도行… 독도 이어 ‘안보행보’

부산	부산/NNP
합동연설회	합동/NNG+연설회/NNG
찾아	찾/VV+아/EC
“정권교체”	“/SS+정권/NNG+교체/NNG+”/SS
12일	12/SN+일/NNB
백령도行…	백령도/NNP+行/SH+…/SE
독도	독도/NNP
이어	잇/VV+어/EC
‘안보행보’	‘/SS+안보/NNG+행보/NNG+’/SS


# id : NWRW1800000049.346.3.1
더불어민주당 문재인 전 대표가 11일 전당대회 부산지역 합동연설회에 참석했다.

더불어민주당	더불어민주당/NNP
문재인	문재인/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
11일	11/SN+일/NNB
전당대회	전당/NNG+대회/NNG
부산지역	부산지역/NNP
합동연설회에	합동/NNG+연설회/NNG+에/JKB
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.346.3.2
4·13 총선 이후 문 전 대표가 당 주관 공식행사에 참석한 것은 처음이다.

4·13	4/SN+·/SP+13/SN
총선	총선/NNG
이후	이후/NNG
문	문/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
당	당/NNG
주관	주관/NNG
공식행사에	공식/NNG+행사/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.346.3.3
이어 12일에는 1박 2일 일정으로 인천 백령도를 찾는 ‘안보 행보’에 나선다.

이어	이어/MAG
12일에는	12/SN+일/NNB+에/JKB+는/JX
1박	1/SN+박/NNB
2일	2/SN+일/NNB
일정으로	일정/NNG+으로/JKB
인천	인천/NNP
백령도를	백령도/NNP+를/JKO
찾는	찾/VV+는/ETM
‘안보	‘/SS+안보/NNG
행보’에	행보/NNG+’/SS+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.346.4.1
