# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.154
metadata : {}


# id : NWRW1800000021.154.1.1
[광주/전남]나주 목사 관사… 전통체험 시설로

[광주/전남]나주	[/SS+광주/NNP+//SP+전남/NNP+]/SS+나주/NNP
목사	목사/NNG
관사…	관사/NNG+…/SE
전통체험	전통/NNG+체험/NNG
시설로	시설/NNG+로/JKB


# id : NWRW1800000021.154.2.1
전남 나주시가 조선시대 목사(牧使)가 머물던 내아(內衙)를 전통 문화체험공간으로 단장해 관광객 숙박체험 공간으로 13일부터 개방한다.

전남	전남/NNP
나주시가	나주시/NNP+가/JKS
조선시대	조선시대/NNG
목사(牧使)가	목사/NNG+(/SS+牧使/SH+)/SS+가/JKS
머물던	머물/VV+던/ETM
내아(內衙)를	내아/NNG+(/SS+內衙/SH+)/SS+를/JKO
전통	전통/NNG
문화체험공간으로	문화/NNG+체험/NNG+공간/NNG+으로/JKB
단장해	단장/NNG+하/XSV+아/EC
관광객	관광객/NNG
숙박체험	숙박/NNG+체험/NNG
공간으로	공간/NNG+으로/JKB
13일부터	13/SN+일/NNB+부터/JX
개방한다.	개방/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.154.3.1
조선시대 나주에 파견된 지방관리 목사가 머물던 관사인 나주 내아는 전국 20개 목(牧) 가운데 유일하게 원형을 유지하고 있는 관아 건축물이다.

조선시대	조선시대/NNG
나주에	나주/NNP+에/JKB
파견된	파견/NNG+되/XSV+ㄴ/ETM
지방관리	지방/NNG+관리/NNG
목사가	목사/NNG+가/JKS
머물던	머물/VV+던/ETM
관사인	관사/NNG+이/VCP+ㄴ/ETM
나주	나주/NNP
내아는	내아/NNG+는/JX
전국	전국/NNG
20개	20/SN+개/NNB
목(牧)	목/NNG+(/SS+牧/SH+)/SS
가운데	가운데/NNG
유일하게	유일/NNG+하/XSA+게/EC
원형을	원형/NNG+을/JKO
유지하고	유지/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
관아	관아/NNG
건축물이다.	건축물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.154.4.1
시는 문화재청 승인을 받아 내아 안채와 문간채 방을 군불을 땔 수 있는 온돌방으로 바꾸고 도배, 장식장 설치 등 내부 단장을 마쳤다.

시는	시/NNG+는/JX
문화재청	문화재청/NNG
승인을	승인/NNG+을/JKO
받아	받/VV+아/EC
내아	내/VX+아/EC
안채와	안채/NNG+와/JC
문간채	문간채/NNG
방을	방/NNG+을/JKO
군불을	군불/NNG+을/JKO
땔	때/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
온돌방으로	온돌방/NNG+으로/JKB
바꾸고	바꾸/VV+고/EC
도배,	도배/NNG+,/SP
장식장	장식장/NNG
설치	설치/NNG
등	등/NNB
내부	내부/NNG
단장을	단장/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.154.4.2
방 안에는 전문가 고증을 거쳐 전통가구와 선비상 등의 소품을 배치하고 천연염색 비단이불도 준비했다.

방	방/NNG
안에는	안/NNG+에/JKB+는/JX
전문가	전문가/NNG
고증을	고증/NNG+을/JKO
거쳐	거치/VV+어/EC
전통가구와	전통/NNG+가구/NNG+와/JC
선비상	선비/NNG+상/NNG
등의	등/NNB+의/JKG
소품을	소품/NNG+을/JKO
배치하고	배치/NNG+하/XSV+고/EC
천연염색	천연/NNG+염색/NNG
비단이불도	비단/NNG+이불/NNG+도/JX
준비했다.	준비/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.154.4.3
부속 건물로 2003년 신축한 100여 m² 규모의 ‘문화의 집’에서는 연찬회나 세미나가 가능하다.

부속	부속/NNG
건물로	건물/NNG+로/JKB
2003년	2003/SN+년/NNB
신축한	신축/NNG+하/XSV+ㄴ/ETM
100여	100/SN+여/XSN
m²	m²/SW
규모의	규모/NNG+의/JKG
‘문화의	‘/SS+문화/NNG+의/JKG
집’에서는	집/NNG+’/SS+에서/JKB+는/JX
연찬회나	연찬회/NNG+나/JC
세미나가	세미나/NNG+가/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000021.154.5.1
목사 내아는 방 11개에 40여 명이 동시에 숙박할 수 있고 객실 이용료는 방 크기에 따라 5만∼15만 원이다.

목사	목사/NNG
내아는	내아/NNG+는/JX
방	방/NNG
11개에	11/SN+개/NNB+에/JKB
40여	40/SN+여/XSN
명이	명/NNB+이/JKS
동시에	동시/NNG+에/JKB
숙박할	숙박/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
객실	객실/NNG
이용료는	이용료/NNG+는/JX
크기에	크기/NNG+에/JKB
따라	따르/VV+아/EC
5만∼15만	5/SN+만/NR+∼/SO+15/SN+만/NR
원이다.	원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.154.5.2
개장에 앞서 8일 인기 TV오락프로그램인 해피선데이 ‘1박 2일’팀이 목사 내아에서 묵기도 했다.

개장에	개장/NNG+에/JKB
앞서	앞서/VV+어/EC
8일	8/SN+일/NNB
인기	인기/NNG
TV오락프로그램인	TV/SL+오락/NNG+프로그램/NNG+이/VCP+ㄴ/ETM
해피선데이	해피선데이/NNG
‘1박	‘/SS+1/SN+박/NNB
2일’팀이	2/SN+일/NNB+’/SS+팀/NNG+이/JKS
목사	목사/NNG
내아에서	내아/NNG+에서/JKB
묵기도	묵/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.154.6.1
시는 객사인 금성관(錦城館), 향교도 내년에 숙박과 유생 체험이 가능한 공간으로 꾸미기로 했다.

시는	시/NNG+는/JX
객사인	객사/NNG+이/VCP+ㄴ/ETM
금성관(錦城館),	금성관/NNP+(/SS+錦城館/SH+)/SS+,/SP
향교도	향교/NNG+도/JX
내년에	내년/NNG+에/JKB
숙박과	숙박/NNG+과/JC
유생	유생/NNG
체험이	체험/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
공간으로	공간/NNG+으로/JKB
꾸미기로	꾸미/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.154.6.2
신현만 나주시 관광기획계장은 “최근 참살이 바람으로 크게 늘고 있는 한옥 마니아 등을 겨냥해 내놓은 관광상품”이라며 “내아 앞마당에서 다양한 문화예술 공연을 열어 천년 역사문화 도시의 면모를 보여주겠다”고 말했다.

신현만	신현만/NNP
나주시	나주시/NNP
관광기획계장은	관광/NNG+기획계장/NNG+은/JX
“최근	“/SS+최근/MAG
참살이	참살이/NNG
바람으로	바람/NNG+으로/JKB
크게	크/VA+게/EC
늘고	늘/VV+고/EC
있는	있/VX+는/ETM
한옥	한옥/NNG
마니아	마니아/NNG
등을	등/NNB+을/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
내놓은	내놓/VV+은/ETM
관광상품”이라며	관광/NNG+상품/NNG+”/SS+이/VCP+라며/EC
“내아	“/SS+내아/NNG
앞마당에서	앞마당/NNG+에서/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
문화예술	문화/NNG+예술/NNG
공연을	공연/NNG+을/JKO
