# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.216
metadata : {}


# id : NWRW1800000049.216.1.1
[단독]‘BC 50년 東海’ 역사교과서 싣는다

[단독]‘BC	[/SS+단독/NNG+]/SS+‘/SS+BC/SL
50년	50/SN+년/NNB
東海’	東海/SH+’/SS
역사교과서	역사/NNG+교과서/NNG
싣는다	싣/VV+는다/EF


# id : NWRW1800000049.216.2.1
‘일본해’보다 1650년 앞선 기록 서술

‘일본해’보다	‘/SS+일본해/NNP+’/SS+보다/JKB
1650년	1650/SN+년/NNB
앞선	앞서/VV+ㄴ/ETM
기록	기록/NNG
서술	서술/NNG


# id : NWRW1800000049.216.3.1
명칭 표기를 둘러싸고 국제적으로 갈등을 빚고 있는 ‘동해(東海)’의 역사가 역사 교과서에 처음으로 실린다.

명칭	명칭/NNG
표기를	표기/NNG+를/JKO
둘러싸고	둘러싸/VV+고/EC
국제적으로	국제/NNG+적/XSN+으로/JKB
갈등을	갈등/NNG+을/JKO
빚고	빚/VV+고/EC
있는	있/VX+는/ETM
‘동해(東海)’의	‘/SS+동해/NNP+(/SS+東海/SH+)/SS+’/SS+의/JKG
역사가	역사/NNG+가/JKS
역사	역사/NNG
교과서에	교과서/NNG+에/JKB
처음으로	처음/NNG+으로/JKB
실린다.	실리/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.216.3.2
‘동해’ 표기가 ‘일본해’ 표현보다 1600년 이상 앞서 사용됐다는 것을 학생들에게 명확하게 가르치기 위해서다.

‘동해’	‘/SS+동해/NNP+’/SS
표기가	표기/NNG+가/JKS
‘일본해’	‘/SS+일본해/NNP+’/SS
표현보다	표현/NNG+보다/JKB
1600년	1600/SN+년/NNB
이상	이상/NNG
앞서	앞서/MAG
사용됐다는	사용/NNG+되/XSV+었/EP+다는/ETM
것을	것/NNB+을/JKO
학생들에게	학생/NNG+들/XSN+에게/JKB
명확하게	명확하/VA+게/EC
가르치기	가르치/VV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000049.216.4.1
24일 교육부에 따르면 28일 공개되는 국정 역사 교과서에는 기존 역사 교과서에서는 다루지 않았던 ‘동해’라는 명칭의 역사와 근거가 상세히 서술된다.

24일	24/SN+일/NNB
교육부에	교육부/NNG+에/JKB
따르면	따르/VV+면/EC
28일	28/SN+일/NNB
공개되는	공개/NNG+되/XSV+는/ETM
국정	국정/NNG
역사	역사/NNG
교과서에는	교과서/NNG+에/JKB+는/JX
기존	기존/NNG
교과서에서는	교과서/NNG+에서/JKB+는/JX
다루지	다루/VV+지/EC
않았던	않/VX+았/EP+던/ETM
‘동해’라는	‘/SS+동해/NNP+’/SS+이/VCP+라는/ETM
명칭의	명칭/NNG+의/JKG
역사와	역사/NNG+와/JC
근거가	근거/NNG+가/JKS
상세히	상세히/MAG
서술된다.	서술/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.216.4.2
국제수로기구가 동해를 일컫는 공식 명칭으로 ‘일본해’를 사용하는 등 해외에서 발행되는 지도 등에서는 동해를 일본해로 표기하는 경우가 많다.

국제수로기구가	국제수로기구/NNP+가/JKS
동해를	동해/NNP+를/JKO
일컫는	일컫/VV+는/ETM
공식	공식/NNG
명칭으로	명칭/NNG+으로/JKB
‘일본해’를	‘/SS+일본해/NNP+’/SS+를/JKO
사용하는	사용/NNG+하/XSV+는/ETM
등	등/NNB
해외에서	해외/NNG+에서/JKB
발행되는	발행/NNG+되/XSV+는/ETM
지도	지도/NNG
등에서는	등/NNB+에서/JKB+는/JX
일본해로	일본해/NNP+로/JKB
표기하는	표기/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000049.216.4.3
한국은 동해와 일본해 병기 등을 지속적으로 국제사회에 주장하고 있지만 일본의 반대로 성사되지 않고 있다.

한국은	한국/NNP+은/JX
동해와	동해/NNP+와/JKB
일본해	일본해/NNP
병기	병기/NNG
등을	등/NNB+을/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
국제사회에	국제/NNG+사회/NNG+에/JKB
주장하고	주장/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
일본의	일본/NNP+의/JKG
반대로	반대/NNG+로/JKB
성사되지	성사/NNG+되/XSV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.216.5.1
이런 상황에서 역사 교과서 집필진은 한국이 주장하는 동해 명칭이 역사적으로 정당하다는 점을 학생들에게 설명하기 위해 동해의 역사를 새 교과서에 담은 것으로 확인됐다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
역사	역사/NNG
교과서	교과서/NNG
집필진은	집필진/NNG+은/JX
한국이	한국/NNP+이/JKS
주장하는	주장/NNG+하/XSV+는/ETM
동해	동해/NNP
명칭이	명칭/NNG+이/JKS
역사적으로	역사/NNG+적/XSN+으로/JKB
정당하다는	정당하/VA+다는/ETM
점을	점/NNG+을/JKO
학생들에게	학생/NNG+들/XSN+에게/JKB
설명하기	설명/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
동해의	동해/NNP+의/JKG
역사를	역사/NNG+를/JKO
새	새/MMA
교과서에	교과서/NNG+에/JKB
담은	담/VV+은/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.216.6.1
역사적으로 동해 명칭은 기원전 50년경부터 사용됐다.

역사적으로	역사/NNG+적/XSN+으로/JKB
동해	동해/NNP
명칭은	명칭/NNG+은/JX
기원전	기원전/NNG
50년경부터	50/SN+년/NNB+경/XSN+부터/JX
사용됐다.	사용/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.216.6.2
‘삼국사기(三國史記)’ 고구려본기의 시조 동명성왕 편에는 ‘동해지빈유지(東海之濱有地)’라는 구절에 등장한다.

‘삼국사기(三國史記)’	‘/SS+삼국사기/NNP+(/SS+三國史記/SH+)/SS+’/SS
고구려본기의	고구려/NNP+본기/NNG+의/JKG
시조	시조/NNG
동명성왕	동명성왕/NNP
편에는	편/NNB+에/JKB+는/JX
‘동해지빈유지(東海之濱有地)’라는	‘/SS+동해지빈유지/NNG+(/SS+東海之濱有地/SH+)/SS+’/SS+이/VCP+라는/ETM
구절에	구절/NNG+에/JKB
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.216.6.3
또 고구려 장수왕이 아버지인 광개토대왕의 업적을 기념해 414년에 세운 기념비(광개토대왕릉비)에도 동해 명칭이 확인된다.

또	또/MAG
고구려	고구려/NNP
장수왕이	장수왕/NNP+이/JKS
