# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.75
metadata : {}


# id : NWRW1800000036.75.1.1
‘기독교인 잡아라’…샌토럼 “난 예수후보”

‘기독교인	‘/SS+기독교인/NNG
잡아라’…샌토럼	잡/VV+아라/EF+’/SS+…/SE+샌토럼/NNP
“난	“/SS+나/NP+ㄴ/JX
예수후보”	예수/NNP+후보/NNG+”/SS


# id : NWRW1800000036.75.2.1
[한겨레] ‘복음주의’ 돈·조직 막강…유권자 80% 범기독교인

[한겨레]	[/SS+한겨레/NNP+]/SS
‘복음주의’	‘/SS+복음주의/NNG+’/SS
돈·조직	돈/NNG+·/SP+조직/NNG
막강…유권자	막강/NNG+…/SE+유권자/NNG
80%	80/SN+%/SW
범기독교인	범/XPN+기독교인/NNG


# id : NWRW1800000036.75.3.1
모르몬교 롬니 겨냥…“과도한 종교적 접근” 비판도

모르몬교	모르몬교/NNG
롬니	롬니/NNP
겨냥…“과도한	겨냥/NNG+…/SE+“/SS+과도/NNG+하/XSA+ㄴ/ETM
종교적	종교/NNG+적/XSN
접근”	접근/NNG+”/SS
비판도	비판/NNG+도/JX


# id : NWRW1800000036.75.4.1
미국 대통령 선거 풍향계인 아이오와 코커스(당원대회)를 통해 급부상한 공화당 대선주자인 릭 샌토럼 전 펜실베이니아 상원의원이 ‘예수 후보’(Jesus candidate)라는 발언으로 논쟁에 휩싸였다.

미국	미국/NNP
대통령	대통령/NNG
선거	선거/NNG
풍향계인	풍향계/NNG+이/VCP+ㄴ/ETM
아이오와	아이오와/NNP
코커스(당원대회)를	코커스/NNG+(/SS+당원/NNG+대회/NNG+)/SS+를/JKO
통해	통하/VV+아/EC
급부상한	급부상/NNG+하/XSV+ㄴ/ETM
공화당	공화당/NNP
대선주자인	대선/NNG+주자/NNG+이/VCP+ㄴ/ETM
릭	릭/NNP
샌토럼	샌토럼/NNP
전	전/MMD
펜실베이니아	펜실베이니아/NNP
상원의원이	상원/NNG+의원/NNG+이/JKS
‘예수	‘/SS+예수/NNP
후보’(Jesus	후보/NNG+’/SS+(/SS+Jesus/SL
candidate)라는	candidate/SL+)/SS+이/VCP+라는/ETM
발언으로	발언/NNG+으로/JKB
논쟁에	논쟁/NNG+에/JKB
휩싸였다.	휩싸이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.75.5.1
샌토럼 전 상원의원은 5일 라디오 프로그램에서 한 청취자가 그의 지나친 종교적 언행을 비판하며 ‘우리는 경제 지도자가 필요하지, 예수 지도자는 필요없다’고 하자, “우리는 언제나 ‘예수 후보’가 필요하다”고 답했다.

샌토럼	샌토럼/NNP
전	전/MMD
상원의원은	상원/NNG+의원/NNG+은/JX
5일	5/SN+일/NNB
라디오	라디오/NNG
프로그램에서	프로그램/NNG+에서/JKB
한	한/MMN
청취자가	청취자/NNG+가/JKS
그의	그/NP+의/JKG
지나친	지나치/VA+ㄴ/ETM
종교적	종교/NNG+적/XSN
언행을	언행/NNG+을/JKO
비판하며	비판/NNG+하/XSV+며/EC
‘우리는	‘/SS+우리/NP+는/JX
경제	경제/NNG
지도자가	지도자/NNG+가/JKS
필요하지,	필요/NNG+하/XSA+지/EC+,/SP
예수	예수/NNP
지도자는	지도자/NNG+는/JX
필요없다’고	필요/NNG+없/VA+다/EF+’/SS+고/JKQ
하자,	하/VV+자/EC+,/SP
“우리는	“/SS+우리/NP+는/JX
언제나	언제나/MAG
‘예수	‘/SS+예수/NNP
후보’가	후보/NNG+’/SS+가/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.75.6.1
이에 대해 유대교 권익 옹호단체인 ‘반인종주의연맹’은 샌토럼 전 의원에게 “유권자들을 향한 과도한 종교적 접근이 비미국적”이라며 “샌토럼 전 의원의 발언은 유대교, 이슬람교, 불교 신자 또는 무신론자 등을 전혀 고려하지 않은 발언”이라고 비판했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
유대교	유대교/NNG
권익	권익/NNG
옹호단체인	옹호/NNG+단체/NNG+이/VCP+ㄴ/ETM
‘반인종주의연맹’은	‘/SS+반/XPN+인종주의/NNG+연맹/NNG+’/SS+은/JX
샌토럼	샌토럼/NNP
전	전/MMD
의원에게	의원/NNG+에게/JKB
“유권자들을	“/SS+유권자/NNG+들/XSN+을/JKO
향한	향하/VV+ㄴ/ETM
과도한	과도/NNG+하/XSA+ㄴ/ETM
종교적	종교/NNG+적/XSN
접근이	접근/NNG+이/JKS
비미국적”이라며	비/XPN+미국/NNP+적/XSN+”/SS+이/VCP+라며/EC
“샌토럼	“/SS+샌토럼/NNP
의원의	의원/NNG+의/JKG
발언은	발언/NNG+은/JX
유대교,	유대교/NNG+,/SP
이슬람교,	이슬람교/NNG+,/SP
불교	불교/NNG
신자	신자/NNG
또는	또는/MAG
무신론자	무신론자/NNG
등을	등/NNB+을/JKO
전혀	전혀/MAG
고려하지	고려/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
발언”이라고	발언/NNG+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.75.6.2
그러나 샌토럼 전 의원은 오는 10일 뉴햄프셔 프라이머리(예비선거)를 앞두고 오히려 이런 논란을 부추기려는 듯 소규모 모임에서 ‘예수 후보’ 주장을 연거푸 하고 있다.

그러나	그러나/MAJ
샌토럼	샌토럼/NNP
전	전/MMD
의원은	의원/NNG+은/JX
오는	오/VV+는/ETM
10일	10/SN+일/NNB
뉴햄프셔	뉴햄프셔/NNP
프라이머리(예비선거)를	프라이머리/NNG+(/SS+예비/NNG+선거/NNG+)/SS+를/JKO
앞두고	앞두/VV+고/EC
오히려	오히려/MAG
이런	이런/MMD
논란을	논란/NNG+을/JKO
부추기려는	부추기/VV+려는/ETM
듯	듯/NNB
소규모	소/XPN+규모/NNG
모임에서	모임/NNG+에서/JKB
‘예수	‘/SS+예수/NNP
후보’	후보/NNG+’/SS
주장을	주장/NNG+을/JKO
연거푸	연거푸/MAG
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.75.7.1
이는 모르몬교 신도인 밋 롬니 전 매사추세츠 주지사에게 투표하기를 꺼리는 기독교 복음주의 교인들의 부동표를 결집시키기 위한 것으로 보인다.

이는	이/NP+는/JX
모르몬교	모르몬교/NNG
신도인	신도/NNG+이/VCP+ㄴ/ETM
밋	밋/NNP
롬니	롬니/NNP
전	전/MMD
매사추세츠	매사추세츠/NNP
주지사에게	주지사/NNG+에게/JKB
투표하기를	투표/NNG+하/XSV+기/ETN+를/JKO
꺼리는	꺼리/VV+는/ETM
기독교	기독교/NNG
복음주의	복음주의/NNG
교인들의	교인/NNG+들/XSN+의/JKG
부동표를	부동표/NNG+를/JKO
결집시키기	결집/NNG+시키/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.75.7.2
‘복음주의’로 불리는 미국의 보수 기독교 세력은 중남부 백인 중산층이 중심이며 대부분 공화당 지지자들이다.

‘복음주의’로	‘/SS+복음주의/NNG+’/SS+로/JKB
불리는	불리/VV+는/ETM
미국의	미국/NNP+의/JKG
보수	보수/NNG
기독교	기독교/NNG
세력은	세력/NNG+은/JX
중남부	중남부/NNG
백인	백인/NNG
중산층이	중산/NNG+층/XSN+이/JKS
중심이며	중심/NNG+이/VCP+며/EC
대부분	대/XPN+부분/NNG
공화당	공화당/NNP
지지자들이다.	지지자/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000036.75.8.1
대선 때마다 상당한 영향력을 과시해온 복음주의 세력은 표가 분산돼 이단으로 간주하는 모르몬교 신도인 롬니 후보가 공화당 후보가 되는 것을 막기 위해 특정 후보에게 표를 모아주는 일종의 ‘후보 단일화’를 시도하려는 움직임마저 보이고 있다.

대선	대선/NNG
때마다	때/NNG+마다/JX
상당한	상당/NNG+하/XSA+ㄴ/ETM
영향력을	영향력/NNG+을/JKO
과시해온	과시/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
복음주의	복음주의/NNG
세력은	세력/NNG+은/JX
표가	표/NNG+가/JKS
분산돼	분산/NNG+되/XSV+어/EC
이단으로	이단/NNG+으로/JKB
간주하는	간주/NNG+하/XSV+는/ETM
모르몬교	모르몬교/NNG
신도인	신도/NNG+이/VCP+ㄴ/ETM
롬니	롬니/NNP
후보가	후보/NNG+가/JKC
공화당	공화당/NNP
되는	되/VV+는/ETM
것을	것/NNB+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
특정	특정/NNG
후보에게	후보/NNG+에게/JKB
표를	표/NNG+를/JKO
모아주는	모으/VV+아/EC+주/VX+는/ETM
일종의	일종/NNG+의/JKG
‘후보	‘/SS+후보/NNG
단일화’를	단일/NNG+화/XSN+’/SS+를/JKO
시도하려는	시도/NNG+하/XSV+려는/ETM
움직임마저	움직임/NNG+마저/JX
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.75.8.2
복음주의 기독교 지도자들은 오는 13~14일 텍사스에 모여 공화당 경선 후보 지지 관련 모임을 갖는다.

복음주의	복음주의/NNG
기독교	기독교/NNG
지도자들은	지도자/NNG+들/XSN+은/JX
오는	오/VV+는/ETM
13~14일	13/SN+~/SO+14/SN+일/NNB
텍사스에	텍사스/NNP+에/JKB
모여	모이/VV+어/EC
공화당	공화당/NNP
경선	경선/NNG
후보	후보/NNG
지지	지지/NNG
관련	관련/NNG
모임을	모임/NNG+을/JKO
갖는다.	갖/VV+는다/EF+./SF


# id : NWRW1800000036.75.8.3
샌토럼은 유세 내내 ‘가족의 가치’를 강조하고, 낙태, 동성결혼, 줄기세포 연구 반대 등 종교·도덕적 이슈에 집중하고 있다.

샌토럼은	샌토럼/NNP+은/JX
유세	유세/NNG
내내	내내/MAG
‘가족의	‘/SS+가족/NNG+의/JKG
가치’를	가치/NNG+’/SS+를/JKO
강조하고,	강조/NNG+하/XSV+고/EC+,/SP
낙태,	낙태/NNG+,/SP
동성결혼,	동성/NNG+결혼/NNG+,/SP
줄기세포	줄기세포/NNG
연구	연구/NNG
반대	반대/NNG
등	등/NNB
종교·도덕적	종교/NNG+·/SP+도덕/NNG+적/XSN
이슈에	이슈/NNG+에/JKB
집중하고	집중/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.75.9.1
실제 미 대선에서 기독교의 영향력은 막강하다.

실제	실제/NNG
미	미/NNP
대선에서	대선/NNG+에서/JKB
기독교의	기독교/NNG+의/JKG
영향력은	영향력/NNG+은/JX
막강하다.	막강/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000036.75.9.2
기독교 세력의 지지만으로 대선에 승리할 수는 없지만, 기독교 세력의 지지없이 승리하기도 힘들다는 게 일반적 인식이다.

기독교	기독교/NNG
세력의	세력/NNG+의/JKG
지지만으로	지지/NNG+만/JX+으로/JKB
대선에	대선/NNG+에/JKB
승리할	승리/NNG+하/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없지만,	없/VA+지만/EC+,/SP
지지없이	지지/NNG+없이/MAG
승리하기도	승리/NNG+하/XSV+기/ETN+도/JX
힘들다는	힘들/VA+다는/ETM
게	거/NNB+이/JKS
일반적	일반/NNG+적/XSN
인식이다.	인식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.75.9.3
미국에서 보수적 성향의 복음주의 신도들은 26.3%를 차지하며, 중도성향 기독교인과 가톨릭을 포함한 범기독교 유권자는 전체의 80%에 이른다.

미국에서	미국/NNP+에서/JKB
보수적	보수/NNG+적/XSN
성향의	성향/NNG+의/JKG
복음주의	복음주의/NNG
신도들은	신도/NNG+들/XSN+은/JX
26.3%를	26/SN+./SP+3/SN+%/SW+를/JKO
차지하며,	차지/NNG+하/XSV+며/EC+,/SP
중도성향	중도/NNG+성향/NNG
기독교인과	기독교인/NNG+과/JC
가톨릭을	가톨릭/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
범기독교	범/XPN+기독교/NNG
유권자는	유권자/NNG+는/JX
전체의	전체/NNG+의/JKG
80%에	80/SN+%/SW+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.75.9.4
이 때문에 지난 2008년의 경우 기독교 신앙을 의심받았던 버락 오바마 후보(민주)는 “예수 그리스도는 나의 원죄를 위해 죽으셨고, 나는 그를 통해 속죄 받았다”고 말하고, 모르몬교 부담을 떨치지 못한 롬니 전 지사도 당시 “나는 예수 그리스도가 하나님의 아들이고 인간의 구세주였다는 것을 믿는다”며 공개 신앙고백을 할 정도였다.

이	이/NP
때문에	때문/NNB+에/JKB
지난	지나/VV+ㄴ/ETM
2008년의	2008/SN+년/NNB+의/JKG
경우	경우/NNG
기독교	기독교/NNG
신앙을	신앙/NNG+을/JKO
의심받았던	의심/NNG+받/XSV+았/EP+던/ETM
버락	버락/NNP
오바마	오바마/NNP
후보(민주)는	후보/NNG+(/SS+민주/NNP+)/SS+는/JX
“예수	“/SS+예수/NNP
그리스도는	그리스도/NNG+는/JX
나의	나/NP+의/JKG
원죄를	원죄/NNG+를/JKO
위해	위하/VV+아/EC
죽으셨고,	죽/VV+으시/EP+었/EP+고/EC+,/SP
나는	나/NP+는/JX
그를	그/NP+를/JKO
통해	통하/VV+아/EC
속죄	속죄/NNG
받았다”고	받/VV+았/EP+다/EF+”/SS+고/JKQ
말하고,	말/NNG+하/XSV+고/EC+,/SP
모르몬교	모르몬교/NNG
부담을	부담/NNG+을/JKO
떨치지	떨치/VV+지/EC
못한	못하/VX+ㄴ/ETM
롬니	롬니/NNP
전	전/MMD
지사도	지사/NNG+도/JX
당시	당시/NNG
“나는	“/SS+나/NP+는/JX
예수	예수/NNP
그리스도가	그리스도/NNG+가/JKS
하나님의	하나님/NNG+의/JKG
아들이고	아들/NNG+이/VCP+고/EC
인간의	인간/NNG+의/JKG
구세주였다는	구세주/NNG+이/VCP+었/EP+다는/ETM
것을	것/NNB+을/JKO
믿는다”며	믿/VV+는다/EF+”/SS+며/EC
공개	공개/NNG
신앙고백을	신앙/NNG+고백/NNG+을/JKO
할	하/VV+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.75.10.1
개인구원에 치중해 사회 이슈에 관심이 덜한 보수 기독교 세력은 지난 1920년대부터 공립학교내 진화론 교육반대운동을 시작으로 사회문제에 간섭하기 시작했다.

개인구원에	개인/NNG+구원/NNG+에/JKB
치중해	치중/NNG+하/XSV+아/EC
사회	사회/NNG
이슈에	이슈/NNG+에/JKB
관심이	관심/NNG+이/JKS
덜한	덜/MAG+하/XSA+ㄴ/ETM
보수	보수/NNG
기독교	기독교/NNG
세력은	세력/NNG+은/JX
지난	지나/VV+ㄴ/ETM
1920년대부터	1920/SN+년대/NNB+부터/JX
공립학교내	공립/NNG+학교/NNG+내/NNB
진화론	진화/NNG+론/XSN
교육반대운동을	교육/NNG+반대/NNG+운동/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
사회문제에	사회/NNG+문제/NNG+에/JKB
간섭하기	간섭/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.75.10.2
냉전시대 소비에트 연방을 ‘적그리스도 세력’으로 간주하며 반공주의와 연결된 보수 기독교 세력은 이후 우파 성향 대통령 후보 지지에 적극 나섰다.

냉전시대	냉전/NNG+시대/NNG
소비에트	소비에트/NNP
연방을	연방/NNG+을/JKO
‘적그리스도	‘/SS+적그리스도/NNG
세력’으로	세력/NNG+’/SS+으로/JKB
간주하며	간주/NNG+하/XSV+며/EC
반공주의와	반공주의/NNG+와/JKB
연결된	연결/NNG+되/XSV+ㄴ/ETM
보수	보수/NNG
기독교	기독교/NNG
세력은	세력/NNG+은/JX
이후	이후/NNG
우파	우파/NNG
성향	성향/NNG
대통령	대통령/NNG
후보	후보/NNG
지지에	지지/NNG+에/JKB
적극	적극/NNG
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.75.10.3
특히 1980년 침례교 목사 제리 폴웰이 주도한 기독교 단체인 ‘도덕적 다수’가 로널드 레이건 후보를 대통령으로 당선시키는 데 주요한 역할을 하면서 지금까지 공화당의 실제적 ‘러닝 메이트’가 되고 있다.

특히	특히/MAG
1980년	1980/SN+년/NNB
침례교	침례교/NNG
목사	목사/NNG
제리	제리/NNP
폴웰이	폴웰/NNP+이/JKS
주도한	주도/NNG+하/XSV+ㄴ/ETM
기독교	기독교/NNG
단체인	단체/NNG+이/VCP+ㄴ/ETM
‘도덕적	‘/SS+도덕/NNG+적/XSN
다수’가	다수/NNG+’/SS+가/JKS
로널드	로널드/NNP
레이건	레이건/NNP
후보를	후보/NNG+를/JKO
대통령으로	대통령/NNG+으로/JKB
당선시키는	당선/NNG+시키/XSV+는/ETM
데	데/NNB
주요한	주요/NNG+하/XSA+ㄴ/ETM
역할을	역할/NNG+을/JKO
하면서	하/VV+면서/EC
지금까지	지금/NNG+까지/JX
공화당의	공화당/NNP+의/JKG
실제적	실제/NNG+적/XSN
‘러닝	‘/SS+러닝/NNG
메이트’가	메이트/NNG+’/SS+가/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.75.10.4
돈, 조직, 열성을 모두 갖고 있는 보수 기독교 세력이 이번 대선에서 누구를 지지하느냐가 공화당 경선의 주요 변수로 떠오를 전망이다.

돈,	돈/NNG+,/SP
조직,	조직/NNG+,/SP
열성을	열성/NNG+을/JKO
모두	모두/MAG
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
보수	보수/NNG
기독교	기독교/NNG
세력이	세력/NNG+이/JKS
이번	이번/NNG
대선에서	대선/NNG+에서/JKB
누구를	누구/NP+를/JKO
지지하느냐가	지지/NNG+하/XSV+느냐/EF+가/JKS
공화당	공화당/NNP
경선의	경선/NNG+의/JKG
주요	주요/NNG
변수로	변수/NNG+로/JKB
떠오를	떠오르/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


