# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.240
metadata : {}


# id : NWRW1800000022.240.1.1
車가 난다 '하늘 나는 車' 연구착수 한국서 10년 후 현실화

車가	車/SH+가/JKS
난다	날/VV+ㄴ다/EF
'하늘	'/SS+하늘/NNG
나는	날/VV+는/ETM
車'	車/SH+'/SS
연구착수	연구/NNG+착수/NNG
한국서	한국/NNP+서/JKB
10년	10/SN+년/NNB
후	후/NNG
현실화	현실/NNG+화/XSN


# id : NWRW1800000022.240.2.1
하늘을 나는 택시가 좁은 마천루 사이를 쏜살같이 달린다.

하늘을	하늘/NNG+을/JKO
나는	날/VV+는/ETM
택시가	택시/NNG+가/JKS
좁은	좁/VA+은/ETM
마천루	마천루/NNG
사이를	사이/NNG+를/JKO
쏜살같이	쏜살같이/MAG
달린다.	달리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.240.2.2
그 뒤를 경찰차가 바짝 뒤쫓기 시작하자 열을 맞춰 비행하는 자동차들이 뒤엉킨다.

그	그/MMD
뒤를	뒤/NNG+를/JKO
경찰차가	경찰차/NNG+가/JKS
바짝	바짝/MAG
뒤쫓기	뒤쫓/VV+기/ETN
시작하자	시작/NNG+하/XSV+자/EC
열을	열/NNG+을/JKO
맞춰	맞추/VV+어/EC
비행하는	비행/NNG+하/XSV+는/ETM
자동차들이	자동차/NNG+들/XSN+이/JKS
뒤엉킨다.	뒤엉키/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.240.2.3
2259년 미국 뉴욕을 배경으로 펼쳐지는 영화 '제5원소'의 한 장면이다.

2259년	2259/SN+년/NNB
미국	미국/NNP
뉴욕을	뉴욕/NNP+을/JKO
배경으로	배경/NNG+으로/JKB
펼쳐지는	펼쳐지/VV+는/ETM
영화	영화/NNG
'제5원소'의	'/SS+제/XPN+5/SN+원소/NNG+'/SS+의/JKG
한	한/MMN
장면이다.	장면/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.240.3.1
미래 SF영화에서나 나오는 '하늘을 나는 자동차'가 우리나라에서도 '현실'로 검토되기 시작했다.

미래	미래/NNG
SF영화에서나	SF/SL+영화/NNG+에서/JKB+나/JX
나오는	나오/VV+는/ETM
'하늘을	'/SS+하늘/NNG+을/JKO
나는	날/VV+는/ETM
자동차'가	자동차/NNG+'/SS+가/JKS
우리나라에서도	우리나라/NNG+에서/JKB+도/JX
'현실'로	'/SS+현실/NNG+'/SS+로/JKB
검토되기	검토/NNG+되/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.240.4.1
한국항공우주연구원 이대성 항공연구본부장을 주축으로 한 항공·교통 전문가와 경제학자, 기술자 등 20여명은 지난 5월 28일 처음으로 회의를 갖고 '개인용 항공기(PAV·Personal Air Vehicle)', 즉 하늘을 나는 자동차 현실화 문제를 검토했다.

