# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.299
metadata : {}


# id : NWRW1800000046.299.1.1
[데스크에서] 반기문의 두 마리 토끼

[데스크에서]	[/SS+데스크/NNG+에서/JKB+]/SS
반기문의	반기문/NNP+의/JKG
두	두/MMN
마리	마리/NNB
토끼	토끼/NNG


# id : NWRW1800000046.299.2.1
반기문 유엔 사무총장이 곧 북한을 방문할 것이란 보도가 잇따르고 있다.

반기문	반기문/NNP
유엔	유엔/NNP
사무총장이	사무총장/NNG+이/JKS
곧	곧/MAG
북한을	북한/NNP+을/JKO
방문할	방문/NNG+하/XSV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
보도가	보도/NNG+가/JKS
잇따르고	잇따르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.299.2.2
그러자 유엔 사무총장실 대변인은 16일 "구체적 방북 계획에 대해서는 코멘트할 것이 없다"면서도 "반 총장은 한반도 평화 지속과 대화 분위기 조성을 위해 언제든 역할을 할 준비가 돼 있다"고 밝혔다.

그러자	그러/VV+자/EC
유엔	유엔/NNP
사무총장실	사무총장/NNG+실/NNG
대변인은	대변인/NNG+은/JX
16일	16/SN+일/NNB
"구체적	"/SS+구체/NNG+적/XSN
방북	방북/NNG
계획에	계획/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
코멘트할	코멘트/NNG+하/XSV+ㄹ/ETM
것이	것/NNB+이/JKS
없다"면서도	없/VA+다/EF+"/SS+면서/EC+도/JX
"반	"/SS+반/NNP
총장은	총장/NNG+은/JX
한반도	한반도/NNP
평화	평화/NNG
지속과	지속/NNG+과/JC
대화	대화/NNG
분위기	분위기/NNG
조성을	조성/NNG+을/JKO
위해	위하/VV+아/EC
언제든	언제/NP+든/JX
역할을	역할/NNG+을/JKO
할	하/VV+ㄹ/ETM
준비가	준비/NNG+가/JKC
돼	되/VV+어/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.299.2.3
우리 정부에서도 "북한 내부 분위기가 지난 5월 반 총장 방북을 거부할 때와는 조금 달라진 것 같다"는 말이 나왔다.

우리	우리/NP
정부에서도	정부/NNG+에서/JKB+도/JX
"북한	"/SS+북한/NNP
내부	내부/NNG
분위기가	분위기/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
반	반/NNP
총장	총장/NNG
방북을	방북/NNG+을/JKO
거부할	거부/NNG+하/XSV+ㄹ/ETM
때와는	때/NNG+와/JKB+는/JX
조금	조금/MAG
달라진	달라지/VV+ㄴ/ETM
것	것/NNB
같다"는	같/VA+다/EF+"/SS+는/ETM
말이	말/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.299.3.1
이날 국내 정치권에서도 반 총장 방북설이 화제였다.

이날	이날/NNG
국내	국내/NNG
정치권에서도	정치/NNG+권/XSN+에서/JKB+도/JX
반	반/NNP
총장	총장/NNG
방북설이	방북설/NNG+이/JKS
화제였다.	화제/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.299.3.2
그의 2017년 대선 출마설은 이미 광범위하게 퍼져 있다.

그의	그/NP+의/JKG
2017년	2017/SN+년/NNB
대선	대선/NNG
출마설은	출마설/NNG+은/JX
이미	이미/MAG
광범위하게	광범위/NNG+하/XSA+게/EC
퍼져	퍼지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.299.3.3
정치권 일부에서는 그를 대통령 후보로 '모셔야' 한다는 얘기가 끊이지 않고, 지지율 여론조사 대상에 포함된 적도 여러 번이다.

정치권	정치/NNG+권/XSN
일부에서는	일부/NNG+에서/JKB+는/JX
그를	그/NP+를/JKO
대통령	대통령/NNG
후보로	후보/NNG+로/JKB
'모셔야'	'/SS+모시/VV+어야/EC+'/SS
한다는	하/VX+ㄴ다는/ETM
얘기가	얘기/NNG+가/JKS
끊이지	끊이/VV+지/EC
않고,	않/VX+고/EC+,/SP
지지율	지지/NNG+율/XSN
여론조사	여론/NNG+조사/NNG
대상에	대상/NNG+에/JKB
포함된	포함/NNG+되/XSV+ㄴ/ETM
적도	적/NNB+도/JX
여러	여러/MMN
번이다.	번/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.299.3.4
본인 역시 대선 출마를 정면으로 부인한 적이 없다.

본인	본인/NNG
역시	역시/MAG
대선	대선/NNG
출마를	출마/NNG+를/JKO
정면으로	정면/NNG+으로/JKB
부인한	부인/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.299.4.1
반 총장은 방북이 성사되면 김정은 노동당 제1비서를 만날 가능성이 높다.

반	반/NNP
총장은	총장/NNG+은/JX
방북이	방북/NNG+이/JKS
성사되면	성사/NNG+되/XSV+면/EC
김정은	김정은/NNP
노동당	노동당/NNP
제1비서를	제/XPN+1/SN+비서/NNG+를/JKO
