# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.231
metadata : {}


# id : NWRW1800000036.231.1.1
아라뱃길, 수억원 호화 개통쇼 눈살…소녀시대 등 초청도

아라뱃길,	아라뱃길/NNP+,/SP
수억원	수억/NR+원/NNB
호화	호화/NNG
개통쇼	개통/NNG+쇼/NNG
눈살…소녀시대	눈살/NNG+…/SE+소녀시대/NNP
등	등/NNB
초청도	초청/NNG+도/JX


# id : NWRW1800000036.231.2.1
[한겨레] 공무원·수공 직원 등 무더기 표창…연쇄 축하공연도

[한겨레]	[/SS+한겨레/NNP+]/SS
공무원·수공	공무원/NNG+·/SP+수공/NNP
직원	직원/NNG
등	등/NNB
무더기	무더기/NNG
표창…연쇄	표창/NNG+…/SE+연쇄/NNG
축하공연도	축하/NNG+공연/NNG+도/JX


# id : NWRW1800000036.231.3.1
주민·시민단체 “예산 낭비 반성은 못할망정…” 비판

주민·시민단체	주민/NNG+·/SP+시민/NNG+단체/NNG
“예산	“/SS+예산/NNG
낭비	낭비/NNG
반성은	반성/NNG+은/JX
못할망정…”	못/MAG+하/VV+ㄹ망정/EC+…/SE+”/SS
비판	비판/NNG


# id : NWRW1800000036.231.4.1
정부가 25일 경인아라뱃길을 개통할 때 수억원을 들인 축하쇼와 무더기 공무원 포상을 추진하고 있다.

정부가	정부/NNG+가/JKS
25일	25/SN+일/NNB
경인아라뱃길을	경인아라뱃길/NNP+을/JKO
개통할	개통/NNG+하/XSV+ㄹ/ETM
때	때/NNG
수억원을	수억/NR+원/NNB+을/JKO
들인	들이/VV+ㄴ/ETM
축하쇼와	축하/NNG+쇼/NNG+와/JC
무더기	무더기/NNG
공무원	공무원/NNG
포상을	포상/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.231.4.2
19대 국회에서 ‘경인아라뱃길 청문회’를 요구해온 지역 주민들과 시민단체는 23일 “예산을 낭비하는 국책사업을 반성해야 할 정부가 무슨 축하쇼냐”고 비판했다.

19대	19/SN+대/NNB
국회에서	국회/NNG+에서/JKB
‘경인아라뱃길	‘/SS+경인아라뱃길/NNP
청문회’를	청문회/NNG+’/SS+를/JKO
요구해온	요구/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
지역	지역/NNG
주민들과	주민/NNG+들/XSN+과/JC
시민단체는	시민/NNG+단체/NNG+는/JX
23일	23/SN+일/NNB
“예산을	“/SS+예산/NNG+을/JKO
낭비하는	낭비/NNG+하/XSV+는/ETM
국책사업을	국책/NNG+사업/NNG+을/JKO
반성해야	반성/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
정부가	정부/NNG+가/JKS
