# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.339
metadata : {}


# id : NWRW1800000044.339.1.1
민주·안철수쪽 ‘통합신당’ 발기인대회 16일에

민주·안철수쪽	민주/NNP+·/SP+안철수/NNP+쪽/NNB
‘통합신당’	‘/SS+통합신당/NNP+’/SS
발기인대회	발기인/NNG+대회/NNG
16일에	16/SN+일/NNB+에/JKB


# id : NWRW1800000044.339.2.1
[한겨레] 당명, 국민·전문가 공모키로

[한겨레]	[/SS+한겨레/NNP+]/SS
당명,	당명/NNG+,/SP
국민·전문가	국민/NNG+·/SP+전문가/NNG
공모키로	공모/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000044.339.3.1
지방선거 공천룰은 못 정해

지방선거	지방/NNG+선거/NNG
공천룰은	공천/NNG+룰/NNG+은/JX
못	못/MAG
정해	정하/VV+아/EF


# id : NWRW1800000044.339.4.1
‘정치적 결단’따라 정해질 수도

‘정치적	‘/SS+정치/NNG+적/XSN
결단’따라	결단/NNG+’/SS+따르/VV+아/EC
정해질	정하/VV+아/EC+지/VX+ㄹ/ETM
수도	수/NNB+도/JX


# id : NWRW1800000044.339.5.1
창당·통합을 추진중인 민주당·새정치연합 신당추진단은 새 당명을 국민·전문가를 상대로 공모하고, 창당 발기인 대회는 오는 16일에 열기로 했다.

창당·통합을	창당/NNG+·/SP+통합/NNG+을/JKO
추진중인	추진/NNG+중/NNB+이/VCP+ㄴ/ETM
민주당·새정치연합	민주당/NNP+·/SP+새정치연합/NNP
신당추진단은	신당/NNG+추진단/NNG+은/JX
새	새/MMA
당명을	당명/NNG+을/JKO
국민·전문가를	국민/NNG+·/SP+전문가/NNG+를/JKO
상대로	상대/NNG+로/JKB
공모하고,	공모/NNG+하/XSV+고/EC+,/SP
창당	창당/NNG
발기인	발기인/NNG
대회는	대회/NNG+는/JX
오는	오/VV+는/ETM
16일에	16/SN+일/NNB+에/JKB
열기로	열/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.339.6.1
박광온(민주당)·금태섭(새정치연합) 신당추진단 공동 대변인은 11일 오후 브리핑에서 “당명은 국민 공모와 전문가 제안 방식으로 결정할 예정이다.

박광온(민주당)·금태섭(새정치연합)	박광온/NNP+(/SS+민주당/NNP+)/SS+·/SP+금태섭/NNP+(/SS+새정치연합/NNP+)/SS
신당추진단	신당/NNG+추진단/NNG
공동	공동/NNG
대변인은	대변인/NNG+은/JX
11일	11/SN+일/NNB
오후	오후/NNG
브리핑에서	브리핑/NNG+에서/JKB
“당명은	“/SS+당명/NNG+은/JX
국민	국민/NNG
공모와	공모/NNG+와/JC
전문가	전문가/NNG
제안	제안/NNG
방식으로	방식/NNG+으로/JKB
결정할	결정/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.339.6.2
16일 창당 발기인 대회에서 (당명을) 확정할 것”이라고 밝혔다.

16일	16/SN+일/NNB
창당	창당/NNG
발기인	발기인/NNG
대회에서	대회/NNG+에서/JKB
(당명을)	(/SS+당명/NNG+을/JKO+)/SS
확정할	확정/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.339.6.3
공모는 12일 오전 10시부터 14일 오후 6시까지 민주당·새정치연합 누리집과 공식 에스엔에스(SNS), 직접 제안 등의 방식으로 진행하기로 했다.

공모는	공모/NNG+는/JX
12일	12/SN+일/NNB
오전	오전/NNG
10시부터	10/SN+시/NNB+부터/JX
14일	14/SN+일/NNB
오후	오후/NNG
6시까지	6/SN+시/NNB+까지/JX
민주당·새정치연합	민주당/NNP+·/SP+새정치연합/NNP
누리집과	누리집/NNG+과/JC
공식	공식/NNG
에스엔에스(SNS),	에스엔에스/NNG+(/SS+SNS/SL+)/SS+,/SP
직접	직접/NNG
제안	제안/NNG
등의	등/NNB+의/JKG
방식으로	방식/NNG+으로/JKB
진행하기로	진행/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.339.6.4
애초 신당추진단에선 통합이 완료될 때까지 ‘새정치통합신당’이나 ‘통합신당’을 가칭으로 쓰자는 의견도 있었지만, 국민 공모를 통해 바로 새 당명을 정하기로 했다.

애초	애초/NNG
신당추진단에선	신당/NNG+추진단/NNG+에서/JKB+ㄴ/JX
통합이	통합/NNG+이/JKS
완료될	완료/NNG+되/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
‘새정치통합신당’이나	‘/SS+새정치통합신당/NNP+’/SS+이나/JC
‘통합신당’을	‘/SS+통합신당/NNP+’/SS+을/JKO
가칭으로	가칭/NNG+으로/JKB
쓰자는	쓰/VV+자는/ETM
의견도	의견/NNG+도/JX
있었지만,	있/VV+었/EP+지만/EC+,/SP
국민	국민/NNG
공모를	공모/NNG+를/JKO
통해	통하/VV+아/EC
바로	바로/MAG
새	새/MMA
당명을	당명/NNG+을/JKO
정하기로	정하/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.339.6.5
당명 공모 절차가 추가되면서 애초 13일로 예정됐던 창당 발기인 대회는 16일로 미뤄졌다.

당명	당명/NNG
공모	공모/NNG
절차가	절차/NNG+가/JKS
추가되면서	추가/NNG+되/XSV+면서/EC
애초	애초/NNG
13일로	13/SN+일/NNB+로/JKB
예정됐던	예정/NNG+되/XSV+었/EP+던/ETM
창당	창당/NNG
발기인	발기인/NNG
대회는	대회/NNG+는/JX
16일로	16/SN+일/NNB+로/JKB
미뤄졌다.	미루/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.339.7.1
양쪽에서 각각 110명 선으로 거론되던 창당 발기인도 각각 300명씩으로 늘리기로 했다.

양쪽에서	양쪽/NNG+에서/JKB
각각	각각/MAG
110명	110/SN+명/NNB
선으로	선/NNG+으로/JKB
거론되던	거론/NNG+되/XSV+던/ETM
창당	창당/NNG
발기인도	발기인/NNG+도/JX
300명씩으로	300/SN+명/NNB+씩/XSN+으로/JKB
늘리기로	늘리/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.339.7.2
새정치연합의 기존 발기인 가운데 통합에 반발하는 이들까지 설득해 통합신당에 참여하게 하려는 것이다.

새정치연합의	새정치연합/NNP+의/JKG
기존	기존/NNG
발기인	발기인/NNG
가운데	가운데/NNG
통합에	통합/NNG+에/JKB
반발하는	반발/NNG+하/XSV+는/ETM
이들까지	이/NNB+들/XSN+까지/JX
설득해	설득/NNG+하/XSV+아/EC
통합신당에	통합신당/NNP+에/JKB
참여하게	참여/NNG+하/XSV+게/EC
하려는	하/VX+려는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.339.7.3
민주당도 ‘선별’ 없이, 소속 의원 126명 전원과 당무위원, 고문단 등이 모두 발기인으로 참여할 것으로 보인다.

민주당도	민주당/NNP+도/JX
‘선별’	‘/SS+선별/NNG+’/SS
없이,	없이/MAG+,/SP
소속	소속/NNG
의원	의원/NNG
126명	126/SN+명/NNB
전원과	전원/NNG+과/JC
당무위원,	당무/NNG+위원/NNG+,/SP
고문단	고문단/NNG
등이	등/NNB+이/JKS
모두	모두/MAG
발기인으로	발기인/NNG+으로/JKB
참여할	참여/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.339.8.1
통합신당의 ‘간판’ 등 형식적인 절차는 비교적 순탄하게 진행되고 있지만, 양쪽의 이해관계가 첨예하게 부딪히는 지방선거 공천 규칙 제정 작업은 아직 속도를 내지 못하고 있다.

통합신당의	통합신당/NNP+의/JKG
‘간판’	‘/SS+간판/NNG+’/SS
등	등/NNB
형식적인	형식/NNG+적/XSN+이/VCP+ㄴ/ETM
절차는	절차/NNG+는/JX
비교적	비교/NNG+적/XSN
순탄하게	순탄하/VA+게/EC
진행되고	진행/NNG+되/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
양쪽의	양쪽/NNG+의/JKG
이해관계가	이해관계/NNG+가/JKS
첨예하게	첨예하/VA+게/EC
부딪히는	부딪히/VV+는/ETM
지방선거	지방/NNG+선거/NNG
공천	공천/NNG
규칙	규칙/NNG
제정	제정/NNG
작업은	작업/NNG+은/JX
아직	아직/MAG
속도를	속도/NNG+를/JKO
내지	내/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.339.8.2
현재 민주당 당헌·당규상 공직 후보자는 선거인단 투표, 전화면접 여론조사, 휴대전화 투표 또는 인터넷 투표 등의 방식으로 국민참여경선을 치러 정하되, 투표·조사 결과나 선거인단 구성에 당원을 50% 이상 반영하도록 돼 있다.

현재	현재/MAG
민주당	민주당/NNP
당헌·당규상	당헌/NNG+·/SP+당규/NNG+상/XSN
공직	공직/NNG
후보자는	후보자/NNG+는/JX
선거인단	선거인단/NNG
투표,	투표/NNG+,/SP
전화면접	전화/NNG+면접/NNG
여론조사,	여론/NNG+조사/NNG+,/SP
휴대전화	휴대/NNG+전화/NNG
투표	투표/NNG
또는	또는/MAG
인터넷	인터넷/NNG
등의	등/NNB+의/JKG
방식으로	방식/NNG+으로/JKB
국민참여경선을	국민/NNG+참여/NNG+경선/NNG+을/JKO
치러	치르/VV+어/EC
정하되,	정하/VV+되/EC+,/SP
투표·조사	투표/NNG+·/SP+조사/NNG
결과나	결과/NNG+나/JC
구성에	구성/NNG+에/JKB
당원을	당원/NNG+을/JKO
50%	50/SN+%/SW
이상	이상/NNG
반영하도록	반영/NNG+하/XSV+도록/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.339.8.3
새정치연합은 아직 경선 규칙과 관련해 뚜렷한 안을 제시하지 않았으나, 배심원단을 구성해 후보자들의 토론 등을 지켜보게 한 뒤 투표하도록 하는 ‘공론조사식 배심원제’에 관심을 두고 있는 것으로 알려졌다.

새정치연합은	새정치연합/NNP+은/JX
아직	아직/MAG
경선	경선/NNG
규칙과	규칙/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
뚜렷한	뚜렷하/VA+ㄴ/ETM
안을	안/NNG+을/JKO
제시하지	제시/NNG+하/XSV+지/EC
않았으나,	않/VX+았/EP+으나/EC+,/SP
배심원단을	배심원단/NNG+을/JKO
구성해	구성/NNG+하/XSV+아/EC
후보자들의	후보자/NNG+들/XSN+의/JKG
토론	토론/NNG
등을	등/NNB+을/JKO
지켜보게	지켜보/VV+게/EC
한	하/VX+ㄴ/ETM
뒤	뒤/NNG
투표하도록	투표/NNG+하/XSV+도록/EC
하는	하/VX+는/ETM
‘공론조사식	‘/SS+공론/NNG+조사식/NNG
배심원제’에	배심원/NNG+제/XSN+’/SS+에/JKB
관심을	관심/NNG+을/JKO
두고	두/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.339.9.1
양쪽에선 ‘5 대 5 정신’으로 통합하기로 한 만큼, 조직 규모 등에서 열세인 새정치연합을 배려하지 않은 채 ‘당원 중심’의 경선을 치를 수는 없다는 의견이 지배적이다.

양쪽에선	양쪽/NNG+에서/JKB+ㄴ/JX
‘5	‘/SS+5/SN
대	대/NNB
5	5/SN
정신’으로	정신/NNG+’/SS+으로/JKB
통합하기로	통합/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
만큼,	만큼/NNB+,/SP
조직	조직/NNG
규모	규모/NNG
등에서	등/NNB+에서/JKB
열세인	열세/NNG+이/VCP+ㄴ/ETM
새정치연합을	새정치연합/NNP+을/JKO
배려하지	배려/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
채	채/NNB
‘당원	‘/SS+당원/NNG
중심’의	중심/NNG+’/SS+의/JKG
경선을	경선/NNG+을/JKO
치를	치르/VV+ㄹ/ETM
수는	수/NNB+는/JX
없다는	없/VA+다는/ETM
의견이	의견/NNG+이/JKS
지배적이다.	지배/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000044.339.9.2
이 때문에 양쪽 지도부의 ‘정치적 결단’에 따라 경선 규칙이 정해질 가능성도 거론된다.

이	이/NP
때문에	때문/NNB+에/JKB
양쪽	양쪽/NNG
지도부의	지도부/NNG+의/JKG
‘정치적	‘/SS+정치/NNG+적/XSN
결단’에	결단/NNG+’/SS+에/JKB
따라	따르/VV+아/EC
경선	경선/NNG
규칙이	규칙/NNG+이/JKS
정해질	정하/VV+아/EC+지/VX+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.339.9.3
양쪽은 경선 규칙을 포함한 당헌·당규 가안을 각각 만들어 17일에 교환한 뒤 18일 구체적인 논의를 하기로 했다.

양쪽은	양쪽/NNG+은/JX
경선	경선/NNG
규칙을	규칙/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
당헌·당규	당헌/NNG+·/SP+당규/NNG
가안을	가안/NNG+을/JKO
각각	각각/MAG
만들어	만들/VV+어/EC
17일에	17/SN+일/NNB+에/JKB
교환한	교환/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
18일	18/SN+일/NNB
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
논의를	논의/NNG+를/JKO
하기로	하/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


