# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.271
metadata : {}


# id : NWRW1800000026.271.1.1
NASA "예측불허 태풍, 발생 5일前 예측";우주엔 인공위성, 땅에선 수퍼컴퓨터 동원… 여름보다 뜨거운 선전포고

NASA	NASA/SL
"예측불허	"/SS+예측/NNG+불허/NNG
태풍,	태풍/NNG+,/SP
발생	발생/NNG
5일前	5/SN+일/NNB+前/SH
예측";우주엔	예측/NNG+"/SS+;/SP+우주/NNG+에/JKB+ㄴ/JX
인공위성,	인공위성/NNG+,/SP
땅에선	땅/NNG+에서/JKB+ㄴ/JX
수퍼컴퓨터	수퍼컴퓨터/NNG
동원…	동원/NNG+…/SE
여름보다	여름/NNG+보다/JKB
뜨거운	뜨겁/VA+ㄴ/ETM
선전포고	선전/NNG+포고/NNG


# id : NWRW1800000026.271.2.1
지난 200년간 전 세계에서 약 190만명의 목숨을 앗아간 공포의 학살자 허리케인(동북아시아는 태풍, 서남아시아는 사이클론)에 대해 미국 과학계가 올여름 선전포고를 했다.

지난	지나/VV+ㄴ/ETM
200년간	200/SN+년/NNB+간/XSN
전	전/MMN
세계에서	세계/NNG+에서/JKB
약	약/MMA
190만명의	190/SN+만/NR+명/NNB+의/JKG
목숨을	목숨/NNG+을/JKO
앗아간	앗/VV+아/EC+가/VX+ㄴ/ETM
공포의	공포/NNG+의/JKG
학살자	학살자/NNG
허리케인(동북아시아는	허리케인/NNG+(/SS+동북아시아/NNP+는/JX
태풍,	태풍/NNG+,/SP
서남아시아는	서남아시아/NNP+는/JX
사이클론)에	사이클론/NNG+)/SS+에/JKB
대해	대하/VV+아/EC
미국	미국/NNP
과학계가	과학/NNG+계/XSN+가/JKS
올여름	올여름/NNG
선전포고를	선전/NNG+포고/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.271.2.2
미국 전역에서 발생하는 허리케인의 생성과 성장, 쇠퇴를 장장 한 달에 걸쳐 우주와 하늘, 바다와 육지에서 동시에 추적하는 대대적인 연구에 돌입한 것이다.

미국	미국/NNP
전역에서	전역/NNG+에서/JKB
발생하는	발생/NNG+하/XSV+는/ETM
허리케인의	허리케인/NNG+의/JKG
생성과	생성/NNG+과/JC
성장,	성장/NNG+,/SP
쇠퇴를	쇠퇴/NNG+를/JKO
장장	장장/MMA
한	한/MMN
달에	달/NNB+에/JKB
걸쳐	걸치/VV+어/EC
우주와	우주/NNG+와/JC
하늘,	하늘/NNG+,/SP
바다와	바다/NNG+와/JC
육지에서	육지/NNG+에서/JKB
동시에	동시/NNG+에/JKB
추적하는	추적/NNG+하/XSV+는/ETM
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
연구에	연구/NNG+에/JKB
돌입한	돌입/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.271.3.1
이 전쟁은 미국 항공우주국(NASA)이 주도하고 있다.

이	이/MMD
전쟁은	전쟁/NNG+은/JX
미국	미국/NNP
항공우주국(NASA)이	항공우주국/NNP+(/SS+NASA/SL+)/SS+이/JKS
주도하고	주도/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.271.3.2
2001년 미국 내 허리케인에 대한 연구를 시작한 나사는 허리케인의 계절인 이번 달 15일부터 9월 30일까지 허리케인 관련 연구 사상 최대의 프로젝트를 시작한다.

2001년	2001/SN+년/NNB
미국	미국/NNP
내	내/NNB
허리케인에	허리케인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
연구를	연구/NNG+를/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
나사는	나사/NNP+는/JX
허리케인의	허리케인/NNG+의/JKG
계절인	계절/NNG+이/VCP+ㄴ/ETM
이번	이번/NNG
달	달/NNG
15일부터	15/SN+일/NNB+부터/JX
9월	9/SN+월/NNB
30일까지	30/SN+일/NNB+까지/JX
허리케인	허리케인/NNG
관련	관련/NNG
연구	연구/NNG
사상	사상/NNG
최대의	최대/NNG+의/JKG
프로젝트를	프로젝트/NNG+를/JKO
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.271.4.1
우선 인공위성 2대가 우주공간에서 허리케인을 추적한다.

우선	우선/MAG
인공위성	인공위성/NNG
2대가	2/SN+대/NNB+가/JKS
우주공간에서	우주/NNG+공간/NNG+에서/JKB
허리케인을	허리케인/NNG+을/JKO
추적한다.	추적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.271.4.2
나사가 보유한 무인항공기인 글로벌 호크는 허리케인의 눈(eye)으로 직접 침투, 그 안의 기상정보를 포착한다.

나사가	나사/NNP+가/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
무인항공기인	무인/NNG+항공기/NNG+이/VCP+ㄴ/ETM
글로벌	글로벌/NNP
호크는	호크/NNP+는/JX
허리케인의	허리케인/NNG+의/JKG
눈(eye)으로	눈/NNG+(/SS+eye/SL+)/SS+으로/JKB
직접	직접/MAG
침투,	침투/NNG+,/SP
그	그/MMD
안의	안/NNG+의/JKG
기상정보를	기상/NNG+정보/NNG+를/JKO
포착한다.	포착/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.271.4.3
과학자들은 군사용 항공기인 WB-57과 DC-8에 나눠타고 열대 폭풍의 뒤를 쫓는다.

과학자들은	과학자/NNG+들/XSN+은/JX
군사용	군사/NNG+용/XSN
항공기인	항공기/NNG+이/VCP+ㄴ/ETM
WB-57과	WB/SL+-/SO+57/SN+과/JC
DC-8에	DC/SL+-/SO+8/SN+에/JKB
나눠타고	나누/VV+어/EC+타/VV+고/EC
열대	열대/NNG
폭풍의	폭풍/NNG+의/JKG
뒤를	뒤/NNG+를/JKO
쫓는다.	쫓/VV+는다/EF+./SF


# id : NWRW1800000026.271.4.4
미국 과학재단 역시 4대의 항공기를 동원해 허리케인 추적에 나선다.

미국	미국/NNP
과학재단	과학/NNG+재단/NNG
역시	역시/MAG
4대의	4/SN+대/NNB+의/JKG
항공기를	항공기/NNG+를/JKO
동원해	동원/NNG+하/XSV+아/EC
허리케인	허리케인/NNG
추적에	추적/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.271.5.1
우주와 하늘에서 모아진 데이터는 나사의 캘리포니아 아메스(Ames) 연구센터에 있는 수퍼컴퓨터 플레이아데스에 모아져 분석된다.

우주와	우주/NNG+와/JC
하늘에서	하늘/NNG+에서/JKB
모아진	모으/VV+아/EC+지/VX+ㄴ/ETM
데이터는	데이터/NNG+는/JX
나사의	나사/NNP+의/JKG
캘리포니아	캘리포니아/NNP
아메스(Ames)	아메스/NNP+(/SS+Ames/SL+)/SS
연구센터에	연구/NNG+센터/NNG+에/JKB
있는	있/VA+는/ETM
수퍼컴퓨터	수퍼컴퓨터/NNG
플레이아데스에	플레이아데스/NNG+에/JKB
모아져	모으/VV+아/EC+지/VX+어/EC
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.271.5.2
플레이아데스는 PC 8만1920대와 맞먹는 계산 용량을 갖고 있는 세계 3대 수퍼컴퓨터.

플레이아데스는	플레이아데스/NNG+는/JX
PC	PC/SL
8만1920대와	8/SN+만/NR+1920/SN+대/NNB+와/JKB
맞먹는	맞먹/VV+는/ETM
계산	계산/NNG
용량을	용량/NNG+을/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
세계	세계/NNG
3대	3/SN+대/NNG
수퍼컴퓨터.	수퍼컴퓨터/NNG+./SF


# id : NWRW1800000026.271.6.1
아메스 센터에서는 또 2008년 아시아의 미얀마를 초토화시켰던 태풍 나르기스의 생성부터 소멸까지를 컴퓨터 속에서 재현하는 작업을 하고 있다.

아메스	아메스/NNP
센터에서는	센터/NNG+에서/JKB+는/JX
또	또/MAG
2008년	2008/SN+년/NNB
아시아의	아시아/NNP+의/JKG
미얀마를	미얀마/NNP+를/JKO
초토화시켰던	초토/NNG+화/XSN+시키/XSV+었/EP+던/ETM
태풍	태풍/NNG
나르기스의	나르기스/NNG+의/JKG
생성부터	생성/NNG+부터/JX
소멸까지를	소멸/NNG+까지/JX+를/JKO
컴퓨터	컴퓨터/NNG
속에서	속/NNG+에서/JKB
재현하는	재현/NNG+하/XSV+는/ETM
작업을	작업/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.271.6.2
이 작업의 궁극적인 목표는 태풍 발생 5일 전에 이를 완벽하게 예측하는 프로그램을 만드는 것.

이	이/MMD
작업의	작업/NNG+의/JKG
궁극적인	궁극/NNG+적/XSN+이/VCP+ㄴ/ETM
목표는	목표/NNG+는/JX
태풍	태풍/NNG
발생	발생/NNG
5일	5/SN+일/NNB
전에	전/NNG+에/JKB
이를	이/NP+를/JKO
완벽하게	완벽/NNG+하/XSA+게/EC
예측하는	예측/NNG+하/XSV+는/ETM
프로그램을	프로그램/NNG+을/JKO
만드는	만들/VV+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000026.271.6.3
이 작업을 주도하고 있는 과학자는 공교롭게도 세계에서 가장 태풍이 잦은 곳 중 하나인 대만 출신 션보원씨.

이	이/MMD
작업을	작업/NNG+을/JKO
주도하고	주도/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
과학자는	과학자/NNG+는/JX
공교롭게도	공교롭/VA+게/EC+도/JX
세계에서	세계/NNG+에서/JKB
가장	가장/MAG
태풍이	태풍/NNG+이/JKS
잦은	잦/VA+은/ETM
곳	곳/NNG
중	중/NNB
하나인	하나/NR+이/VCP+ㄴ/ETM
대만	대만/NNP
출신	출신/NNG
션보원씨.	션보원/NNP+씨/NNB+./SF


# id : NWRW1800000026.271.6.4
부정확한 태풍 예보 때문에 고향마을이 엄청난 피해를 보는 걸 지켜봐야 했던 어린 시절의 기억이 그를 지금의 연구로 이끌었다.

부정확한	부/XPN+정확/NNG+하/XSA+ㄴ/ETM
태풍	태풍/NNG
예보	예보/NNG
때문에	때문/NNB+에/JKB
고향마을이	고향/NNG+마을/NNG+이/JKS
엄청난	엄청나/VA+ㄴ/ETM
피해를	피해/NNG+를/JKO
보는	보/VV+는/ETM
걸	거/NNB+ㄹ/JKO
지켜봐야	지켜보/VV+아야/EC
했던	하/VX+았/EP+던/ETM
어린	어리/VA+ㄴ/ETM
시절의	시절/NNG+의/JKG
기억이	기억/NNG+이/JKS
그를	그/NP+를/JKO
지금의	지금/NNG+의/JKG
연구로	연구/NNG+로/JKB
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.271.6.5
션보원씨는 컴퓨터 시뮬레이션을 통해 만들어진 '가상의 나르기스'와 2008년 당시 실제 관측된 데이터를 비교해가면서 태풍 생성의 비밀을 캐고 있다.

션보원씨는	션보원/NNP+씨/NNB+는/JX
컴퓨터	컴퓨터/NNG
시뮬레이션을	시뮬레이션/NNG+을/JKO
통해	통하/VV+아/EC
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
'가상의	'/SS+가상/NNG+의/JKG
나르기스'와	나르기스/NNG+'/SS+와/JC
2008년	2008/SN+년/NNB
당시	당시/NNG
실제	실제/NNG
관측된	관측/NNG+되/XSV+ㄴ/ETM
데이터를	데이터/NNG+를/JKO
비교해가면서	비교/NNG+하/XSV+아/EC+가/VX+면서/EC
태풍	태풍/NNG
생성의	생성/NNG+의/JKG
비밀을	비밀/NNG+을/JKO
캐고	캐/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.271.7.1
1년 동안 지구상에서 생겨나는 허리케인은 약 50개.

1년	1/SN+년/NNB
동안	동안/NNG
지구상에서	지구/NNG+상/XSN+에서/JKB
생겨나는	생겨나/VV+는/ETM
허리케인은	허리케인/NNG+은/JX
약	약/MMA
50개.	50/SN+개/NNB+./SF


# id : NWRW1800000026.271.7.2
허리케인이 일으키는 바람과 해일, 폭우는 매년 엄청난 경제적 피해를 입힌다.

허리케인이	허리케인/NNG+이/JKS
일으키는	일으키/VV+는/ETM
바람과	바람/NNG+과/JC
