# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.109
metadata : {}


# id : NWRW1800000028.109.1.1
3면/영상 은폐 누가

3면/영상	3/SN+면/NNG+//SP+영상/NNG
은폐	은폐/NNG
누가	누구/NP+가/JKS


# id : NWRW1800000028.109.2.1
사고 발생 닷새 만에 사고 당시 화면을 공개하면서 가장 중요한 사고 직후 장면을 빼고 40분이 넘는 전체 분량 가운데 편집된 1분20초가량만 공개한 것이다.

사고	사고/NNG
발생	발생/NNG
닷새	닷새/NNG
만에	만/NNB+에/JKB
당시	당시/NNG
화면을	화면/NNG+을/JKO
공개하면서	공개/NNG+하/XSV+면서/EC
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
직후	직후/NNG
장면을	장면/NNG+을/JKO
빼고	빼/VV+고/EC
40분이	40/SN+분/NNB+이/JKS
넘는	넘/VV+는/ETM
전체	전체/NNG
분량	분량/NNG
가운데	가운데/NNG
편집된	편집/NNG+되/XSV+ㄴ/ETM
1분20초가량만	1/SN+분/NNB+20/SN+초/NNB+가량/XSN+만/JX
공개한	공개/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.109.2.2
국방부는 지난 30일, 사고 당일 밤 9시33분 이전의 동영상은 없다고 밝힌 바 있다.

국방부는	국방부/NNG+는/JX
지난	지나/VV+ㄴ/ETM
30일,	30/SN+일/NNB+,/SP
사고	사고/NNG
당일	당일/NNG
밤	밤/NNG
9시33분	9/SN+시/NNB+33/SN+분/NNB
이전의	이전/NNG+의/JKG
동영상은	동영상/NNG+은/JX
없다고	없/VA+다고/EC
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.109.2.3
1일 추가로 공개하면서 “그동안 그 앞부분의 존재를 몰랐다”고 말했지만, 이는 상식적으로 납득하기 어렵다.

1일	1/SN+일/NNB
추가로	추가/NNG+로/JKB
공개하면서	공개/NNG+하/XSV+면서/EC
“그동안	“/SS+그동안/NNG
그	그/MMD
앞부분의	앞부분/NNG+의/JKG
존재를	존재/NNG+를/JKO
몰랐다”고	모르/VV+았/EP+다/EF+”/SS+고/JKQ
말했지만,	말/NNG+하/XSV+았/EP+지만/EC+,/SP
이는	이/NP+는/JX
상식적으로	상식/NNG+적/XSN+으로/JKB
납득하기	납득/NNG+하/XSV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000028.109.2.4
백령도 근무 초병이 “꽝” 하는 소리를 듣고 상부 지시를 받아 바로 찍었기 때문에 30일 1차 공개 때 33분 이전의 자료가 있는 줄 몰랐다는 설명은 군색하다.

백령도	백령도/NNP
근무	근무/NNG
초병이	초병/NNG+이/JKS
“꽝”	“/SS+꽝/MAG+”/SS
하는	하/VV+는/ETM
소리를	소리/NNG+를/JKO
듣고	듣/VV+고/EC
상부	상부/NNG
지시를	지시/NNG+를/JKO
받아	받/VV+아/EC
바로	바로/MAG
찍었기	찍/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
30일	30/SN+일/NNB
1차	1/SN+차/NNB
공개	공개/NNG
때	때/NNG
33분	33/SN+분/NNB
이전의	이전/NNG+의/JKG
자료가	자료/NNG+가/JKS
있는	있/VA+는/ETM
줄	줄/NNB
몰랐다는	모르/VV+았/EP+다는/ETM
설명은	설명/NNG+은/JX
군색하다.	군색하/VA+다/EF+./SF


# id : NWRW1800000028.109.2.5
이 때문에 국방부가 말 못 할 사정이 있기 때문에 초기 영상자료를 감췄던 것 아니냐는 의혹이 제기되고 있다.

이	이/MMD
때문에	때문/NNB+에/JKB
국방부가	국방부/NNG+가/JKS
말	말/NNG
못	못/MAG
할	하/VV+ㄹ/ETM
사정이	사정/NNG+이/JKS
있기	있/VA+기/ETN
초기	초기/NNG
영상자료를	영상/NNG+자료/NNG+를/JKO
감췄던	감추/VV+었/EP+던/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
의혹이	의혹/NNG+이/JKS
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.109.3.1
이와 관련해 군 당국이 사고 발생 시간이 정확하게 드러나는 것을 꺼린 것 아니냐는 분석이 나오고 있다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
군	군/NNG
당국이	당국/NNG+이/JKS
사고	사고/NNG
발생	발생/NNG
시간이	시간/NNG+이/JKS
정확하게	정확/NNG+하/XSA+게/EC
드러나는	드러나/VV+는/ETM
것을	것/NNB+을/JKO
꺼린	꺼리/VV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
분석이	분석/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.109.3.2
군 관계자는 1일 “티오디의 기계적 이상으로 티오디 동영상에 찍힌 시간 표시가 실제 시간과 달라 오해를 일으킬 수 있다는 점도 고려했다”고 말했다.

군	군/NNG
관계자는	관계자/NNG+는/JX
1일	1/SN+일/NNB
“티오디의	“/SS+티오디/NNG+의/JKG
기계적	기계/NNG+적/XSN
이상으로	이상/NNG+으로/JKB
티오디	티오디/NNG
동영상에	동영상/NNG+에/JKB
찍힌	찍히/VV+ㄴ/ETM
시간	시간/NNG
표시가	표시/NNG+가/JKS
실제	실제/NNG
시간과	시간/NNG+과/JKB
달라	다르/VA+아/EC
오해를	오해/NNG+를/JKO
일으킬	일으키/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점도	점/NNG+도/JX
고려했다”고	고려/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.109.3.3
원태재 국방부 대변인은 “동영상에 표시된 시간은 실제 시간보다 2분여가 빠르다”고 설명했다.

원태재	원태재/NNP
국방부	국방부/NNG
대변인은	대변인/NNG+은/JX
“동영상에	“/SS+동영상/NNG+에/JKB
표시된	표시/NNG+되/XSV+ㄴ/ETM
시간은	시간/NNG+은/JX
실제	실제/NNG
시간보다	시간/NNG+보다/JKB
2분여가	2/SN+분/NNB+여/XSN+가/JKS
빠르다”고	빠르/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.109.3.4
사고 발생 시간이 오락가락하면서 국방부가 거짓말을 하고 있다는 비판을 받고 있는 마당에, 티오디 동영상이 공개돼 사고 발생 시간이 당겨져 논란이 되는 것이 부담스러웠다는 설명이다.

사고	사고/NNG
발생	발생/NNG
시간이	시간/NNG+이/JKS
오락가락하면서	오락가락/MAG+하/XSV+면서/EC
국방부가	국방부/NNG+가/JKS
거짓말을	거짓말/NNG+을/JKO
하고	하/VV+고/EC
있다는	있/VX+다는/ETM
비판을	비판/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
마당에,	마당/NNB+에/JKB+,/SP
티오디	티오디/NNG
동영상이	동영상/NNG+이/JKS
공개돼	공개/NNG+되/XSV+어/EC
당겨져	당기/VV+어/EC+지/VX+어/EC
논란이	논란/NNG+이/JKC
되는	되/VV+는/ETM
것이	것/NNB+이/JKS
부담스러웠다는	부담/NNG+스럽/XSA+었/EP+다는/ETM
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.109.3.5
또 사고 원인과 관련해 초기 동영상이 외부 폭발 여부를 증명해줄 수 있는 단서가 되는 것을 꺼린 것 아니냐는 추측도 제기되고 있다.

또	또/MAG
사고	사고/NNG
원인과	원인/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
초기	초기/NNG
동영상이	동영상/NNG+이/JKS
외부	외부/NNG
폭발	폭발/NNG
여부를	여부/NNG+를/JKO
증명해줄	증명/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
단서가	단서/NNG+가/JKC
되는	되/VV+는/ETM
것을	것/NNB+을/JKO
꺼린	꺼리/VV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
추측도	추측/NNG+도/JX
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.109.3.6
초기 동영상 자료를 공개하지 않기로 한 주체가 누구인지도 의문이다.

초기	초기/NNG
동영상	동영상/NNG
자료를	자료/NNG+를/JKO
공개하지	공개/NNG+하/XSV+지/EC
않기로	않/VX+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
주체가	주체/NNG+가/JKS
누구인지도	누구/NP+이/VCP+ㄴ지/EF+도/JX
의문이다.	의문/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.109.3.7
영상자료의 편집과 관련해서 군 당국은 이날 “정보 당국에서 했다”고 말했다.

영상자료의	영상/NNG+자료/NNG+의/JKG
편집과	편집/NNG+과/JKB
관련해서	관련/NNG+하/XSV+아서/EC
군	군/NNG
당국은	당국/NNG+은/JX
이날	이날/NNG
“정보	“/SS+정보/NNG
당국에서	당국/NNG+에서/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.109.3.8
국방부가 말하는 ‘정보’는 군 정보 당국으로 알려졌다.

국방부가	국방부/NNG+가/JKS
말하는	말/NNG+하/XSV+는/ETM
‘정보’는	‘/SS+정보/NNG+’/SS+는/JX
군	군/NNG
정보	정보/NNG
당국으로	당국/NNG+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.109.3.9
북한군이나 함정의 해안 침투를 감시하는 티오디의 관측 능력 등이 공개되는 것을 우려한 정보 당국이 일부 장면만 공개했다는 것이다.

북한군이나	북한군/NNG+이나/JC
함정의	함정/NNG+의/JKG
해안	해안/NNG
침투를	침투/NNG+를/JKO
감시하는	감시/NNG+하/XSV+는/ETM
티오디의	티오디/NNG+의/JKG
관측	관측/NNG
능력	능력/NNG
등이	등/NNB+이/JKS
공개되는	공개/NNG+되/XSV+는/ETM
것을	것/NNB+을/JKO
우려한	우려/NNG+하/XSV+ㄴ/ETM
정보	정보/NNG
당국이	당국/NNG+이/JKS
일부	일부/NNG
장면만	장면/NNG+만/JX
공개했다는	공개/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.109.3.10
군 관계자는 “동영상 전부를 봐도 특별한 상황이 없고, 대부분 같은 장면이 이어지기 때문에 그동안 의혹이 집중 제기된 ‘고속정이 왜 구조를 하지 않았느냐’에 해당하는 장면 등을 선별해 공개했다”고 말했다.

군	군/NNG
관계자는	관계자/NNG+는/JX
“동영상	“/SS+동영상/NNG
전부를	전부/NNG+를/JKO
봐도	보/VV+아도/EC
특별한	특별/NNG+하/XSA+ㄴ/ETM
상황이	상황/NNG+이/JKS
없고,	없/VA+고/EC+,/SP
대부분	대/XPN+부분/NNG
같은	같/VA+은/ETM
장면이	장면/NNG+이/JKS
이어지기	이어지/VV+기/ETN
때문에	때문/NNB+에/JKB
그동안	그동안/NNG
의혹이	의혹/NNG+이/JKS
집중	집중/NNG
제기된	제기/NNG+되/XSV+ㄴ/ETM
‘고속정이	‘/SS+고속정/NNG+이/JKS
왜	왜/MAG
구조를	구조/NNG+를/JKO
하지	하/VV+지/EC
않았느냐’에	않/VX+았/EP+느냐/EF+’/SS+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
장면	장면/NNG
등을	등/NNB+을/JKO
선별해	선별/NNG+하/XSV+아/EC
공개했다”고	공개/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.109.3.11
동영상 편집이나 자료 공개를 하지 않는 과정에서 군 외부의 개입은 없었다는 설명이다.

