# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.399
metadata : {}


# id : NWRW1800000022.399.1.1
[수도권] "여울이와 가람이, 올 겨울도 따뜻하겠네";옷 갈아입은 성동구 남매像

[수도권]	[/SS+수도/NNG+권/XSN+]/SS
"여울이와	"/SS+여울이/NNP+와/JC
가람이,	가람이/NNP+,/SP
올	올/NNG
겨울도	겨울/NNG+도/JX
따뜻하겠네";옷	따뜻하/VA+겠/EP+네/EF+"/SS+;/SW+옷/NNG
갈아입은	갈아입/VV+은/ETM
성동구	성동구/NNP
남매像	남매/NNG+像/SH


# id : NWRW1800000022.399.2.1
이제 곧 겨울이잖아요.

이제	이제/MAG
곧	곧/MAG
겨울이잖아요.	겨울/NNG+이/VCP+잖아요/EF+./SF


# id : NWRW1800000022.399.2.2
따뜻한 옷을 입은 남매를 보면서 사람들의 마음도 따스해졌으면 좋겠어요.

따뜻한	따뜻하/VA+ㄴ/ETM
옷을	옷/NNG+을/JKO
입은	입/VV+은/ETM
남매를	남매/NNG+를/JKO
보면서	보/VV+면서/EC
사람들의	사람/NNG+들/XSN+의/JKG
마음도	마음/NNG+도/JX
따스해졌으면	따스하/VA+아/EC+지/VX+었/EP+으면/EC
좋겠어요.	좋/VA+겠/EP+어요/EF+./SF


# id : NWRW1800000022.399.3.1
11일 오후 2시쯤 서울 성동구 사근동 살곶이조각공원.

11일	11/SN+일/NNB
오후	오후/NNG
2시쯤	2/SN+시/NNB+쯤/XSN
서울	서울/NNP
성동구	성동구/NNP
사근동	사근동/NNP
살곶이조각공원.	살곶이조각공원/NNP+./SF


# id : NWRW1800000022.399.3.2
한양여자대학 의상디자인 동아리 '패크레(Facre)' 학생 4명이 나란히 앉은 동상 '남매'의 옷매무새를 고쳐 주고 있었다.

한양여자대학	한양여자대학/NNP
의상디자인	의상/NNG+디자인/NNG
동아리	동아리/NNG
'패크레(Facre)'	'/SS+패크레/NNP+(/SS+Facre/SL+)/SS+'/SS
학생	학생/NNG
4명이	4/SN+명/NNB+이/JKS
나란히	나란히/MAG
앉은	앉/VV+은/ETM
동상	동상/NNG
'남매'의	'/SS+남매/NNG+'/SS+의/JKG
옷매무새를	옷매무새/NNG+를/JKO
고쳐	고치/VV+어/EC
주고	주/VX+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


