# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.340
metadata : {}


# id : NWRW1800000021.340.1.1
홍명보號 올림픽 체제 본격 시동

홍명보號	홍명보/NNP+號/SH
올림픽	올림픽/NNG
체제	체제/NNG
본격	본격/NNG
시동	시동/NNG


# id : NWRW1800000021.340.2.1
홍명보 감독(40)이 귀하신 몸이 됐다.

홍명보	홍명보/NNP
감독(40)이	감독/NNG+(/SS+40/SN+)/SS+이/JKS
귀하신	귀하/VA+시/EP+ㄴ/ETM
몸이	몸/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.340.2.2
그는 이집트에서 열린 20세 이하 월드컵에서 8강을 이끌면서 지도력을 인정받았다.

그는	그/NP+는/JX
이집트에서	이집트/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
20세	20/SN+세/NNB
이하	이하/NNG
월드컵에서	월드컵/NNG+에서/JKB
8강을	8/SN+강/NNB+을/JKO
이끌면서	이끌/VV+면서/EC
지도력을	지도력/NNG+을/JKO
인정받았다.	인정/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.340.2.3
자연스럽게 2012년 런던 올림픽 대표팀 사령탑은 그의 몫으로 내정됐다.

자연스럽게	자연/NNG+스럽/XSA+게/EC
2012년	2012/SN+년/NNB
런던	런던/NNP
올림픽	올림픽/NNG
대표팀	대표/NNG+팀/NNG
사령탑은	사령탑/NNG+은/JX
그의	그/NP+의/JKG
몫으로	몫/NNG+으로/JKB
내정됐다.	내정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.340.3.1
홍 감독은 12일 이집트에서 귀국한 뒤 곧바로 올림픽 대표팀 업무를 시작했다.

홍	홍/NNP
감독은	감독/NNG+은/JX
12일	12/SN+일/NNB
이집트에서	이집트/NNP+에서/JKB
귀국한	귀국/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
곧바로	곧바로/MAG
올림픽	올림픽/NNG
대표팀	대표/NNG+팀/NNG
업무를	업무/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.340.3.2
그의 올림픽 대표팀 감독 임기는 내년 1월 시작된다.

그의	그/NP+의/JKG
올림픽	올림픽/NNG
대표팀	대표/NNG+팀/NNG
감독	감독/NNG
임기는	임기/NNG+는/JX
내년	내년/NNG
1월	1/SN+월/NNB
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.340.3.3
하지만 일정이 3개월이나 앞당겨졌다.

하지만	하지만/MAJ
일정이	일정/NNG+이/JKS
3개월이나	3/SN+개월/NNB+이나/JX
앞당겨졌다.	앞당기/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.340.3.4
12월 19일 창원 축구센터 개장을 기념해 올림픽팀 간 한일전이 예정돼 있기 때문이다.

12월	12/SN+월/NNB
19일	19/SN+일/NNB
창원	창원/NNP
축구센터	축구/NNG+센터/NNG
개장을	개장/NNG+을/JKO
기념해	기념/NNG+하/XSV+아/EC
올림픽팀	올림픽/NNG+팀/NNG
간	간/NNB
한일전이	한일전/NNG+이/JKS
예정돼	예정/NNG+되/XSV+어/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.340.4.1
홍 감독은 20세 이하 월드컵을 함께했던 코칭스태프와 프로 및 대학 경기를 관전하며 선수 선발에 온 신경을 쏟고 있다.

홍	홍/NNP
감독은	감독/NNG+은/JX
20세	20/SN+세/NNB
이하	이하/NNG
월드컵을	월드컵/NNG+을/JKO
함께했던	함께/MAG+하/XSV+았/EP+던/ETM
코칭스태프와	코칭스태프/NNG+와/JKB
프로	프로/NNG
및	및/MAG
대학	대학/NNG
경기를	경기/NNG+를/JKO
관전하며	관전/NNG+하/XSV+며/EC
선수	선수/NNG
선발에	선발/NNG+에/JKB
온	온/MMN
신경을	신경/NNG+을/JKO
쏟고	쏟/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.340.4.2
축구협회 고위 관계자에 따르면 20세 이하 대표팀에서 홍 감독을 보좌했던 서정원 김태영 코치와 신의손 골키퍼 코치가 그대로 올림픽팀에 합류한다.

축구협회	축구협회/NNP
고위	고위/NNG
관계자에	관계자/NNG+에/JKB
따르면	따르/VV+면/EC
20세	20/SN+세/NNB
이하	이하/NNG
대표팀에서	대표/NNG+팀/NNG+에서/JKB
홍	홍/NNP
감독을	감독/NNG+을/JKO
보좌했던	보좌/NNG+하/XSV+았/EP+던/ETM
서정원	서정원/NNP
김태영	김태영/NNP
코치와	코치/NNG+와/JKB
신의손	신의손/NNP
골키퍼	골키퍼/NNG
코치가	코치/NNG+가/JKS
그대로	그대로/MAG
올림픽팀에	올림픽/NNG+팀/NNG+에/JKB
합류한다.	합류/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.340.4.3
이들은 홍 감독의 절대적인 신임을 받고 있다.

이들은	이/NP+들/XSN+은/JX
홍	홍/NNP
감독의	감독/NNG+의/JKG
절대적인	절대/NNG+적/XSN+이/VCP+ㄴ/ETM
신임을	신임/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.340.4.4
20세 이하 월드컵에서 18년 만의 8강 진출이란 성과를 냈기에 굳이 새로 코칭스태프를 구성할 필요가 없다는 판단이다.

20세	20/SN+세/NNB
이하	이하/NNG
월드컵에서	월드컵/NNG+에서/JKB
18년	18/SN+년/NNB
만의	만/NNB+의/JKG
8강	8/SN+강/NNB
진출이란	진출/NNG+이/VCP+란/ETM
성과를	성과/NNG+를/JKO
냈기에	내/VV+었/EP+기에/EC
굳이	굳이/MAG
새로	새로/MAG
코칭스태프를	코칭스태프/NNG+를/JKO
구성할	구성/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없다는	없/VA+다는/ETM
판단이다.	판단/NNG+이/VCP+다/EF+./SF


