# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.51
metadata : {}


# id : NWRW1800000029.51.1.1
재정부-한은 손잡고 물가정책 공조 강화

재정부-한은	재정부/NNG+-/SO+한은/NNP
손잡고	손잡/VV+고/EC
물가정책	물가/NNG+정책/NNG
공조	공조/NNG
강화	강화/NNG


# id : NWRW1800000029.51.2.1
첫 거시정책협의회 열고 수입물가 등 검토

첫	첫/MMN
거시정책협의회	거시/NNG+정책/NNG+협의회/NNG
열고	열/VV+고/EC
수입물가	수입/NNG+물가/NNG
등	등/NNB
검토	검토/NNG


# id : NWRW1800000029.51.3.1
물가 안정을 위해 정부와 중앙은행이 손잡고 첫 ‘거시정책협의회’를 열었다.

물가	물가/NNG
안정을	안정/NNG+을/JKO
위해	위하/VV+아/EC
정부와	정부/NNG+와/JC
중앙은행이	중앙은행/NNG+이/JKS
손잡고	손잡/VV+고/EC
첫	첫/MMN
‘거시정책협의회’를	‘/SS+거시/NNG+정책/NNG+협의회/NNG+’/SS+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.51.3.2
각 기관이 담당하는 거시정책에 대한 정보를 공유하는 등 정책 공조를 강화하기로 한 것이다.

각	각/MMD
기관이	기관/NNG+이/JKS
담당하는	담당/NNG+하/XSV+는/ETM
거시정책에	거시/NNG+정책/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정보를	정보/NNG+를/JKO
공유하는	공유/NNG+하/XSV+는/ETM
등	등/NNB
정책	정책/NNG
공조를	공조/NNG+를/JKO
강화하기로	강화/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.51.4.1
임종룡 기획재정부 제1차관과 이주열 한국은행 부총재는 25일 서울 중구 명동 은행회관에서 거시정책협의회를 열고 거시정책의 적시성과 효과성을 높이기 위해 두 기관이 정보를 공유하자고 강조했다.

임종룡	임종룡/NNP
기획재정부	기획/NNG+재정부/NNG
제1차관과	제/XPN+1/SN+차관/NNG+과/JC
이주열	이주열/NNP
한국은행	한국은행/NNP
부총재는	부총재/NNG+는/JX
25일	25/SN+일/NNB
서울	서울/NNP
중구	중구/NNP
명동	명동/NNP
은행회관에서	은행회관/NNP+에서/JKB
거시정책협의회를	거시/NNG+정책/NNG+협의회/NNG+를/JKO
열고	열/VV+고/EC
거시정책의	거시/NNG+정책/NNG+의/JKG
적시성과	적시/NNG+성/XSN+과/JC
효과성을	효과/NNG+성/XSN+을/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+아/EC
두	두/MMN
기관이	기관/NNG+이/JKS
정보를	정보/NNG+를/JKO
공유하자고	공유/NNG+하/XSV+자고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.51.5.1
협의회를 열기로 한 것은 글로벌 금융위기 이후 경제 환경과 경제정책 패러다임이 전환기를 맞이하고 있다는 점과 대외 여건의 불확실성 속에서 정책당국 간 상호협력과 정보공유 강화가 필요하다는 데 두 기관이 공감했기 때문이다.

협의회를	협의회/NNG+를/JKO
열기로	열/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것은	것/NNB+은/JX
글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
경제	경제/NNG
환경과	환경/NNG+과/JC
경제정책	경제/NNG+정책/NNG
패러다임이	패러다임/NNG+이/JKS
전환기를	전환기/NNG+를/JKO
맞이하고	맞이하/VV+고/EC
있다는	있/VX+다는/ETM
점과	점/NNG+과/JC
대외	대외/NNG
여건의	여건/NNG+의/JKG
불확실성	불확실/NNG+성/XSN
속에서	속/NNG+에서/JKB
정책당국	정책/NNG+당국/NNG
간	간/NNB
상호협력과	상호/NNG+협력/NNG+과/JC
정보공유	정보/NNG+공유/NNG
강화가	강화/NNG+가/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
데	데/NNB
두	두/MMN
기관이	기관/NNG+이/JKS
공감했기	공감/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.51.5.2
또 미국 영국 등 주요국이 정부와 중앙은행이 참여하는 정책협의체를 신설한 점 등도 반영됐다.

또	또/MAG
미국	미국/NNP
영국	영국/NNP
등	등/NNB
주요국이	주요국/NNG+이/JKS
정부와	정부/NNG+와/JC
중앙은행이	중앙은행/NNG+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
정책협의체를	정책/NNG+협의체/NNG+를/JKO
신설한	신설/NNG+하/XSV+ㄴ/ETM
점	점/NNG
등도	등/NNB+도/JX
반영됐다.	반영/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.51.6.1
정부가 물가 안정을 최우선 과제로 여기는 만큼 당분간 두 기관이 힘을 모아 물가 안정에 주력할 것으로 전망된다.

정부가	정부/NNG+가/JKS
물가	물가/NNG
안정을	안정/NNG+을/JKO
최우선	최/XPN+우선/NNG
과제로	과제/NNG+로/JKB
여기는	여기/VV+는/ETM
만큼	만큼/NNB
당분간	당분간/MAG
두	두/MMN
기관이	기관/NNG+이/JKS
힘을	힘/NNG+을/JKO
모아	모으/VV+아/EC
안정에	안정/NNG+에/JKB
주력할	주력/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.51.6.2
임 차관은 “국제유가, 날씨 등 공급 측 요인에 수요 측면의 상승 요인이 가세하고 있다”며 “단기적인 수급 안정 대책과 병행해서 구조적, 지속적 대응을 해나갈 것”이라고 강조했다.

임	임/NNP
차관은	차관/NNG+은/JX
“국제유가,	“/SS+국제/NNG+유가/NNG+,/SP
날씨	날씨/NNG
등	등/NNB
공급	공급/NNG
측	측/NNB
요인에	요인/NNG+에/JKB
수요	수요/NNG
측면의	측면/NNG+의/JKG
상승	상승/NNG
요인이	요인/NNG+이/JKS
가세하고	가세/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“단기적인	“/SS+단기/NNG+적/XSN+이/VCP+ㄴ/ETM
수급	수급/NNG
안정	안정/NNG
대책과	대책/NNG+과/JKB
병행해서	병행/NNG+하/XSV+아서/EC
구조적,	구조/NNG+적/XSN+,/SP
지속적	지속/NNG+적/XSN
대응을	대응/NNG+을/JKO
해나갈	하/VV+아/EC+나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.51.7.1
이 밖에 재정부와 한은은 물가상승 문제에 대한 각국의 대응을 참고해서 우리나라가 활용할 방안을 검토하기로 했다.

이	이/MMD
밖에	밖/NNG+에/JKB
재정부와	재정부/NNG+와/JKB
한은은	한은/NNP+은/JX
물가상승	물가/NNG+상승/NNG
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
각국의	각국/NNG+의/JKG
대응을	대응/NNG+을/JKO
참고해서	참고/NNG+하/XSV+아서/EC
우리나라가	우리나라/NNG+가/JKS
활용할	활용/NNG+하/XSV+ㄹ/ETM
방안을	방안/NNG+을/JKO
검토하기로	검토/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.51.7.2
또 주요국의 수입 물가가 국내 물가에 미치는 영향, 우리나라 물가구조 분석 등을 중점 연구과제로 선정해 공동으로 검토하기로 했다.

또	또/MAG
주요국의	주요국/NNG+의/JKG
수입	수입/NNG
물가가	물가/NNG+가/JKS
국내	국내/NNG
물가에	물가/NNG+에/JKB
미치는	미치/VV+는/ETM
영향,	영향/NNG+,/SP
우리나라	우리나라/NNG
물가구조	물가/NNG+구조/NNG
분석	분석/NNG
등을	등/NNB+을/JKO
중점	중점/NNG
연구과제로	연구/NNG+과제/NNG+로/JKB
선정해	선정/NNG+하/XSV+아/EC
공동으로	공동/NNG+으로/JKB
검토하기로	검토/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.51.7.3
이와 함께 유럽 재정위기, 미국의 부채한도 협상 미타결에 따른 불확실성 고조 등 글로벌 경제 리스크를 집중적으로 점검하기로 했다.

이와	이/NP+와/JKB
함께	함께/MAG
유럽	유럽/NNP
재정위기,	재정/NNG+위기/NNG+,/SP
미국의	미국/NNP+의/JKG
부채한도	부채/NNG+한도/NNG
협상	협상/NNG
미타결에	미/XPN+타결/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
불확실성	불확실/NNG+성/XSN
고조	고조/NNG
등	등/NNB
글로벌	글로벌/NNG
경제	경제/NNG
리스크를	리스크/NNG+를/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
점검하기로	점검/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.51.8.1
이 부총재는 “주요국 사례를 보면 글로벌 금융위기 이후 정부와 중앙은행 간 협조를 강화해 나가고 있다”며 “오늘을 시작으로 매달 정례적으로 협의회를 하게 된 만큼 양 기관이 머리를 맞대고 경제 현안에 대한 인식을 같이해 지혜를 모음으로써 국민의 기대에 부응하자”고 말했다.

이	이/NNP
부총재는	부총재/NNG+는/JX
“주요국	“/SS+주요국/NNG
사례를	사례/NNG+를/JKO
보면	보/VV+면/EC
글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
정부와	정부/NNG+와/JC
중앙은행	중앙은행/NNG
간	간/NNB
협조를	협조/NNG+를/JKO
강화해	강화/NNG+하/XSV+아/EC
나가고	나가/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“오늘을	“/SS+오늘/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
매달	매달/MAG
정례적으로	정례/NNG+적/XSN+으로/JKB
협의회를	협의회/NNG+를/JKO
하게	하/VV+게/EC
된	되/VV+ㄴ/ETM
만큼	만큼/NNB
양	양/MMN
기관이	기관/NNG+이/JKS
머리를	머리/NNG+를/JKO
맞대고	맞대/VV+고/EC
경제	경제/NNG
현안에	현안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인식을	인식/NNG+을/JKO
같이해	같이/MAG+하/XSV+아/EC
지혜를	지혜/NNG+를/JKO
모음으로써	모으/VV+ㅁ/ETN+으로써/JKB
국민의	국민/NNG+의/JKG
기대에	기대/NNG+에/JKB
부응하자”고	부응/NNG+하/XSV+자/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.51.8.2
재정부와 한은은 이날 협의한 내용을 발전시켜 나가는 한편 8월경 경제 현안을 주요 안건으로 2차 회의를 개최할 예정이다.

재정부와	재정부/NNG+와/JC
한은은	한은/NNP+은/JX
이날	이날/NNG
협의한	협의/NNG+하/XSV+ㄴ/ETM
내용을	내용/NNG+을/JKO
발전시켜	발전/NNG+시키/XSV+어/EC
나가는	나가/VX+는/ETM
한편	한편/NNG
8월경	8/SN+월/NNB+경/XSN
경제	경제/NNG
현안을	현안/NNG+을/JKO
주요	주요/NNG
안건으로	안건/NNG+으로/JKB
2차	2/SN+차/NNB
회의를	회의/NNG+를/JKO
개최할	개최/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


