# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.229
metadata : {}


# id : NWRW1800000056.229.1.1
MBC ‘블랙리스트’, 제작 거부에 기름 부었다

MBC	MBC/SL
‘블랙리스트’,	‘/SS+블랙리스트/NNG+’/SS+,/SP
제작	제작/NNG
거부에	거부/NNG+에/JKB
기름	기름/NNG
부었다	붓/VV+었/EP+다/EF


# id : NWRW1800000056.229.2.1
카메라 기자 50명·시사교양 피디 30명 제작거부 선언

카메라	카메라/NNG
기자	기자/NNG
50명·시사교양	50/SN+명/NNB+·/SP+시사/NNG+교양/NNG
피디	피디/NNG
30명	30/SN+명/NNB
제작거부	제작/NNG+거부/NNG
선언	선언/NNG


# id : NWRW1800000056.229.3.1
취재기자들 10일 총회…제작거부 결의 여부 논의키로

취재기자들	취재/NNG+기자/NNG+들/XSN
10일	10/SN+일/NNB
총회…제작거부	총회/NNG+…/SE+제작/NNG+거부/NNG
결의	결의/NNG
여부	여부/NNG
논의키로	논의/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000056.229.4.1
노조, 김장겸 사장 등 검찰 고소

노조,	노조/NNG+,/SP
김장겸	김장겸/NNP
사장	사장/NNG
등	등/NNB
검찰	검찰/NNG
고소	고소/NNG


# id : NWRW1800000056.229.5.1
회사쪽 “진상조사” 뒤늦게 진화 나서

회사쪽	회사/NNG+쪽/NNB
“진상조사”	“/SS+진상/NNG+조사/NNG+”/SS
뒤늦게	뒤늦/VA+게/EC
진화	진화/NNG
나서	나서/VV+어/EF


# id : NWRW1800000056.229.6.1
방송 프로그램 제작 중단에 참여하는 <문화방송>(MBC) 기자·피디가 100명을 넘어섰다.

방송	방송/NNG
프로그램	프로그램/NNG
제작	제작/NNG
중단에	중단/NNG+에/JKB
참여하는	참여/NNG+하/XSV+는/ETM
<문화방송>(MBC)	</SS+문화방송/NNP+>/SS+(/SS+MBC/SL+)/SS
기자·피디가	기자/NNG+·/SP+피디/NNG+가/JKS
100명을	100/SN+명/NNB+을/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.229.6.2
2012년 파업 참여 여부, 회사에 대한 충성도 등을 기준으로 카메라기자의 개별 성향·등급을 분류한 ‘문화방송판 블랙리스트’가 공개되면서다.

2012년	2012/SN+년/NNB
파업	파업/NNG
참여	참여/NNG
여부,	여부/NNG+,/SP
회사에	회사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
충성도	충성도/NNG
등을	등/NNB+을/JKO
기준으로	기준/NNG+으로/JKB
카메라기자의	카메라/NNG+기자/NNG+의/JKG
개별	개별/NNG
성향·등급을	성향/NNG+·/SP+등급/NNG+을/JKO
분류한	분류/NNG+하/XSV+ㄴ/ETM
‘문화방송판	‘/SS+문화방송판/NNG
블랙리스트’가	블랙리스트/NNG+’/SS+가/JKS
공개되면서다.	공개/NNG+되/XSV+면서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000056.229.6.3
문화방송은 “진상조사를 하겠다”며 뒤늦게 진화에 나섰지만, 보도국 등 다른 국실 소속 구성원들도 제작거부 여부를 논의하기로 해 파장이 어디까지 이어질지 주목된다.

문화방송은	문화방송/NNP+은/JX
“진상조사를	“/SS+진상/NNG+조사/NNG+를/JKO
하겠다”며	하/VV+겠/EP+다/EF+”/SS+며/EC
뒤늦게	뒤늦/VA+게/EC
진화에	진화/NNG+에/JKB
나섰지만,	나서/VV+었/EP+지만/EC+,/SP
보도국	보도국/NNG
등	등/NNB
다른	다른/MMD
국실	국/NNG+실/NNG
소속	소속/NNG
구성원들도	구성원/NNG+들/XSN+도/JX
제작거부	제작/NNG+거부/NNG
여부를	여부/NNG+를/JKO
논의하기로	논의/NNG+하/XSV+기/ETN+로/JKB
해	하/VV+아/EC
파장이	파장/NNG+이/JKS
어디까지	어디/NP+까지/JX
이어질지	이어지/VV+ㄹ지/EC
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.229.7.1
‘블랙리스트’ 문건 피해자인 카메라기자 65명 가운데 50명은 9일 오전 제작거부를 선언했다.

‘블랙리스트’	‘/SS+블랙리스트/NNG+’/SS
문건	문건/NNG
피해자인	피해자/NNG+이/VCP+ㄴ/ETM
카메라기자	카메라/NNG+기자/NNG
65명	65/SN+명/NNB
가운데	가운데/NNG
50명은	50/SN+명/NNB+은/JX
9일	9/SN+일/NNB
오전	오전/NNG
제작거부를	제작/NNG+거부/NNG+를/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.229.7.2
이날 정오부터 30명이 제작거부에 들어갔으며, 다른 20명은 10일 오전부터 동참할 계획이다.

이날	이날/NNG
정오부터	정오/NNG+부터/JX
30명이	30/SN+명/NNB+이/JKS
제작거부에	제작/NNG+거부/NNG+에/JKB
들어갔으며,	들어가/VV+았/EP+으며/EC+,/SP
다른	다른/MMD
20명은	20/SN+명/NNB+은/JX
10일	10/SN+일/NNB
오전부터	오전/NNG+부터/JX
동참할	동참/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.229.7.3
앞서 오전엔 전국언론노동조합 문화방송본부(노조)와 문화방송 영상기자회가 문건 작성자인 ㄱ기자, 문건 작성 시기 보도국 책임자인 김장겸 국장(현 사장), 박용찬 부국장(현 논설위원실장), 문화방송 법인을 부당노동행위·업무방해 등의 혐의로 서울중앙지검에 고소했다.

앞서	앞서/MAG
오전엔	오전/NNG+에/JKB+ㄴ/JX
전국언론노동조합	전국언론노동조합/NNP
문화방송본부(노조)와	문화방송/NNP+본부/NNG+(/SS+노조/NNG+)/SS+와/JC
문화방송	문화방송/NNP
영상기자회가	영상/NNG+기자회/NNG+가/JKS
문건	문건/NNG
작성자인	작성자/NNG+이/VCP+ㄴ/ETM
ㄱ기자,	ㄱ/NNG+기자/NNG+,/SP
작성	작성/NNG
시기	시기/NNG
보도국	보도국/NNG
책임자인	책임자/NNG+이/VCP+ㄴ/ETM
김장겸	김장겸/NNP
국장(현	국장/NNG+(/SS+현/MMD
사장),	사장/NNG+)/SS+,/SP
박용찬	박용찬/NNP
부국장(현	부국장/NNG+(/SS+현/MMD
논설위원실장),	논설위원실장/NNG+)/SS+,/SP
법인을	법인/NNG+을/JKO
부당노동행위·업무방해	부당/NNG+노동/NNG+행위/NNG+·/SP+업무/NNG+방해/NNG
등의	등/NNB+의/JKG
혐의로	혐의/NNG+로/JKB
서울중앙지검에	서울중앙지검/NNP+에/JKB
고소했다.	고소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.229.8.1
지난달 시사제작국 소속 기자·피디 32명이 불합리한 지시에 항의하며 제작거부를 시작하고 <피디수첩>이 3주째 결방한 가운데, 제작거부 움직임은 더욱 확산되는 모양새다.

지난달	지난달/NNG
시사제작국	시사/NNG+제작국/NNG
소속	소속/NNG
기자·피디	기자/NNG+·/SP+피디/NNG
32명이	32/SN+명/NNB+이/JKS
불합리한	불/XPN+합리/NNG+하/XSA+ㄴ/ETM
지시에	지시/NNG+에/JKB
항의하며	항의/NNG+하/XSV+며/EC
제작거부를	제작/NNG+거부/NNG+를/JKO
시작하고	시작/NNG+하/XSV+고/EC
<피디수첩>이	</SS+피디/NNG+수첩/NNG+>/SS+이/JKS
3주째	3/SN+주/NNB+째/XSN
결방한	결방/NNG+하/XSV+ㄴ/ETM
가운데,	가운데/NNG+,/SP
제작거부	제작/NNG+거부/NNG
움직임은	움직임/NNG+은/JX
더욱	더욱/MAG
확산되는	확산/NNG+되/XSV+는/ETM
모양새다.	모양새/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.229.8.2
이날 콘텐츠제작국 소속 시사교양 피디 30명도 제작거부에 들어가면서, 간부진의 보도통제 사례를 발표했다.

이날	이날/NNG
콘텐츠제작국	콘텐츠/NNG+제작국/NNG
소속	소속/NNG
시사교양	시사/NNG+교양/NNG
피디	피디/NNG
30명도	30/SN+명/NNB+도/JX
제작거부에	제작/NNG+거부/NNG+에/JKB
들어가면서,	들어가/VV+면서/EC+,/SP
간부진의	간부진/NNG+의/JKG
보도통제	보도/NNG+통제/NNG
사례를	사례/NNG+를/JKO
