# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.224
metadata : {}


# id : NWRW1800000025.224.1.1
하드 훼손 증거인멸 ‘배경’ 못밝힌채…

하드	하드/NNG
훼손	훼손/NNG
증거인멸	증거/NNG+인멸/NNG
‘배경’	‘/SS+배경/NNG+’/SS
못밝힌채…	못/MAG+밝히/VV+ㄴ/ETM+채/NNB+…/SE


# id : NWRW1800000025.224.2.1
국무총리실 공직윤리지원관실의 민간인 불법사찰 사건 수사가 이인규 전 공직윤리지원관 등 3명을 기소하는 선에서 1개월여 만에 일단락됐다.

국무총리실	국무총리실/NNG
공직윤리지원관실의	공직/NNG+윤리/NNG+지원관실/NNG+의/JKG
민간인	민간인/NNG
불법사찰	불법/NNG+사찰/NNG
사건	사건/NNG
수사가	수사/NNG+가/JKS
이인규	이인규/NNP
전	전/MMD
공직윤리지원관	공직/NNG+윤리/NNG+지원관/NNG
등	등/NNB
3명을	3/SN+명/NNB+을/JKO
기소하는	기소/NNG+하/XSV+는/ETM
선에서	선/NNG+에서/JKB
1개월여	1/SN+개월/NNB+여/XSN
만에	만/NNB+에/JKB
일단락됐다.	일단락/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.224.2.2
지난달 5일 총리실의 자체 조사 결과를 넘겨받아 수사에 착수한 서울중앙지검 특별수사팀은 일단 불법사찰 행위가 있다는 사실은 확인했다.

지난달	지난달/NNG
5일	5/SN+일/NNB
총리실의	총리실/NNG+의/JKG
자체	자체/NNG
조사	조사/NNG
결과를	결과/NNG+를/JKO
넘겨받아	넘겨받/VV+아/EC
수사에	수사/NNG+에/JKB
착수한	착수/NNG+하/XSV+ㄴ/ETM
서울중앙지검	서울중앙지검/NNP
특별수사팀은	특별/NNG+수사/NNG+팀/NNG+은/JX
일단	일단/MAG
불법사찰	불법/NNG+사찰/NNG
행위가	행위/NNG+가/JKS
있다는	있/VA+다는/ETM
사실은	사실/NNG+은/JX
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.224.3.1
검찰이 11일 발표한 중간수사 결과에 따르면 전 KB한마음 대표 김종익 씨를 사찰한 행위에는 강요, 방실수색 등의 혐의가 적용됐다.

검찰이	검찰/NNG+이/JKS
11일	11/SN+일/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
중간수사	중간/NNG+수사/NNG
결과에	결과/NNG+에/JKB
따르면	따르/VV+면/EC
전	전/MMD
KB한마음	KB한마음/NNP
대표	대표/NNG
김종익	김종익/NNP
씨를	씨/NNB+를/JKO
사찰한	사찰/NNG+하/XSV+ㄴ/ETM
행위에는	행위/NNG+에/JKB+는/JX
강요,	강요/NNG+,/SP
방실수색	방실/NNG+수색/NNG
등의	등/NNB+의/JKG
혐의가	혐의/NNG+가/JKS
적용됐다.	적용/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.224.3.2
2008년 9, 10월경 국민은행 관계자 등을 통해 김 씨를 협박해 김 씨가 대표이사직에서 물러나고 회사 지분을 이전하도록 했고(강요), KB한마음 사무실에 들어가 책상서랍을 마음대로 열어보고 급여대장 등 서류를 제출받은 것(방실수색)은 불법행위라는 것.

2008년	2008/SN+년/NNB
9,	9/SN+,/SP
10월경	10/SN+월/NNB+경/XSN
국민은행	국민은행/NNP
관계자	관계자/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
김	김/NNP
씨를	씨/NNB+를/JKO
협박해	협박/NNG+하/XSV+아/EC
씨가	씨/NNB+가/JKS
대표이사직에서	대표/NNG+이사직/NNG+에서/JKB
물러나고	물러나/VV+고/EC
회사	회사/NNG
지분을	지분/NNG+을/JKO
이전하도록	이전/NNG+하/XSV+도록/EC
했고(강요),	하/VV+았/EP+고/EC+(/SS+강요/NNG+)/SS+,/SP
KB한마음	KB한마음/NNP
사무실에	사무실/NNG+에/JKB
들어가	들어가/VV+아/EC
책상서랍을	책상/NNG+서랍/NNG+을/JKO
마음대로	마음대로/MAG
열어보고	열/VV+어/EC+보/VX+고/EC
급여대장	급여/NNG+대장/NNG
등	등/NNB
서류를	서류/NNG+를/JKO
제출받은	제출/NNG+받/XSV+은/ETM
것(방실수색)은	것/NNB+(/SS+방실/NNG+수색/NNG+)/SS+은/JX
불법행위라는	불법/NNG+행위/NNG+이/VCP+라는/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.224.4.1
남경필 한나라당 국회의원 부인이 연루된 고소사건 처리과정을 탐문한 행위에 대해선 이 전 지원관과 김충곤 전 점검1팀장에게 직권남용 혐의를 적용해 기소했다.

남경필	남경필/NNP
한나라당	한나라당/NNP
국회의원	국회/NNG+의원/NNG
부인이	부인/NNG+이/JKS
연루된	연루/NNG+되/XSV+ㄴ/ETM
고소사건	고소/NNG+사건/NNG
처리과정을	처리/NNG+과정/NNG+을/JKO
탐문한	탐문/NNG+하/XSV+ㄴ/ETM
행위에	행위/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
이	이/NNP
전	전/MMD
지원관과	지원관/NNG+과/JC
김충곤	김충곤/NNP
점검1팀장에게	점검/NNG+1/SN+팀장/NNG+에게/JKB
직권남용	직권/NNG+남용/NNG
혐의를	혐의/NNG+를/JKO
적용해	적용/NNG+하/XSV+아/EC
기소했다.	기소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.224.4.2
고소사건 담당 경찰관에게서 수사서류 등을 넘겨받은 행위 등은 월권행위라는 취지다.

고소사건	고소/NNG+사건/NNG
담당	담당/NNG
경찰관에게서	경찰관/NNG+에게서/JKB
수사서류	수사/NNG+서류/NNG
등을	등/NNB+을/JKO
넘겨받은	넘겨받/VV+은/ETM
행위	행위/NNG
등은	등/NNB+은/JX
월권행위라는	월권행위/NNG+이/VCP+라는/ETM
취지다.	취지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.224.4.3
검찰은 실제 탐문행위를 한 파견경찰관 김모 경위도 곧 기소할 방침이라고 밝혔다.

검찰은	검찰/NNG+은/JX
실제	실제/NNG
탐문행위를	탐문/NNG+행위/NNG+를/JKO
한	하/VV+ㄴ/ETM
파견경찰관	파견/NNG+경찰관/NNG
김모	김/NNP+모/NP
경위도	경위/NNG+도/JX
곧	곧/MAG
기소할	기소/NNG+하/XSV+ㄹ/ETM
방침이라고	방침/NNG+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.224.5.1
그러나 공직윤리지원관실의 컴퓨터 하드디스크가 훼손되고 관련자들이 혐의 사실에 대해 ‘모르쇠’로 일관하는 등 장벽에 막혀 이번 수사는 이른바 ‘윗선’ 의혹을 전혀 규명하지 못했다.

그러나	그러나/MAJ
공직윤리지원관실의	공직/NNG+윤리/NNG+지원관실/NNG+의/JKG
컴퓨터	컴퓨터/NNG
하드디스크가	하드/NNG+디스크/NNG+가/JKS
훼손되고	훼손/NNG+되/XSV+고/EC
관련자들이	관련자/NNG+들/XSN+이/JKS
혐의	혐의/NNG
사실에	사실/NNG+에/JKB
대해	대하/VV+아/EC
‘모르쇠’로	‘/SS+모르쇠/NNG+’/SS+로/JKB
일관하는	일관/NNG+하/XSV+는/ETM
등	등/NNB
장벽에	장벽/NNG+에/JKB
막혀	막히/VV+어/EC
이번	이번/NNG
수사는	수사/NNG+는/JX
이른바	이른바/MAG
‘윗선’	‘/SS+윗선/NNG+’/SS
의혹을	의혹/NNG+을/JKO
전혀	전혀/MAG
규명하지	규명/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.224.5.2
‘윗선’ 의혹을 사온 이영호 전 대통령고용노사비서관은 물론이고 공직윤리지원관실 직원들이 한결같이 “불법사찰 결과를 보고한 적도, 지시한 적도 없다”고 진술했고 e메일도 샅샅이 뒤졌으나 물증을 찾아내지 못했다.

‘윗선’	‘/SS+윗선/NNG+’/SS
의혹을	의혹/NNG+을/JKO
사온	사/VV+아/EC+오/VX+ㄴ/ETM
이영호	이영호/NNP
전	전/MMD
대통령고용노사비서관은	대통령/NNG+고용/NNG+노사/NNG+비서관/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
공직윤리지원관실	공직/NNG+윤리/NNG+지원관실/NNG
직원들이	직원/NNG+들/XSN+이/JKS
한결같이	한결같이/MAG
“불법사찰	“/SS+불법/NNG+사찰/NNG
결과를	결과/NNG+를/JKO
보고한	보고/NNG+하/XSV+ㄴ/ETM
적도,	적/NNB+도/JX+,/SP
지시한	지시/NNG+하/XSV+ㄴ/ETM
적도	적/NNB+도/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
진술했고	진술/NNG+하/XSV+았/EP+고/EC
e메일도	e/SL+메일/NNG+도/JX
샅샅이	샅샅이/MAG
뒤졌으나	뒤지/VV+었/EP+으나/EC
물증을	물증/NNG+을/JKO
찾아내지	찾아내/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.224.6.1
또 이 전 지원관은 검찰 조사에서 “직속상관이었던 김영철 전 국무총리실 사무차장에게 사찰 결과를 선별해 보고했다”고 진술했는데, 김 차장은 2008년 10월 작고해 확인이 불가능했다.

또	또/MAG
이	이/NNP
전	전/MMD
지원관은	지원관/NNG+은/JX
검찰	검찰/NNG
조사에서	조사/NNG+에서/JKB
“직속상관이었던	“/SS+직속상관/NNG+이/VCP+었/EP+던/ETM
김영철	김영철/NNP
국무총리실	국무총리실/NNG
사무차장에게	사무/NNG+차장/NNG+에게/JKB
사찰	사찰/NNG
결과를	결과/NNG+를/JKO
선별해	선별/NNG+하/XSV+아/EC
보고했다”고	보고/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
진술했는데,	진술/NNG+하/XSV+았/EP+는데/EC+,/SP
김	김/NNP
차장은	차장/NNG+은/JX
2008년	2008/SN+년/NNB
10월	10/SN+월/NNB
작고해	작고/NNG+하/XSV+아/EC
확인이	확인/NNG+이/JKS
불가능했다.	불/XPN+가능/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000025.224.6.2
하지만 상명하복 원칙이 철저한 감찰조직의 속성상 실무 책임자만의 판단과 결정만으로 대통령 비방과 관련한 사안을 불법사찰할 수 있었겠느냐는 의문은 여전히 남아 있다.

하지만	하지만/MAJ
상명하복	상명하복/NNG
원칙이	원칙/NNG+이/JKS
철저한	철저/NNG+하/XSA+ㄴ/ETM
감찰조직의	감찰/NNG+조직/NNG+의/JKG
속성상	속성/NNG+상/XSN
실무	실무/NNG
책임자만의	책임자/NNG+만/JX+의/JKG
판단과	판단/NNG+과/JC
결정만으로	결정/NNG+만/JX+으로/JKB
대통령	대통령/NNG
비방과	비방/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
사안을	사안/NNG+을/JKO
불법사찰할	불법/NNG+사찰/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었겠느냐는	있/VA+었/EP+겠/EP+느냐는/ETM
의문은	의문/NNG+은/JX
여전히	여전히/MAG
남아	남/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.224.7.1
공직윤리지원관실에서 압수한 컴퓨터 하드디스크 7개가 파괴된 경위도 수수께끼다.

공직윤리지원관실에서	공직/NNG+윤리/NNG+지원관실/NNG+에서/JKB
압수한	압수/NNG+하/XSV+ㄴ/ETM
컴퓨터	컴퓨터/NNG
하드디스크	하드/NNG+디스크/NNG
7개가	7/SN+개/NNB+가/JKS
파괴된	파괴/NNG+되/XSV+ㄴ/ETM
경위도	경위/NNG+도/JX
수수께끼다.	수수께끼/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.224.7.2
하드디스크 7개 중 4개는 자성(磁性)이 강한 물질을 하드디스크에 가까이 대는 수법을 사용해 내부 자료를 완전히 지웠고, 3개는 삭제 전문 프로그램을 활용해 자료를 지우는 등 외부 전문가가 개입해 증거를 인멸한 정황이 드러났기 때문.

하드디스크	하드/NNG+디스크/NNG
7개	7/SN+개/NNB
중	중/NNB
4개는	4/SN+개/NNB+는/JX
자성(磁性)이	자성/NNG+(/SS+磁性/SH+)/SS+이/JKS
강한	강하/VA+ㄴ/ETM
물질을	물질/NNG+을/JKO
하드디스크에	하드/NNG+디스크/NNG+에/JKB
가까이	가까이/NNG
대는	대/VV+는/ETM
수법을	수법/NNG+을/JKO
사용해	사용/NNG+하/XSV+아/EC
내부	내부/NNG
자료를	자료/NNG+를/JKO
완전히	완전히/MAG
지웠고,	지우/VV+었/EP+고/EC+,/SP
3개는	3/SN+개/NNB+는/JX
삭제	삭제/NNG
전문	전문/NNG
프로그램을	프로그램/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
지우는	지우/VV+는/ETM
등	등/NNB
외부	외부/NNG
전문가가	전문가/NNG+가/JKS
개입해	개입/NNG+하/XSV+아/EC
증거를	증거/NNG+를/JKO
인멸한	인멸/NNG+하/XSV+ㄴ/ETM
정황이	정황/NNG+이/JKS
드러났기	드러나/VV+았/EP+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000025.224.7.3
이는 역설적으로 이 하드디스크에 들어 있는 자료가 공개되면 ‘큰일’이 날 만한 민감한 내용이 많다는 것이어서 증거인멸 배경을 둘러싼 궁금증이 커지고 있다.

이는	이/NP+는/JX
역설적으로	역설/NNG+적/XSN+으로/JKB
이	이/MMD
하드디스크에	하드/NNG+디스크/NNG+에/JKB
들어	들/VV+어/EC
있는	있/VX+는/ETM
자료가	자료/NNG+가/JKS
공개되면	공개/NNG+되/XSV+면/EC
‘큰일’이	‘/SS+큰일/NNG+’/SS+이/JKS
날	나/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
민감한	민감/NNG+하/XSA+ㄴ/ETM
내용이	내용/NNG+이/JKS
많다는	많/VA+다는/ETM
것이어서	것/NNB+이/VCP+어서/EC
증거인멸	증거/NNG+인멸/NNG
배경을	배경/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
궁금증이	궁금증/NNG+이/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.224.8.1
서울중앙지법은 이 전 지원관 등 3명에 대한 1심 공판을 재정합의부인 형사합의35부에 배당했다.

서울중앙지법은	서울중앙지법/NNP+은/JX
이	이/NNP
전	전/MMD
지원관	지원관/NNG
등	등/NNB
3명에	3/SN+명/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
1심	1심/NNG
공판을	공판/NNG+을/JKO
재정합의부인	재정/NNG+합의부/NNG+이/VCP+ㄴ/ETM
형사합의35부에	형사/NNG+합의/NNG+35/SN+부/NNG+에/JKB
배당했다.	배당/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.224.8.2
강요죄 등의 사건은 통상 단독판사가 맡지만, 사안의 중요성에 비춰 단독판사 3명으로 구성된 재정합의부에서 심리하기로 한 것이다.

강요죄	강요죄/NNG
등의	등/NNB+의/JKG
사건은	사건/NNG+은/JX
통상	통상/MAG
단독판사가	단독/NNG+판사/NNG+가/JKS
맡지만,	맡/VV+지만/EC+,/SP
사안의	사안/NNG+의/JKG
중요성에	중요/NNG+성/XSN+에/JKB
비춰	비추/VV+어/EC
단독판사	단독/NNG+판사/NNG
3명으로	3/SN+명/NNB+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
재정합의부에서	재정/NNG+합의부/NNG+에서/JKB
심리하기로	심리/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.224.9.1
한편 불법사찰을 받은 정치인으로 거론된 한나라당 정두언 최고위원과 남경필 의원은 검찰 수사 결과 발표에 불만을 나타냈다.

한편	한편/MAG
불법사찰을	불법/NNG+사찰/NNG+을/JKO
받은	받/VV+은/ETM
정치인으로	정치인/NNG+으로/JKB
거론된	거론/NNG+되/XSV+ㄴ/ETM
한나라당	한나라당/NNP
정두언	정두언/NNP
최고위원과	최고/NNG+위원/NNG+과/JC
남경필	남경필/NNP
의원은	의원/NNG+은/JX
검찰	검찰/NNG
수사	수사/NNG
결과	결과/NNG
발표에	발표/NNG+에/JKB
불만을	불만/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.224.9.2
정 최고위원은 이날 동아일보와의 통화에서 “결국 컴퓨터 하드디스크 훼손 때문에 사실을 밝히기 어렵다는 것인데 누가 훼손했는지 진술을 통해서라도 밝혀야 하는 것 아니냐”고 말했다.

정	정/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
이날	이날/NNG
동아일보와의	동아일보/NNP+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“결국	“/SS+결국/NNG
컴퓨터	컴퓨터/NNG
하드디스크	하드/NNG+디스크/NNG
훼손	훼손/NNG
때문에	때문/NNB+에/JKB
사실을	사실/NNG+을/JKO
밝히기	밝히/VV+기/ETN
어렵다는	어렵/VA+다는/ETM
것인데	것/NNB+이/VCP+ㄴ데/EC
누가	누구/NP+가/JKS
훼손했는지	훼손/NNG+하/XSV+았/EP+는지/EF
진술을	진술/NNG+을/JKO
통해서라도	통하/VV+아서/EC+라도/JX
밝혀야	밝히/VV+어야/EC
하는	하/VX+는/ETM
것	것/NNB
아니냐”고	아니/VCN+냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.224.9.3
남 의원도 “이런 정도의 흐지부지한 수사로 국민이 과연 납득할 수 있겠는가”라고 말했다.

남	남/NNP
의원도	의원/NNG+도/JX
“이런	“/SS+이런/MMD
정도의	정도/NNG+의/JKG
흐지부지한	흐지부지/MAG+하/XSV+ㄴ/ETM
수사로	수사/NNG+로/JKB
국민이	국민/NNG+이/JKS
과연	과연/MAG
납득할	납득/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있겠는가”라고	있/VA+겠/EP+는가/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.224.9.4
민주당 등 야당은 “부실 수사”라고 비판하며 국회 국정조사와 특별검사 도입을 주장했다.

민주당	민주당/NNP
등	등/NNB
야당은	야당/NNG+은/JX
“부실	“/SS+부실/NNG
수사”라고	수사/NNG+”/SS+라고/JKQ
비판하며	비판/NNG+하/XSV+며/EC
국회	국회/NNG
국정조사와	국정/NNG+조사/NNG+와/JC
특별검사	특별/NNG+검사/NNG
도입을	도입/NNG+을/JKO
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


