# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.267
metadata : {}


# id : NWRW1800000049.267.1.1
[박제균의 휴먼정치]새누리당 문제의 뿌리는 不姙이다

[박제균의	[/SS+박제균/NNP+의/JKG
휴먼정치]새누리당	휴먼/NNG+정치/NNG+]/SS+새누리당/NNP
문제의	문제/NNG+의/JKG
뿌리는	뿌리/NNG+는/JX
不姙이다	不姙/SH+이/VCP+다/EF


# id : NWRW1800000049.267.2.1
불임(不姙).

불임(不姙).	불임/NNG+(/SS+不姙/SH+)/SS+./SF


# id : NWRW1800000049.267.2.2
새누리당의 갈팡질팡은 여기서 출발한다.

새누리당의	새누리당/NNP+의/JKG
갈팡질팡은	갈팡질팡/MAG+은/JX
여기서	여기/NP+서/JKB
출발한다.	출발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.267.2.3
친박(친박근혜) 핵심이라는 사람들이 임기 2년도 안 남은 대통령을 등에 업고 막장 공천을 저지른 것도, 혁신세력이 대통령과 차별화할까 봐 회의 소집마저 무산시키는 난장을 치는 것도 당에 ‘세자(世子)’, 또는 세자 후보군이 안 보이기 때문이다.

친박(친박근혜)	친/XPN+박/NNP+(/SS+친/XPN+박근혜/NNP+)/SS
핵심이라는	핵심/NNG+이/VCP+라는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
임기	임기/NNG
2년도	2/SN+년/NNB+도/JX
안	안/MAG
남은	남/VV+은/ETM
대통령을	대통령/NNG+을/JKO
등에	등/NNG+에/JKB
업고	업/VV+고/EC
막장	막장/NNG
공천을	공천/NNG+을/JKO
저지른	저지르/VV+ㄴ/ETM
것도,	것/NNB+도/JX+,/SP
혁신세력이	혁신/NNG+세력/NNG+이/JKS
대통령과	대통령/NNG+과/JC
차별화할까	차별/NNG+화/XSN+하/XSV+ㄹ까/EF
봐	보/VV+아/EC
회의	회의/NNG
소집마저	소집/NNG+마저/JX
무산시키는	무산/NNG+시키/XSV+는/ETM
난장을	난장/NNG+을/JKO
치는	치/VV+는/ETM
것도	것/NNB+도/JX
당에	당/NNG+에/JKB
‘세자(世子)’,	‘/SS+세자/NNG+(/SS+世子/SH+)/SS+’/SS+,/SP
또는	또는/MAG
세자	세자/NNG
후보군이	후보군/NNG+이/JKS
보이기	보이/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.267.3.1
‘세자’ 후보군 안 보여

‘세자’	‘/SS+세자/NNG+’/SS
후보군	후보군/NNG
안	안/MAG
보여	보이/VV+어/EF


# id : NWRW1800000049.267.4.1
대선 1년 7개월을 앞두고 이런 적은 없었다.

대선	대선/NNG
1년	1/SN+년/NNB
7개월을	7/SN+개월/NNB+을/JKO
앞두고	앞두/VV+고/EC
이런	이런/MMD
적은	적/NNB+은/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.267.4.2
전두환 대통령 때는 노태우가, 노태우 때는 김영삼이, 김영삼 때는 이회창을 비롯한 ‘9룡’이, 김대중 때는 이회창이, 노무현 때는 이명박 박근혜가, 이명박 때는 박근혜가 있었다.

전두환	전두환/NNP
대통령	대통령/NNG
때는	때/NNG+는/JX
노태우가,	노태우/NNP+가/JKS+,/SP
노태우	노태우/NNP
김영삼이,	김영삼/NNP+이/JKS+,/SP
김영삼	김영삼/NNP
이회창을	이회창/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
‘9룡’이,	‘/SS+9/SN+룡/NNG+’/SS+이/JKS+,/SP
김대중	김대중/NNP
이회창이,	이회창/NNP+이/JKS+,/SP
노무현	노무현/NNP
이명박	이명박/NNP
박근혜가,	박근혜/NNP+가/JKS+,/SP
박근혜가	박근혜/NNP+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.267.4.3
5년 단임 대통령제 아래서는 현재권력인 대통령과 미래권력인 대선후보가 적당한 긴장을 유지하며 당을 역동시키는 에너지를 창출한다.

5년	5/SN+년/NNB
단임	단임/NNG
대통령제	대통령/NNG+제/XSN
아래서는	아래/NNG+서/JKB+는/JX
현재권력인	현재/NNG+권력/NNG+이/VCP+ㄴ/ETM
대통령과	대통령/NNG+과/JC
미래권력인	미래/NNG+권력/NNG+이/VCP+ㄴ/ETM
대선후보가	대선/NNG+후보/NNG+가/JKS
적당한	적당하/VA+ㄴ/ETM
긴장을	긴장/NNG+을/JKO
유지하며	유지/NNG+하/XSV+며/EC
당을	당/NNG+을/JKO
역동시키는	역동/NNG+시키/XSV+는/ETM
에너지를	에너지/NNG+를/JKO
창출한다.	창출/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.267.4.4
지금은 미래권력이 안 보이니까 현재권력이 여전히 강한 구심력을 유지한다.

지금은	지금/NNG+은/JX
미래권력이	미래/NNG+권력/NNG+이/JKS
안	안/MAG
보이니까	보이/VV+니까/EC
현재권력이	현재/NNG+권력/NNG+이/JKS
여전히	여전히/MAG
강한	강하/VA+ㄴ/ETM
구심력을	구심력/NNG+을/JKO
유지한다.	유지/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.267.4.5
김대중 노무현 대통령도 임기 후반까지 박 대통령 못지않은 고정표가 있었지만 이 정도로 당을 장악하진 못했다.

김대중	김대중/NNP
노무현	노무현/NNP
대통령도	대통령/NNG+도/JX
임기	임기/NNG
후반까지	후반/NNG+까지/JX
박	박/NNP
대통령	대통령/NNG
못지않은	못지않/VA+은/ETM
고정표가	고정표/NNG+가/JKS
있었지만	있/VA+었/EP+지만/EC
이	이/MMD
정도로	정도/NNG+로/JKB
당을	당/NNG+을/JKO
장악하진	장악/NNG+하/XSV+지/EC+ㄴ/JX
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.267.5.1
적어도 야권에는 문재인 안철수처럼 가시권에 든 대선후보군이 있다.

적어도	적어도/MAG
야권에는	야권/NNG+에/JKB+는/JX
문재인	문재인/NNP
안철수처럼	안철수/NNP+처럼/JKB
가시권에	가시/NNG+권/XSN+에/JKB
든	들/VV+ㄴ/ETM
대선후보군이	대선/NNG+후보군/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.267.5.2
여당에서 가시권 대선주자였던 김무성은 ‘옥새 들고 나르샤’ 사건 이후 보수 지지층에서 찬밥 대접을 받는다.

여당에서	여당/NNG+에서/JKB
가시권	가시/NNG+권/XSN
대선주자였던	대선/NNG+주자/NNG+이/VCP+었/EP+던/ETM
김무성은	김무성/NNP+은/JX
‘옥새	‘/SS+옥새/NNG
들고	들/VV+고/EC
나르샤’	날/VV+으샤/EC+’/SS
사건	사건/NNG
이후	이후/NNG
보수	보수/NNG
지지층에서	지지/NNG+층/XSN+에서/JKB
찬밥	찬밥/NNG
대접을	대접/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000049.267.5.3
오세훈 김문수 같은 잠재 후보군은 총선에서 떨어졌다.

오세훈	오세훈/NNP
김문수	김문수/NNP
같은	같/VA+은/ETM
잠재	잠재/NNG
후보군은	후보군/NNG+은/JX
총선에서	총선/NNG+에서/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.267.5.4
유승민 의원은 지도자라기보다는 평론가 인상이고, 남경필 경기도지사는 오렌지족 이미지를 벗지 못했다.

유승민	유승민/NNP
의원은	의원/NNG+은/JX
지도자라기보다는	지도자/NNG+이/VCP+라기/ETN+보다/JKB+는/JX
평론가	평론가/NNG
인상이고,	인상/NNG+이/VCP+고/EC+,/SP
남경필	남경필/NNP
경기도지사는	경기/NNP+도지사/NNG+는/JX
오렌지족	오렌지족/NNG
이미지를	이미지/NNG+를/JKO
벗지	벗/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.267.5.5
현재권력이 영원할 줄 착각하는 친박에선 “비박(비박근혜)은 당을 나가주면 좋겠다”는 오만한 소리까지 나온다.

현재권력이	현재/NNG+권력/NNG+이/JKS
영원할	영원/NNG+하/XSA+ㄹ/ETM
줄	줄/NNB
착각하는	착각/NNG+하/XSV+는/ETM
친박에선	친/XPN+박/NNP+에서/JKB+ㄴ/JX
“비박(비박근혜)은	“/SS+비/XPN+박/NNP+(/SS+비/XPN+박근혜/NNP+)/SS+은/JX
당을	당/NNG+을/JKO
나가주면	나가/VV+아/EC+주/VX+면/EC
좋겠다”는	좋/VA+겠/EP+다/EF+”/SS+는/ETM
오만한	오만/NNG+하/XSA+ㄴ/ETM
소리까지	소리/NNG+까지/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.267.5.6
비박이라야 ‘웰빙 새누리당’ 안에서 커온 사람들이라 나가기 쉽지 않다.

비박이라야	비/XPN+박/NNP+이/VCP+라야/EC
‘웰빙	‘/SS+웰빙/NNG
새누리당’	새누리당/NNP+’/SS
안에서	안/NNG+에서/JKB
커온	크/VA+어/EC+오/VX+ㄴ/ETM
사람들이라	사람/NNG+들/XSN+이/VCP+라/EC
나가기	나가/VV+기/ETN
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000049.267.5.7
하지만 차제에 이런 질문은 던지고 싶다.

하지만	하지만/MAJ
차제에	차제/NNG+에/JKB
이런	이런/MMD
질문은	질문/NNG+은/JX
던지고	던지/VV+고/EC
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000049.267.5.8
보수정당은 왜 50년 동안 같아야만 하나?

보수정당은	보수/NNG+정당/NNG+은/JX
왜	왜/MAG
50년	50/SN+년/NNB
동안	동안/NNG
같아야만	같/VA+아야/EC+만/JX
하나?	하/VX+나/EF+?/SF


# id : NWRW1800000049.267.6.1
1963년 창당된 박정희 대통령의 민주공화당부터 민주정의당과 신한국당, 한나라당에 이어 박근혜 대통령이 만든 새누리당까지 모두 그 뿌리가 같다.

1963년	1963/SN+년/NNB
창당된	창당/NNG+되/XSV+ㄴ/ETM
박정희	박정희/NNP
대통령의	대통령/NNG+의/JKG
민주공화당부터	민주공화당/NNP+부터/JX
민주정의당과	민주정의당/NNP+과/JC
신한국당,	신한국당/NNP+,/SP
한나라당에	한나라당/NNP+에/JKB
이어	잇/VV+어/EC
박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
만든	만들/VV+ㄴ/ETM
새누리당까지	새누리당/NNP+까지/JX
모두	모두/MAG
그	그/MMD
뿌리가	뿌리/NNG+가/JKS
같다.	같/VA+다/EF+./SF


# id : NWRW1800000049.267.6.2
김종필의 자유민주연합, 정주영의 국민당 같은 보수 색채를 띤 당도 있었다.

김종필의	김종필/NNP+의/JKG
자유민주연합,	자유민주연합/NNP+,/SP
정주영의	정주영/NNP+의/JKG
국민당	국민당/NNP
같은	같/VA+은/ETM
보수	보수/NNG
색채를	색채/NNG+를/JKO
띤	띠/VV+ㄴ/ETM
당도	당/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.267.6.3
하지만 특정 지역과 금력에 치우친 정당이어서 정통 보수정당이라고 하긴 어렵다.

하지만	하지만/MAJ
특정	특정/NNG
지역과	지역/NNG+과/JC
금력에	금력/NNG+에/JKB
치우친	치우치/VV+ㄴ/ETM
정당이어서	정당/NNG+이/VCP+어서/EC
정통	정통/NNG
보수정당이라고	보수/NNG+정당/NNG+이/VCP+라고/EC
