# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.190
metadata : {}


# id : NWRW1800000041.190.1.1
“대주주 유진기업이 약속 깨고 독식” 나눔로또 컨소시엄 소송-탄원 사태

“대주주	“/SS+대/XPN+주주/NNG
유진기업이	유진기업/NNP+이/JKS
약속	약속/NNG
깨고	깨/VV+고/EC
독식”	독식/NNG+”/SS
나눔로또	나눔로또/NNP
컨소시엄	컨소시엄/NNG
소송-탄원	소송/NNG+-/SO+탄원/NNG
사태	사태/NNG


# id : NWRW1800000041.190.2.1
“전자복권 운영권 안 넘겨준다” SG&G, 38억원 손배소 제기… 전산업무 배제 윈디플랜도 탄원서 유진측 “통합복권 직영이 원칙”… 기재부 “판결 보고 주주변경 검토”

“전자복권	“/SS+전자/NNG+복권/NNG
운영권	운영/NNG+권/XSN
안	안/MAG
넘겨준다”	넘겨주/VV+ㄴ다/EF+”/SS
SG&G,	SG/SL+&/SW+G/SL+,/SP
38억원	38/SN+억/NR+원/NNB
손배소	손배소/NNG
제기…	제기/NNG+…/SE
전산업무	전산/NNG+업무/NNG
배제	배제/NNG
윈디플랜도	윈디플랜/NNP+도/JX
탄원서	탄원서/NNG
유진측	유진/NNP+측/NNB
“통합복권	“/SS+통합/NNG+복권/NNG
직영이	직영/NNG+이/JKS
원칙”…	원칙/NNG+”/SS+…/SE
기재부	기재부/NNG
“판결	“/SS+판결/NNG
보고	보/VV+고/EC
주주변경	주주/NNG+변경/NNG
검토”	검토/NNG+”/SS


# id : NWRW1800000041.190.3.1
로또, 연금복권 등 여러 복권사업을 통합 운영하는 ‘나눔로또 사업 컨소시엄’에 참여한 주주회사들이 나눔로또의 약속 파기로 피해를 봤다며 법원에 소송을 제기하거나 정부에 탄원서를 낸 것으로 확인됐다.

로또,	로또/NNG+,/SP
연금복권	연금/NNG+복권/NNG
등	등/NNB
여러	여러/MMN
복권사업을	복권/NNG+사업/NNG+을/JKO
