# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.328
metadata : {}


# id : NWRW1800000028.328.1.1
북지원 쌀 내달 25일 출항

북지원	북/NNP+지원/NNG
쌀	쌀/NNG
내달	내달/NNG
25일	25/SN+일/NNB
출항	출항/NNG


# id : NWRW1800000028.328.2.1
대북 수해지원을 위한 남쪽 쌀 5000t이 다음달 25일 군산항을 출항한다.

대북	대북/NNG
수해지원을	수해/NNG+지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
남쪽	남쪽/NNG
쌀	쌀/NNG
5000t이	5000/SN+t/SW+이/JKS
다음달	다음/NNG+달/NNG
25일	25/SN+일/NNB
군산항을	군산항/NNP+을/JKO
출항한다.	출항/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.328.2.2
정부의 남북협력기금이 들어가는 대북 쌀 지원은 이명박 정부 출범 이래 이번이 처음이다.

정부의	정부/NNG+의/JKG
남북협력기금이	남북협력기금/NNP+이/JKS
들어가는	들어가/VV+는/ETM
대북	대북/NNG
쌀	쌀/NNG
지원은	지원/NNG+은/JX
이명박	이명박/NNP
정부	정부/NNG
출범	출범/NNG
이래	이래/NNB
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.328.3.1
통일부 당국자는 26일 “대한적십자사(한적)가 지원하는 쌀이 6000t급 화물선에 실려 10월25일 군산항을 떠나 중국 단둥을 거쳐 육로로 북한 신의주에 전달될 예정”이라고 밝혔다.

통일부	통일부/NNG
당국자는	당국자/NNG+는/JX
26일	26/SN+일/NNB
“대한적십자사(한적)가	“/SS+대한적십자사/NNP+(/SS+한적/NNP+)/SS+가/JKS
지원하는	지원/NNG+하/XSV+는/ETM
쌀이	쌀/NNG+이/JKS
6000t급	6000/SN+t/SW+급/NNG
화물선에	화물선/NNG+에/JKB
실려	실리/VV+어/EC
10월25일	10/SN+월/NNB+25/SN+일/NNB
군산항을	군산항/NNP+을/JKO
떠나	떠나/VV+아/EC
중국	중국/NNP
단둥을	단둥/NNP+을/JKO
거쳐	거치/VV+어/EC
육로로	육로/NNG+로/JKB
북한	북한/NNP
신의주에	신의주/NNP+에/JKB
전달될	전달/NNG+되/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.328.3.2
이 당국자는 “시멘트 1만t과 컵라면 300만개 등 생필품과 의약품도 구매되는 대로 인천항을 떠나 같은 경로로 전달된다”고 덧붙였다.

이	이/MMD
당국자는	당국자/NNG+는/JX
“시멘트	“/SS+시멘트/NNG
1만t과	1/SN+만/NR+t/SW+과/JC
컵라면	컵라면/NNG
300만개	300/SN+만/NR+개/NNB
등	등/NNB
생필품과	생필품/NNG+과/JC
의약품도	의약품/NNG+도/JX
구매되는	구매/NNG+되/XSV+는/ETM
대로	대로/NNB
인천항을	인천항/NNP+을/JKO
떠나	떠나/VV+아/EC
같은	같/VA+은/ETM
경로로	경로/NNG+로/JKB
전달된다”고	전달/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.328.3.3
이번 지원 물자가 단둥을 거치는 이유는 신의주항이 남북 해운합의서상의 기항지 7곳에 포함되지 않는데다, 항구 구조도 대형 화물선의 기항이 어렵기 때문인 것으로 알려졌다.

이번	이번/NNG
지원	지원/NNG
물자가	물자/NNG+가/JKS
단둥을	단둥/NNP+을/JKO
거치는	거치/VV+는/ETM
이유는	이유/NNG+는/JX
신의주항이	신의주항/NNP+이/JKS
남북	남북/NNP
해운합의서상의	해운/NNG+합의서/NNG+상/XSN+의/JKG
기항지	기항지/NNG
7곳에	7/SN+곳/NNG+에/JKB
포함되지	포함/NNG+되/XSV+지/EC
않는데다,	않/VX+는/ETM+데/NNB+다/JX+,/SP
항구	항구/NNG
구조도	구조/NNG+도/JX
대형	대형/NNG
화물선의	화물선/NNG+의/JKG
기항이	기항/NNG+이/JKS
어렵기	어렵/VA+기/ETN
때문인	때문/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.328.4.1
정부는 한적의 대북 쌀 지원에 남북협력기금을 지원하기 위한 남북교류협력추진협의회(교추협)의 서면심의를 진행하고 있으며, 28일 국회 보고를 거쳐 교추협 위원장인 현인택 통일부 장관이 80억여원의 협력기금 지원 승인을 최종 의결할 예정이다.

정부는	정부/NNG+는/JX
한적의	한적/NNP+의/JKG
대북	대북/NNG
쌀	쌀/NNG
지원에	지원/NNG+에/JKB
남북협력기금을	남북협력기금/NNP+을/JKO
지원하기	지원/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
남북교류협력추진협의회(교추협)의	남북교류협력추진협의회/NNP+(/SS+교추협/NNP+)/SS+의/JKG
서면심의를	서면/NNG+심의/NNG+를/JKO
진행하고	진행/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
28일	28/SN+일/NNB
국회	국회/NNG
보고를	보고/NNG+를/JKO
거쳐	거치/VV+어/EC
교추협	교추협/NNP
위원장인	위원장/NNG+이/VCP+ㄴ/ETM
현인택	현인택/NNP
통일부	통일부/NNG
장관이	장관/NNG+이/JKS
80억여원의	80/SN+억/NR+여/XSN+원/NNB+의/JKG
협력기금	협력/NNG+기금/NNG
지원	지원/NNG
승인을	승인/NNG+을/JKO
최종	최종/NNG
의결할	의결/NNG+하/XSV+ㄹ/ETM
