# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.194
metadata : {}


# id : NWRW1800000056.194.1.1
검찰, 박근혜 조사준비 박차…질문 수백개 이를듯

검찰,	검찰/NNG+,/SP
박근혜	박근혜/NNP
조사준비	조사/NNG+준비/NNG
박차…질문	박차/NNG+…/SE+질문/NNG
수백개	수백/NR+개/NNB
이를듯	이르/VV+ㄹ/ETM+듯/NNB


# id : NWRW1800000056.194.2.1
조사 질문지 초안 검토, 청 경호팀과 조율

조사	조사/NNG
질문지	질문지/NNG
초안	초안/NNG
검토,	검토/NNG+,/SP
청	청/NNP
경호팀과	경호/NNG+팀/NNG+과/JKB
조율	조율/NNG


# id : NWRW1800000056.194.3.1
2009년 노 전 대통령 조사 땐 질문 300개

2009년	2009/SN+년/NNB
노	노/NNP
전	전/MMD
대통령	대통령/NNG
조사	조사/NNG
땐	때/NNG+ㄴ/JX
질문	질문/NNG
300개	300/SN+개/NNB


# id : NWRW1800000056.194.4.1
10층 영상녹화실 유력…대질 가능성 낮아

10층	10/SN+층/NNG
영상녹화실	영상/NNG+녹화실/NNG
유력…대질	유력/NNG+…/SE+대질/NNG
가능성	가능/NNG+성/XSN
낮아	낮/VA+아/EF


# id : NWRW1800000056.194.5.1
박근혜 전 대통령 조사를 나흘 앞둔 17일, 검찰 특별조사본부는 박 전 대통령 조사를 위한 질문지 작성과 청와대 경호실과의 경호 조율 등 준비 작업에 박차를 가했다.

박근혜	박근혜/NNP
전	전/MMD
대통령	대통령/NNG
조사를	조사/NNG+를/JKO
나흘	나흘/NNG
앞둔	앞두/VV+ㄴ/ETM
17일,	17/SN+일/NNB+,/SP
검찰	검찰/NNG
특별조사본부는	특별/NNG+조사/NNG+본부/NNG+는/JX
박	박/NNP
위한	위하/VV+ㄴ/ETM
질문지	질문지/NNG
작성과	작성/NNG+과/JC
청와대	청와대/NNP
경호실과의	경호실/NNG+과/JKB+의/JKG
경호	경호/NNG
조율	조율/NNG
등	등/NNB
준비	준비/NNG
작업에	작업/NNG+에/JKB
박차를	박차/NNG+를/JKO
가했다.	가하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.194.6.1
검찰은 지난해 말 검찰 특수본 조사와 올초 박영수 특별검사팀의 조사 내용을 바탕으로 박 전 대통령의 조사 질문지 초안을 만들어 검토 작업에 들어갔다.

검찰은	검찰/NNG+은/JX
지난해	지난해/NNG
말	말/NNB
검찰	검찰/NNG
특수본	특수본/NNG
조사와	조사/NNG+와/JC
올초	올/NNG+초/NNB
박영수	박영수/NNP
특별검사팀의	특별/NNG+검사/NNG+팀/NNG+의/JKG
조사	조사/NNG
