# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.358
metadata : {}


# id : NWRW1800000026.358.1.1
'한국 인재' 채용하러 온 세계은행;인사담당 툴루이 부총재 방한

'한국	'/SS+한국/NNP
인재'	인재/NNG+'/SS
채용하러	채용/NNG+하/XSV+러/EC
온	오/VV+ㄴ/ETM
세계은행;인사담당	세계은행/NNP+;/SW+인사/NNG+담당/NNG
툴루이	툴루이/NNP
부총재	부총재/NNG
방한	방한/NNG


# id : NWRW1800000026.358.2.1
한국의 성공적인 경제 신화에 대한 경험과 전문지식을 활용하기 위해 더 많은 한국인 전문가를 채용하고 싶다.

한국의	한국/NNP+의/JKG
성공적인	성공/NNG+적/XSN+이/VCP+ㄴ/ETM
경제	경제/NNG
신화에	신화/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
경험과	경험/NNG+과/JC
전문지식을	전문/NNG+지식/NNG+을/JKO
활용하기	활용/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
더	더/MAG
많은	많/VA+은/ETM
한국인	한국인/NNG
전문가를	전문가/NNG+를/JKO
채용하고	채용/NNG+하/XSV+고/EC
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000026.358.3.1
세계은행(WB)에서 인사(人事)를 담당하는 하산 툴루이(Tuluy) 부총재가 한국의 인재를 채용하기 위해 방한(訪韓)했다.

세계은행(WB)에서	세계은행/NNP+(/SS+WB/SL+)/SS+에서/JKB
인사(人事)를	인사/NNG+(/SS+人事/SH+)/SS+를/JKO
담당하는	담당/NNG+하/XSV+는/ETM
하산	하산/NNP
툴루이(Tuluy)	툴루이/NNP+(/SS+Tuluy/SL+)/SS
부총재가	부총재/NNG+가/JKS
한국의	한국/NNP+의/JKG
인재를	인재/NNG+를/JKO
채용하기	채용/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
방한(訪韓)했다.	방한/NNG+(/SS+訪韓/SH+)/SS+하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.358.3.2
세계은행 부총재가 인력 채용을 위해 한국을 방문하기는 이번이 처음이다.

세계은행	세계은행/NNP
부총재가	부총재/NNG+가/JKS
인력	인력/NNG
채용을	채용/NNG+을/JKO
위해	위하/VV+아/EC
한국을	한국/NNP+을/JKO
방문하기는	방문/NNG+하/XSV+기/ETN+는/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.358.4.1
그는 1일 과천정부청사에서 브리핑을 갖고 "현재 한국인 직원들이 많은 일을 하고 있지만, 더 많은 한국인 직원을 채용하고 싶다"고 밝혔다.

그는	그/NP+는/JX
1일	1/SN+일/NNB
과천정부청사에서	과천정부청사/NNP+에서/JKB
브리핑을	브리핑/NNG+을/JKO
갖고	갖/VV+고/EC
"현재	"/SS+현재/MAG
한국인	한국인/NNG
직원들이	직원/NNG+들/XSN+이/JKS
많은	많/VA+은/ETM
일을	일/NNG+을/JKO
하고	하/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
더	더/MAG
직원을	직원/NNG+을/JKO
채용하고	채용/NNG+하/XSV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.358.4.2
이어 "한국이 오는 G20 정상회의 의장국이라는 점도 타이밍이 좋았다고 할 수 있다"고 덧붙였다.

이어	이어/MAG
"한국이	"/SS+한국/NNP+이/JKS
오는	오/VV+는/ETM
G20	G/SL+20/SN
정상회의	정상/NNG+회의/NNG
의장국이라는	의장국/NNG+이/VCP+라는/ETM
점도	점/NNG+도/JX
타이밍이	타이밍/NNG+이/JKS
