# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.104
metadata : {}


# id : NWRW1800000022.104.1.1
노원구 17개 고교에 전담 과외교사 2~3명 배치

노원구	노원구/NNP
17개	17/SN+개/NNB
고교에	고교/NNG+에/JKB
전담	전담/NNG
과외교사	과외/NNG+교사/NNG
2~3명	2/SN+~/SO+3/SN+명/NNB
배치	배치/NNG


# id : NWRW1800000022.104.2.1
서울 노원구(구청장 이노근)가 지역 주민들이 앞으로 3년 동안 사교육비 500억원을 절감할 수 있는 종합대책을 마련했다고 25일 밝혔다.

서울	서울/NNP
노원구(구청장	노원구/NNP+(/SS+구청장/NNG
이노근)가	이노근/NNP+)/SS+가/JKS
지역	지역/NNG
주민들이	주민/NNG+들/XSN+이/JKS
앞으로	앞/NNG+으로/JKB
3년	3/SN+년/NNB
동안	동안/NNG
사교육비	사교육비/NNG
500억원을	500/SN+억/NR+원/NNB+을/JKO
절감할	절감/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
종합대책을	종합/NNG+대책/NNG+을/JKO
마련했다고	마련/NNG+하/XSV+았/EP+다고/EC
25일	25/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.104.2.2
구는 공교육을 활성화시키고, 교육 불평등을 해소하기 위해 이 기간에 총 370억원을 집중 투자할 계획이다.

구는	구/NNG+는/JX
공교육을	공교육/NNG+을/JKO
활성화시키고,	활성/NNG+화/XSN+시키/XSV+고/EC+,/SP
교육	교육/NNG
불평등을	불/XPN+평등/NNG+을/JKO
해소하기	해소/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
이	이/MMD
기간에	기간/NNG+에/JKB
총	총/MMA
370억원을	370/SN+억/NR+원/NNB+을/JKO
집중	집중/NNG
투자할	투자/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.104.3.1
구는 지역 내 17개 고교에 전담 과외교사 2~3명을 각각 배치·운영하는 학습지도 프로그램과 각종 실험도구·준비물을 초등학교에 지원해 학부모의 부담을 덜어주는 '학습준비물 지원센터'를 운영한다.

구는	구/NNG+는/JX
지역	지역/NNG
내	내/NNB
17개	17/SN+개/NNB
고교에	고교/NNG+에/JKB
전담	전담/NNG
과외교사	과외/NNG+교사/NNG
2~3명을	2/SN+~/SO+3/SN+명/NNB+을/JKO
각각	각각/MAG
배치·운영하는	배치/NNG+·/SP+운영/NNG+하/XSV+는/ETM
학습지도	학습/NNG+지도/NNG
프로그램과	프로그램/NNG+과/JC
각종	각종/NNG
실험도구·준비물을	실험/NNG+도구/NNG+·/SP+준비물/NNG+을/JKO
초등학교에	초등학교/NNG+에/JKB
지원해	지원/NNG+하/XSV+아/EC
학부모의	학부모/NNG+의/JKG
부담을	부담/NNG+을/JKO
덜어주는	덜/VV+어/EC+주/VX+는/ETM
'학습준비물	'/SS+학습/NNG+준비물/NNG
지원센터'를	지원/NNG+센터/NNG+'/SS+를/JKO
운영한다.	운영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.104.3.2
또 최근 개관한 서울 영어과학공원을 활용해 한해 10만명을 대상으로 영어 사교육을 대체할 수 있는 다양한 영어교육 프로그램을 제공한다.

또	또/MAG
최근	최근/MAG
개관한	개관/NNG+하/XSV+ㄴ/ETM
서울	서울/NNP
영어과학공원을	영어과학공원/NNP+을/JKO
활용해	활용/NNG+하/XSV+아/EC
한해	한/MMN+해/NNB
10만명을	10/SN+만/NR+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
영어	영어/NNP
사교육을	사교육/NNG+을/JKO
대체할	대체/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
영어교육	영어/NNP+교육/NNG
프로그램을	프로그램/NNG+을/JKO
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.104.3.3
서울 영어과학공원은 원어민과 함께 실험 실습 등 과학체험을 하면서 영어를 배우는 테마형 교육센터다.

서울	서울/NNP
영어과학공원은	영어과학공원/NNP+은/JX
원어민과	원어민/NNG+과/JKB
함께	함께/MAG
실험	실험/NNG
실습	실습/NNG
등	등/NNB
과학체험을	과학/NNG+체험/NNG+을/JKO
하면서	하/VV+면서/EC
영어를	영어/NNP+를/JKO
배우는	배우/VV+는/ETM
