# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.296
metadata : {}


# id : NWRW1800000045.296.1.1
[박경모 전문기자의 폰카시대]더 가깝게, 더 넓게

[박경모	[/SS+박경모/NNP
전문기자의	전문/NNG+기자/NNG+의/JKG
폰카시대]더	폰카/NNG+시대/NNG+]/SS+더/MAG
가깝게,	가깝/VA+게/EC+,/SP
더	더/MAG
넓게	넓/VA+게/EC


# id : NWRW1800000045.296.2.1
스마트폰 카메라로 멀리 있는 사람이나 사물을 당겨 크게 찍고 싶을 때 어디까지 가능할까.

스마트폰	스마트폰/NNG
카메라로	카메라/NNG+로/JKB
멀리	멀리/MAG
있는	있/VA+는/ETM
사람이나	사람/NNG+이나/JC
사물을	사물/NNG+을/JKO
당겨	당기/VV+어/EC
크게	크/VA+게/EC
찍고	찍/VV+고/EC
싶을	싶/VX+을/ETM
때	때/NNG
어디까지	어디/NP+까지/JX
가능할까.	가능/NNG+하/XSA+ㄹ까/EF+./SF


# id : NWRW1800000045.296.3.1
최신 폰카의 기능은 콤팩트 디지털카메라와 비교해도 손색이 없다.

최신	최신/NNG
폰카의	폰카/NNG+의/JKG
기능은	기능/NNG+은/JX
콤팩트	콤팩트/NNG
디지털카메라와	디지털카메라/NNG+와/JKB
비교해도	비교/NNG+하/XSV+아도/EC
손색이	손색/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000045.296.3.2
1600만 화소, 손 떨림 방지, 선택적 포커스, 수동 노출, 셔터 스피드 조절 등 디카가 자랑하는 기능이 폰카에도 다 들어 있다.

1600만	1600/SN+만/NR
화소,	화소/NNG+,/SP
손	손/NNG
떨림	떨리/VV+ㅁ/ETN
방지,	방지/NNG+,/SP
선택적	선택/NNG+적/XSN
포커스,	포커스/NNG+,/SP
수동	수동/NNG
노출,	노출/NNG+,/SP
셔터	셔터/NNG
스피드	스피드/NNG
조절	조절/NNG
등	등/NNB
디카가	디카/NNG+가/JKS
자랑하는	자랑/NNG+하/XSV+는/ETM
기능이	기능/NNG+이/JKS
폰카에도	폰카/NNG+에/JKB+도/JX
다	다/MAG
들어	들/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.296.3.3
똑똑한 폰카 때문에 콤팩트 디카 판매는 매년 20% 이상 줄고 있다.

똑똑한	똑똑하/VA+ㄴ/ETM
폰카	폰카/NNG
때문에	때문/NNB+에/JKB
콤팩트	콤팩트/NNG
디카	디카/NNG
판매는	판매/NNG+는/JX
매년	매년/MAG
20%	20/SN+%/SW
이상	이상/NNG
줄고	줄/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.296.4.1
폰카 성능 중 가장 아쉬운 게 멀리 있는 것을 당겨 찍는 기능이다.

폰카	폰카/NNG
성능	성능/NNG
중	중/NNB
가장	가장/MAG
아쉬운	아쉽/VA+ㄴ/ETM
게	거/NNB+이/JKS
멀리	멀리/MAG
있는	있/VA+는/ETM
것을	것/NNB+을/JKO
당겨	당기/VV+어/EC
찍는	찍/VV+는/ETM
기능이다.	기능/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.296.4.2
줌렌즈를 쓰면 카메라를 움직이지 않고도 멀리 있는 피사체를 당겨서 촬영할 수 있다.

줌렌즈를	줌/NNG+렌즈/NNG+를/JKO
쓰면	쓰/VV+면/EC
카메라를	카메라/NNG+를/JKO
움직이지	움직이/VV+지/EC
않고도	않/VX+고/EC+도/JX
멀리	멀리/MAG
있는	있/VA+는/ETM
피사체를	피사체/NNG+를/JKO
당겨서	당기/VV+어서/EC
촬영할	촬영/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.296.4.3
또 광각으로 줌아웃해 넓게 찍을 수도 있어 편리하다.

또	또/MAG
광각으로	광각/NNG+으로/JKB
줌아웃해	줌/NNG+아웃/NNG+하/XSV+아/EC
넓게	넓/VA+게/EC
찍을	찍/VV+을/ETM
수도	수/NNB+도/JX
있어	있/VA+어/EC
편리하다.	편리/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000045.296.5.1
폰카에는 기종에 따라 다르지만 대체로 28mm 정도의 광각에 200mm 가까이 당길 수 있는 망원 기능이 있는 줌렌즈가 달려 있다.

폰카에는	폰카/NNG+에/JKB+는/JX
기종에	기종/NNG+에/JKB
따라	따르/VV+아/EC
다르지만	다르/VA+지만/EC
대체로	대체로/MAG
28mm	28/SN+mm/SW
정도의	정도/NNG+의/JKG
광각에	광각/NNG+에/JKB
200mm	200/SN+mm/SW
가까이	가까이/MAG
당길	당기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
망원	망원/NNG
기능이	기능/NNG+이/JKS
줌렌즈가	줌/NNG+렌즈/NNG+가/JKS
달려	달리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.296.5.2
그러나 폰카의 렌즈는 디지털 줌 방식이어서 당겨서 찍을수록 해상도가 떨어지는 단점이 있다.

그러나	그러나/MAJ
폰카의	폰카/NNG+의/JKG
렌즈는	렌즈/NNG+는/JX
디지털	디지털/NNG
줌	줌/NNG
방식이어서	방식/NNG+이/VCP+어서/EC
당겨서	당기/VV+어서/EC
찍을수록	찍/VV+을수록/EC
해상도가	해상도/NNG+가/JKS
떨어지는	떨어지/VV+는/ETM
단점이	단점/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.296.5.3
디지털 줌이란 영상을 이미지센서에 받아들여 단순히 확대해 보여주는 것이다.

디지털	디지털/NNG
줌이란	줌/NNG+이란/JX
영상을	영상/NNG+을/JKO
이미지센서에	이미지/NNG+센서/NNG+에/JKB
받아들여	받아들이/VV+어/EC
단순히	단순히/MAG
확대해	확대/NNG+하/XSV+아/EC
보여주는	보이/VV+어/EC+주/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.296.5.4
즉 광각으로 넓게 찍어 원하는 부분을 컴퓨터 화면에서 포토샵 같은 사진 편집 프로그램으로 확대해 보여주는 효과밖에 없다.

즉	즉/MAG
광각으로	광각/NNG+으로/JKB
넓게	넓/VA+게/EC
찍어	찍/VV+어/EC
원하는	원/NNG+하/XSV+는/ETM
부분을	부분/NNG+을/JKO
컴퓨터	컴퓨터/NNG
화면에서	화면/NNG+에서/JKB
포토샵	포토샵/NNG
같은	같/VA+은/ETM
사진	사진/NNG
편집	편집/NNG
프로그램으로	프로그램/NNG+으로/JKB
확대해	확대/NNG+하/XSV+아/EC
보여주는	보이/VV+어/EC+주/VX+는/ETM
효과밖에	효과/NNG+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000045.296.5.5
이는 사진을 찍어 확대하면 원래 사진보다 화질이 떨어지는 원리와 같다.

이는	이/NP+는/JX
사진을	사진/NNG+을/JKO
찍어	찍/VV+어/EC
확대하면	확대/NNG+하/XSV+면/EC
원래	원래/NNG
사진보다	사진/NNG+보다/JKB
화질이	화질/NNG+이/JKS
떨어지는	떨어지/VV+는/ETM
원리와	원리/NNG+와/JKB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000045.296.6.1
폰카로 멀리 있는 피사체를 줌인해 찍고 싶을 때 두 손가락을 화면에 대고 벌려주면 된다.

폰카로	폰카/NNG+로/JKB
멀리	멀리/MAG
있는	있/VA+는/ETM
피사체를	피사체/NNG+를/JKO
줌인해	줌/NNG+인/NNG+하/XSV+아/EC
찍고	찍/VV+고/EC
싶을	싶/VX+을/ETM
때	때/NNG
두	두/MMN
손가락을	손가락/NNG+을/JKO
화면에	화면/NNG+에/JKB
대고	대/VV+고/EC
벌려주면	벌리/VV+어/EC+주/VX+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.296.6.2
그러나 최대한 당길 수 있는 거리의 절반 이하로 당겨야 한다.

그러나	그러나/MAJ
최대한	최대한/MAG
