# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.206
metadata : {}


# id : NWRW1800000041.206.1.1
박사 3500만원… ‘학위장사’ 치대 교수

박사	박사/NNG
3500만원…	3500/SN+만/NR+원/NNB+…/SE
‘학위장사’	‘/SS+학위/NNG+장사/NNG+’/SS
치대	치대/NNG
교수	교수/NNG


# id : NWRW1800000041.206.2.1
논문 대신 써주고 심사까지 맡아… 석사 1500만원 등 12명에 3억 챙겨

논문	논문/NNG
대신	대신/NNG
써주고	쓰/VV+어/EC+주/VX+고/EC
심사까지	심사/NNG+까지/JX
맡아…	맡/VV+아/EF+…/SE
석사	석사/NNG
1500만원	1500/SN+만/NR+원/NNB
등	등/NNB
12명에	12/SN+명/NNB+에/JKB
3억	3/SN+억/NR
챙겨	챙기/VV+어/EF


# id : NWRW1800000041.206.3.1
2012년 5월 사립대인 A대에서 하루 차이로 심사받은 치의학 박사학위 논문 두 편의 소제목은 각각 ‘골모세포 증식의 각 군 간의 효과 측정’ ‘조골세포 증식의 각 군 간의 효과 측정’으로 유사하다.

2012년	2012/SN+년/NNB
5월	5/SN+월/NNB
사립대인	사립대/NNG+이/VCP+ㄴ/ETM
A대에서	A/SL+대/NNG+에서/JKB
하루	하루/NNG
차이로	차이/NNG+로/JKB
심사받은	심사/NNG+받/XSV+은/ETM
치의학	치의학/NNG
박사학위	박사/NNG+학위/NNG
논문	논문/NNG
두	두/MMN
편의	편/NNB+의/JKG
소제목은	소/XPN+제목/NNG+은/JX
각각	각각/MAG
‘골모세포	‘/SS+골모세포/NNG
증식의	증식/NNG+의/JKG
각	각/MMD
군	군/NNG
간의	간/NNB+의/JKG
효과	효과/NNG
측정’	측정/NNG+’/SS
‘조골세포	‘/SS+조골세포/NNG
측정’으로	측정/NNG+’/SS+으로/JKB
유사하다.	유사/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000041.206.3.2
내용도 거의 비슷하다.

내용도	내용/NNG+도/JX
거의	거의/MAG
비슷하다.	비슷하/VA+다/EF+./SF


# id : NWRW1800000041.206.4.1
얼핏 봐도 복제 수준의 이 논문들은 모두 박사학위 심사를 통과했다.

얼핏	얼핏/MAG
봐도	보/VV+아도/EC
복제	복제/NNG
수준의	수준/NNG+의/JKG
이	이/MMD
논문들은	논문/NNG+들/XSN+은/JX
모두	모두/MAG
박사학위	박사/NNG+학위/NNG
심사를	심사/NNG+를/JKO
통과했다.	통과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.206.4.2
두 편의 논문 심사에 참여한 교수가 해당 대학원생들에게 돈을 받고 ‘찍어낸’ 논문이었다.

두	두/MMN
편의	편/NNB+의/JKG
논문	논문/NNG
심사에	심사/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
교수가	교수/NNG+가/JKS
해당	해당/NNG
대학원생들에게	대학원/NNG+생/XSN+들/XSN+에게/JKB
돈을	돈/NNG+을/JKO
받고	받/VV+고/EC
‘찍어낸’	‘/SS+찍/VV+어/EC+내/VX+ㄴ/ETM+’/SS
논문이었다.	논문/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.206.4.3
서울지방경찰청 광역수사대는 석·박사 학생들에게 돈을 받고 논문을 대필한 뒤 학위를 수여한 혐의(배임수재 등)로 A대 치과대 홍모 교수(48)를 구속했다고 17일 밝혔다.

서울지방경찰청	서울지방경찰청/NNP
광역수사대는	광역/NNG+수사대/NNG+는/JX
석·박사	석·박사/NNG
학생들에게	학생/NNG+들/XSN+에게/JKB
돈을	돈/NNG+을/JKO
받고	받/VV+고/EC
논문을	논문/NNG+을/JKO
대필한	대필/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
학위를	학위/NNG+를/JKO
수여한	수여/NNG+하/XSV+ㄴ/ETM
혐의(배임수재	혐의/NNG+(/SS+배임/NNG+수재/NNG
등)로	등/NNB+)/SS+로/JKB
A대	A/SL+대/NNG
치과대	치과/NNG+대/NNG
홍모	홍/NNP+모/NP
교수(48)를	교수/NNG+(/SS+48/SN+)/SS+를/JKO
구속했다고	구속/NNG+하/XSV+았/EP+다고/EC
17일	17/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.206.4.4
같은 혐의를 받고 있는 같은 대학 임모 교수(51)는 받은 액수가 상대적으로 적어 불구속 입건됐다.

같은	같/VA+은/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
대학	대학/NNG
임모	임/NNP+모/NP
교수(51)는	교수/NNG+(/SS+51/SN+)/SS+는/JX
받은	받/VV+은/ETM
액수가	액수/NNG+가/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
적어	적/VA+어/EC
불구속	불/XPN+구속/NNG
입건됐다.	입건/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.206.5.1
경찰에 따르면 홍 교수는 2008년 3월부터 지난해 11월까지 총 12명의 논문을 대신 써 주고 학위 논문 심사까지 통과시켜 주는 대가로 총 3억2000만 원을 받은 혐의다.

경찰에	경찰/NNG+에/JKB
따르면	따르/VV+면/EC
홍	홍/NNP
교수는	교수/NNG+는/JX
2008년	2008/SN+년/NNB
3월부터	3/SN+월/NNB+부터/JX
지난해	지난해/NNG
11월까지	11/SN+월/NNB+까지/JX
총	총/MMA
12명의	12/SN+명/NNB+의/JKG
논문을	논문/NNG+을/JKO
대신	대신/NNG
써	쓰/VV+어/EC
주고	주/VX+고/EC
학위	학위/NNG
논문	논문/NNG
심사까지	심사/NNG+까지/JX
통과시켜	통과/NNG+시키/XSV+어/EC
주는	주/VX+는/ETM
대가로	대가/NNG+로/JKB
3억2000만	3/SN+억/NR+2000/SN+만/NR
원을	원/NNB+을/JKO
받은	받/VV+은/ETM
혐의다.	혐의/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.206.5.2
임 교수 역시 같은 기간 3명에게 4600만 원을 받고 논문을 대필한 혐의를 받고 있다.

임	임/NNP
교수	교수/NNG
역시	역시/MAG
같은	같/VA+은/ETM
기간	기간/NNG
3명에게	3/SN+명/NNB+에게/JKB
4600만	4600/SN+만/NR
원을	원/NNB+을/JKO
받고	받/VV+고/EC
논문을	논문/NNG+을/JKO
대필한	대필/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.206.6.1
이들은 치의학대학원 석·박사 학위생들에게 석사학위는 500만∼1500만 원, 박사학위는 2000만∼3500만 원을 받고 대필 장사를 했다.

이들은	이/NP+들/XSN+은/JX
치의학대학원	치의학/NNG+대학원/NNG
석·박사	석·박사/NNG
학위생들에게	학위/NNG+생/XSN+들/XSN+에게/JKB
석사학위는	석사/NNG+학위/NNG+는/JX
500만∼1500만	500/SN+만/NR+∼/SO+1500/SN+만/NR
원,	원/NNB+,/SP
박사학위는	박사/NNG+학위/NNG+는/JX
2000만∼3500만	2000/SN+만/NR+∼/SO+3500/SN+만/NR
원을	원/NNB+을/JKO
받고	받/VV+고/EC
대필	대필/NNG
장사를	장사/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.206.6.2
돈은 차명계좌로 받았다.

돈은	돈/NNG+은/JX
차명계좌로	차명/NNG+계좌/NNG+로/JKB
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.206.6.3
대부분이 경제적 여유는 있지만 실험을 하거나 논문을 작성할 시간이 없는 치과 개원의였던 학위생들은 기꺼이 돈을 내고 지도교수인 이들에게 논문 작성을 부탁했다.

대부분이	대/XPN+부분/NNG+이/JKS
경제적	경제/NNG+적/XSN
여유는	여유/NNG+는/JX
있지만	있/VA+지만/EC
실험을	실험/NNG+을/JKO
하거나	하/VV+거나/EC
논문을	논문/NNG+을/JKO
작성할	작성/NNG+하/XSV+ㄹ/ETM
시간이	시간/NNG+이/JKS
없는	없/VA+는/ETM
치과	치과/NNG
개원의였던	개원의/NNG+이/VCP+었/EP+던/ETM
학위생들은	학위/NNG+생/XSN+들/XSN+은/JX
기꺼이	기꺼이/MAG
돈을	돈/NNG+을/JKO
내고	내/VV+고/EC
지도교수인	지도/NNG+교수/NNG+이/VCP+ㄴ/ETM
이들에게	이/NP+들/XSN+에게/JKB
논문	논문/NNG
작성을	작성/NNG+을/JKO
부탁했다.	부탁/NNG+하/XSV+았/EP+다/EF+./SF


