# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.386
metadata : {}


# id : NWRW1800000029.386.1.1
[한미동맹 업그레이드]“美, 아태지역 영향력 회복 계기될것”… 中, 한미 FTA 경계

[한미동맹	[/SS+한미/NNP+동맹/NNG
업그레이드]“美,	업그레이드/NNG+]/SS+“/SS+美/SH+,/SP
아태지역	아태지역/NNP
영향력	영향력/NNG
회복	회복/NNG
계기될것”…	계기/NNG+되/XSV+ㄹ/ETM+것/NNB+”/SS+…/SE
中,	中/SH+,/SP
한미	한미/NNP
FTA	FTA/SL
경계	경계/NNG


# id : NWRW1800000029.386.2.1
중국은 미국이 한미 자유무역협정(FTA)을 아시아태평양에 대한 영향력 확대의 계기로 삼고 있다며 불편한 심기를 우회적으로 드러냈다.

중국은	중국/NNP+은/JX
미국이	미국/NNP+이/JKS
한미	한미/NNP
자유무역협정(FTA)을	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS+을/JKO
아시아태평양에	아시아/NNP+태평양/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
영향력	영향력/NNG
확대의	확대/NNG+의/JKG
계기로	계기/NNG+로/JKB
삼고	삼/VV+고/EC
있다며	있/VX+다며/EC
불편한	불편/NNG+하/XSA+ㄴ/ETM
심기를	심기/NNG+를/JKO
우회적으로	우회/NNG+적/XSN+으로/JKB
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.386.3.1
신징(新京)보는 15일 관영 신화통신의 보도를 종합한 기사에서 “한미 FTA는 정치적으로 더 가치가 있다”며 “미국이 아태지역에서 우방과의 동맹을 강화함으로써 영향력을 회복하는 계기가 될 것”이라고 전했다.

신징(新京)보는	신징/NNP+(/SS+新京/SH+)/SS+보/NNG+는/JX
15일	15/SN+일/NNB
관영	관영/NNG
신화통신의	신화통신/NNP+의/JKG
보도를	보도/NNG+를/JKO
종합한	종합/NNG+하/XSV+ㄴ/ETM
기사에서	기사/NNG+에서/JKB
“한미	“/SS+한미/NNP
FTA는	FTA/SL+는/JX
정치적으로	정치/NNG+적/XSN+으로/JKB
더	더/MAG
가치가	가치/NNG+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“미국이	“/SS+미국/NNP+이/JKS
아태지역에서	아태지역/NNP+에서/JKB
우방과의	우방/NNG+과/JKB+의/JKG
동맹을	동맹/NNG+을/JKO
강화함으로써	강화/NNG+하/XSV+ㅁ/ETN+으로써/JKB
영향력을	영향력/NNG+을/JKO
회복하는	회복/NNG+하/XSV+는/ETM
계기가	계기/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.386.4.1
이 신문은 특히 버락 오바마 미국 대통령이 한국과의 안보 협조가 영원토록 변치 않을 것이라는 취지의 언급을 했다는 점을 강조하는 등 미국의 군사적 접근을 경계했다.

이	이/MMD
신문은	신문/NNG+은/JX
특히	특히/MAG
버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
한국과의	한국/NNP+과/JKB+의/JKG
안보	안보/NNG
협조가	협조/NNG+가/JKS
영원토록	영원/NNG+하/XSA+도록/EC
변치	변하/VV+지/EC
않을	않/VX+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
취지의	취지/NNG+의/JKG
언급을	언급/NNG+을/JKO
했다는	하/VV+았/EP+다는/ETM
점을	점/NNG+을/JKO
강조하는	강조/NNG+하/XSV+는/ETM
등	등/NNB
미국의	미국/NNP+의/JKG
군사적	군사/NNG+적/XSN
접근을	접근/NNG+을/JKO
경계했다.	경계/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.386.4.2
중국은 남중국해 문제 등을 놓고 그동안 미국의 군사·외교적 개입에 반대하며 대립각을 세워왔다.

중국은	중국/NNP+은/JX
남중국해	남중국해/NNP
문제	문제/NNG
등을	등/NNB+을/JKO
놓고	놓/VV+고/EC
그동안	그동안/NNG
미국의	미국/NNP+의/JKG
군사·외교적	군사/NNG+·/SP+외교/NNG+적/XSN
개입에	개입/NNG+에/JKB
반대하며	반대/NNG+하/XSV+며/EC
대립각을	대립각/NNG+을/JKO
세워왔다.	세우/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.386.5.1
신문은 북핵과 관련해서도 이명박 대통령과 오바마 대통령이 이번 회담에서 대북 문제에 대한 의견을 나눴고, 미국이 조만간 북한의 6자회담 복귀를 위한 제2차 북-미대화 계획을 발표할 것이라고 보도했다.

신문은	신문/NNG+은/JX
북핵과	북핵/NNG+과/JKB
관련해서도	관련/NNG+하/XSV+아서/EC+도/JX
이명박	이명박/NNP
대통령과	대통령/NNG+과/JC
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
이번	이번/NNG
회담에서	회담/NNG+에서/JKB
대북	대북/NNG
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
나눴고,	나누/VV+었/EP+고/EC+,/SP
미국이	미국/NNP+이/JKS
조만간	조만간/MAG
북한의	북한/NNP+의/JKG
6자회담	6/SN+자/NNB+회담/NNG
복귀를	복귀/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
제2차	제/XPN+2/SN+차/NNB
북-미대화	북-미/NNP+대화/NNG
계획을	계획/NNG+을/JKO
발표할	발표/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.386.5.2
이번 정상회담에서 6자회담과 관련한 중국의 역할론 등도 일부 거론된 만큼 북한 문제와 관련한 회담 결과가 중국에 미칠 영향에 촉각을 곤두세우고 있음을 보여줬다.

이번	이번/NNG
정상회담에서	정상/NNG+회담/NNG+에서/JKB
6자회담과	6/SN+자/NNB+회담/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
중국의	중국/NNP+의/JKG
역할론	역할/NNG+론/XSN
등도	등/NNB+도/JX
일부	일부/NNG
거론된	거론/NNG+되/XSV+ㄴ/ETM
만큼	만큼/NNB
북한	북한/NNP
문제와	문제/NNG+와/JKB
회담	회담/NNG
결과가	결과/NNG+가/JKS
중국에	중국/NNP+에/JKB
미칠	미치/VV+ㄹ/ETM
영향에	영향/NNG+에/JKB
촉각을	촉각/NNG+을/JKO
곤두세우고	곤두세우/VV+고/EC
있음을	있/VX+음/ETN+을/JKO
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.386.6.1
이 신문은 이날 이례적으로 거의 한 면을 할애해 이 대통령의 미국 국빈방문 일정과 성과를 자세히 소개했다.

이	이/NNP
신문은	신문/NNG+은/JX
이날	이날/NNG
이례적으로	이례/NNG+적/XSN+으로/JKB
거의	거의/MAG
한	한/MMN
면을	면/NNG+을/JKO
할애해	할애/NNG+하/XSV+아/EC
대통령의	대통령/NNG+의/JKG
미국	미국/NNP
국빈방문	국빈/NNG+방문/NNG
일정과	일정/NNG+과/JC
