# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.232
metadata : {}


# id : NWRW1800000045.232.1.1
사령탑 데뷔 임도헌 “이겼지만 맘에 안 들어”

사령탑	사령탑/NNG
데뷔	데뷔/NNG
임도헌	임도헌/NNP
“이겼지만	“/SS+이기/VV+었/EP+지만/EC
맘에	맘/NNG+에/JKB
안	안/MAG
들어”	들/VV+어/EF+”/SS


# id : NWRW1800000045.232.2.1
우리카드 3-1 꺾고도 수비는 불만… “리시브-디그 등 기량 반도 안 나와” 현대캐피탈 최태웅 감독은 쓴잔

우리카드	우리카드/NNP
3-1	3/SN+-/SO+1/SN
꺾고도	꺾/VV+고/EC+도/JX
수비는	수비/NNG+는/JX
불만…	불만/NNG+…/SE
“리시브-디그	“/SS+리시브/NNG+-/SO+디그/NNG
등	등/NNB
기량	기량/NNG
반도	반/NNG+도/JX
안	안/MAG
나와”	나오/VV+아/EC+”/SS
현대캐피탈	현대캐피탈/NNP
최태웅	최태웅/NNP
감독은	감독/NNG+은/JX
쓴잔	쓴잔/NNG


# id : NWRW1800000045.232.3.1
“오늘 삼성화재 감독과 선수 중 누가 더 긴장했는지?”

“오늘	“/SS+오늘/MAG
삼성화재	삼성화재/NNP
감독과	감독/NNG+과/JC
선수	선수/NNG
중	중/NNB
누가	누구/NP+가/JKS
더	더/MAG
긴장했는지?”	긴장/NNG+하/XSV+았/EP+는지/EF+?/SF+”/SS


# id : NWRW1800000045.232.4.1
평소 프로배구 남자부 삼성화재 경기 뒤라면 나오지 않을 질문이었다.

평소	평소/NNG
프로배구	프로/NNG+배구/NNG
남자부	남자부/NNG
삼성화재	삼성화재/NNP
경기	경기/NNG
뒤라면	뒤/NNG+이/VCP+라면/EC
나오지	나오/VV+지/EC
않을	않/VX+을/ETM
질문이었다.	질문/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.232.4.2
하지만 12일 청주·KOVO컵 프로배구대회 경기가 끝난 뒤에는 달랐다.

하지만	하지만/MAJ
12일	12/SN+일/NNB
청주·KOVO컵	청주/NNP+·/SP+KOVO/SL+컵/NNG
프로배구대회	프로/NNG+배구/NNG+대회/NNG
경기가	경기/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤에는	뒤/NNG+에/JKB+는/JX
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000045.232.4.3
이 경기가 임도헌 감독(43)의 공식 데뷔전이었기 때문이다.

이	이/MMD
경기가	경기/NNG+가/JKS
임도헌	임도헌/NNP
감독(43)의	감독/NNG+(/SS+43/SN+)/SS+의/JKG
공식	공식/NNG
데뷔전이었기	데뷔전/NNG+이/VCP+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.232.4.4
임 감독은 “나는 선수 시절 첫 경기 때도 긴장하지 않았다. 선수들이 더한 것 같다”고 답했다.

임	임/NNP
감독은	감독/NNG+은/JX
“나는	“/SS+나/NP+는/JX
선수	선수/NNG
시절	시절/NNG
첫	첫/MMN
경기	경기/NNG
때도	때/NNG+도/JX
긴장하지	긴장/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF
선수들이	선수/NNG+들/XSN+이/JKS
더한	더/MAG+하/XSV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.232.4.5
이 경기에서 삼성화재는 팀 선배 김상우 감독(43)이 이끄는 우리카드를 3-1(26-24, 19-25, 25-16, 25-21)로 꺾었다.

이	이/MMD
경기에서	경기/NNG+에서/JKB
삼성화재는	삼성화재/NNP+는/JX
팀	팀/NNG
선배	선배/NNG
김상우	김상우/NNP
감독(43)이	감독/NNG+(/SS+43/SN+)/SS+이/JKS
이끄는	이끌/VV+는/ETM
우리카드를	우리카드/NNP+를/JKO
3-1(26-24,	3/SN+-/SO+1/SN+(/SS+26/SN+-/SO+24/SN+,/SP
19-25,	19/SN+-/SO+25/SN+,/SP
25-16,	25/SN+-/SO+16/SN+,/SP
25-21)로	25/SN+-/SO+21/SN+)/SS+로/JKB
꺾었다.	꺾/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.232.5.1
승리의 기쁨도 잠시.

승리의	승리/NNG+의/JKG
기쁨도	기쁨/NNG+도/JX
잠시.	잠시/MAG+./SF


# id : NWRW1800000045.232.5.2
임 감독은 ‘신치용의 후계자’답게 냉정하게 이날 경기를 평가했다.

임	임/NNP
감독은	감독/NNG+은/JX
‘신치용의	‘/SS+신치용/NNP+의/JKG
후계자’답게	후계자/NNG+’/SS+답/XSA+게/EC
냉정하게	냉정/NNG+하/XSA+게/EC
이날	이날/NNG
