# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.69
metadata : {}


# id : NWRW1800000038.69.1.1
어제는 오케스트라, 오늘은 솔리스트

어제는	어제/NNG+는/JX
오케스트라,	오케스트라/NNG+,/SP
오늘은	오늘/NNG+은/JX
솔리스트	솔리스트/NNG


# id : NWRW1800000038.69.2.1
클래식 음악계 '투잡족' 주목

클래식	클래식/NNG
음악계	음악/NNG+계/XSN
'투잡족'	'/SS+투잡족/NNG+'/SS
주목	주목/NNG


# id : NWRW1800000038.69.3.1
빈이나 베를린에서 '오텐잠머'라는 이름은 클라리넷 명가로 통한다.

빈이나	빈/NNP+이나/JC
베를린에서	베를린/NNP+에서/JKB
'오텐잠머'라는	'/SS+오텐잠머/NNP+'/SS+이/VCP+라는/ETM
이름은	이름/NNG+은/JX
클라리넷	클라리넷/NNG
명가로	명가/NNG+로/JKB
통한다.	통하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.69.3.2
아버지 에른스트 오텐잠머(58)와 장남 다니엘(27)은 빈 필하모닉의 클라리넷 수석으로 나란히 활동 중.

아버지	아버지/NNG
에른스트	에른스트/NNP
오텐잠머(58)와	오텐잠머/NNP+(/SS+58/SN+)/SS+와/JC
장남	장남/NNG
다니엘(27)은	다니엘/NNP+(/SS+27/SN+)/SS+은/JX
빈	빈/NNP
필하모닉의	필하모닉/NNP+의/JKG
클라리넷	클라리넷/NNG
수석으로	수석/NNG+으로/JKB
나란히	나란히/MAG
활동	활동/NNG
중.	중/NNB+./SF


# id : NWRW1800000038.69.3.3
차남 안드레아스(24)도 2011년 스물둘 나이에 베를린 필의 클라리넷 수석으로 뽑혔다.

차남	차남/NNG
안드레아스(24)도	안드레아스/NNP+(/SS+24/SN+)/SS+도/JX
2011년	2011/SN+년/NNB
스물둘	스물둘/NR
나이에	나이/NNG+에/JKB
베를린	베를린/NNP
필의	필/NNP+의/JKG
클라리넷	클라리넷/NNG
수석으로	수석/NNG+으로/JKB
뽑혔다.	뽑히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.69.3.4
이들 삼부자는 '클라리노츠'라는 클라리넷 3중주단으로 한 해 20회쯤 세계 투어를 갖는다.

이들	이/NP+들/XSN
삼부자는	삼부자/NNG+는/JX
'클라리노츠'라는	'/SS+클라리노츠/NNP+'/SS+이/VCP+라는/ETM
클라리넷	클라리넷/NNG
3중주단으로	3/SN+중주단/NNG+으로/JKB
한	한/MMN
해	해/NNB
20회쯤	20/SN+회/NNB+쯤/XSN
세계	세계/NNG
투어를	투어/NNG+를/JKO
갖는다.	갖/VV+는다/EF+./SF


# id : NWRW1800000038.69.3.5
최근 차남 안드레아스는 명문 음반사인 도이치그라모폰(DG)을 통해 첫 독집 음반을 발매하며 솔리스트 겸업을 선언했다.

최근	최근/MAG
차남	차남/NNG
안드레아스는	안드레아스/NNP+는/JX
명문	명문/NNG
음반사인	음반사/NNG+이/VCP+ㄴ/ETM
도이치그라모폰(DG)을	도이치그라모폰/NNP+(/SS+DG/SL+)/SS+을/JKO
통해	통하/VV+아/EC
첫	첫/MMN
독집	독집/NNG
음반을	음반/NNG+을/JKO
발매하며	발매/NNG+하/XSV+며/EC
솔리스트	솔리스트/NNG
겸업을	겸업/NNG+을/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.69.3.6
5일 내한한 그는 "가족들과 클라리넷을 연주할 때 가장 안 좋은 점은 리허설을 거르게 된다는 점이며 가장 좋은 점도 연습을 안 해도 된다는 것"이라며 웃었다.

5일	5/SN+일/NNB
내한한	내한/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
"가족들과	"/SS+가족/NNG+들/XSN+과/JKB
클라리넷을	클라리넷/NNG+을/JKO
연주할	연주/NNG+하/XSV+ㄹ/ETM
때	때/NNG
가장	가장/MAG
안	안/MAG
좋은	좋/VA+은/ETM
점은	점/NNG+은/JX
리허설을	리허설/NNG+을/JKO
거르게	거르/VV+게/EC
된다는	되/VV+ㄴ다는/ETM
점이며	점/NNG+이/VCP+며/EC
점도	점/NNG+도/JX
연습을	연습/NNG+을/JKO
해도	하/VV+아도/EC
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.69.4.1
이들 클라리넷 삼부자처럼 오케스트라와 솔리스트 활동을 겸업하는 '투잡(two job)족'을 세계 음악계에선 흔히 볼 수 있다.

이들	이/NP+들/XSN
클라리넷	클라리넷/NNG
삼부자처럼	삼부자/NNG+처럼/JKB
오케스트라와	오케스트라/NNG+와/JC
솔리스트	솔리스트/NNG
활동을	활동/NNG+을/JKO
겸업하는	겸업/NNG+하/XSV+는/ETM
'투잡(two	'/SS+투잡/NNG+(/SS+two/SL
job)족'을	job/SL+)/SS+족/NA+'/SS+을/JKO
세계	세계/NNG
음악계에선	음악/NNG+계/XSN+에서/JKB+ㄴ/JX
흔히	흔히/MAG
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.69.4.2
세계 최강의 교향악단으로 꼽히는 베를린 필하모닉은 '투잡족'의 진원지.

세계	세계/NNG
최강의	최강/NNG+의/JKG
교향악단으로	교향악단/NNG+으로/JKB
꼽히는	꼽히/VV+는/ETM
베를린	베를린/NNP
필하모닉은	필하모닉/NNP+은/JX
'투잡족'의	'/SS+투잡족/NNG+'/SS+의/JKG
진원지.	진원지/NNG+./SF


# id : NWRW1800000038.69.4.3
22세 때 최연소 플루트 수석으로 뽑혔던 에마뉘엘 파위(43)는 음반사 EMI를 통해 20여 장의 독집 음반을 발표한 인기 독주자다.

22세	22/SN+세/NNB
때	때/NNG
최연소	최/XPN+연소/NNG
플루트	플루트/NNG
수석으로	수석/NNG+으로/JKB
뽑혔던	뽑히/VV+었/EP+던/ETM
에마뉘엘	에마뉘엘/NNP
파위(43)는	파위/NNP+(/SS+43/SN+)/SS+는/JX
음반사	음반사/NNG
EMI를	EMI/SL+를/JKO
통해	통하/VV+아/EC
20여	20/SN+여/XSN
장의	장/NNB+의/JKG
독집	독집/NNG
음반을	음반/NNG+을/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
인기	인기/NNG
독주자다.	독주자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.69.4.4
옆자리의 오보에 수석 알브레히트 마이어(48)도 2008년 데카 음반사를 통해 비발디 음반을 발표하며 본격적인 솔로 겸업을 선언했다.

옆자리의	옆자리/NNG+의/JKG
오보에	오보에/NNG
수석	수석/NNG
알브레히트	알브레히트/NNP
마이어(48)도	마이어/NNP+(/SS+48/SN+)/SS+도/JX
2008년	2008/SN+년/NNB
데카	데카/NNP
음반사를	음반사/NNG+를/JKO
통해	통하/VV+아/EC
비발디	비발디/NNP
음반을	음반/NNG+을/JKO
발표하며	발표/NNG+하/XSV+며/EC
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
솔로	솔로/NNG
겸업을	겸업/NNG+을/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.69.4.5
일본계 악장인 바이올리니스트 다시모토 가이신(34)과 호른 수석 슈테판 도어(47)에 이르기까지 베를린 필은 곧바로 '수퍼 독주자'들의 집합체다.

일본계	일본/NNP+계/XSN
악장인	악장/NNG+이/VCP+ㄴ/ETM
바이올리니스트	바이올리니스트/NNG
다시모토	다시모토/NNP
가이신(34)과	가이신/NNP+(/SS+34/SN+)/SS+과/JC
호른	호른/NNG
수석	수석/NNG
슈테판	슈테판/NNP
도어(47)에	도어/NNP+(/SS+47/SN+)/SS+에/JKB
이르기까지	이르/VV+기/ETN+까지/JX
베를린	베를린/NNP
필은	필/NNP+은/JX
곧바로	곧바로/MAG
'수퍼	'/SS+수퍼/NNG
독주자'들의	독주자/NNG+'/SS+들/XSN+의/JKG
집합체다.	집합체/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.69.5.1
안드레아스는 "빈 필은 빈 국립 오페라극장에서 오페라와 발레 연주를 겸하기 때문에 쉴 틈을 내기 쉽지 않다"며 "콘서트에만 집중하는 베를린 필은 연주자들에게 독주 기회를 넉넉하게 부여한다"고 했다.

안드레아스는	안드레아스/NNP+는/JX
"빈	"/SS+빈/NNP
필은	필/NNP+은/JX
빈	빈/NNP
국립	국립/NNG
오페라극장에서	오페라/NNG+극장/NNG+에서/JKB
오페라와	오페라/NNG+와/JKB
발레	발레/NNG
연주를	연주/NNG+를/JKO
겸하기	겸/NNB+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
쉴	쉬/VV+ㄹ/ETM
틈을	틈/NNB+을/JKO
내기	내/VV+기/ETN
쉽지	쉽/VA+지/EC
않다"며	않/VX+다/EF+"/SS+며/EC
"콘서트에만	"/SS+콘서트/NNG+에/JKB+만/JX
집중하는	집중/NNG+하/XSV+는/ETM
베를린	베를린/NNP
연주자들에게	연주자/NNG+들/XSN+에게/JKB
독주	독주/NNG
기회를	기회/NNG+를/JKO
넉넉하게	넉넉하/VA+게/EC
부여한다"고	부여/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.69.5.2
시카고 심포니의 플루트 수석 마티유 뒤포르(41), 바이에른 방송 교향악단의 오보에 수석 라몬 오르테카 퀘로(25)까지 유독 목관 연주자들 가운데 '투잡족'이 많은 것도 특징이다.

시카고	시카고/NNP
심포니의	심포니/NNP+의/JKG
플루트	플루트/NNG
수석	수석/NNG
마티유	마티유/NNP
뒤포르(41),	뒤포르/NNP+(/SS+41/SN+)/SS+,/SP
바이에른	바이에른/NNP
방송	방송/NNG
교향악단의	교향악단/NNG+의/JKG
오보에	오보에/NNG
라몬	라몬/NNP
오르테카	오르테카/NNP
퀘로(25)까지	퀘로/NNP+(/SS+25/SN+)/SS+까지/JX
유독	유독/MAG
목관	목관/NNG
연주자들	연주자/NNG+들/XSN
가운데	가운데/NNG
'투잡족'이	'/SS+투잡족/NNG+'/SS+이/JKS
많은	많/VA+은/ETM
것도	것/NNB+도/JX
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.69.5.3
공연기획사 빈체로 한정호 차장은 "금관 연주자들은 레퍼토리 폭이 넓지 않다는 한계가 있다"고 말했다.

공연기획사	공연/NNG+기획사/NNG
빈체로	빈체로/NNP
한정호	한정호/NNP
차장은	차장/NNG+은/JX
"금관	"/SS+금관/NNG
연주자들은	연주자/NNG+들/XSN+은/JX
레퍼토리	레퍼토리/NNG
폭이	폭/NNG+이/JKS
넓지	넓/VA+지/EC
않다는	않/VX+다는/ETM
한계가	한계/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.69.6.1
한국에서도 서울시향 부악장인 바이올리니스트 신아라(29)가 오는 6월 28일 브람스의 바이올린 소나타 전곡(3곡)을 연주하고, 코리안 심포니의 트럼펫 수석 안희찬(48)씨도 단골 협연자로 초대받는다.

한국에서도	한국/NNP+에서/JKB+도/JX
서울시향	서울시향/NNP
부악장인	부악장/NNG+이/VCP+ㄴ/ETM
바이올리니스트	바이올리니스트/NNG
신아라(29)가	신아라/NNP+(/SS+29/SN+)/SS+가/JKS
오는	오/VV+는/ETM
6월	6/SN+월/NNB
28일	28/SN+일/NNB
브람스의	브람스/NNP+의/JKG
바이올린	바이올린/NNG
소나타	소나타/NNG
전곡(3곡)을	전곡/NNG+(/SS+3/SN+곡/NNG+)/SS+을/JKO
연주하고,	연주/NNG+하/XSV+고/EC+,/SP
코리안	코리안/NNP
심포니의	심포니/NNP+의/JKG
트럼펫	트럼펫/NNG
수석	수석/NNG
안희찬(48)씨도	안희찬/NNP+(/SS+48/SN+)/SS+씨/NNB+도/JX
단골	단골/NNG
협연자로	협연자/NNG+로/JKB
초대받는다.	초대/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000038.69.6.2
하지만 국내 교향악단에서 단원과 솔로를 겸하는 '투잡족'은 아직 걸음마 단계.

하지만	하지만/MAJ
국내	국내/NNG
교향악단에서	교향악단/NNG+에서/JKB
단원과	단원/NNG+과/JKB
솔로를	솔로/NNG+를/JKO
겸하는	겸/NNB+하/XSV+는/ETM
'투잡족'은	'/SS+투잡족/NNG+'/SS+은/JX
아직	아직/MAG
걸음마	걸음마/NNG
단계.	단계/NNG+./SF


# id : NWRW1800000038.69.6.3
음악 칼럼니스트 유정우씨는 "단원들의 솔로 활동을 과외 일로 여길 것이 아니라 악단의 연주력을 높일 수 있는 기회로 보고 장려해야 한다"고 말했다.

음악	음악/NNG
칼럼니스트	칼럼니스트/NNG
유정우씨는	유정우/NNP+씨/NNB+는/JX
"단원들의	"/SS+단원/NNG+들/XSN+의/JKG
솔로	솔로/NNG
활동을	활동/NNG+을/JKO
과외	과외/NNG
일로	일/NNG+로/JKB
여길	여기/VV+ㄹ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
악단의	악단/NNG+의/JKG
